year,issue_label,item_type,title,url,keyword,keyword_raw,keyword_norm,keyword_final,keyword_pl,keyword_norm_auto,keyword_concept_auto
2006,1/2006 vol. 136,UNKNOWN,Streszczenie,"https://www.psychoterapiaptp.pl/Aleksytymia-mechanizm-obronny-czy-cecha-osobowosci-Nowe-perspektywy-badawcze-,153644,0,1.html",alexithymia,alexithymia,alexithymia,alexithymia,alexithymia,alexithymia,alexithymia
2006,1/2006 vol. 136,UNKNOWN,Streszczenie,"https://www.psychoterapiaptp.pl/Aleksytymia-mechanizm-obronny-czy-cecha-osobowosci-Nowe-perspektywy-badawcze-,153644,0,1.html",defense mechanisms,defense mechanisms,defense mechanisms,defense mechanisms,defense mechanisms,defense mechanisms,defense mechanisms
2006,1/2006 vol. 136,UNKNOWN,Streszczenie,"https://www.psychoterapiaptp.pl/Aleksytymia-mechanizm-obronny-czy-cecha-osobowosci-Nowe-perspektywy-badawcze-,153644,0,1.html",personality traits,personality traits,personality traits,personality traits,personality traits,personality traits,zaburzenia_osobowosci
2006,1/2006 vol. 136,UNKNOWN,Streszczenie,"https://www.psychoterapiaptp.pl/Aleksytymia-mechanizm-obronny-czy-cecha-osobowosci-Nowe-perspektywy-badawcze-,153644,0,1.html",affect regulation,affect regulation,affect regulation,affect regulation,affect regulation,affect regulation,affect regulation
2006,1/2006 vol. 136,UNKNOWN,Streszczenie,"https://www.psychoterapiaptp.pl/Aleksytymia-w-zaburzeniach-jedzenia-,153645,0,1.html",eating disorders,eating disorders,eating disorders,eating disorders,eating disorders,eating disorders,eating disorders
2006,1/2006 vol. 136,UNKNOWN,Streszczenie,"https://www.psychoterapiaptp.pl/Aleksytymia-w-zaburzeniach-jedzenia-,153645,0,1.html",alexithymia,alexithymia,alexithymia,alexithymia,alexithymia,alexithymia,alexithymia
2006,1/2006 vol. 136,UNKNOWN,Streszczenie,"https://www.psychoterapiaptp.pl/Konsekwencje-psychologiczne-anoreksji-poczucie-wlasnej-wartosci-strategie-radzenia,153646,0,1.html",anorexia nervosa,anorexia nervosa,anorexia nervosa,anorexia nervosa,anoreksja,anoreksja,zaburzenia_odzywiania
2006,1/2006 vol. 136,UNKNOWN,Streszczenie,"https://www.psychoterapiaptp.pl/Konsekwencje-psychologiczne-anoreksji-poczucie-wlasnej-wartosci-strategie-radzenia,153646,0,1.html",self-esteem,self-esteem,self-esteem,self-esteem,self-esteem,self-esteem,self-esteem
2006,1/2006 vol. 136,UNKNOWN,Streszczenie,"https://www.psychoterapiaptp.pl/Konsekwencje-psychologiczne-anoreksji-poczucie-wlasnej-wartosci-strategie-radzenia,153646,0,1.html",coping,coping,coping,coping,coping,coping,coping
2006,1/2006 vol. 136,UNKNOWN,Streszczenie,"https://www.psychoterapiaptp.pl/Konsekwencje-psychologiczne-anoreksji-poczucie-wlasnej-wartosci-strategie-radzenia,153646,0,1.html",anger,anger,anger,anger,anger,anger,anger
