article_id,article_url,source_issue_url,source_issue_label,source,year,volume,issue_number,title,authors,citation,pages,doi,pdf_url,publication_date,online_publication_date,submission_date,acceptance_date,article_type,topics,abstract_text,n_keywords
153098,"https://www.archivespp.pl/The-anticipated-influx-of-east-European-psychiatrists-a-sample-of-colleagues-views,153098,0,2.html","https://www.archivespp.pl/Issue-1-2005,11552",1/2005 vol. 7,archive,2005,7,1,"The anticipated influx of east European psychiatrists - a sample of colleagues' views from East Sussex, England",Moktar Isaac | Kajetan K. Zakrzewski,Arch Psych Psych 2005;7(1):5-9,5-9,,https://www.archivespp.pl/pdf-153098-77752?filename=The-anticipated-influx-of.pdf,,,,,,,"The entry of east European countries to EU has raised hopes and fears in a number of debates. Doctors from the entrant countries are at the forefront of debate if not only for widely acknowledged shortages of doctors, in particular psychiatrists, in UK. We conducted a small survey aiming to explore the opinion of local psychiatrists at East Sussex in terms of the perceived numbers and characteristics of their peers from eastern Europe. Since neither real numbers nor the characteristics of potential arrivals were known at the time of this study, this survey may serve as a test of attitudes towards them, of their UK counterparts. The survey had an 89% response rate. The opinions varied according to respondents' grades and personal characteristics with consultants more than other grades sceptical about the numbers of likely arrivals and unreservedly in faivour of an immidiate absorption of east European colleagues into the UK system.",4
153101,"https://www.archivespp.pl/Panic-and-agoraphobia-do-treatments-targeted-for-one-problem-also-improve-the-other,153101,0,2.html","https://www.archivespp.pl/Issue-1-2005,11552",1/2005 vol. 7,archive,2005,7,1,Panic and agoraphobia: do treatments targeted for one problem also improve the other? A pilot study,Kevin P. Reilly | Michael J. Gill | Frank M. Dattilio,Arch Psych Psych 2005;7(1):11-28,11-28,,https://www.archivespp.pl/pdf-153101-77757?filename=Panic-and-agoraphobia--do.pdf,,,,,,,"Background and aim: The objective of this research was to compare the effictiveness of three different interventions (i.e., guided masten, interoceptive exposure and a combination treatment) in the treatment of panic and agoraphobia during a brief pilot study Material and method: Nine individuals were randomly) assigned to each treatment group and given six hours of treatment. It was predicted that guided masten participants would show the greatest reductions in agoraphobic symptoms, while interoceptive exposure participants would display the greatest reductions in symptoms of panic. Results: Contrary to these predictions, all treatments were equally beneficial for both panic and agoraphobia. It was also predicted that treatment benefits for panic and agoraphobia would be moderated by changes in fear-of-fear; anticipated panic, panic coping efficacy and agoraphobic self-efficacy. Results indicated that all of these variables moderated treatment benefits fbr panic, whereas onh agoraphobics elfee ficaci and anticipated panic mediated treatment benefits for agoraphobia. Conclusion: The findings are discussed in light ofpast research along with suggestions for the direction offitture research.",6
153102,"https://www.archivespp.pl/Obessive-compulsive-disorder-psychopathology-and-therapy,153102,0,2.html","https://www.archivespp.pl/Issue-1-2005,11552",1/2005 vol. 7,archive,2005,7,1,Obessive-compulsive disorder - psychopathology and therapy,Anna Citkowska-Kisiclcwska | Jerzy W. Alcksandrowicz,Arch Psych Psych 2005;7(1):29-42,29-42,,https://www.archivespp.pl/pdf-153102-77759?filename=Obessive-compulsive-disor.pdf,,,,,,,Both clinical observations and therapy outcome studies of patients diagnosed with obsessive-compulsive disorder (OCD) suggest that this ICD-10 category is heterogeneous. It most probably includes three separate kinds of disorder with a similar clinicalpattern but different pathomechanisms. Psychopathological analyses of 62 OCD patients and preliminary results of their treatment are presented.,2
153103,"https://www.archivespp.pl/Systems-consultation-opportunities-and-limitations,153103,0,2.html","https://www.archivespp.pl/Issue-1-2005,11552",1/2005 vol. 7,archive,2005,7,1,Systems consultation: opportunities and limitations,Maria Rostworowska | Malgorzata Opoczynska | Bogdan de Barbaro,Arch Psych Psych 2005;7(1):43-49,43-49,,https://www.archivespp.pl/pdf-153103-77760?filename=Systems-consultation--opp.pdf,,,,,,,"The paper presents the role of systemic consultation in the diagnosis and therapeutic process of the people hospitalised for the first time because of a psychotic episode. The following questions are going to be put: What is the role of systemic family consultation in the diagnostic and therapeutic process on the inpatient ward? What are the differences between systemic consultation and others forms of family interventions e.g. family interviews, psycho-education, systemic therapy? What are the possibilities and limitations of such a consultation? What does it invite to? These are only some of those questions, Which are typical for daily clinical practice, in which the family consultation takes an important part. In this paper; we would like to share some of our thoughts on the questions put, according to our clinical experience. In spite of difficulties the family consultation confronts us with, we are deeply convinced that it has an important part in the therapeutic and diagnosis process.",4
153104,"https://www.archivespp.pl/Disorganised-attachment-and-borderline-personality-disorder-a-clinical-perspective,153104,0,2.html","https://www.archivespp.pl/Issue-1-2005,11552",1/2005 vol. 7,archive,2005,7,1,Disorganised attachment and borderline personality disorder: a clinical perspective,Jeremy Holmes,Arch Psych Psych 2005;7(1):51-61,51-61,,https://www.archivespp.pl/pdf-153104-77761?filename=Disorganised-attachment-a.pdf,,,,,,,"The aim of this paper is to explore the links between the attachment-theory derived concept of disorganised attachment, and the psychiatric diagnosis of Borderlinc Personality Disorder (BPD). Disoiganised attachment can be understood in terms of approach dilemma for if ants for whom stressed or traumatised/traumatising caregivers are simultaneously a source of. threat and a secure base. Interpersonal relationships in BPD including those with care givers is similarly seen in terms of approach-avoidanced dilemmas, whic manifests themselves in disturbed transference/countertransference interactions between therapists and BPD sufferers. Possible ways of handling these phenomena are suggested, based on/Main's (1995) notion of 'meta-cognitive monitoring', in the hope of re-instating meaning and more stable self-structures, in these patients' lives.",2
153105,"https://www.archivespp.pl/Reaction-phases-following-HIV-positive-diagnosis,153105,0,2.html","https://www.archivespp.pl/Issue-1-2005,11552",1/2005 vol. 7,archive,2005,7,1,Reaction phases following HIV positive diagnosis,Kamilla Bargiel-Matusiewicz | Anna Trzcieniecka-Green | Agata Krupa,Arch Psych Psych 2005;7(1):63-69,63-69,,https://www.archivespp.pl/pdf-153105-77762?filename=Reaction-phases-following.pdf,,,,,,,"Aim: The subject of the article is the process of coping with the awareness of being HIV positive and defining the phases of reaction. A patient's psychic state is subject to many changes connected with the specific character of a given somatic illness. Most commonly an illness and its after-effects are burdensome circumstances for a patient and they cause disturbances in many areas of life,. The emotions connected with an illness are usually negative and intense. Method: The study group consisted of HIV positive patients. They had known about their diagnosis for a period of three to sixteen months. Using the results of the Appraisal of Phases of Reaction Questionnaire they were allocated to specific phases. Results: Three percent were in the shock phase and twelve percent in the reaction phase. Sixty five percent could be described as being in an adaptation phase. Twenty percent had moved to a phase of transformed setf-experience, where they were able to take a different view of their lives. Conclusion: Apart from the cognitive Value of encountering the complexity and dynamics of reactions to being HIV positive the findings may also be applied in beginning to alleviate patients' emotional discomfort.",3
153106,"https://www.archivespp.pl/Native-psychotherapy-in-Russia,153106,0,2.html","https://www.archivespp.pl/Issue-1-2005,11552",1/2005 vol. 7,archive,2005,7,1,Native psychotherapy in Russia,Mark E. Burno,Arch Psych Psych 2005;7(1):71-76,71-76,,https://www.archivespp.pl/pdf-153106-77763?filename=Native-psychotherapy-in-R.pdf,,,,,,,"The peculiarities of Russian psychotherapy, first of all, arc connected in their origin with native national-psychological features of the Russians and especially Russian intelligentsia. These national-psychological peculiarities can be seen at different times in Russian science and Russian art. These arc anxiety dreaming, impracticability and, at the same time, inclination to complicated realistic, materialistic analysis with deep sympathy for the suffering little man. It is just this together with social conditions and changes that brought about the appearance of the Russian psychotherapeutic approaches. First of all it is the traditional, native Russian Clinical Psychotherapy. These are Russian Existential Psychotherapy and Russian Clinical Psychoanalysis.",4
172133,"https://www.archivespp.pl/Dialectical-Behavior-Therapy-in-the-Treatment-of-Trauma,172133,0,2.html","https://www.archivespp.pl/Issue-1-2005,11552",1/2005 vol. 7,archive,2024,26,1,Dialectical Behavior Therapy in the Treatment of Trauma,Sylwia Natalia Michałowska | Magdalena Chęć,Arch Psych Psych 2024;26(1):26-32,26-32,10.12740/APP/172133,https://www.archivespp.pl/pdf-172133-107631?filename=Dialectical-Behavior-Ther.pdf,2024-04-01,2024-04-03,2023-08-09,2023-09-11,,Psychotherapy,"The study aims to introduce Dialectical Behavior Therapy (DBT) as a viable approach to treating post-traumatic stress disorder (PTSD), as well as its comorbidity with borderline personality disorder (BPD). The paper refers to current studies conducted between 2017 and 2023 relating to DBT's efficacy in managing complex and relational early childhood trauma, including sexual abuse and violence. Analyses indicate that DBT helps to reduce PTSD symptoms in various age groups. An integrative approach, which combines DBT and methods such as Cognitive Behavioral Therapy (CBT), Cognitive Processing Therapy (CPT), or Eye Movement Desensitization and Reprocessing (EMDR), appears to enhance therapeutic effects. Therefore, it is recommended to implement programs based on DBT and evaluate their effectiveness in a group of Polish patients who have co-occurring symptoms of PTSD and BPD or PTSD alone.",4
219867,"https://www.archivespp.pl/Editorial,219867,0,2.html","https://www.archivespp.pl/Issue-1-2005,11552",1/2005 vol. 7,archive,2026,28,1,Editorial,Joanna Rymaszewska,Arch Psych Psych 2026;28(1):5-6,5-6,10.12740/APP/219867,https://www.archivespp.pl/pdf-219867-138448?filename=Editorial.pdf,2026-04-13,2026-04-13,2026-03-22,2026-03-22,editorial,Hypnosis,"Editorial The papers gathered in this issue offer a timely and nuanced perspective on the evolving landscape of mental health research. Although they address a wide range of clinical and psychosocial phenomena, they are united by a shared commitment to understanding psychological functioning in its full complexity — not as a set of isolated symptoms, but as an experience shaped by the interplay of biology, personality, relationships, and social context. Editorial The papers gathered in this issue offer a timely and nuanced perspective on the evolving landscape of mental health research. Although they address a wide range of clinical and psychosocial phenomena, they are united by a shared commitment to understanding psychological functioning in its full complexity — not as a set of isolated symptoms, but as an experience shaped by the interplay of biology, personality, relationships, and social context.",3
170132,"https://www.archivespp.pl/Five-reasons-why-a-conversational-artificial-intelligence-cannot-be-treated-as-a,170132,0,2.html","https://www.archivespp.pl/Issue-1-2005,11552",1/2005 vol. 7,archive,2023,25,4,Five reasons why a conversational artificial intelligence cannot be treated as a moral agent in psychotherapy,Marcin Paweł Ferdynus,Arch Psych Psych 2023;25(4):26-29,26-29,10.12740/APP/170132,https://www.archivespp.pl/pdf-170132-97753?filename=Five-reasons-why-a-conver.pdf,2023-12-17,2023-12-17,2023-04-02,2023-07-28,,Psychotherapy,"Sedlakova and Trachsel present an analysis regarding the evaluation of a new therapeutic technology, namely conversational artificial intelligence (CAI) in psychotherapy. They suggest that CAI cannot be treated as an equal partner in the therapeutic conversation, because it is not a moral agent. I agree that CAI is not a moral agent. However, I believe that CAI lacks at least five basic attributes or abilities (phenomenal consciousness, intentionality, ethical reflection, prudence, conscience) that would allow it to be defined as a moral agent. It seems that the ethical assessment of the possibilities, limitations, benefits and risks associated with the use of CAI in psychotherapy requires a determination of what CAI is in its moral nature. In this paper, I attempt to show that CAI is devoid of essential moral elements and hence cannot be treated as a moral agent.",3
