article_id,article_url,year,volume,issue_number,title,keyword_order,keyword_raw,keyword_norm,keyword_final_en,keyword_final_polish,keyword_semantic_id,semantic_actions,translation_method,semantic_confidence,review_flag,keyword_url,normalization_actions,keyword_norm_id
86615,"https://www.archivespp.pl/EDITORIAL,86615,0,2.html",2018,20,1,EDITORIAL,1,editorial,editorial,editorial,editorial,app_sem_0520,no_semantic_change,glossary_exact,high,exclude_candidate_editorial,https://www.archivespp.pl/Keyword-editorial/4090,unchanged,app_kw_0538
86615,"https://www.archivespp.pl/EDITORIAL,86615,0,2.html",2018,20,1,EDITORIAL,2,editorial 1,editorial 1,editorial,editorial,app_sem_0520,exact_map:editorial 1->editorial,glossary_exact,high,exclude_candidate_editorial|semantic_merge_audit,https://www.archivespp.pl/Keyword-editorial+1/160554,unchanged,app_kw_0539
86615,"https://www.archivespp.pl/EDITORIAL,86615,0,2.html",2018,20,1,EDITORIAL,3,editorial 2,editorial 2,editorial,editorial,app_sem_0520,exact_map:editorial 2->editorial,glossary_exact,high,exclude_candidate_editorial|semantic_merge_audit,https://www.archivespp.pl/Keyword-editorial+2/160555,unchanged,app_kw_0540
91960,"https://www.archivespp.pl/EDITORIAL,91960,0,2.html",2018,20,2,EDITORIAL,1,editorial,editorial,editorial,editorial,app_sem_0520,no_semantic_change,glossary_exact,high,exclude_candidate_editorial,https://www.archivespp.pl/Keyword-editorial/4090,unchanged,app_kw_0538
91960,"https://www.archivespp.pl/EDITORIAL,91960,0,2.html",2018,20,2,EDITORIAL,2,editorial 1,editorial 1,editorial,editorial,app_sem_0520,exact_map:editorial 1->editorial,glossary_exact,high,exclude_candidate_editorial|semantic_merge_audit,https://www.archivespp.pl/Keyword-editorial+1/160554,unchanged,app_kw_0539
91960,"https://www.archivespp.pl/EDITORIAL,91960,0,2.html",2018,20,2,EDITORIAL,3,editorial 2,editorial 2,editorial,editorial,app_sem_0520,exact_map:editorial 2->editorial,glossary_exact,high,exclude_candidate_editorial|semantic_merge_audit,https://www.archivespp.pl/Keyword-editorial+2/160555,unchanged,app_kw_0540
97248,"https://www.archivespp.pl/Editorial,97248,0,2.html",2018,20,3,Editorial,1,editorial,editorial,editorial,editorial,app_sem_0520,no_semantic_change,glossary_exact,high,exclude_candidate_editorial,https://www.archivespp.pl/Keyword-editorial/4090,unchanged,app_kw_0538
97248,"https://www.archivespp.pl/Editorial,97248,0,2.html",2018,20,3,Editorial,2,editorial 1,editorial 1,editorial,editorial,app_sem_0520,exact_map:editorial 1->editorial,glossary_exact,high,exclude_candidate_editorial|semantic_merge_audit,https://www.archivespp.pl/Keyword-editorial+1/160554,unchanged,app_kw_0539
97248,"https://www.archivespp.pl/Editorial,97248,0,2.html",2018,20,3,Editorial,3,editorial 2,editorial 2,editorial,editorial,app_sem_0520,exact_map:editorial 2->editorial,glossary_exact,high,exclude_candidate_editorial|semantic_merge_audit,https://www.archivespp.pl/Keyword-editorial+2/160555,unchanged,app_kw_0540
101655,"https://www.archivespp.pl/Editorial,101655,0,2.html",2018,20,4,Editorial,1,editorial 1,editorial 1,editorial,editorial,app_sem_0520,exact_map:editorial 1->editorial,glossary_exact,high,exclude_candidate_editorial|semantic_merge_audit,https://www.archivespp.pl/Keyword-editorial+1/160554,unchanged,app_kw_0539
101655,"https://www.archivespp.pl/Editorial,101655,0,2.html",2018,20,4,Editorial,2,editorial 2,editorial 2,editorial,editorial,app_sem_0520,exact_map:editorial 2->editorial,glossary_exact,high,exclude_candidate_editorial|semantic_merge_audit,https://www.archivespp.pl/Keyword-editorial+2/160555,unchanged,app_kw_0540
