keyword_concept_en_expanded,keyword_concept_polish_expanded,keyword_semantic_expanded_id,n_records
depression/depressive disorders,depresja i zaburzenia depresyjne,app_sem_exp_0374,96
schizophrenia,schizofrenia,app_sem_exp_1208,86
psychotherapy,psychoterapia,app_sem_exp_1140,51
anxiety/anxiety disorders,lęk i zaburzenia lękowe,app_sem_exp_0073,50
stress,stres,app_sem_exp_1329,29
anorexia nervosa,jadłowstręt psychiczny,app_sem_exp_0061,28
covid-19,COVID-19,app_sem_exp_0328,26
trauma/traumatic experiences,trauma i doświadczenia traumatyczne,app_sem_exp_1409,24
mental health,zdrowie psychiczne,app_sem_exp_0808,22
bipolar disorder,zaburzenie afektywne dwubiegunowe,app_sem_exp_0139,21
psychotic disorders,zaburzenia psychotyczne,app_sem_exp_1144,21
cognitive functioning,funkcjonowanie poznawcze,app_sem_exp_0256,21
body image/body attitudes,obraz ciała i postawy wobec ciała,app_sem_exp_0150,19
suicidality,samobójczość,app_sem_exp_1345,18
eating disorders,zaburzenia odżywiania,app_sem_exp_0440,16
adolescence/adolescents,adolescencja i adolescenci,app_sem_exp_0017,16
alcohol use disorder,zaburzenie używania alkoholu,app_sem_exp_0042,16
mental disorders,zaburzenia psychiczne,app_sem_exp_0807,15
post-traumatic stress disorder,zespół stresu pourazowego,app_sem_exp_1034,14
quality of life,jakość życia,app_sem_exp_1153,14
cognitive behavioral therapy,terapia poznawczo-behawioralna,app_sem_exp_0249,11
gender,płeć społeczno-kulturowa,app_sem_exp_0570,11
pharmacotherapy,farmakoterapia,app_sem_exp_1001,10
obesity,otyłość,app_sem_exp_0916,10
social support,wsparcie społeczne,app_sem_exp_1299,10
psychiatry,psychiatria,app_sem_exp_1087,9
substance use disorder,zaburzenie używania substancji,app_sem_exp_1342,9
bulimia nervosa,żarłoczność psychiczna,app_sem_exp_0172,9
coping with stress,radzenie sobie ze stresem,app_sem_exp_0308,9
personality,osobowość,app_sem_exp_0990,9
comorbidity,współchorobowość,app_sem_exp_0276,9
borderline personality disorder,zaburzenie osobowości borderline,app_sem_exp_0154,9
family/family system,rodzina i system rodzinny,app_sem_exp_0530,8
treatment,leczenie,app_sem_exp_1411,8
personality disorders,zaburzenia osobowości,app_sem_exp_0993,8
attitude,postawa,app_sem_exp_0100,7
holocaust,Holokaust,app_sem_exp_0631,7
burnout,wypalenie,app_sem_exp_0176,7
antipsychotics,leki przeciwpsychotyczne,app_sem_exp_0068,7
obsessive-compulsive disorder,zaburzenie obsesyjno-kompulsyjne,app_sem_exp_0918,7
self-esteem,samoocena,app_sem_exp_1228,6
psychotherapists,psychoterapeuci,app_sem_exp_1139,6
defense mechanism,mechanizm obronny,app_sem_exp_0359,6
metabolic syndrome,zespół metaboliczny,app_sem_exp_0812,6
neurotic disorder,zaburzenie nerwicowe,app_sem_exp_0882,6
social functioning,funkcjonowanie społeczne,app_sem_exp_1292,6
autism spectrum disorder,zaburzenie ze spektrum autyzmu,app_sem_exp_0111,6
panic disorder,zaburzenie paniczne,app_sem_exp_0948,6
empathy,empatia,app_sem_exp_0483,6
psychoeducation,psychoedukacja,app_sem_exp_1100,5
