keyword_norm_a,keyword_norm_b,count_a,count_b,similarity,candidate_reason,decision_status
cognitive behavioral therapy,cognitive behavioural therapy,2,1,0.982,string_similarity,review_required
complex post-traumatic states,complex posttraumatic states,1,1,0.982,string_similarity,review_required
substance use disorders,substance use disorder,2,2,0.978,string_similarity,review_required
psychosomatic disorders,psychosomatic disorder,2,1,0.978,string_similarity,review_required
dysfunctional attitudes,dysfunctional attitude,1,1,0.978,string_similarity,review_required
myocardial infarctions,myocardial infarction,1,1,0.977,string_similarity,review_required
psychotherapy outcome,psychotherapy outcomes,1,1,0.977,string_similarity,review_required
personality disorders,personality disorder,7,1,0.976,string_similarity,review_required
alcohol use disorder,alcohol use disorders,2,1,0.976,string_similarity,review_required
depressive disorder,depressive disorders,4,1,0.974,string_similarity,review_required
cognitive functions,cognitive function,8,3,0.973,string_similarity,review_required
psychotic disorders,psychotic disorder,3,1,0.973,string_similarity,review_required
executive functions,executive function,3,1,0.973,string_similarity,review_required
sexual dysfunction,sexual dysfunctions,1,1,0.973,string_similarity,review_required
affective disorders,affective disorder,1,1,0.973,string_similarity,review_required
neurotic disorders,neurotic disorder,5,1,0.971,string_similarity,review_required
sleep disturbances,sleep disturbance,1,1,0.971,string_similarity,review_required
bipolar disorder,bipolar disorders,12,5,0.97,string_similarity,review_required
anxiety disorders,anxiety disorder,4,1,0.97,string_similarity,review_required
mental disorders,mental disorder,6,1,0.968,string_similarity,review_required
psychotherapists,psychotherapist,2,2,0.968,string_similarity,review_required
eating attitudes,eating attitude,2,1,0.968,string_similarity,review_required
suicide attempts,suicide attempt,2,1,0.968,string_similarity,review_required
health behavior,health behaviour,1,1,0.968,string_similarity,review_required
health related quality of life,health-related quality of life,1,1,0.967,string_similarity,review_required
psychoeducation,psychoeduation,4,1,0.966,string_similarity,review_required
obsessive-compulsive disorder,obsessive compulsive disorder,4,1,0.966,string_similarity,review_required
antipsychotics,antipshychotics,3,1,0.966,string_similarity,review_required
sleep disorders,sleep disorder,1,1,0.966,string_similarity,review_required
couples therapy,couple therapy,1,1,0.966,string_similarity,review_required
primary schools,primary school,1,1,0.966,string_similarity,review_required
cognitive-behavioral therapy,cognitive behavioral therapy,3,2,0.964,string_similarity,review_required
cognitive behavioural therapy,cognitive behaviour therapy,1,1,0.964,string_similarity,review_required
antipsychotics,antipsychotic,3,2,0.963,string_similarity,review_required
social skills_,social skills,1,1,0.963,string_similarity,review_required
first episode schizophrenia,first-episode schizophrenia,1,1,0.963,string_similarity,review_required
effectiveness,effectivness,4,1,0.96,string_similarity,review_required
relationships,relationship,2,1,0.96,string_similarity,review_required
humour style,humour styles,1,1,0.96,string_similarity,review_required
balint group,balint groups,1,1,0.96,string_similarity,review_required
type 2 diabetes mellitus,type 1 diabetes mellitus,2,1,0.958,string_similarity,review_required
psychotherapeutic target,psychotherapetuic target,1,1,0.958,string_similarity,review_required
comorbidity,co-morbidity,8,1,0.957,string_similarity,review_required
risk factors,risk factor,4,1,0.957,string_similarity,review_required
psychiatric morbidity,psychiatric comorbidity,1,1,0.955,string_similarity,review_required
editorial 2,editorial2,26,2,0.952,string_similarity,review_required
editorial 2,editoril 2,26,1,0.952,string_similarity,review_required
editorial 1,editorial1,25,1,0.952,string_similarity,review_required
adolescents,adolescent,6,2,0.952,string_similarity,review_required
psychological distress,psychological stress,1,1,0.952,string_similarity,review_required
women's mental health,men's mental health,1,1,0.95,string_similarity,review_required
first person account,first-person account,1,1,0.95,string_similarity,review_required
depression,depressin,61,1,0.947,string_similarity,review_required
editorial,editorial2,27,2,0.947,string_similarity,review_required
editorial,editorial1,27,1,0.947,string_similarity,review_required
emotion regulation,emotional regulation,3,1,0.947,string_similarity,review_required
