keyword_norm,n_raw_variants,raw_variants,total_records,n_articles
mental health,3,Mental Health | Mental health | mental health,22,22
covid-19,3,COVID-19 | Covid-19 | covid-19,16,16
sars-cov-2,3,SARS-COV-2 | SARS-CoV-2 | SARS-Cov-2,4,4
interpersonal functioning,3,Interpersonal Functioning | Interpersonal functioning | interpersonal functioning,3,3
schizophrenia,2,Schizophrenia | schizophrenia,73,73
depression,2,Depression | depression,61,61
psychotherapy,2,Psychotherapy | psychotherapy,39,39
anxiety,2,Anxiety | anxiety,32,32
editorial,2,Editorial | editorial,27,27
stress,2,Stress | stress,17,17
psychiatry,2,Psychiatry | psychiatry,9,9
quality of life,2,Quality of Life | quality of life,9,9
borderline personality disorder,2,Borderline Personality Disorder | borderline personality disorder,8,8
holocaust,2,Holocaust | holocaust,7,7
personality disorders,2,Personality Disorders | personality disorders,7,7
adolescence,2,Adolescence | adolescence,6,6
adolescents,2,Adolescents | adolescents,6,6
mental disorders,2,Mental Disorders | mental disorders,6,6
panic disorder,2,Panic Disorder | panic disorder,6,6
asthma,2,Asthma | asthma,4,4
attachment,2,Attachment | attachment,4,4
depressive disorder,2,Depressive disorder | depressive disorder,4,4
obsessive-compulsive disorder,2,Obsessive-compulsive disorder | obsessive-compulsive disorder,4,4
chronic pain,2,Chronic Pain | chronic pain,3,3
cognitive function,2,Cognitive function | cognitive function,3,3
cognitive-behavioral therapy,2,cognitive- behavioral therapy | cognitive-behavioral therapy,3,3
mindfulness,2,Mindfulness | mindfulness,3,3
motivation,2,Motivation | motivation,3,3
recovery from psychiatric disability,2,Recovery from Psychiatric Disability | recovery from psychiatric disability,3,3
alcohol use disorder,2,Alcohol Use Disorder | alcohol use disorder,2,2
autism spectrum disorders,2,Autism Spectrum Disorders | autism spectrum disorders,2,2
eat-26,2,EAT-26 | eat-26,2,2
epilepsy,2,Epilepsy | epilepsy,2,2
facial emotion,2,Facial emotion | facial emotion,2,2
online,2,Online | online,2,2
psychological symptoms,2,Psychological symptoms | psychological symptoms,2,2
psychotherapy integration,2,Psychotherapy integration | psychotherapy integration,2,2
social media,2,Social Media | social media,2,2
type 1 diabetes,2,Type 1 diabetes | type 1 diabetes,2,2
uhr,2,UHR | uhr,2,2
