keyword_raw,keyword_norm,keyword_norm_id,normalization_actions,n_records,n_articles,first_year,last_year
1-year follow-up,1-year follow-up,app_kw_0001,unchanged,1,1,2005,2005
22q11.2 deletion syndrome,22q11.2 deletion syndrome,app_kw_0002,unchanged,1,1,2008,2008
5-HT1A receptors,5-ht1a receptors,app_kw_0003,lowercase,1,1,2010,2010
: Attention deficit hyperactivity disorder,: attention deficit hyperactivity disorder,app_kw_0004,lowercase,1,1,2020,2020
aa,aa,app_kw_0005,unchanged,1,1,2016,2016
abuse,abuse,app_kw_0006,unchanged,2,2,2012,2017
acceptance,acceptance,app_kw_0007,unchanged,1,1,2017,2017
acceptance and commitment therapy,acceptance and commitment therapy,app_kw_0008,unchanged,1,1,2017,2017
ACL,acl,app_kw_0009,lowercase,1,1,2010,2010
activity,activity,app_kw_0010,unchanged,1,1,2008,2008
adaptation,adaptation,app_kw_0011,unchanged,2,2,2013,2016
Addiction Severity,addiction severity,app_kw_0012,lowercase,1,1,2017,2017
addiction to mobile phone,addiction to mobile phone,app_kw_0013,unchanged,1,1,2017,2017
addicts,addicts,app_kw_0014,unchanged,1,1,2016,2016
adequacy of perception,adequacy of perception,app_kw_0015,unchanged,1,1,2010,2010
ADHD,adhd,app_kw_0016,lowercase,2,2,2013,2015
adherence,adherence,app_kw_0017,unchanged,2,2,2009,2015
administrative management,administrative management,app_kw_0018,unchanged,1,1,2021,2021
Adolescence,adolescence,app_kw_0019,lowercase,1,1,2009,2009
adolescence,adolescence,app_kw_0019,unchanged,5,5,2007,2023
adolescent,adolescent,app_kw_0020,unchanged,2,2,2013,2016
adolescent depression,adolescent depression,app_kw_0021,unchanged,5,5,2007,2017
adolescent girls,adolescent girls,app_kw_0022,unchanged,1,1,2010,2010
adolescent ward,adolescent ward,app_kw_0023,unchanged,1,1,2011,2011
Adolescents,adolescents,app_kw_0024,lowercase,1,1,2025,2025
adolescents,adolescents,app_kw_0024,unchanged,5,5,2007,2019
adoption,adoption,app_kw_0025,unchanged,3,3,2014,2016
adoption identity,adoption identity,app_kw_0026,unchanged,1,1,2016,2016
adoptive family,adoptive family,app_kw_0027,unchanged,1,1,2014,2014
adoptive family research methodology,adoptive family research methodology,app_kw_0028,unchanged,1,1,2014,2014
adult assessment,adult assessment,app_kw_0029,unchanged,1,1,2014,2014
adult attention deficit hyperactivity disorder,adult attention deficit hyperactivity disorder,app_kw_0030,unchanged,1,1,2018,2018
adult children of alcoholics,adult children of alcoholics,app_kw_0031,unchanged,1,1,2012,2012
adulthood,adulthood,app_kw_0032,unchanged,2,2,2016,2024
adults,adults,app_kw_0033,unchanged,2,2,2014,2023
adverse effect,adverse effect,app_kw_0034,unchanged,1,1,2017,2017
adverse events,adverse events,app_kw_0035,unchanged,2,2,2005,2009
aerobic exercise,aerobic exercise,app_kw_0036,unchanged,1,1,2019,2019
affect phobia model,affect phobia model,app_kw_0037,unchanged,1,1,2009,2009
Affect regulation training,affect regulation training,app_kw_0038,lowercase,1,1,2025,2025
affective,affective,app_kw_0039,unchanged,1,1,2013,2013
affective disorder,affective disorder,app_kw_0040,unchanged,1,1,2016,2016
affective disorders,affective disorders,app_kw_0041,unchanged,1,1,2006,2006
affective temperaments,affective temperaments,app_kw_0042,unchanged,1,1,2024,2024
affirming compulsions,affirming compulsions,app_kw_0043,unchanged,1,1,2025,2025
agenesis of carpos callosum,agenesis of carpos callosum,app_kw_0044,unchanged,1,1,2018,2018
aggression,aggression,app_kw_0045,unchanged,5,5,2009,2025
agoraphobia,agoraphobia,app_kw_0046,unchanged,1,1,2005,2005
agoraphobia with panic attacks,agoraphobia with panic attacks,app_kw_0047,unchanged,1,1,2015,2015
AIDS,aids,app_kw_0048,lowercase,1,1,2005,2005
alcohol,alcohol,app_kw_0049,unchanged,1,1,2008,2008
alcohol abuse,alcohol abuse,app_kw_0050,unchanged,2,2,2017,2019
alcohol addiction,alcohol addiction,app_kw_0051,unchanged,2,2,2023,2024
alcohol consumption,alcohol consumption,app_kw_0052,unchanged,1,1,2025,2025
alcohol dependence,alcohol dependence,app_kw_0053,unchanged,6,6,2005,2018
alcohol psychosis,alcohol psychosis,app_kw_0054,unchanged,1,1,2015,2015
Alcohol Use Disorder,alcohol use disorder,app_kw_0055,lowercase,1,1,2018,2018
alcohol use disorder,alcohol use disorder,app_kw_0055,unchanged,1,1,2024,2024
alcohol use disorders,alcohol use disorders,app_kw_0056,unchanged,1,1,2018,2018
alcohol withdrawal syndrome,alcohol withdrawal syndrome,app_kw_0057,unchanged,1,1,2005,2005
alcohol-addiction,alcohol-addiction,app_kw_0058,unchanged,1,1,2016,2016
alcohol-exposed pregnancy,alcohol-exposed pregnancy,app_kw_0059,unchanged,1,1,2021,2021
alcoholic extract,alcoholic extract,app_kw_0060,unchanged,1,1,2017,2017
alcoholism,alcoholism,app_kw_0061,unchanged,1,1,2009,2009
alcoholism morbidity rate,alcoholism morbidity rate,app_kw_0062,unchanged,1,1,2015,2015
alexithymia,alexithymia,app_kw_0063,unchanged,3,3,2019,2025
Allience,allience,app_kw_0064,lowercase,1,1,2018,2018
alter ego,alter ego,app_kw_0065,unchanged,1,1,2020,2020
Alzheimer's disease,alzheimer's disease,app_kw_0066,lowercase,5,5,2005,2023
American Psychiatric Association,american psychiatric association,app_kw_0067,lowercase,1,1,2014,2014
Amnesia,amnesia,app_kw_0068,lowercase,1,1,2020,2020
amyloid,amyloid,app_kw_0069,unchanged,1,1,2007,2007
