keyword_semantic_id,keyword_final_en,keyword_final_polish,n_keyword_records,n_articles,n_raw_variants,n_norm_variants,first_year,last_year,review_flag
app_sem_0520,editorial,editorial,88,30,9,8,2018,2025,exclude_candidate_editorial|semantic_merge_audit
app_sem_1347,schizophrenia,schizofrenia,73,73,2,1,2005,2025,ok
app_sem_0430,depression,depresja,61,61,2,1,2005,2025,ok
app_sem_1270,psychotherapy,psychoterapia,39,39,2,1,2005,2025,ok
app_sem_0088,anxiety,lęk,32,32,2,1,2008,2025,ok
app_sem_0077,anorexia nervosa,jadłowstręt psychiczny,26,26,1,1,2005,2025,ok
app_sem_0907,mental health,zdrowie psychiczne,22,22,3,1,2006,2025,ok
app_sem_0164,bipolar disorder,zaburzenie afektywne dwubiegunowe,17,17,2,2,2005,2022,ok|semantic_merge_audit
app_sem_1476,stress,stres,17,17,2,1,2012,2025,ok
app_sem_0380,covid-19,COVID-19,16,16,3,1,2020,2025,ok
app_sem_1256,psychosis,psychoza,16,16,1,1,2005,2023,ok
app_sem_1571,trauma,trauma,14,14,1,1,2007,2025,ok
app_sem_0292,cognitive behavioral therapy,terapia poznawczo-behawioralna,11,9,6,5,2005,2025,ok|semantic_merge_audit
app_sem_0301,cognitive function,funkcje poznawcze,11,11,3,2,2005,2025,ok|semantic_merge_audit
app_sem_1501,suicide,samobójstwo,11,11,1,1,2013,2023,ok
app_sem_0656,gender,płeć społeczno-kulturowa,10,10,1,1,2011,2023,ok
app_sem_1021,obesity,otyłość,10,10,1,1,2010,2025,ok
app_sem_1150,post-traumatic stress disorder,zespół stresu pourazowego,10,10,2,2,2005,2025,ok|semantic_merge_audit
app_sem_0325,comorbidity,współchorobowość,9,9,2,2,2005,2020,ok|semantic_merge_audit
app_sem_1104,personality,osobowość,9,9,1,1,2007,2022,ok
app_sem_1211,psychiatry,psychiatria,9,9,2,1,2011,2024,ok
app_sem_1287,quality of life,jakość życia,9,9,2,1,2007,2023,ok
app_sem_1446,social support,wsparcie społeczne,9,9,1,1,2008,2023,ok
app_sem_0178,body image,obraz ciała,8,8,1,1,2010,2017,ok
app_sem_0187,borderline personality disorder,zaburzenie osobowości borderline,8,8,2,1,2005,2024,ok
app_sem_0508,eating disorder,zaburzenia odżywiania,8,8,1,1,2008,2023,semantic_merge_audit
app_sem_1107,personality disorder,zaburzenie osobowości,8,8,3,2,2010,2025,ok|semantic_merge_audit
app_sem_1574,treatment,leczenie,8,8,1,1,2005,2024,ok
app_sem_0120,attitude,postawa,7,7,1,1,2008,2023,ok
app_sem_0211,burnout,wypalenie,7,7,1,1,2014,2020,ok
app_sem_0724,holocaust,Holokaust,7,7,2,1,2006,2025,ok
app_sem_0906,mental disorder,zaburzenie psychiczne,7,7,3,2,2010,2021,ok|semantic_merge_audit
app_sem_1024,obsessive-compulsive disorder,zaburzenie obsesyjno-kompulsyjne,7,7,4,3,2005,2025,ok|semantic_merge_audit
app_sem_1116,pharmacotherapy,farmakoterapia,7,7,1,1,2008,2024,ok
app_sem_0019,adolescence,adolescencja,6,6,2,1,2007,2023,ok
app_sem_0024,adolescents,adolescenci,6,6,2,1,2007,2025,ok
app_sem_0052,alcohol dependence,uzależnienie od alkoholu,6,6,1,1,2005,2018,ok
app_sem_0084,antipsychotic,lek przeciwpsychotyczny,6,6,3,3,2009,2015,ok|semantic_merge_audit
app_sem_0207,bulimia nervosa,żarłoczność psychiczna,6,6,1,1,2008,2020,ok
app_sem_0413,defense mechanism,mechanizm obronny,6,6,2,2,2008,2025,semantic_merge_audit
app_sem_0558,empathy,empatia,6,6,1,1,2013,2025,ok
app_sem_0913,metabolic syndrome,zespół metaboliczny,6,6,1,1,2012,2021,ok
app_sem_0986,neurotic disorder,zaburzenie nerwicowe,6,6,2,2,2005,2019,ok|semantic_merge_audit
app_sem_1058,panic disorder,zaburzenie paniczne,6,6,2,1,2011,2012,ok
app_sem_1368,self-esteem,samoocena,6,6,1,1,2007,2021,ok
app_sem_1437,social functioning,funkcjonowanie społeczne,6,6,1,1,2005,2017,ok
app_sem_0021,adolescent depression,depresja adolescentów,5,5,1,1,2007,2017,ok
app_sem_0044,aggression,agresja,5,5,1,1,2009,2025,ok
app_sem_0064,alzheimer's disease,choroba Alzheimera,5,5,1,1,2005,2023,ok
app_sem_0090,anxiety disorder,zaburzenie lękowe,5,5,2,2,2006,2025,ok|semantic_merge_audit
app_sem_0332,compliance,współpraca w leczeniu,5,5,1,1,2005,2011,ok
app_sem_0352,coping,radzenie sobie,5,5,1,1,2007,2024,ok
app_sem_0357,coping strategy,strategia radzenia sobie,5,5,1,1,2019,2024,semantic_merge_audit
app_sem_0432,depressive disorder,zaburzenie depresyjne,5,5,3,2,2009,2025,ok|semantic_merge_audit
app_sem_0527,effectiveness,skuteczność,5,5,2,2,2005,2021,ok|semantic_merge_audit
app_sem_0565,epidemiological study,badanie epidemiologiczne,5,5,2,2,2009,2013,ok|semantic_merge_audit
app_sem_0614,family therapy,terapia rodzinna,5,5,1,1,2005,2015,ok
app_sem_0639,follow-up study,badanie follow-up,5,5,1,1,2007,2017,ok
app_sem_1214,psychoanalysis,psychoanaliza,5,5,1,1,2006,2015,ok
app_sem_1220,psychodynamic psychotherapy,psychoterapia psychodynamiczna,5,5,1,1,2007,2024,ok
app_sem_1224,psychoeducation,psychoedukacja,5,5,2,2,2007,2016,ok|semantic_merge_audit
app_sem_1252,psychopathology,psychopatologia,5,5,1,1,2009,2021,ok
app_sem_1332,risk factor,czynnik ryzyka,5,5,2,2,2013,2022,ok|semantic_merge_audit
app_sem_1367,self-efficacy,poczucie własnej skuteczności,5,5,1,1,2019,2025,ok
app_sem_1608,violence,przemoc,5,5,1,1,2012,2025,ok
app_sem_1629,women,kobiety,5,5,1,1,2009,2020,ok
app_sem_0110,asthma,astma,4,4,2,1,2011,2012,ok
app_sem_0115,attachment,przywiązanie,4,4,2,1,2021,2023,ok
app_sem_0224,case study,studium przypadku,4,4,1,1,2005,2022,ok
app_sem_0249,children,dzieci,4,4,1,1,2006,2014,ok
app_sem_0366,coronavirus,koronawirus,4,4,1,1,2021,2024,ok
app_sem_0384,creativity,kreatywność,4,4,1,1,2008,2025,ok
app_sem_0550,emotional intelligence,inteligencja emocjonalna,4,4,1,1,2018,2024,ok
app_sem_0581,executive function,funkcje wykonawcze,4,4,2,2,2009,2022,ok|semantic_merge_audit
app_sem_0605,family,rodzina,4,4,1,1,2019,2024,ok
app_sem_0812,interpretation,interpretacja,4,4,1,1,2009,2019,ok
app_sem_0910,mental illness,choroba psychiczna,4,4,1,1,2010,2021,ok
app_sem_0968,negative symptom,objaw negatywny,4,4,1,1,2011,2025,semantic_merge_audit
app_sem_1053,pain,ból,4,4,1,1,2006,2024,ok
app_sem_1056,pandemic,pandemia,4,4,2,2,2020,2022,ok|semantic_merge_audit
app_sem_1153,postpartum depression,depresja poporodowa,4,4,1,1,2017,2024,ok
app_sem_1165,prevalence,rozpowszechnienie,4,4,1,1,2007,2019,ok
app_sem_1269,psychotherapist,psychoterapeuta,4,4,2,2,2018,2025,ok|semantic_merge_audit
app_sem_1277,psychotic disorder,zaburzenie psychotyczne,4,4,2,2,2007,2024,ok|semantic_merge_audit
app_sem_1341,sars-cov-2,SARS-CoV-2,4,4,3,1,2020,2025,ok
app_sem_1370,self-harm,samouszkodzenie,4,4,1,1,2015,2025,ok
app_sem_1410,sexuality,seksualność,4,4,1,1,2006,2020,ok
app_sem_1420,siblings,rodzeństwo,4,4,1,1,2010,2017,ok
app_sem_1488,students,studenci,4,4,1,1,2015,2019,ok
app_sem_1496,substance use disorder,zaburzenie używania substancji,4,4,2,2,2008,2025,ok|semantic_merge_audit
app_sem_0025,adoption,adopcja,3,3,1,1,2014,2016,ok
app_sem_0054,alcohol use disorder,zaburzenie używania alkoholu,3,3,3,2,2018,2024,ok|semantic_merge_audit
app_sem_0061,alexithymia,aleksytymia,3,3,1,1,2019,2025,ok
app_sem_0082,antidepressant,lek przeciwdepresyjny,3,3,1,1,2018,2020,ok
app_sem_0108,assessment,ocena,3,3,1,1,2015,2018,ok
app_sem_0116,attachment style,styl przywiązania,3,3,1,1,2022,2023,ok
app_sem_0206,bulimia,bulimia,3,3,1,1,2010,2014,ok
app_sem_0212,cancer,nowotwór,3,3,1,1,2017,2022,ok
app_sem_0217,cardiac patients,pacjenci kardiologiczni,3,3,1,1,2017,2019,ok
app_sem_0250,children and adolescents,dzieci i adolescenci,3,3,1,1,2008,2023,ok
app_sem_0258,chronic pain,ból przewlekły,3,3,2,1,2019,2025,ok
app_sem_0268,classifications in psychiatry,klasyfikacje w psychiatrii,3,3,1,1,2014,2015,ok
app_sem_0358,coping style,styl radzenia sobie,3,3,1,1,2005,2024,semantic_merge_audit
app_sem_0422,dementia,otępienie,3,3,1,1,2007,2012,ok
app_sem_0425,dependence,uzależnienie,3,3,1,1,2016,2020,ok
app_sem_0447,diagnosis,diagnoza,3,3,1,1,2005,2023,ok
app_sem_0458,disability,niepełnosprawność,3,3,1,1,2006,2023,ok
app_sem_0463,disordered eating,zaburzone odżywianie,3,3,1,1,2013,2025,ok
app_sem_0487,dual diagnosis,podwójna diagnoza,3,3,1,1,2007,2025,ok
app_sem_0496,early adulthood,wczesna dorosłość,3,3,1,1,2017,2020,ok
app_sem_0506,eating attitude,postawa wobec jedzenia,3,3,2,2,2011,2016,ok|semantic_merge_audit
