keyword_norm,keyword_final_en,keyword_final_polish,keyword_semantic_id,semantic_actions,translation_method,semantic_confidence,review_flag
1-year follow-up,1-year follow-up,1-year follow-up,app_sem_0001,no_semantic_change,untranslated_review,low,translation_review
22q11.2 deletion syndrome,22q11.2 deletion syndrome,22q11.2 deletion zespół,app_sem_0002,no_semantic_change,token_partial_review,medium,translation_review
5-ht1a receptors,5-ht1a receptors,5-ht1a receptors,app_sem_0003,no_semantic_change,untranslated_review,low,translation_review
: attention deficit hyperactivity disorder,: attention deficit hyperactivity disorder,: attention deficit hyperactivity zaburzenie,app_sem_0004,no_semantic_change,token_partial_review,medium,translation_review
aa,aa,aa,app_sem_0005,no_semantic_change,untranslated_review,low,translation_review
abuse,abuse,nadużycie,app_sem_0006,no_semantic_change,glossary_exact,high,ok
acceptance,acceptance,acceptance,app_sem_0007,no_semantic_change,untranslated_review,low,translation_review
acceptance and commitment therapy,acceptance and commitment therapy,acceptance and commitment terapia,app_sem_0008,no_semantic_change,token_partial_review,medium,translation_review
acl,acl,acl,app_sem_0009,no_semantic_change,untranslated_review,low,translation_review
activity,activity,activity,app_sem_0010,no_semantic_change,untranslated_review,low,translation_review
adaptation,adaptation,adaptacja,app_sem_0011,no_semantic_change,glossary_exact,high,ok
addiction severity,addiction severity,uzależnienie severity,app_sem_0012,no_semantic_change,token_partial_review,medium,translation_review
addiction to mobile phone,addiction to mobile phone,uzależnienie to mobile phone,app_sem_0013,no_semantic_change,token_partial_review,medium,translation_review
addicts,addicts,addicts,app_sem_0014,no_semantic_change,untranslated_review,low,translation_review
adequacy of perception,adequacy of perception,adequacy of perception,app_sem_0015,no_semantic_change,untranslated_review,low,translation_review
adhd,adhd,ADHD,app_sem_0016,no_semantic_change,glossary_exact,high,ok
adherence,adherence,adherencja,app_sem_0017,no_semantic_change,glossary_exact,high,ok
administrative management,administrative management,administrative management,app_sem_0018,no_semantic_change,untranslated_review,low,translation_review
adolescence,adolescence,adolescencja,app_sem_0019,no_semantic_change,glossary_exact,high,ok
adolescent,adolescent,adolescent,app_sem_0020,no_semantic_change,glossary_exact,high,ok
adolescent depression,adolescent depression,depresja adolescentów,app_sem_0021,no_semantic_change,glossary_exact,high,ok
adolescent girls,adolescent girls,adolescent girls,app_sem_0022,no_semantic_change,token_partial_review,medium,translation_review
adolescent ward,adolescent ward,adolescent ward,app_sem_0023,no_semantic_change,token_partial_review,medium,translation_review
adolescents,adolescents,adolescenci,app_sem_0024,no_semantic_change,glossary_exact,high,ok
adoption,adoption,adopcja,app_sem_0025,no_semantic_change,glossary_exact,high,ok
adoption identity,adoption identity,adoption identity,app_sem_0026,no_semantic_change,untranslated_review,low,translation_review
adoptive family,adoptive family,adoptive rodzina,app_sem_0027,no_semantic_change,token_partial_review,medium,translation_review
