article_id,article_url,year,volume,issue_number,title,keyword_order,keyword_raw,keyword_url,keyword_norm,normalization_actions,keyword_norm_id,qa_flags
153098,"https://www.archivespp.pl/The-anticipated-influx-of-east-European-psychiatrists-a-sample-of-colleagues-views,153098,0,2.html",2005,7,1,"The anticipated influx of east European psychiatrists - a sample of colleagues' views from East Sussex, England",2,UK,https://www.archivespp.pl/Keyword-UK/170140,uk,lowercase,app_kw_1643,very_short
153356,"https://www.archivespp.pl/Determination-of-venlafaxine-and-its-metabolites-in-biological-materials,153356,0,2.html",2012,14,4,Determination of venlafaxine and its metabolites in biological materials,5,LC,https://www.archivespp.pl/Keyword-LC/263761,lc,lowercase,app_kw_0874,very_short
65294,"https://www.archivespp.pl/FROM-EDITORS,65294,0,2.html",2016,18,3,FROM EDITORS,1,hh,https://www.archivespp.pl/Keyword-hh/5933,hh,unchanged,app_kw_0748,very_short
65294,"https://www.archivespp.pl/FROM-EDITORS,65294,0,2.html",2016,18,3,FROM EDITORS,2,gg,https://www.archivespp.pl/Keyword-gg/9057,gg,unchanged,app_kw_0703,very_short
65294,"https://www.archivespp.pl/FROM-EDITORS,65294,0,2.html",2016,18,3,FROM EDITORS,3,aa,https://www.archivespp.pl/Keyword-aa/90861,aa,unchanged,app_kw_0005,very_short
69637,"https://www.archivespp.pl/FROM-EDITORS,69637,0,2.html",2017,19,1,FROM EDITORS,1,FG,https://www.archivespp.pl/Keyword-FG/79977,fg,lowercase,app_kw_0648,very_short
69637,"https://www.archivespp.pl/FROM-EDITORS,69637,0,2.html",2017,19,1,FROM EDITORS,2,GH,https://www.archivespp.pl/Keyword-GH/84770,gh,lowercase,app_kw_0704,very_short
69637,"https://www.archivespp.pl/FROM-EDITORS,69637,0,2.html",2017,19,1,FROM EDITORS,3,hj,https://www.archivespp.pl/Keyword-hj/109169,hj,unchanged,app_kw_0754,very_short
86615,"https://www.archivespp.pl/EDITORIAL,86615,0,2.html",2018,20,1,EDITORIAL,1,editorial,https://www.archivespp.pl/Keyword-editorial/4090,editorial,unchanged,app_kw_0538,contains_editorial
86615,"https://www.archivespp.pl/EDITORIAL,86615,0,2.html",2018,20,1,EDITORIAL,2,editorial 1,https://www.archivespp.pl/Keyword-editorial+1/160554,editorial 1,unchanged,app_kw_0539,contains_editorial
86615,"https://www.archivespp.pl/EDITORIAL,86615,0,2.html",2018,20,1,EDITORIAL,3,editorial 2,https://www.archivespp.pl/Keyword-editorial+2/160555,editorial 2,unchanged,app_kw_0540,contains_editorial
91960,"https://www.archivespp.pl/EDITORIAL,91960,0,2.html",2018,20,2,EDITORIAL,1,editorial,https://www.archivespp.pl/Keyword-editorial/4090,editorial,unchanged,app_kw_0538,contains_editorial
91960,"https://www.archivespp.pl/EDITORIAL,91960,0,2.html",2018,20,2,EDITORIAL,2,editorial 1,https://www.archivespp.pl/Keyword-editorial+1/160554,editorial 1,unchanged,app_kw_0539,contains_editorial
91960,"https://www.archivespp.pl/EDITORIAL,91960,0,2.html",2018,20,2,EDITORIAL,3,editorial 2,https://www.archivespp.pl/Keyword-editorial+2/160555,editorial 2,unchanged,app_kw_0540,contains_editorial
97248,"https://www.archivespp.pl/Editorial,97248,0,2.html",2018,20,3,Editorial,1,editorial,https://www.archivespp.pl/Keyword-editorial/4090,editorial,unchanged,app_kw_0538,contains_editorial
97248,"https://www.archivespp.pl/Editorial,97248,0,2.html",2018,20,3,Editorial,2,editorial 1,https://www.archivespp.pl/Keyword-editorial+1/160554,editorial 1,unchanged,app_kw_0539,contains_editorial
97248,"https://www.archivespp.pl/Editorial,97248,0,2.html",2018,20,3,Editorial,3,editorial 2,https://www.archivespp.pl/Keyword-editorial+2/160555,editorial 2,unchanged,app_kw_0540,contains_editorial
101655,"https://www.archivespp.pl/Editorial,101655,0,2.html",2018,20,4,Editorial,1,editorial 1,https://www.archivespp.pl/Keyword-editorial+1/160554,editorial 1,unchanged,app_kw_0539,contains_editorial
101655,"https://www.archivespp.pl/Editorial,101655,0,2.html",2018,20,4,Editorial,2,editorial 2,https://www.archivespp.pl/Keyword-editorial+2/160555,editorial 2,unchanged,app_kw_0540,contains_editorial
101655,"https://www.archivespp.pl/Editorial,101655,0,2.html",2018,20,4,Editorial,3,editorial,https://www.archivespp.pl/Keyword-editorial/4090,editorial,unchanged,app_kw_0538,contains_editorial
104664,"https://www.archivespp.pl/EDITORIAL,104664,0,2.html",2019,21,1,EDITORIAL,1,editorial,https://www.archivespp.pl/Keyword-editorial/4090,editorial,unchanged,app_kw_0538,contains_editorial
104664,"https://www.archivespp.pl/EDITORIAL,104664,0,2.html",2019,21,1,EDITORIAL,2,editorial 1,https://www.archivespp.pl/Keyword-editorial+1/160554,editorial 1,unchanged,app_kw_0539,contains_editorial
104664,"https://www.archivespp.pl/EDITORIAL,104664,0,2.html",2019,21,1,EDITORIAL,3,editorial 2,https://www.archivespp.pl/Keyword-editorial+2/160555,editorial 2,unchanged,app_kw_0540,contains_editorial
109714,"https://www.archivespp.pl/Editorial,109714,0,2.html",2019,21,2,Editorial,1,editorial,https://www.archivespp.pl/Keyword-editorial/4090,editorial,unchanged,app_kw_0538,contains_editorial
