keyword_norm,n_records,n_articles,first_year,last_year,variants
schizophrenia,73,73,2005,2025,Schizophrenia | schizophrenia
depression,61,61,2005,2025,Depression | depression
psychotherapy,39,39,2005,2025,Psychotherapy | psychotherapy
anxiety,32,32,2008,2025,Anxiety | anxiety
editorial,27,27,2018,2025,Editorial | editorial
anorexia nervosa,26,26,2005,2025,anorexia nervosa
editorial 2,26,26,2018,2025,editorial 2
editorial 1,25,25,2018,2024,editorial 1
mental health,22,22,2006,2025,Mental Health | Mental health | mental health
stress,17,17,2012,2025,Stress | stress
covid-19,16,16,2020,2025,COVID-19 | Covid-19 | covid-19
psychosis,16,16,2005,2023,psychosis
trauma,14,14,2007,2025,trauma
bipolar disorder,12,12,2005,2018,bipolar disorder
suicide,11,11,2013,2023,suicide
gender,10,10,2011,2023,gender
obesity,10,10,2010,2025,obesity
personality,9,9,2007,2022,personality
psychiatry,9,9,2011,2024,Psychiatry | psychiatry
quality of life,9,9,2007,2023,Quality of Life | quality of life
social support,9,9,2008,2023,social support
body image,8,8,2010,2017,body image
borderline personality disorder,8,8,2005,2024,Borderline Personality Disorder | borderline personality disorder
cognitive functions,8,8,2005,2025,cognitive functions
comorbidity,8,8,2005,2020,comorbidity
eating disorders,8,8,2008,2023,eating disorders
treatment,8,8,2005,2024,treatment
attitude,7,7,2008,2023,attitude
burnout,7,7,2014,2020,burnout
holocaust,7,7,2006,2025,Holocaust | holocaust
