article_id,article_url,year,volume,issue_number,title,keyword_order,keyword_raw,keyword_url
153098,"https://www.archivespp.pl/The-anticipated-influx-of-east-European-psychiatrists-a-sample-of-colleagues-views,153098,0,2.html",2005,7,1,"The anticipated influx of east European psychiatrists - a sample of colleagues' views from East Sussex, England",1,influx,https://www.archivespp.pl/Keyword-influx/437998
153098,"https://www.archivespp.pl/The-anticipated-influx-of-east-European-psychiatrists-a-sample-of-colleagues-views,153098,0,2.html",2005,7,1,"The anticipated influx of east European psychiatrists - a sample of colleagues' views from East Sussex, England",2,UK,https://www.archivespp.pl/Keyword-UK/170140
153098,"https://www.archivespp.pl/The-anticipated-influx-of-east-European-psychiatrists-a-sample-of-colleagues-views,153098,0,2.html",2005,7,1,"The anticipated influx of east European psychiatrists - a sample of colleagues' views from East Sussex, England",3,east European psychiatrists,https://www.archivespp.pl/Keyword-east+European+psychiatrists/437999
153098,"https://www.archivespp.pl/The-anticipated-influx-of-east-European-psychiatrists-a-sample-of-colleagues-views,153098,0,2.html",2005,7,1,"The anticipated influx of east European psychiatrists - a sample of colleagues' views from East Sussex, England",4,arrival,https://www.archivespp.pl/Keyword-arrival/438000
153101,"https://www.archivespp.pl/Panic-and-agoraphobia-do-treatments-targeted-for-one-problem-also-improve-the-other,153101,0,2.html",2005,7,1,Panic and agoraphobia: do treatments targeted for one problem also improve the other? A pilot study,1,panic,https://www.archivespp.pl/Keyword-panic/438004
153101,"https://www.archivespp.pl/Panic-and-agoraphobia-do-treatments-targeted-for-one-problem-also-improve-the-other,153101,0,2.html",2005,7,1,Panic and agoraphobia: do treatments targeted for one problem also improve the other? A pilot study,2,agoraphobia,https://www.archivespp.pl/Keyword-agoraphobia/438005
153101,"https://www.archivespp.pl/Panic-and-agoraphobia-do-treatments-targeted-for-one-problem-also-improve-the-other,153101,0,2.html",2005,7,1,Panic and agoraphobia: do treatments targeted for one problem also improve the other? A pilot study,3,treatment,https://www.archivespp.pl/Keyword-treatment/1126
153101,"https://www.archivespp.pl/Panic-and-agoraphobia-do-treatments-targeted-for-one-problem-also-improve-the-other,153101,0,2.html",2005,7,1,Panic and agoraphobia: do treatments targeted for one problem also improve the other? A pilot study,4,effectivness,https://www.archivespp.pl/Keyword-effectivness/438006
153101,"https://www.archivespp.pl/Panic-and-agoraphobia-do-treatments-targeted-for-one-problem-also-improve-the-other,153101,0,2.html",2005,7,1,Panic and agoraphobia: do treatments targeted for one problem also improve the other? A pilot study,5,guided mastery,https://www.archivespp.pl/Keyword-guided+mastery/438007
153101,"https://www.archivespp.pl/Panic-and-agoraphobia-do-treatments-targeted-for-one-problem-also-improve-the-other,153101,0,2.html",2005,7,1,Panic and agoraphobia: do treatments targeted for one problem also improve the other? A pilot study,6,interceptive exposure,https://www.archivespp.pl/Keyword-interceptive+exposure/438008
153102,"https://www.archivespp.pl/Obessive-compulsive-disorder-psychopathology-and-therapy,153102,0,2.html",2005,7,1,Obessive-compulsive disorder - psychopathology and therapy,1,obsessive-compulsive disorder,https://www.archivespp.pl/Keyword-obsessive-compulsive+disorder/3369
153102,"https://www.archivespp.pl/Obessive-compulsive-disorder-psychopathology-and-therapy,153102,0,2.html",2005,7,1,Obessive-compulsive disorder - psychopathology and therapy,2,psychotherapy outcome,https://www.archivespp.pl/Keyword-psychotherapy+outcome/213183
153103,"https://www.archivespp.pl/Systems-consultation-opportunities-and-limitations,153103,0,2.html",2005,7,1,Systems consultation: opportunities and limitations,1,systemic family consultation,https://www.archivespp.pl/Keyword-systemic+family+consultation/438009
153103,"https://www.archivespp.pl/Systems-consultation-opportunities-and-limitations,153103,0,2.html",2005,7,1,Systems consultation: opportunities and limitations,2,psychosis,https://www.archivespp.pl/Keyword-psychosis/1699
153103,"https://www.archivespp.pl/Systems-consultation-opportunities-and-limitations,153103,0,2.html",2005,7,1,Systems consultation: opportunities and limitations,3,diagnosis,https://www.archivespp.pl/Keyword-diagnosis/360
153103,"https://www.archivespp.pl/Systems-consultation-opportunities-and-limitations,153103,0,2.html",2005,7,1,Systems consultation: opportunities and limitations,4,psychotherapeutic pro-,https://www.archivespp.pl/Keyword-psychotherapeutic+pro-/438010
