article_id,article_url,year,volume,issue_number,title,keyword_order,keyword_raw,keyword_norm,keyword_final_en,keyword_final_polish,keyword_semantic_id,semantic_actions,translation_method,semantic_confidence,review_flag,keyword_url,normalization_actions,keyword_norm_id
153098,"https://www.archivespp.pl/The-anticipated-influx-of-east-European-psychiatrists-a-sample-of-colleagues-views,153098,0,2.html",2005,7,1,"The anticipated influx of east European psychiatrists - a sample of colleagues' views from East Sussex, England",1,influx,influx,influx,napływ,app_sem_0782,no_semantic_change,glossary_exact,high,ok,https://www.archivespp.pl/Keyword-influx/437998,unchanged,app_kw_0814
153098,"https://www.archivespp.pl/The-anticipated-influx-of-east-European-psychiatrists-a-sample-of-colleagues-views,153098,0,2.html",2005,7,1,"The anticipated influx of east European psychiatrists - a sample of colleagues' views from East Sussex, England",2,UK,uk,uk,Wielka Brytania,app_sem_1589,no_semantic_change,glossary_exact,high,ok,https://www.archivespp.pl/Keyword-UK/170140,lowercase,app_kw_1643
153098,"https://www.archivespp.pl/The-anticipated-influx-of-east-European-psychiatrists-a-sample-of-colleagues-views,153098,0,2.html",2005,7,1,"The anticipated influx of east European psychiatrists - a sample of colleagues' views from East Sussex, England",3,east European psychiatrists,east european psychiatrists,east european psychiatrists,psychiatrzy z Europy Wschodniej,app_sem_0503,no_semantic_change,glossary_exact,high,ok,https://www.archivespp.pl/Keyword-east+European+psychiatrists/437999,lowercase,app_kw_0520
153098,"https://www.archivespp.pl/The-anticipated-influx-of-east-European-psychiatrists-a-sample-of-colleagues-views,153098,0,2.html",2005,7,1,"The anticipated influx of east European psychiatrists - a sample of colleagues' views from East Sussex, England",4,arrival,arrival,arrival,przyjazd,app_sem_0101,no_semantic_change,glossary_exact,high,ok,https://www.archivespp.pl/Keyword-arrival/438000,unchanged,app_kw_0106
153101,"https://www.archivespp.pl/Panic-and-agoraphobia-do-treatments-targeted-for-one-problem-also-improve-the-other,153101,0,2.html",2005,7,1,Panic and agoraphobia: do treatments targeted for one problem also improve the other? A pilot study,1,panic,panic,panic,panika,app_sem_1057,no_semantic_change,glossary_exact,high,ok,https://www.archivespp.pl/Keyword-panic/438004,unchanged,app_kw_1095
153101,"https://www.archivespp.pl/Panic-and-agoraphobia-do-treatments-targeted-for-one-problem-also-improve-the-other,153101,0,2.html",2005,7,1,Panic and agoraphobia: do treatments targeted for one problem also improve the other? A pilot study,2,agoraphobia,agoraphobia,agoraphobia,agorafobia,app_sem_0045,no_semantic_change,glossary_exact,high,ok,https://www.archivespp.pl/Keyword-agoraphobia/438005,unchanged,app_kw_0046
153101,"https://www.archivespp.pl/Panic-and-agoraphobia-do-treatments-targeted-for-one-problem-also-improve-the-other,153101,0,2.html",2005,7,1,Panic and agoraphobia: do treatments targeted for one problem also improve the other? A pilot study,3,treatment,treatment,treatment,leczenie,app_sem_1574,no_semantic_change,glossary_exact,high,ok,https://www.archivespp.pl/Keyword-treatment/1126,unchanged,app_kw_1628
153101,"https://www.archivespp.pl/Panic-and-agoraphobia-do-treatments-targeted-for-one-problem-also-improve-the-other,153101,0,2.html",2005,7,1,Panic and agoraphobia: do treatments targeted for one problem also improve the other? A pilot study,4,effectivness,effectivness,effectiveness,skuteczność,app_sem_0527,exact_map:effectivness->effectiveness,glossary_exact,high,semantic_merge_audit,https://www.archivespp.pl/Keyword-effectivness/438006,unchanged,app_kw_0553
153101,"https://www.archivespp.pl/Panic-and-agoraphobia-do-treatments-targeted-for-one-problem-also-improve-the-other,153101,0,2.html",2005,7,1,Panic and agoraphobia: do treatments targeted for one problem also improve the other? A pilot study,5,guided mastery,guided mastery,guided mastery,kierowane opanowanie,app_sem_0688,no_semantic_change,glossary_exact,high,ok,https://www.archivespp.pl/Keyword-guided+mastery/438007,unchanged,app_kw_0717
153101,"https://www.archivespp.pl/Panic-and-agoraphobia-do-treatments-targeted-for-one-problem-also-improve-the-other,153101,0,2.html",2005,7,1,Panic and agoraphobia: do treatments targeted for one problem also improve the other? A pilot study,6,interceptive exposure,interceptive exposure,interceptive exposure,ekspozycja interoceptywna,app_sem_0799,no_semantic_change,glossary_exact,high,ok,https://www.archivespp.pl/Keyword-interceptive+exposure/438008,unchanged,app_kw_0831
153102,"https://www.archivespp.pl/Obessive-compulsive-disorder-psychopathology-and-therapy,153102,0,2.html",2005,7,1,Obessive-compulsive disorder - psychopathology and therapy,1,obsessive-compulsive disorder,obsessive-compulsive disorder,obsessive-compulsive disorder,zaburzenie obsesyjno-kompulsyjne,app_sem_1024,no_semantic_change,glossary_exact,high,ok,https://www.archivespp.pl/Keyword-obsessive-compulsive+disorder/3369,unchanged,app_kw_1060
153102,"https://www.archivespp.pl/Obessive-compulsive-disorder-psychopathology-and-therapy,153102,0,2.html",2005,7,1,Obessive-compulsive disorder - psychopathology and therapy,2,psychotherapy outcome,psychotherapy outcome,psychotherapy outcome,wynik psychoterapii,app_sem_1273,no_semantic_change,glossary_exact,high,ok,https://www.archivespp.pl/Keyword-psychotherapy+outcome/213183,unchanged,app_kw_1317
153103,"https://www.archivespp.pl/Systems-consultation-opportunities-and-limitations,153103,0,2.html",2005,7,1,Systems consultation: opportunities and limitations,1,systemic family consultation,systemic family consultation,systemic family consultation,systemowa konsultacja rodzinna,app_sem_1517,no_semantic_change,glossary_exact,high,ok,https://www.archivespp.pl/Keyword-systemic+family+consultation/438009,unchanged,app_kw_1571
153103,"https://www.archivespp.pl/Systems-consultation-opportunities-and-limitations,153103,0,2.html",2005,7,1,Systems consultation: opportunities and limitations,2,psychosis,psychosis,psychosis,psychoza,app_sem_1256,no_semantic_change,glossary_exact,high,ok,https://www.archivespp.pl/Keyword-psychosis/1699,unchanged,app_kw_1297
153103,"https://www.archivespp.pl/Systems-consultation-opportunities-and-limitations,153103,0,2.html",2005,7,1,Systems consultation: opportunities and limitations,3,diagnosis,diagnosis,diagnosis,diagnoza,app_sem_0447,no_semantic_change,glossary_exact,high,ok,https://www.archivespp.pl/Keyword-diagnosis/360,unchanged,app_kw_0463
