keyword_semantic_3c_id,keyword_concept_polish_final,keyword_concept_en_final,n_records,n_articles,n_input_expanded_concepts,input_expanded_concepts,raw_variants,review_flag_3c
app_sem3c_0987,schizofrenia i zaburzenia psychotyczne,schizophrenia/psychotic disorders,120,97,12,alcohol psychosis | bipolar disorder | brief psychotic disorder | first psychosis | first-episode psychosis | negative symptom | positive symptom | postpartum psychosis | psychotic disorders | schizophrenia | shared psychosis | ultra-high risk of psychosis,"Changes in inflammatory parameters and antioxidants and their impact on clinical symptoms, including cognitive functions, in patients with schizophrenia - scoping review | Creativity and schizophrenia: a literature review of the problem | Effect of schizophrenia and substance use disorder on depressive symptoms and stressful life events | First Episode Schizophrenia | Recovery of patients with schizophrenia diagnosis in a day rehabilitation psychiatric ward | Schizophrenia | Sensory thresholds and the sense of bodily identity in schizophrenia | alcohol psychosis | brief psychotic disorder | chronic schizophrenia | deficit schizophrenia | first psychosis | first-episode psychosis | first-episode schizophrenia | manic-depressive psychosis | negative symptoms | paranoid schizophrenia | positive symptoms | postpartum psychosis | psychosis | psychotic disorder | psychotic disorders | psychotic symptoms | schizophrenia | shared psychosis | ultra- high risk of psychosis",ok
app_sem3c_0275,depresja i zaburzenia depresyjne,depression/depressive disorders,101,96,5,anxiety/anxiety disorders | bipolar disorder | depression as defence mechanism | depression/depressive disorders | krakow depression inventory (kid),Depressed mood | Depressin | Depression | Depressive disorder | Krakow Depression Inventory (KID) | Treatment resistant bipolar depression | adolescent depression | anxiety and depressive disorders | child depression | depression | depression as defence mechanism | depressive disorder | depressive disorders | depressive symptoms | depressiveness | drug-resistant depression | etiology and symptomatology of paternal postnatal depression | major depression | major depressive disorder | paternal postnatal depression | post-stroke depression | postnatal depression | postpartum depression | predictors of postpartum depression | recurrent depression | recurrent depressive disorder | severe depressive episode with psychotic symptoms | stress/depression | symptoms of depression | tripartite model of anxiety and depression,ok
app_sem3c_0930,psychoterapia,psychotherapy,96,84,23,arts psychotherapy | child psychotherapy | cognitive psychotherapy | diagnosis applied in psychotherapy | family therapy | group psychotherapy | humor in psychotherapy | infants and toddlers psychotherapy | integrative psychotherapy | long-term psychotherapy | personality oriented (reconstructive) psychotherapy | psychodynamic psychotherapy | psychotherapeutic target | psychotherapists | psychotherapy | psychotherapy integration | psychotherapy research | psychotherapy techniques | short-term psychotherapy | systemic therapy | therapeutic alliance | therapeutic process | therapeutic relationship,Psychotherapy | Psychotherapy integration | The Code of Ethics for Psychotherapists | arts psychotherapies | arts psychotherapy | child psychotherapy | cognitive psychotherapy | diagnosis applied in psychotherapy | duration of psychotherapy | evaluation of psychotherapy treatment | family therapy | group psychotherapy | humour in psychotherapy | infants and toddlers psychotherapy | integrative psychotherapy | long-term psychotherapy | online psychotherapy | outpatient psychotherapy | personality oriented (reconstructive) psychotherapy | previous psychotherapy | psychiatrist and psychotherapist | psychodynamic psychotherapy | psychotherapetuic target | psychotherapeutic factors | psychotherapeutic pro- | psychotherapeutic target | psychotherapeutic treatment of mental illness | psychotherapist | psychotherapists | psychotherapy,ok
app_sem3c_0321,"dzieci, adolescenci i rodzina",children/adolescents/family,68,57,36,adolescence/adolescents | adoptive family | adoptive family research methodology | adult children of alcoholics | child and adolescent psychiatry | child temperament | child trichotillomania | child's wish for a miracle | childhood/children | children and adolescents | children emotional problem | children's rights | disruptive behavior disorders in children and adolescents | family caregivers | family constellations | family consultation | family genogram interview | family history | family practice | family/family system | gender dysphoria in children | hrt in child trichotillomania | intimacy in parents' families of origin | mid-adolescence | mother-adult relations | nuclear family functioning scale | parenting | parenting response | parenting style | parents,Adolescence | Adolescents | Family Genogram Interview | Family practice | HRT in child trichotillomania | Nuclear Family Functioning Scale | adolescence | adolescent | adolescent girls | adolescent ward | adolescents | adoptive family | adoptive family research methodology | adult children of alcoholics | child and adolescent psychiatry | child temperament | child trichotillomania | child's wish for a miracle | childhood | children | children and adolescents | children emotional problem | children‘s rights | disruptive behavior disorders in children and adolescents | family | family caregivers | family constellations | family consultation | family history | family system,ok
app_sem3c_1202,zaburzenia odżywiania,eating disorders,55,47,4,anorexia nervosa | binge eating disorder | bulimia nervosa | eating disorders,anorexia | anorexia nervosa | binge eating disorder (BED) | bulimia | bulimia nervosa | disordered eating | eating disorder symptoms | eating disorders | eating disorders awareness | eating disorders predictors | eating disorders subtypes | feeding and eating disorders | psychogenic binge eating (BED),ok
app_sem3c_1222,zdrowie psychiczne i zaburzenia psychiczne,mental health/mental disorders,54,52,11,men's mental health | mental disorders | mental health | mental health care | pharmacotherapy | psychiatrically-impaired mental health practitioners | psychopathology | psychopathology of adolescence | terms for recipients of mental health services | women's mental health | youth mental health,Community mental health services | Mental Disorders | Mental Health | Mental health | Psychiatrically-impaired mental health practitioners | Terms for recipients of mental health services | epidemiology of mental disorders in adolescence | men's mental health | mental disorder | mental disorders | mental health | mental health care system | mental healthcare | mental illness | outpatient mental health care | pharmaceutical treatment of mental illness | prevalence of mental disorders | psychopathology | psychopathology of adolescence | women’s mental health | youth mental health,ok
app_sem3c_1067,stres i radzenie sobie,stress/coping,53,41,11,coping strategy | coping with stress | diabetes distress | minority stress | oxidative stress | postpartum stress disorder | psychological distress | sexual minority stress scale (smss) | spiritual distress | stress | stress reactivity,Economic stresses | Health and family stresses | Sexual Minority Stress Scale (SMSS) | Social stresses | Stress | chronic stress | coping strategies | coping with stress | diabetes distress | environmental stressors | exam stress | experimental stress | minority stress | oxidative stress | perceived stress | postpartum stress disorder | psychological distress | psychological stress | social stress | spiritual distress | stress | stress coping mechanisms | stress coping strategies | stress coping techniques | stress reactivity | styles of coping with stress | techniques of coping stress | work-related stress | workplace stress,ok
app_sem3c_0627,lęk i zaburzenia lękowe,anxiety/anxiety disorders,52,50,5,anxiety paradoxical effects | anxiety sensitivity | anxiety/anxiety disorders | ecological anxiety | short health anxiety inventory,Anxiety | Health anxiety to Covid-19 | Short Health Anxiety Inventory | Youth Anxiety Measure for DSM-5 | anxiety | anxiety disorder | anxiety disorders | anxiety paradoxical effects | anxiety sensitivity | ecological anxiety | generalized anxiety | generalized anxiety disorder | health anxiety | illness anxiety disorder | performance anxiety | social anxiety,ok
app_sem3c_1137,trauma i doświadczenia traumatyczne,trauma/traumatic experiences,48,37,9,cognitive processing of trauma | cognitive trauma processing | love trauma syndrome | post-traumatic growth | post-traumatic stress disorder | professionals working with people after traumatic experiences | secondary traumatic stress | trauma/traumatic experiences | traumatic lower limb surgery,Biographic traumata | Complex-PTSD | Love Trauma Syndrome | PTSD | Posttraumatic Stress Disorder (PTSD) | Traumatic lower limb surgery | childhood trauma | chronic trauma | cognitive processing of trauma | cognitive trauma processing | complex post-traumatic states | complex posttraumatic states | dissociation & trauma | early childhood trauma | experience of trauma | indirect exposure to trauma | interpersonal trauma | post-traumatic growth | post-traumatic stress disorder | professionals working with people after traumatic experiences | secondary posttraumatic growth | secondary traumatic stress | sexual traumatic events | trauma | traumatic experience,ok
app_sem3c_0747,ocena kliniczna i psychometria,assessment/psychometrics,44,41,32,adult assessment | assessment | attitude scale | caq-clinical analysis questionnaire | cognitive error rating scale | conners scale | coping patterns rating scale | diagnosis | differential diagnosis | dual diagnosis | experiencing scale | figure rating scale | impact of event scale-revisited | kon-2006 neurotic personality questionnaire | maslach burnout inventory | mood disorder questionnaire | neuropsychological assessment | olfactory obsessions questionnaire | personality assessment | personality belief questionnaire | positive diagnosis of neurotic disorder | psychiatric diagnosis | psychological assessment | psychological diagnosis | questionnaire | reliability | risk assessment | scale development | screening | self-assessment,Attitude Scale | CAQ -Clinical Analysis Questionnaire | Cognitive Error Rating Scale | Conners Scale | Experiencing Scale | Figure Rating Scale | KON-2006 Neurotic Personality Questionnaire | Maslach Burnout Inventory | Mood Disorder Questionnaire | Olfactory Obsessions Questionnaire | Personality Belief Questionnaire | The Offer Self-Image Questionnaire for Adolescents | adult assessment | assessment | coping patterns rating scale | diagnosis | differential diagnosis | dual diagnosis | impact of event scale- revisited | neuropsychological assessment | personality assessment | positive diagnosis of neurotic disorders | psychiatric diagnosis | psychological assessment | psychological diagnosis | questionnaire | reliability | risk assessment | scale development | screening,ok
