keyword_concept_en_final,keyword_concept_polish_final,n_records,method,review_flag_3c
schizophrenia/psychotic disorders,schizofrenia i zaburzenia psychotyczne,120,glossary_final,ok
depression/depressive disorders,depresja i zaburzenia depresyjne,101,glossary_final,ok
psychotherapy,psychoterapia,96,glossary_final,ok
children/adolescents/family,"dzieci, adolescenci i rodzina",68,glossary_final,ok
eating disorders,zaburzenia odżywiania,55,glossary_final,ok
mental health/mental disorders,zdrowie psychiczne i zaburzenia psychiczne,54,glossary_final,ok
stress/coping,stres i radzenie sobie,53,glossary_final,ok
anxiety/anxiety disorders,lęk i zaburzenia lękowe,52,glossary_final,ok
trauma/traumatic experiences,trauma i doświadczenia traumatyczne,48,glossary_final,ok
assessment/psychometrics,ocena kliniczna i psychometria,44,glossary_final,ok
cognitive functioning,funkcjonowanie poznawcze,40,glossary_final,ok
gender/sexuality,"płeć, seksualność i tożsamość płciowa",38,glossary_final,ok
covid-19,COVID-19,30,glossary_final,ok
social functioning/support,funkcjonowanie społeczne i wsparcie społeczne,25,glossary_final,ok
pharmacotherapy/psychotropic medication,farmakoterapia i leki psychotropowe,24,glossary_final,ok
personality/personality disorders,osobowość i zaburzenia osobowości,24,glossary_final,ok
suicidality,samobójczość,23,glossary_final,ok
bipolar disorder,zaburzenie afektywne dwubiegunowe,23,glossary_final,ok
body image/body attitudes,obraz ciała i postawy wobec ciała,22,glossary_final,ok
quality of life/well-being,jakość życia i dobrostan,21,glossary_final,ok
work/occupational mental health,praca i zdrowie psychiczne zawodowe,19,glossary_final,ok
substance use disorder/addictions,zaburzenia używania substancji i uzależnienia,16,glossary_final,ok
alcohol use disorder,zaburzenie używania alkoholu,16,glossary_final,ok
aging/older adults,starzenie się i osoby starsze,13,glossary_final,ok
sleep disorders/sleep,sen i zaburzenia snu,12,glossary_final,ok
psychoanalysis/psychodynamic approach,psychoanaliza i podejście psychodynamiczne,11,glossary_final,ok
cognitive behavioral therapy,terapia poznawczo-behawioralna,11,glossary_final,ok
obsessive-compulsive disorder,zaburzenie obsesyjno-kompulsyjne,10,glossary_final,ok
obesity,otyłość,10,glossary_final,ok
comorbidity,współchorobowość,9,glossary_final,ok
personality,osobowość,9,glossary_final,ok
psychiatry,psychiatria,9,glossary_final,ok
treatment,leczenie,8,glossary_final,ok
attitude,postawa,7,glossary_final,ok
holocaust,Holokaust,7,glossary_final,ok
panic disorder,zaburzenie paniczne,7,glossary_final,ok
autism spectrum disorder,zaburzenie ze spektrum autyzmu,6,glossary_final,ok
self-esteem,samoocena,6,glossary_final,ok
neurotic disorder,zaburzenie nerwicowe,6,glossary_final,ok
empathy,empatia,6,glossary_final,ok
defense mechanism,mechanizm obronny,6,glossary_final,ok
metabolic syndrome,zespół metaboliczny,6,glossary_final,ok
follow-up study,follow-up study,5,fallback_untranslated_or_international,ok
women,women,5,fallback_untranslated_or_international,ok
risk factor,risk factor,5,fallback_untranslated_or_international,ok
self-efficacy,poczucie własnej skuteczności,5,previous_polish_retained,ok
psychoeducation,psychoedukacja,5,glossary_final,ok
coping,coping,5,fallback_untranslated_or_international,ok
aggression,agresja,5,fallback_phrase_translation,ok
compliance,współpraca w leczeniu,5,previous_polish_retained,ok
effectiveness,skuteczność,5,previous_polish_retained,ok
violence,przemoc,5,fallback_phrase_translation,ok
epidemiological study,epidemiological study,5,fallback_untranslated_or_international,ok
interpretation,interpretation,4,fallback_untranslated_or_international,ok
case study,case study,4,fallback_untranslated_or_international,ok
prevalence,prevalence,4,fallback_untranslated_or_international,ok
pain,ból,4,previous_polish_retained,ok
biological markers/neuroimaging,markery biologiczne i neuroobrazowanie,4,glossary_final,ok
adulthood/adults,dorosłość i osoby dorosłe,4,previous_polish_retained,ok
creativity,kreatywność,4,previous_polish_retained,ok
emotional intelligence,emotional intelligence,4,fallback_untranslated_or_international,ok
forensic/penitentiary context,kontekst sądowo-penitencjarny,4,glossary_final,ok
attachment,przywiązanie,4,previous_polish_retained,ok
asthma,asthma,4,fallback_untranslated_or_international,ok
students,students,4,fallback_untranslated_or_international,ok
siblings,rodzeństwo,4,previous_polish_retained,ok
recovery,recovery,3,fallback_untranslated_or_international,ok
therapy,terapia,3,fallback_phrase_translation,ok
theory of mind,teoria umysłu,3,previous_polish_retained,ok
alexithymia,alexithymia,3,fallback_untranslated_or_international,ok
interpersonal functioning,interpersonal funkcjonowanie,3,fallback_phrase_translation,ok
cardiac patients,cardiac pacjenci,3,fallback_phrase_translation,ok
chronic pain,ból przewlekły,3,previous_polish_retained,ok
mindfulness,uważność,3,previous_polish_retained,ok
sense of coherence,sense of coherence,3,fallback_untranslated_or_international,ok
symptom dynamics,dynamika objawów,3,previous_polish_retained,ok
therapist technique,therapist technique,3,fallback_untranslated_or_international,ok
self-harm/self-injury,samouszkodzenia i autoagresja,3,glossary_final,ok
psychosomatic disorder,psychosomatic zaburzenie,3,fallback_phrase_translation,ok
psychophysiology,psychophysiology,3,fallback_untranslated_or_international,ok
recovery from psychiatric disability,zdrowienie z niepełnosprawności psychiatrycznej,3,previous_polish_retained,ok
rehabilitation,rehabilitation,3,fallback_untranslated_or_international,ok
attachment style,styl przywiązania,3,previous_polish_retained,ok
research,research,3,fallback_untranslated_or_international,ok
resilience,resilience,3,fallback_untranslated_or_international,ok
self-image,self-obraz,3,fallback_phrase_translation,ok
neuroscience,neuroscience,3,fallback_untranslated_or_international,ok
cancer,nowotwór,3,previous_polish_retained,ok
motivation,motivation,3,fallback_untranslated_or_international,ok
coping style,coping style,3,fallback_untranslated_or_international,ok
adoption,adoption,3,fallback_untranslated_or_international,ok
early adulthood,wczesna dorosłość,3,previous_polish_retained,ok
disability,niepełnosprawność,3,previous_polish_retained,ok
dependence,uzależnienie,3,previous_polish_retained,ok
education,education,3,fallback_untranslated_or_international,ok
emotion recognition,emocja recognition,3,fallback_phrase_translation,ok
facial expression,facial expression,3,fallback_untranslated_or_international,ok
eating attitude,eating postawa,3,fallback_phrase_translation,ok
electroconvulsive therapy,terapia elektrowstrząsowa,3,previous_polish_retained,ok
emotion regulation,emocja regulation,3,fallback_phrase_translation,ok
homosexuality,homoseksualność,3,previous_polish_retained,ok
classifications in psychiatry,classifications in psychiatry,3,fallback_untranslated_or_international,ok
flexibility,elastyczność,3,previous_polish_retained,ok
genetics,genetics,3,fallback_untranslated_or_international,ok
group therapy,group terapia,3,fallback_phrase_translation,ok
india,india,3,fallback_untranslated_or_international,ok
guilt,guilt,3,fallback_untranslated_or_international,ok
