keyword_concept_polish_3d_aggregated,n_records,n_articles,n_previous_concepts,example_previous_concepts,review_flag_3d
schizofrenia i zaburzenia psychotyczne,292,236,23,PANSS | auditory hallucinations | biopsychospołeczny | depresja i zaburzenia depresyjne | farmakoterapia i leki psychotropowe | fenomenologia urojenia | hallucinogenic space | modele urojeń | osobowość i zaburzenia osobowości | psychosocial funkcjonowanie | psychosocial wsparcie | psychosocial wsparcie for refugees,
zaburzenia osobowości i cechy osobowości,193,154,20,"affective temperaments | antisocial zaburzenie | big five | borderline funkcjonowanie | borderline pacjenci | cecha temperamentu | dark side of osobowość | dzieci, adolescenci i rodzina | five-czynnik model of osobowość | nerwicowy osobowość | neurotyczność | osobowość",
interwencje terapeutyczne i rehabilitacja,119,106,36,administrative management | affect regulation training | augmentation | brief interwencja | całodobowe leczenie psychiatryczne | community leczenie programme | context and motivation to the leczenie | dzieciństwo maltreatment | early interwencja | emocja focused training for emocja of self-compassion and self-protection | endurance training | factors of compliance with the leczenie regimen,
"trauma, PTSD i zaburzenia stresowe",101,76,2,stres i radzenie sobie | trauma i doświadczenia traumatyczne,
choroby somatyczne i współchorobowość medyczna,90,80,48,angioplastyka wieńcowa | aspirin-induced asthma | asthma severity | astma | atopic dermatitis | breast cancer | ból | cardiovascular ryzyko | choroba Parkinsona | choroba wieńcowa | chorobowość psychiatryczna | choroby wewnętrzne,
zaburzenia używania substancji i uzależnienia,87,68,17,addicts | alcohol | alcohol consumption | alcohol-exposed pregnancy | alcoholic extract | alkohol withdrawal zespół | behavioral addictions | co-uzależnienie | emotional abuse | fetal alkohol zespół | marijuana | nadużycie,
zaburzenia odżywiania i obraz ciała,86,63,8,diabulimia | eating postawa | obraz ciała i postawy wobec ciała | postawy towards the ciało and jedzenie | prawidłowa masa ciała | skład ciała | whole ciało cryotherapy | zaburzenia odżywiania,
funkcjonowanie społeczne i wsparcie społeczne,85,75,47,attenuation of pair więź | care relationship | close relacje | communication | communication competences | core conflictual relationship theme | doctor-pacjent relationship | electronic communication | funkcjonowanie społeczne i wsparcie społeczne | interpersonal funkcjonowanie | interpersonalne wzorce relacyjne | interpersonalny,
"samoocena, tożsamość i obraz siebie",74,66,43,adequacy of percepcja | adopcja | adoption tożsamość | agresja | deportacja | detekcja sygnału | ecological percepcja | ekspozycja interoceptywna | ekspresja mimiczna | hamująca nietolerancja niepewności | hospitalizacja | integracja,
"neurobiologia, genetyka i biomarkery",70,56,53,5-ht1a receptors | NMDA | agenesis of carpos callosum | amyloid | anti-n methyl-d-aspartate receptor antibodies | autoimmune disease | autoimmune encephalitis | brain-behavioral funkcja | brain-derived | brain-derived neurotrophic czynnik (bdnf) gene | brainspotting terapia | brca gene mutation,
depresja i zaburzenia depresyjne,68,63,3,nastrój zaburzenie | ocena kliniczna i psychometria | zaburzenie afektywne dwubiegunowe,
lęk i zaburzenia lękowe,65,61,8,affect phobia model | agoraphobia | lęk i zaburzenia lękowe | lęk nocny | panika | phobic zaburzenie | społeczny phobia | zaburzenie paniczne,
metodologia badań i projekt badawczy,57,51,43,1-year follow-up | analiza integralności | animal model | badania | badanie epidemiologiczne | badanie jakościowe | badanie lekarskie | badanie obserwacyjne follow-up | bifactor model | bioelectrical impedance analysis | coping metody | core conflictual relationship theme metoda,
"emocje, afekt i regulacja emocji",56,49,34,afekty negatywne | afekty pozytywne | affective | affective zaburzenie | anhedonia change | anhedonia intensity | dream emocje | ekspresja złości | emocja recognition | emocja regulation | emocje | emotional development,
zaburzenia neurorozwojowe i autyzm,48,40,4,developmental dyslexia | funkcjonowanie poznawcze | hipoteza neurorozwojowa | zaburzenie ze spektrum autyzmu,
COVID-19 i pandemia,30,24,1,COVID-19,
psychologia kliniczna i koncepcje psychologiczne,29,27,17,autonomia | autonomia osobista | elastyczność | impulsywność | kliniczny psychology | kreatywność | poczucie koherencji | psychofizjologia | psychologiczny assistance | psychologiczny counselors | psychologiczny flow | psychologiczny help,
samobójczość i autoagresja,28,15,4,autoaggresion | samobójczość | samouszkodzenia i autoagresja | self-harming,
psychoanaliza i podejście psychodynamiczne,26,23,8,CCRT | Davanloo | freud | mechanizm obronny | mentalizacja | psychoanaliza i podejście psychodynamiczne | psychodynamics | relacje z obiektem,
"historia, pamięć i trauma zbiorowa",23,22,15,Holokaust | archive | day-care ward | experience of wartości | historia of polish psychiatry | historia psychiatrii | locked psychiatryczny ward | oddział psychiatryczny | stwardnienie rozsiane | stwardnienie rozsiane (SM) | war | warsaw ghetto uprising,
jakość życia i dobrostan,23,22,3,jakość życia i dobrostan | satysfakcja małżeńska | shape dissatisfaction,
farmakoterapia i leki psychotropowe,22,22,16,Jerzy W. Aleksandrowicz | O-demetylowenlafaksyna | aleksytymia | aripiprazole | ból przewlekły | drug | farmakokinetyka | indywidualne bariery przyjmowania leków | komisja lekarska | przewlekły choroba | przewlekły fatigue | przewlekły low backache,
"dzieci, adolescenci i rodzina",20,18,15,bezdzietność | childbearing age kobiety | childbirth | co-dependent mothers | dzieciństwo adversity | grandparents | niemowlę | obserwacja niemowlęcia | parental postawa | parentyfikacja | rodzicielstwo | school achievements,
funkcjonowanie poznawcze i neuropsychologia,20,18,15,błędy poznawcze | poznawczy | poznawczy appraisal | poznawczy approach | poznawczy biases | poznawczy control | poznawczy dysmetria | poznawczy flexibility | poznawczy inhibition | poznawczy processing terapia | poznawczy restraint | poznawczy restructuring,
stres i radzenie sobie,20,20,10,adaptacja | coping pathophysiology | coping wzorce | emocja-focused coping | psychologiczny hardiness | radzenie sobie | religious coping | rezyliencja | styl radzenia sobie | wczesne schematy dezadaptacyjne,
terapia poznawczo-behawioralna i terapie trzeciej fali,19,16,7,acceptance and commitment terapia | contact centre | contact with the pacjent | dialectical zachowanie therapydbt | existential poznawczy-behavioral terapia | terapia poznawczo-behawioralna | uważność,
klasyfikacje diagnostyczne i systemy nozologiczne,18,12,14,ICD-11 | błędna diagnoza | diagnostic approach | diagnostic procedures | diagnostic tips | dsm | dsm-5 | dsm5 | icd | klasyfikacja | klasyfikacja trees | klasyfikacje w psychiatrii,
"praca, edukacja i funkcjonowanie zawodowe",18,17,12,edukacja | healthcare professionals | pielęgniarki | profesjonaliści | psychiatryczny pielęgniarki | remote working | working hours | współpraca interdyscyplinarna | współpraca w leczeniu | zdrowie care workers | zdrowie care workers (hcws) | zdrowie workers,
"ocena kliniczna, psychometria i narzędzia pomiarowe",17,14,14,CIDI | CPRS | asrq | confirmatory czynnik analysis | czynnik analysis | exploratory czynnik analysis | postawa measurement | psychologiczny measurement | psychometric evaluation | psychometric scales | psychometric value | rating scales,
psychiatria i zdrowie psychiczne,17,16,9,american psychiatryczny association | dynamic psychiatry | east european psychiatrists | psychiatria | psychiatria zorientowana na osobę | psychiatrist | psychiatryczny disability | psychiatryczny kliniczny care | psychopathological dimensions,
"ryzyko, czynniki ochronne i predyktory",17,17,13,common czynnik | czynnik analyses | czynnik ryzyka | demographic czynnik | determinants of zdrowie | kliniczny factor | kliniczny high risk | predyktory | psychologiczny predictors | ryzyko | ryzyko behaviors | ryzyko managment,
"postawy, stigma i przekonania",14,14,7,dysfunctional beliefs | dysfunctional postawa | knowledge | metacognitive beliefs | postawa | postawy | stigmatization,
technologie cyfrowe i internet,14,13,11,Instagram | computer | computer-assisted obraz processing | e-dzienniczki online | internet | online | online terapia | pomoc online | problematic internet używanie | telefon komórkowy | thendency to computer games,
"wyniki leczenia, skuteczność i rokowanie",14,14,6,cost skuteczność | objaw improvement | skuteczność | skuteczność profile | zdrowienie | zdrowienie z niepełnosprawności psychiatrycznej,
zaburzenie obsesyjno-kompulsyjne i pokrewne,14,11,5,OCRD | affirming compulsions | compulsory leczenie / compulsory order | węchowy obsesje | zaburzenie obsesyjno-kompulsyjne,
choroby sercowo-naczyniowe,13,12,8,broken heart | cardiac pacjenci | cardiac zespół x | heart transplantation | hypertension-mediated organ damage | nadciśnienie | udar | zawał mięśnia sercowego,
starzenie się i osoby starsze,13,12,1,starzenie się i osoby starsze,
