keyword_concept_polish_3d_aggregated,n_records,n_articles,n_previous_concepts,example_previous_concepts,review_flag_3d
BRCA1,2,2,1,BRCA1,strong_audit_residual_translation_or_scope
eat-26,2,2,1,eat-26,strong_audit_residual_translation_or_scope
od,2,2,1,od,strong_audit_residual_translation_or_scope
22q11.2 deletion zespół,1,1,1,22q11.2 deletion zespół,strong_audit_residual_translation_or_scope
OAB,1,1,1,OAB,strong_audit_residual_translation_or_scope
PMR,1,1,1,PMR,strong_audit_residual_translation_or_scope
aa,1,1,1,aa,strong_audit_residual_translation_or_scope
acl,1,1,1,acl,strong_audit_residual_translation_or_scope
aids,1,1,1,aids,strong_audit_residual_translation_or_scope
anti-semitism,1,1,1,anti-semitism,strong_audit_residual_translation_or_scope
atos,1,1,1,atos,strong_audit_residual_translation_or_scope
auto-amputation,1,1,1,auto-amputation,strong_audit_residual_translation_or_scope
biid,1,1,1,biid,strong_audit_residual_translation_or_scope
brca2,1,1,1,brca2,strong_audit_residual_translation_or_scope
breath-holding,1,1,1,breath-holding,strong_audit_residual_translation_or_scope
car,1,1,1,car,strong_audit_residual_translation_or_scope
cbcl score,1,1,1,cbcl score,strong_audit_residual_translation_or_scope
chromosome 17,1,1,1,chromosome 17,strong_audit_residual_translation_or_scope
co2,1,1,1,co2,strong_audit_residual_translation_or_scope
comparative badania,1,1,1,comparative badania,strong_audit_residual_translation_or_scope
cotard zespół,1,1,1,cotard zespół,strong_audit_residual_translation_or_scope
creutzfeldt-jakob disease,1,1,1,creutzfeldt-jakob disease,strong_audit_residual_translation_or_scope
cso,1,1,1,cso,strong_audit_residual_translation_or_scope
cyp2d,1,1,1,cyp2d,strong_audit_residual_translation_or_scope
decision-making,1,1,1,decision-making,strong_audit_residual_translation_or_scope
decision-making capacity,1,1,1,decision-making capacity,strong_audit_residual_translation_or_scope
diet,1,1,1,diet,strong_audit_residual_translation_or_scope
discussion with anti-and postpsychiatry,1,1,1,discussion with anti-and postpsychiatry,strong_audit_residual_translation_or_scope
drop-out,1,1,1,drop-out,strong_audit_residual_translation_or_scope
ect,1,1,1,ect,strong_audit_residual_translation_or_scope
ego,1,1,1,ego,strong_audit_residual_translation_or_scope
ems,1,1,1,ems,strong_audit_residual_translation_or_scope
epq-r,1,1,1,epq-r,strong_audit_residual_translation_or_scope
face-to-face terapia,1,1,1,face-to-face terapia,strong_audit_residual_translation_or_scope
fahr's zespół,1,1,1,fahr's zespół,strong_audit_residual_translation_or_scope
fg,1,1,1,fg,strong_audit_residual_translation_or_scope
first-person account,1,1,1,first-person account,strong_audit_residual_translation_or_scope
fkbp5,1,1,1,fkbp5,strong_audit_residual_translation_or_scope
frontal lobe zespół,1,1,1,frontal lobe zespół,strong_audit_residual_translation_or_scope
gay,1,1,1,gay,strong_audit_residual_translation_or_scope
gg,1,1,1,gg,strong_audit_residual_translation_or_scope
gh,1,1,1,gh,strong_audit_residual_translation_or_scope
hh,1,1,1,hh,strong_audit_residual_translation_or_scope
high sensitive c-reactive protein,1,1,1,high sensitive c-reactive protein,strong_audit_residual_translation_or_scope
hiv,1,1,1,hiv,strong_audit_residual_translation_or_scope
hj,1,1,1,hj,strong_audit_residual_translation_or_scope
hope,1,1,1,hope,strong_audit_residual_translation_or_scope
hplc,1,1,1,hplc,strong_audit_residual_translation_or_scope
igf1 / 2,1,1,1,igf1 / 2,strong_audit_residual_translation_or_scope
igfbp1-6,1,1,1,igfbp1-6,strong_audit_residual_translation_or_scope
irritable bowel zespół,1,1,1,irritable bowel zespół,strong_audit_residual_translation_or_scope
kluver-bucy zespół,1,1,1,kluver-bucy zespół,strong_audit_residual_translation_or_scope
lc,1,1,1,lc,strong_audit_residual_translation_or_scope
long-acting injectable depot formulation,1,1,1,long-acting injectable depot formulation,strong_audit_residual_translation_or_scope
luts,1,1,1,luts,strong_audit_residual_translation_or_scope
newsletter 2,1,1,1,newsletter 2,strong_audit_residual_translation_or_scope
osoby 60+,1,1,1,osoby 60+,strong_audit_residual_translation_or_scope
pacjenci,1,1,1,pacjenci,strong_audit_residual_translation_or_scope
pssi-persnlichkeits-stil-und strungs-inventar,1,1,1,pssi-persnlichkeits-stil-und strungs-inventar,strong_audit_residual_translation_or_scope
sasb,1,1,1,sasb,strong_audit_residual_translation_or_scope
short-term dynamic terapia,1,1,1,short-term dynamic terapia,strong_audit_residual_translation_or_scope
socio-demographic characteristics,1,1,1,socio-demographic characteristics,strong_audit_residual_translation_or_scope
sodium-glucose co-transporter-2 inhibitor,1,1,1,sodium-glucose co-transporter-2 inhibitor,strong_audit_residual_translation_or_scope
stq-now,1,1,1,stq-now,strong_audit_residual_translation_or_scope
strp,1,1,1,strp,strong_audit_residual_translation_or_scope
tako-tsubo,1,1,1,tako-tsubo,strong_audit_residual_translation_or_scope
thin-ideal internalization,1,1,1,thin-ideal internalization,strong_audit_residual_translation_or_scope
type 2 (ntrk2),1,1,1,type 2 (ntrk2),strong_audit_residual_translation_or_scope
uk,1,1,1,uk,strong_audit_residual_translation_or_scope
yoga,1,1,1,yoga,strong_audit_residual_translation_or_scope
zdrowie 2.0,1,1,1,zdrowie 2.0,strong_audit_residual_translation_or_scope
zdrowie-related behavior,1,1,1,zdrowie-related behavior,strong_audit_residual_translation_or_scope
zespół,1,1,1,zespół,strong_audit_residual_translation_or_scope
