article_id,article_url,year,volume,issue_number,title,keyword_order,keyword_raw,keyword_norm,keyword_final_en,keyword_final_polish,keyword_semantic_id,semantic_actions,translation_method,semantic_confidence,review_flag,keyword_url,normalization_actions,keyword_norm_id,keyword_concept_en_expanded,keyword_concept_polish_expanded,semantic_expanded_action,semantic_expanded_confidence,keyword_semantic_expanded_id,review_flag_expanded,keyword_concept_en_final,semantic_3c_action,semantic_3c_confidence,keyword_concept_polish_final,polish_translation_method_3c,review_flag_3c,keyword_semantic_3c_id,keyword_concept_polish_3d_aggregated,keyword_semantic_3d_aggregated_id,semantic_3d_action,semantic_3d_confidence,review_flag_3d,manual_audit_decision,exclusion_reason
153098,"https://www.archivespp.pl/The-anticipated-influx-of-east-European-psychiatrists-a-sample-of-colleagues-views,153098,0,2.html",2005,7,1,"The anticipated influx of east European psychiatrists - a sample of colleagues' views from East Sussex, England",2,UK,uk,uk,Wielka Brytania,app_sem_1589,no_semantic_change,glossary_exact,high,ok,https://www.archivespp.pl/Keyword-UK/170140,lowercase,app_kw_1643,uk,Wielka Brytania,no_expanded_semantic_change,high,app_sem_exp_1424,ok,uk,no_additional_merge,high,uk,fallback_untranslated_or_international,ok,app_sem3c_1126,uk,uk,unchanged,low,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all strong-audit concepts from stage 3d
153105,"https://www.archivespp.pl/Reaction-phases-following-HIV-positive-diagnosis,153105,0,2.html",2005,7,1,Reaction phases following HIV positive diagnosis,1,AIDS,aids,aids,AIDS,app_sem_0047,no_semantic_change,glossary_exact,high,ok,https://www.archivespp.pl/Keyword-AIDS/2333,lowercase,app_kw_0048,aids,AIDS,no_expanded_semantic_change,high,app_sem_exp_0038,ok,aids,no_additional_merge,high,aids,fallback_untranslated_or_international,ok,app_sem3c_0028,aids,aids,unchanged,low,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all strong-audit concepts from stage 3d
153105,"https://www.archivespp.pl/Reaction-phases-following-HIV-positive-diagnosis,153105,0,2.html",2005,7,1,Reaction phases following HIV positive diagnosis,3,HIV,hiv,hiv,HIV,app_sem_0722,no_semantic_change,glossary_exact,high,ok,https://www.archivespp.pl/Keyword-HIV/1608,lowercase,app_kw_0753,hiv,HIV,no_expanded_semantic_change,high,app_sem_exp_0629,ok,hiv,no_additional_merge,high,hiv,fallback_untranslated_or_international,ok,app_sem3c_0491,hiv,hiv,unchanged,low,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all strong-audit concepts from stage 3d
153111,"https://www.archivespp.pl/Sparteine-oxidation-rate-in-alcohol-dependent-patients,153111,0,2.html",2005,7,2,Sparteine oxidation rate in alcohol dependent patients,2,CYP2D,cyp2d,cyp2d,cyp2d,app_sem_0399,no_semantic_change,untranslated_review,low,translation_review,https://www.archivespp.pl/Keyword-CYP2D/438017,lowercase,app_kw_0413,cyp2d,cyp2d,no_expanded_semantic_change,low,app_sem_exp_0345,translation_review,cyp2d,no_additional_merge,low,cyp2d,fallback_untranslated_or_international,ok,app_sem3c_0250,cyp2d,cyp2d,unchanged,low,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all strong-audit concepts from stage 3d
153130,"https://www.archivespp.pl/The-versatile-effects-of-breath-holding,153130,0,2.html",2006,8,1,The versatile effects of breath-holding,1,Breath-holding,breath-holding,breath-holding,breath-holding,app_sem_0202,no_semantic_change,untranslated_review,low,translation_review,https://www.archivespp.pl/Keyword-Breath-holding/438043,lowercase,app_kw_0209,breath-holding,breath-holding,no_expanded_semantic_change,low,app_sem_exp_0168,translation_review,breath-holding,no_additional_merge,low,breath-holding,fallback_untranslated_or_international,ok,app_sem3c_0133,breath-holding,breath_holding,unchanged,low,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all strong-audit concepts from stage 3d
153130,"https://www.archivespp.pl/The-versatile-effects-of-breath-holding,153130,0,2.html",2006,8,1,The versatile effects of breath-holding,2,CO2,co2,co2,co2,app_sem_0285,no_semantic_change,untranslated_review,low,translation_review,https://www.archivespp.pl/Keyword-CO2/7374,lowercase,app_kw_0294,co2,co2,no_expanded_semantic_change,low,app_sem_exp_0243,translation_review,co2,no_additional_merge,low,co2,fallback_untranslated_or_international,ok,app_sem3c_0186,co2,co2,unchanged,low,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all strong-audit concepts from stage 3d
153150,"https://www.archivespp.pl/Its-majesty-The-Self,153150,0,2.html",2007,9,1-2,Its majesty - The Self,2,ego,ego,ego,ego,app_sem_0529,no_semantic_change,untranslated_review,low,translation_review,https://www.archivespp.pl/Keyword-ego/223301,unchanged,app_kw_0555,ego,ego,no_expanded_semantic_change,low,app_sem_exp_0454,translation_review,ego,no_additional_merge,low,ego,fallback_untranslated_or_international,ok,app_sem3c_0345,ego,ego,unchanged,low,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all strong-audit concepts from stage 3d
153214,"https://www.archivespp.pl/The-study-on-the-occurrence-of-the-22q11-2-deletion-in-patients-affected-with-a-psychiatric,153214,0,2.html",2008,10,4,The study on the occurrence of the 22q11.2 deletion in patients affected with a psychiatric disease,2,22q11.2 deletion syndrome,22q11.2 deletion syndrome,22q11.2 deletion syndrome,22q11.2 deletion zespół,app_sem_0002,no_semantic_change,token_partial_review,medium,translation_review,https://www.archivespp.pl/Keyword-22q11.2+deletion+syndrome/438110,unchanged,app_kw_0002,22q11.2 deletion syndrome,22q11.2 deletion zespół,no_expanded_semantic_change,medium,app_sem_exp_0002,translation_review,22q11.2 deletion syndrome,no_additional_merge,medium,22q11.2 deletion zespół,previous_polish_retained,ok,app_sem3c_0002,22q11.2 deletion zespół,22q11_2_deletion_zespo,unchanged,low,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all strong-audit concepts from stage 3d
153216,"https://www.archivespp.pl/Changes-in-decision-making-capacity-during-illness-a-review-and-case-report-with,153216,0,2.html",2008,10,4,Changes in decision making capacity during illness: a review and case report with implications,1,Decision-Making Capacity,decision-making capacity,decision-making capacity,decision-making capacity,app_sem_0411,no_semantic_change,untranslated_review,low,translation_review,https://www.archivespp.pl/Keyword-Decision-Making+Capacity/438113,lowercase,app_kw_0425,decision-making capacity,decision-making capacity,no_expanded_semantic_change,low,app_sem_exp_0357,translation_review,decision-making capacity,no_additional_merge,low,decision-making capacity,fallback_untranslated_or_international,ok,app_sem3c_0267,decision-making capacity,decision_making_capacity,unchanged,low,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all strong-audit concepts from stage 3d
153224,"https://www.archivespp.pl/Desensitization-of-conflicted-feelings-using-the-ATOS-to-measure-early-change-in,153224,0,2.html",2009,11,1,Desensitization of conflicted feelings: using the ATOS to measure early change in a single-case affect phobia therapy treatment,1,ATOS,atos,atos,atos,app_sem_0114,no_semantic_change,untranslated_review,low,translation_review,https://www.archivespp.pl/Keyword-ATOS/438119,lowercase,app_kw_0119,atos,atos,no_expanded_semantic_change,low,app_sem_exp_0094,translation_review,atos,no_additional_merge,low,atos,fallback_untranslated_or_international,ok,app_sem3c_0072,atos,atos,unchanged,low,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all strong-audit concepts from stage 3d
