keyword_concept_polish_analysis,n_records,n_articles,n_previous_3c_concepts,example_raw_keywords,example_previous_concepts
schizofrenia i zaburzenia psychotyczne,292,236,23,"Antidepressant | BPD | Borderline Personality Disorder | Changes in inflammatory parameters and antioxidants and their impact on clinical symptoms, including cognitive functions, in patients with schizophrenia - scoping review | Creativity and schizophrenia: a literature review of the problem | Depressed mood | Depressin | Depression | Depressive disorder | Effect of schizophrenia and substance use disorder on depressive symptoms and stressful life events | First Episode Schizophrenia | Keywords: Acting on delusions",PANSS | auditory hallucinations | biopsychospołeczny | depresja i zaburzenia depresyjne | farmakoterapia i leki psychotropowe | fenomenologia urojenia | hallucinogenic space | modele urojeń | osobowość i zaburzenia osobowości | psychosocial funkcjonowanie | psychosocial wsparcie | psychosocial wsparcie for refugees
zaburzenia osobowości i cechy osobowości,193,154,20,Adolescence | Adolescents | Big Five | Family Genogram Interview | Family practice | HRT in child trichotillomania | Nuclear Family Functioning Scale | Personality System Interactions - PSI | Psychotherapy | Psychotherapy integration | Regulatory Theory of Temperament | The Code of Ethics for Psychotherapists,"affective temperaments | antisocial zaburzenie | big five | borderline funkcjonowanie | borderline pacjenci | cecha temperamentu | dark side of osobowość | dzieci, adolescenci i rodzina | five-czynnik model of osobowość | nerwicowy osobowość | neurotyczność | osobowość"
interwencje terapeutyczne i rehabilitacja,119,106,36,Affect regulation training | Community mental health services | Early Intervention | Intervention studies | Mental Disorders | Mental Health | Mental health | Multidisciplinary Treatment | Psychiatrically-impaired mental health practitioners | Residential Psychiatric Treatment | Resiliency training | Staff Supervision,administrative management | affect regulation training | augmentation | brief interwencja | całodobowe leczenie psychiatryczne | community leczenie programme | context and motivation to the leczenie | dzieciństwo maltreatment | early interwencja | emocja focused training for emocja of self-compassion and self-protection | endurance training | factors of compliance with the leczenie regimen
"trauma, PTSD i zaburzenia stresowe",101,76,2,Biographic traumata | Complex-PTSD | Economic stresses | Health and family stresses | Love Trauma Syndrome | PTSD | Posttraumatic Stress Disorder (PTSD) | Sexual Minority Stress Scale (SMSS) | Social stresses | Stress | Traumatic lower limb surgery | childhood trauma,stres i radzenie sobie | trauma i doświadczenia traumatyczne
choroby somatyczne i współchorobowość medyczna,90,80,48,Asthma | Atopic Dermatitis | Epilepsy | Parkinson's disease | Psychiatric illness | Psychiatric morbidity | Type 1 diabetes | aspirin-induced asthma | asthma | asthma severity | breast cancer | cancer,angioplastyka wieńcowa | aspirin-induced asthma | asthma severity | astma | atopic dermatitis | breast cancer | ból | cardiovascular ryzyko | choroba Parkinsona | choroba wieńcowa | chorobowość psychiatryczna | choroby wewnętrzne
zaburzenia używania substancji i uzależnienia,87,68,17,Addiction Severity | Alcohol Use Disorder | Fetal Alcohol Syndrome | Opioid Stabilization | abuse | addiction to mobile phone | addicts | alcohol | alcohol abuse | alcohol addiction | alcohol consumption | alcohol dependence,addicts | alcohol | alcohol consumption | alcohol-exposed pregnancy | alcoholic extract | alkohol withdrawal zespół | behavioral addictions | co-uzależnienie | emotional abuse | fetal alkohol zespół | marijuana | nadużycie
zaburzenia odżywiania i obraz ciała,86,63,8,Body Attitude Test | Body Composition | Body image concern | anorexia | anorexia nervosa | attitudes towards the body and eating | binge eating disorder (BED) | body attitudes | body dissatisfaction | body esteem | body image | body image disturbance,diabulimia | eating postawa | obraz ciała i postawy wobec ciała | postawy towards the ciało and jedzenie | prawidłowa masa ciała | skład ciała | whole ciało cryotherapy | zaburzenia odżywiania
funkcjonowanie społeczne i wsparcie społeczne,85,75,47,Attachment | Interpersonal Functioning | Interpersonal Relational Patterns | Interpersonal functioning | Paternal prenatal bonding | Paternal–fetal attachment | Polish-Jewish relations | Social Media | Social Skills_ | anti-stigma campaign | anticipated and experienced stigma | attachment,attenuation of pair więź | care relationship | close relacje | communication | communication competences | core conflictual relationship theme | doctor-pacjent relationship | electronic communication | funkcjonowanie społeczne i wsparcie społeczne | interpersonal funkcjonowanie | interpersonalne wzorce relacyjne | interpersonalny
"samoocena, tożsamość i obraz siebie",74,66,43,Intolerance of uncertainty | Motivation | Prolonged Exposure | adequacy of perception | adoption | adoption identity | aggression | coherence | deportation | ecological perception | facial expression | hospitalization,adequacy of percepcja | adopcja | adoption tożsamość | agresja | deportacja | detekcja sygnału | ecological percepcja | ekspozycja interoceptywna | ekspresja mimiczna | hamująca nietolerancja niepewności | hospitalizacja | integracja
"neurobiologia, genetyka i biomarkery",70,56,53,5-HT1A receptors | Anti-N Methyl-D-Aspartate Receptor Antibodies | Autoimmune Encephalitis | BRCA gene mutation | Brain-Derived Neurotrophic Factor (BDNF) gene | Brainspotting therapy | D2 receptors | EEG-biofeedback | Gene mutation | General Factor Specification | NMDA | Neurofibromatosis 1,5-ht1a receptors | NMDA | agenesis of carpos callosum | amyloid | anti-n methyl-d-aspartate receptor antibodies | autoimmune disease | autoimmune encephalitis | brain-behavioral funkcja | brain-derived | brain-derived neurotrophic czynnik (bdnf) gene | brainspotting terapia | brca gene mutation
