keyword_concept_polish_3d_aggregated,n_records,n_articles,n_previous_concepts,example_previous_concepts,review_flag_3d,manual_audit_decision,exclusion_reason
BRCA1,2,2,1,BRCA1,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all 73 strong-audit concepts
eat-26,2,2,1,eat-26,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all 73 strong-audit concepts
od,2,2,1,od,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all 73 strong-audit concepts
22q11.2 deletion zespół,1,1,1,22q11.2 deletion zespół,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all 73 strong-audit concepts
OAB,1,1,1,OAB,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all 73 strong-audit concepts
PMR,1,1,1,PMR,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all 73 strong-audit concepts
aa,1,1,1,aa,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all 73 strong-audit concepts
acl,1,1,1,acl,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all 73 strong-audit concepts
aids,1,1,1,aids,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all 73 strong-audit concepts
anti-semitism,1,1,1,anti-semitism,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all 73 strong-audit concepts
atos,1,1,1,atos,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all 73 strong-audit concepts
auto-amputation,1,1,1,auto-amputation,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all 73 strong-audit concepts
biid,1,1,1,biid,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all 73 strong-audit concepts
brca2,1,1,1,brca2,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all 73 strong-audit concepts
breath-holding,1,1,1,breath-holding,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all 73 strong-audit concepts
car,1,1,1,car,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all 73 strong-audit concepts
cbcl score,1,1,1,cbcl score,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all 73 strong-audit concepts
chromosome 17,1,1,1,chromosome 17,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all 73 strong-audit concepts
co2,1,1,1,co2,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all 73 strong-audit concepts
comparative badania,1,1,1,comparative badania,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all 73 strong-audit concepts
cotard zespół,1,1,1,cotard zespół,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all 73 strong-audit concepts
creutzfeldt-jakob disease,1,1,1,creutzfeldt-jakob disease,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all 73 strong-audit concepts
cso,1,1,1,cso,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all 73 strong-audit concepts
cyp2d,1,1,1,cyp2d,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all 73 strong-audit concepts
decision-making,1,1,1,decision-making,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all 73 strong-audit concepts
decision-making capacity,1,1,1,decision-making capacity,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all 73 strong-audit concepts
diet,1,1,1,diet,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all 73 strong-audit concepts
discussion with anti-and postpsychiatry,1,1,1,discussion with anti-and postpsychiatry,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all 73 strong-audit concepts
drop-out,1,1,1,drop-out,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all 73 strong-audit concepts
ect,1,1,1,ect,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all 73 strong-audit concepts
ego,1,1,1,ego,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all 73 strong-audit concepts
ems,1,1,1,ems,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all 73 strong-audit concepts
epq-r,1,1,1,epq-r,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all 73 strong-audit concepts
face-to-face terapia,1,1,1,face-to-face terapia,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all 73 strong-audit concepts
fahr's zespół,1,1,1,fahr's zespół,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all 73 strong-audit concepts
fg,1,1,1,fg,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all 73 strong-audit concepts
