keyword_semantic_id,keyword_final_en,keyword_final_polish,n_norm_variants,norm_variants,actions,review_flags
app_sem_0520,editorial,editorial,8,editorial | editorial 1 | editorial 2 | editorial 3 | editorial 4 | editorial1 | editorial2 | editoril 2,exact_map:editorial 1->editorial | exact_map:editorial 2->editorial | exact_map:editorial 3->editorial | exact_map:editorial 4->editorial | exact_map:editorial1->editorial | exact_map:editorial2->editorial | exact_map:editoril 2->editorial | no_semantic_change,exclude_candidate_editorial | exclude_candidate_editorial|semantic_merge_audit
app_sem_0292,cognitive behavioral therapy,terapia poznawczo-behawioralna,5,cbt | cognitive behavioral therapy | cognitive behaviour therapy | cognitive behavioural therapy | cognitive-behavioral therapy,exact_map:cbt->cognitive behavioral therapy | exact_map:cognitive behaviour therapy->cognitive behavioral therapy | exact_map:cognitive behavioural therapy->cognitive behavioral therapy | exact_map:cognitive-behavioral therapy->cognitive behavioral therapy | no_semantic_change,ok | semantic_merge_audit
app_sem_0084,antipsychotic,lek przeciwpsychotyczny,3,antipshychotics | antipsychotic | antipsychotics,exact_map:antipshychotics->antipsychotic | exact_map:antipsychotics->antipsychotic | no_semantic_change,ok | semantic_merge_audit
app_sem_1024,obsessive-compulsive disorder,zaburzenie obsesyjno-kompulsyjne,3,obsessive compulsive disorder | obsessive-compulsive disorder | ocd,exact_map:obsessive compulsive disorder->obsessive-compulsive disorder | exact_map:ocd->obsessive-compulsive disorder | no_semantic_change,ok | semantic_merge_audit
app_sem_0040,affective disorder,zaburzenie afektywne,2,affective disorder | affective disorders,no_semantic_change | plural_to_concept:affective disorders->affective disorder,ok | semantic_merge_audit
app_sem_0054,alcohol use disorder,zaburzenie używania alkoholu,2,alcohol use disorder | alcohol use disorders,no_semantic_change | plural_to_concept:alcohol use disorders->alcohol use disorder,ok | semantic_merge_audit
app_sem_0090,anxiety disorder,zaburzenie lękowe,2,anxiety disorder | anxiety disorders,no_semantic_change | plural_to_concept:anxiety disorders->anxiety disorder,ok | semantic_merge_audit
app_sem_0144,balint group,grupa Balinta,2,balint group | balint groups,no_semantic_change | plural_to_concept:balint groups->balint group,ok | semantic_merge_audit
app_sem_0164,bipolar disorder,zaburzenie afektywne dwubiegunowe,2,bipolar disorder | bipolar disorders,no_semantic_change | plural_to_concept:bipolar disorders->bipolar disorder,ok | semantic_merge_audit
app_sem_0301,cognitive function,funkcje poznawcze,2,cognitive function | cognitive functions,no_semantic_change | plural_to_concept:cognitive functions->cognitive function,ok | semantic_merge_audit
app_sem_0325,comorbidity,współchorobowość,2,co-morbidity | comorbidity,exact_map:co-morbidity->comorbidity | no_semantic_change,ok | semantic_merge_audit
app_sem_0330,complex post-traumatic states,complex post-traumatyczny states,2,complex post-traumatic states | complex posttraumatic states,exact_map:complex posttraumatic states->complex post-traumatic states | no_semantic_change,translation_review | translation_review|semantic_merge_audit
app_sem_0413,defense mechanism,mechanizm obronny,2,defence mechanisms | defense mechanisms,plural_to_concept:defence mechanisms->defence mechanism; exact_map:defence mechanism->defense mechanism | plural_to_concept:defense mechanisms->defense mechanism,semantic_merge_audit
app_sem_0432,depressive disorder,zaburzenie depresyjne,2,depressive disorder | depressive disorders,no_semantic_change | plural_to_concept:depressive disorders->depressive disorder,ok | semantic_merge_audit
app_sem_0491,dysfunctional attitude,dysfunkcjonalna postawa,2,dysfunctional attitude | dysfunctional attitudes,no_semantic_change | plural_to_concept:dysfunctional attitudes->dysfunctional attitude,ok | semantic_merge_audit
app_sem_0506,eating attitude,postawa wobec jedzenia,2,eating attitude | eating attitudes,no_semantic_change | plural_to_concept:eating attitudes->eating attitude,ok | semantic_merge_audit
app_sem_0527,effectiveness,skuteczność,2,effectiveness | effectivness,exact_map:effectivness->effectiveness | no_semantic_change,ok | semantic_merge_audit
app_sem_0565,epidemiological study,badanie epidemiologiczne,2,epidemiological studies | epidemiological study,exact_map:epidemiological studies->epidemiological study | no_semantic_change,ok | semantic_merge_audit
app_sem_0581,executive function,funkcje wykonawcze,2,executive function | executive functions,no_semantic_change | plural_to_concept:executive functions->executive function,ok | semantic_merge_audit
app_sem_0630,first-episode schizophrenia,pierwszy epizod schizofrenii,2,first episode schizophrenia | first-episode schizophrenia,exact_map:first episode schizophrenia->first-episode schizophrenia | no_semantic_change,ok | semantic_merge_audit
app_sem_0702,health behavior,zachowanie zdrowotne,2,health behavior | health behaviour,exact_map:health behaviour->health behavior | no_semantic_change,ok | semantic_merge_audit
app_sem_0707,health related quality of life,jakość życia związana ze zdrowiem,2,health related quality of life | health-related quality of life,exact_map:health-related quality of life->health related quality of life | no_semantic_change,ok | semantic_merge_audit
app_sem_0736,humor style,styl humoru,2,humour style | humour styles,exact_map:humour style->humor style | exact_map:humour styles->humor style,semantic_merge_audit
app_sem_0906,mental disorder,zaburzenie psychiczne,2,mental disorder | mental disorders,no_semantic_change | plural_to_concept:mental disorders->mental disorder,ok | semantic_merge_audit
app_sem_0963,myocardial infarction,zawał mięśnia sercowego,2,myocardial infarction | myocardial infarctions,no_semantic_change | plural_to_concept:myocardial infarctions->myocardial infarction,ok | semantic_merge_audit
app_sem_0986,neurotic disorder,zaburzenie nerwicowe,2,neurotic disorder | neurotic disorders,no_semantic_change | plural_to_concept:neurotic disorders->neurotic disorder,ok | semantic_merge_audit
app_sem_1056,pandemic,pandemia,2,pandemic | pandemics,exact_map:pandemics->pandemic | no_semantic_change,ok | semantic_merge_audit
app_sem_1107,personality disorder,zaburzenie osobowości,2,personality disorder | personality disorders,no_semantic_change | plural_to_concept:personality disorders->personality disorder,ok | semantic_merge_audit
