keyword_norm,keyword_final_en,keyword_final_polish,keyword_semantic_id,semantic_actions,translation_method,semantic_confidence,review_flag,n
editorial,editorial,editorial,app_sem_0520,no_semantic_change,glossary_exact,high,exclude_candidate_editorial,27
editorial 2,editorial,editorial,app_sem_0520,exact_map:editorial 2->editorial,glossary_exact,high,exclude_candidate_editorial|semantic_merge_audit,26
editorial 1,editorial,editorial,app_sem_0520,exact_map:editorial 1->editorial,glossary_exact,high,exclude_candidate_editorial|semantic_merge_audit,25
cognitive functions,cognitive function,funkcje poznawcze,app_sem_0301,plural_to_concept:cognitive functions->cognitive function,glossary_exact,high,semantic_merge_audit,8
eating disorders,eating disorder,zaburzenia odżywiania,app_sem_0508,plural_to_concept:eating disorders->eating disorder,glossary_exact,high,semantic_merge_audit,8
personality disorders,personality disorder,zaburzenie osobowości,app_sem_1107,plural_to_concept:personality disorders->personality disorder,glossary_exact,high,semantic_merge_audit,7
ptsd,post-traumatic stress disorder,zespół stresu pourazowego,app_sem_1150,exact_map:ptsd->post-traumatic stress disorder,glossary_exact,high,semantic_merge_audit,7
mental disorders,mental disorder,zaburzenie psychiczne,app_sem_0906,plural_to_concept:mental disorders->mental disorder,glossary_exact,high,semantic_merge_audit,6
bipolar disorders,bipolar disorder,zaburzenie afektywne dwubiegunowe,app_sem_0164,plural_to_concept:bipolar disorders->bipolar disorder,glossary_exact,high,semantic_merge_audit,5
coping strategies,coping strategy,strategia radzenia sobie,app_sem_0357,plural_to_concept:coping strategies->coping strategy,glossary_exact,high,semantic_merge_audit,5
editorial 3,editorial,editorial,app_sem_0520,exact_map:editorial 3->editorial,glossary_exact,high,exclude_candidate_editorial|semantic_merge_audit,5
neurotic disorders,neurotic disorder,zaburzenie nerwicowe,app_sem_0986,plural_to_concept:neurotic disorders->neurotic disorder,glossary_exact,high,semantic_merge_audit,5
anxiety disorders,anxiety disorder,zaburzenie lękowe,app_sem_0090,plural_to_concept:anxiety disorders->anxiety disorder,glossary_exact,high,semantic_merge_audit,4
cbt,cognitive behavioral therapy,terapia poznawczo-behawioralna,app_sem_0292,exact_map:cbt->cognitive behavioral therapy,glossary_exact,high,semantic_merge_audit,4
defense mechanisms,defense mechanism,mechanizm obronny,app_sem_0413,plural_to_concept:defense mechanisms->defense mechanism,glossary_exact,high,semantic_merge_audit,4
negative symptoms,negative symptom,objaw negatywny,app_sem_0968,plural_to_concept:negative symptoms->negative symptom,glossary_exact,high,semantic_merge_audit,4
risk factors,risk factor,czynnik ryzyka,app_sem_1332,plural_to_concept:risk factors->risk factor,glossary_exact,high,semantic_merge_audit,4
antipsychotics,antipsychotic,lek przeciwpsychotyczny,app_sem_0084,exact_map:antipsychotics->antipsychotic,glossary_exact,high,semantic_merge_audit,3
cognitive-behavioral therapy,cognitive behavioral therapy,terapia poznawczo-behawioralna,app_sem_0292,exact_map:cognitive-behavioral therapy->cognitive behavioral therapy,glossary_exact,high,semantic_merge_audit,3
coping styles,coping style,styl radzenia sobie,app_sem_0358,exact_map:coping styles->coping style,glossary_exact,high,semantic_merge_audit,3
executive functions,executive function,funkcje wykonawcze,app_sem_0581,plural_to_concept:executive functions->executive function,glossary_exact,high,semantic_merge_audit,3
parenting styles,parenting style,styl rodzicielski,app_sem_1069,exact_map:parenting styles->parenting style,glossary_exact,high,semantic_merge_audit,3
psychotic disorders,psychotic disorder,zaburzenie psychotyczne,app_sem_1277,plural_to_concept:psychotic disorders->psychotic disorder,glossary_exact,high,semantic_merge_audit,3
autism spectrum disorders,autism spectrum disorder,zaburzenie ze spektrum autyzmu,app_sem_0133,plural_to_concept:autism spectrum disorders->autism spectrum disorder,glossary_exact,high,semantic_merge_audit,2
cognitive dysfunctions,cognitive dysfunction,poznawczy dysfunkcja,app_sem_0296,plural_to_concept:cognitive dysfunctions->cognitive dysfunction,token_full,high,semantic_merge_audit,2
defence mechanisms,defense mechanism,mechanizm obronny,app_sem_0413,plural_to_concept:defence mechanisms->defence mechanism; exact_map:defence mechanism->defense mechanism,glossary_exact,high,semantic_merge_audit,2
delusions,delusion,urojenie,app_sem_0420,exact_map:delusions->delusion,glossary_exact,high,semantic_merge_audit,2
depressive symptoms,depressive symptom,objaw depresyjny,app_sem_0433,exact_map:depressive symptoms->depressive symptom,glossary_exact,high,semantic_merge_audit,2
eating attitudes,eating attitude,postawa wobec jedzenia,app_sem_0506,plural_to_concept:eating attitudes->eating attitude,glossary_exact,high,semantic_merge_audit,2
editorial2,editorial,editorial,app_sem_0520,exact_map:editorial2->editorial,glossary_exact,high,exclude_candidate_editorial|semantic_merge_audit,2
epidemiological studies,epidemiological study,badanie epidemiologiczne,app_sem_0565,exact_map:epidemiological studies->epidemiological study,glossary_exact,high,semantic_merge_audit,2
functional disorders,functional disorder,zaburzenie funkcjonalne,app_sem_0652,plural_to_concept:functional disorders->functional disorder,glossary_exact,high,semantic_merge_audit,2
neurotic symptoms,neurotic symptom,nerwicowy objaw,app_sem_0989,plural_to_concept:neurotic symptoms->neurotic symptom,token_full,high,semantic_merge_audit,2
ocd,obsessive-compulsive disorder,zaburzenie obsesyjno-kompulsyjne,app_sem_1024,exact_map:ocd->obsessive-compulsive disorder,glossary_exact,high,semantic_merge_audit,2
pandemics,pandemic,pandemia,app_sem_1056,exact_map:pandemics->pandemic,glossary_exact,high,semantic_merge_audit,2
psychological symptoms,psychological symptom,psychologiczny objaw,app_sem_1243,plural_to_concept:psychological symptoms->psychological symptom,token_full,high,semantic_merge_audit,2
psychosomatic disorders,psychosomatic disorder,zaburzenie psychosomatyczne,app_sem_1261,plural_to_concept:psychosomatic disorders->psychosomatic disorder,glossary_exact,high,semantic_merge_audit,2
psychotherapists,psychotherapist,psychoterapeuta,app_sem_1269,exact_map:psychotherapists->psychotherapist,glossary_exact,high,semantic_merge_audit,2
stress coping mechanisms,stress coping mechanism,mechanizm radzenia sobie ze stresem,app_sem_1477,plural_to_concept:stress coping mechanisms->stress coping mechanism,glossary_exact,high,semantic_merge_audit,2
stress coping techniques,stress coping technique,technika radzenia sobie ze stresem,app_sem_1479,exact_map:stress coping techniques->stress coping technique,glossary_exact,high,semantic_merge_audit,2
substance use disorders,substance use disorder,zaburzenie używania substancji,app_sem_1496,plural_to_concept:substance use disorders->substance use disorder,glossary_exact,high,semantic_merge_audit,2
suicide attempts,suicide attempt,próba samobójcza,app_sem_1502,plural_to_concept:suicide attempts->suicide attempt,glossary_exact,high,semantic_merge_audit,2
temperamental traits,temperamental trait,cecha temperamentu,app_sem_1527,exact_map:temperamental traits->temperamental trait,glossary_exact,high,semantic_merge_audit,2
working memory deficits,working memory deficit,deficyt pamięci roboczej,app_sem_1634,exact_map:working memory deficits->working memory deficit,glossary_exact,high,semantic_merge_audit,2
1-year follow-up,1-year follow-up,1-year follow-up,app_sem_0001,no_semantic_change,untranslated_review,low,translation_review,1
22q11.2 deletion syndrome,22q11.2 deletion syndrome,22q11.2 deletion zespół,app_sem_0002,no_semantic_change,token_partial_review,medium,translation_review,1
5-ht1a receptors,5-ht1a receptors,5-ht1a receptors,app_sem_0003,no_semantic_change,untranslated_review,low,translation_review,1
: attention deficit hyperactivity disorder,: attention deficit hyperactivity disorder,: attention deficit hyperactivity zaburzenie,app_sem_0004,no_semantic_change,token_partial_review,medium,translation_review,1
aa,aa,aa,app_sem_0005,no_semantic_change,untranslated_review,low,translation_review,1
acceptance,acceptance,acceptance,app_sem_0007,no_semantic_change,untranslated_review,low,translation_review,1
acceptance and commitment therapy,acceptance and commitment therapy,acceptance and commitment terapia,app_sem_0008,no_semantic_change,token_partial_review,medium,translation_review,1
acl,acl,acl,app_sem_0009,no_semantic_change,untranslated_review,low,translation_review,1
activity,activity,activity,app_sem_0010,no_semantic_change,untranslated_review,low,translation_review,1
addiction severity,addiction severity,uzależnienie severity,app_sem_0012,no_semantic_change,token_partial_review,medium,translation_review,1
addiction to mobile phone,addiction to mobile phone,uzależnienie to mobile phone,app_sem_0013,no_semantic_change,token_partial_review,medium,translation_review,1
addicts,addicts,addicts,app_sem_0014,no_semantic_change,untranslated_review,low,translation_review,1
adequacy of perception,adequacy of perception,adequacy of perception,app_sem_0015,no_semantic_change,untranslated_review,low,translation_review,1
administrative management,administrative management,administrative management,app_sem_0018,no_semantic_change,untranslated_review,low,translation_review,1
adolescent girls,adolescent girls,adolescent girls,app_sem_0022,no_semantic_change,token_partial_review,medium,translation_review,1
adolescent ward,adolescent ward,adolescent ward,app_sem_0023,no_semantic_change,token_partial_review,medium,translation_review,1
adoption identity,adoption identity,adoption identity,app_sem_0026,no_semantic_change,untranslated_review,low,translation_review,1
adoptive family,adoptive family,adoptive rodzina,app_sem_0027,no_semantic_change,token_partial_review,medium,translation_review,1
adoptive family research methodology,adoptive family research methodology,adoptive rodzina badania methodology,app_sem_0028,no_semantic_change,token_partial_review,medium,translation_review,1
adult assessment,adult assessment,dorosły assessment,app_sem_0029,no_semantic_change,token_partial_review,medium,translation_review,1
adult attention deficit hyperactivity disorder,adult attention deficit hyperactivity disorder,dorosły attention deficit hyperactivity zaburzenie,app_sem_0030,no_semantic_change,token_partial_review,medium,translation_review,1
adult children of alcoholics,adult children of alcoholics,dorosły dzieci of alcoholics,app_sem_0031,no_semantic_change,token_partial_review,medium,translation_review,1
adverse effect,adverse effect,adverse effect,app_sem_0034,no_semantic_change,untranslated_review,low,translation_review,1
aerobic exercise,aerobic exercise,aerobic exercise,app_sem_0036,no_semantic_change,untranslated_review,low,translation_review,1
affect phobia model,affect phobia model,affect phobia model,app_sem_0037,no_semantic_change,untranslated_review,low,translation_review,1
affect regulation training,affect regulation training,affect regulacja training,app_sem_0038,no_semantic_change,token_partial_review,medium,translation_review,1
affective disorders,affective disorder,zaburzenie afektywne,app_sem_0040,plural_to_concept:affective disorders->affective disorder,glossary_exact,high,semantic_merge_audit,1
affective temperaments,affective temperaments,afektywny temperaments,app_sem_0041,no_semantic_change,token_partial_review,medium,translation_review,1
affirming compulsions,affirming compulsions,affirming compulsions,app_sem_0042,no_semantic_change,untranslated_review,low,translation_review,1
agenesis of carpos callosum,agenesis of carpos callosum,agenesis of carpos callosum,app_sem_0043,no_semantic_change,untranslated_review,low,translation_review,1
agoraphobia with panic attacks,agoraphobia with panic attacks,agoraphobia with panic attacks,app_sem_0046,no_semantic_change,untranslated_review,low,translation_review,1
alcohol consumption,alcohol consumption,alkohol consumption,app_sem_0051,no_semantic_change,token_partial_review,medium,translation_review,1
alcohol psychosis,alcohol psychosis,alkohol psychosis,app_sem_0053,no_semantic_change,token_partial_review,medium,translation_review,1
alcohol use disorders,alcohol use disorder,zaburzenie używania alkoholu,app_sem_0054,plural_to_concept:alcohol use disorders->alcohol use disorder,glossary_exact,high,semantic_merge_audit,1
alcohol withdrawal syndrome,alcohol withdrawal syndrome,alkohol withdrawal zespół,app_sem_0055,no_semantic_change,token_partial_review,medium,translation_review,1
alcohol-exposed pregnancy,alcohol-exposed pregnancy,alkohol-exposed pregnancy,app_sem_0057,no_semantic_change,token_partial_review,medium,translation_review,1
alcoholic extract,alcoholic extract,alcoholic extract,app_sem_0058,no_semantic_change,untranslated_review,low,translation_review,1
alcoholism morbidity rate,alcoholism morbidity rate,alcoholism morbidity rate,app_sem_0060,no_semantic_change,untranslated_review,low,translation_review,1
allience,allience,allience,app_sem_0062,no_semantic_change,untranslated_review,low,translation_review,1
alter ego,alter ego,alter ego,app_sem_0063,no_semantic_change,untranslated_review,low,translation_review,1
american psychiatric association,american psychiatric association,american psychiatryczny association,app_sem_0065,no_semantic_change,token_partial_review,medium,translation_review,1
amnesia,amnesia,amnesia,app_sem_0066,no_semantic_change,untranslated_review,low,translation_review,1
amyloid,amyloid,amyloid,app_sem_0067,no_semantic_change,untranslated_review,low,translation_review,1
analgesic suggestion,analgesic suggestion,analgesic suggestion,app_sem_0068,no_semantic_change,untranslated_review,low,translation_review,1
