article_id,article_url,year,analysis_period_order,analysis_period,title,n_keyword_records,n_unique_concepts,concepts
153098,"https://www.archivespp.pl/The-anticipated-influx-of-east-European-psychiatrists-a-sample-of-colleagues-views,153098,0,2.html",2005,1,2005-2009,"The anticipated influx of east European psychiatrists - a sample of colleagues' views from East Sussex, England",3,3,arrival | napływ | psychiatria i zdrowie psychiczne
153101,"https://www.archivespp.pl/Panic-and-agoraphobia-do-treatments-targeted-for-one-problem-also-improve-the-other,153101,0,2.html",2005,1,2005-2009,Panic and agoraphobia: do treatments targeted for one problem also improve the other? A pilot study,6,5,"guided mastery | interwencje terapeutyczne i rehabilitacja | lęk i zaburzenia lękowe | samoocena, tożsamość i obraz siebie | wyniki leczenia, skuteczność i rokowanie"
153102,"https://www.archivespp.pl/Obessive-compulsive-disorder-psychopathology-and-therapy,153102,0,2.html",2005,1,2005-2009,Obessive-compulsive disorder - psychopathology and therapy,2,2,zaburzenia osobowości i cechy osobowości | zaburzenie obsesyjno-kompulsyjne i pokrewne
153103,"https://www.archivespp.pl/Systems-consultation-opportunities-and-limitations,153103,0,2.html",2005,1,2005-2009,Systems consultation: opportunities and limitations,4,3,depresja i zaburzenia depresyjne | schizofrenia i zaburzenia psychotyczne | zaburzenia osobowości i cechy osobowości
153104,"https://www.archivespp.pl/Disorganised-attachment-and-borderline-personality-disorder-a-clinical-perspective,153104,0,2.html",2005,1,2005-2009,Disorganised attachment and borderline personality disorder: a clinical perspective,2,2,funkcjonowanie społeczne i wsparcie społeczne | schizofrenia i zaburzenia psychotyczne
153105,"https://www.archivespp.pl/Reaction-phases-following-HIV-positive-diagnosis,153105,0,2.html",2005,1,2005-2009,Reaction phases following HIV positive diagnosis,1,1,"emocje, afekt i regulacja emocji"
153106,"https://www.archivespp.pl/Native-psychotherapy-in-Russia,153106,0,2.html",2005,1,2005-2009,Native psychotherapy in Russia,4,4,"cierpienie | migracja, mniejszości i kontekst międzykulturowy | russia | zaburzenia osobowości i cechy osobowości"
153107,"https://www.archivespp.pl/Social-functioning-in-first-episode-schizophrenia-1-year-follow-up-study,153107,0,2.html",2005,1,2005-2009,Social functioning in first-episode schizophrenia: 1-year follow-up study,4,4,funkcjonowanie społeczne i wsparcie społeczne | metodologia badań i projekt badawczy | pierwszy epizod i stany wysokiego ryzyka | schizofrenia i zaburzenia psychotyczne
153108,"https://www.archivespp.pl/Coping-with-stress-in-subjects-who-have-experienced-a-traumatic-situation,153108,0,2.html",2005,1,2005-2009,Coping with stress in subjects who have experienced a traumatic situation,2,2,"stres i radzenie sobie | trauma, PTSD i zaburzenia stresowe"
153109,"https://www.archivespp.pl/Posttraumatic-stress-disorder-PTSD-as-a-result-of-the-1997-flood-incidence-and-clinical,153109,0,2.html",2005,1,2005-2009,Posttraumatic stress disorder (PTSD) as a result of the 1997 flood - incidence and clinical picture,3,3,"ocena kliniczna, psychometria i narzędzia pomiarowe | powódź | trauma, PTSD i zaburzenia stresowe"
153110,"https://www.archivespp.pl/Statistic-analysis-of-the-neurotic-symptom-dynamics-during-intensive-psychotherapy,153110,0,2.html",2005,1,2005-2009,Statistic analysis of the neurotic symptom dynamics during intensive psychotherapy in a day hospital setting,3,3,"neurobiologia, genetyka i biomarkery | objawy i nasilenie objawów | zaburzenia osobowości i cechy osobowości"
153111,"https://www.archivespp.pl/Sparteine-oxidation-rate-in-alcohol-dependent-patients,153111,0,2.html",2005,1,2005-2009,Sparteine oxidation rate in alcohol dependent patients,3,2,sparteine oxidation | zaburzenia używania substancji i uzależnienia
153112,"https://www.archivespp.pl/New-aspects-of-Freud-s-concept-of-the-death-instinct,153112,0,2.html",2005,1,2005-2009,New aspects of Freud's concept of the death instinct,4,4,"death instynkt | human destructiveness | neurobiologia, genetyka i biomarkery | trauma, PTSD i zaburzenia stresowe"
153113,"https://www.archivespp.pl/The-influence-of-Antoni-Kepinski-s-ideas-on-Jozef-Tischner-s-philosophy-and-its-psychiatric,153113,0,2.html",2005,1,2005-2009,The influence of Antoni Kepinski's ideas on Jozef Tischner's philosophy and its psychiatric implications,2,2,"historia, pamięć i trauma zbiorowa | zaburzenia osobowości i cechy osobowości"
153114,"https://www.archivespp.pl/An-associations-study-of-the-Dopamine-Transporter-DAT-gene-and-catechol-O-methyltransferase,153114,0,2.html",2005,1,2005-2009,An associations study of the Dopamine Transporter (DAT) gene and catechol-O-methyltransferase (COMT) gene in anorexia nervosa in the Polish population,3,3,"dat and comt polimorfizm | neurobiologia, genetyka i biomarkery | zaburzenia odżywiania i obraz ciała"
153115,"https://www.archivespp.pl/Depressive-symptoms-and-preclinical-Alzheimer-s-disease,153115,0,2.html",2005,1,2005-2009,Depressive symptoms and preclinical Alzheimer's disease,3,3,etap przedkliniczny | schizofrenia i zaburzenia psychotyczne | starzenie się i osoby starsze
153116,"https://www.archivespp.pl/Social-disability-and-social-functioning-measurement-in-Polish-psychiatric-research,153116,0,2.html",2005,1,2005-2009,Social disability and social functioning measurement in Polish psychiatric research,3,2,"funkcjonowanie społeczne i wsparcie społeczne | ocena kliniczna, psychometria i narzędzia pomiarowe"
153117,"https://www.archivespp.pl/The-influence-of-the-new-social-help-facilities-on-the-reduction-of-hospitalisations,153117,0,2.html",2005,1,2005-2009,The influence of the new social help facilities on the reduction of hospitalisations of chronically mentally ill patients,3,3,farmakoterapia i leki psychotropowe | funkcjonowanie społeczne i wsparcie społeczne | organizacja opieki psychiatrycznej
153118,"https://www.archivespp.pl/Bipolar-disorder-from-a-biological-to-an-integrative-approach-The-role-of-cognitive,153118,0,2.html",2005,1,2005-2009,Bipolar disorder - from a biological to an integrative approach. The role of cognitive-behavioral therapy in the treatment of bipolar disorder,5,5,"choroby somatyczne i współchorobowość medyczna | depresja i zaburzenia depresyjne | praca, edukacja i funkcjonowanie zawodowe | terapia poznawczo-behawioralna i terapie trzeciej fali | zaburzenia osobowości i cechy osobowości"
153119,"https://www.archivespp.pl/Psychopathological-long-term-consequences-of-deportation-of-Polish-civilians-into,153119,0,2.html",2005,1,2005-2009,Psychopathological long-term consequences of deportation of Polish civilians into the Soviet Union after 55 years (on the base of self-reports by the Sybiracs),4,3,"samoocena, tożsamość i obraz siebie | schizofrenia i zaburzenia psychotyczne | trauma, PTSD i zaburzenia stresowe"
153120,"https://www.archivespp.pl/Folie-a-trois-a-sick-family-case-study-Coincidence-of-psychiatric-disorders-in-a,153120,0,2.html",2005,1,2005-2009,Folie a trois - a sick family: case study. Coincidence of psychiatric disorders in a single family.,2,2,metodologia badań i projekt badawczy | schizofrenia i zaburzenia psychotyczne
153121,"https://www.archivespp.pl/Psychotherapy-research-and-the-idol-mind,153121,0,2.html",2005,1,2005-2009,Psychotherapy research and the idol mind,4,4,"filozofia, fenomenologia i antropologia | metodologia badań i projekt badawczy | postawy, stigma i przekonania | zaburzenia osobowości i cechy osobowości"
153122,"https://www.archivespp.pl/Clinical-and-neuropsychological-correlates-of-proton-magnetic-resonance-spectroscopy,153122,0,2.html",2005,1,2005-2009,Clinical and neuropsychological correlates of proton magnetic resonance spectroscopy detected metabolites in brains of first-episode and chronic schizophrenic patients,3,3,"neurobiologia, genetyka i biomarkery | schizofrenia i zaburzenia psychotyczne | zaburzenia neurorozwojowe i autyzm"
153123,"https://www.archivespp.pl/REM-sleep-behaviour-disorder,153123,0,2.html",2005,1,2005-2009,REM sleep behaviour disorder,4,2,choroby somatyczne i współchorobowość medyczna | zaburzenia snu
153124,"https://www.archivespp.pl/Cognitive-appraisal-and-strategies-of-coping-applied-in-an-exam-situation,153124,0,2.html",2005,1,2005-2009,Cognitive appraisal and strategies of coping applied in an exam situation,3,2,"funkcjonowanie poznawcze i neuropsychologia | trauma, PTSD i zaburzenia stresowe"
153125,"https://www.archivespp.pl/Relationship-between-the-deterioration-of-cognitive-functions-in-old-age-and-adverse,153125,0,2.html",2005,1,2005-2009,Relationship between the deterioration of cognitive functions in old age and adverse life events in childhood,3,3,działania niepożądane i bezpieczeństwo leczenia | zaburzenia neurorozwojowe i autyzm | zaburzenia osobowości i cechy osobowości
153126,"https://www.archivespp.pl/The-context-of-referring-to-treatment-and-the-course-of-family-consultation-vs-readiness,153126,0,2.html",2005,1,2005-2009,The context of referring to treatment and the course of family consultation vs. readiness to start family therapy,3,2,interwencje terapeutyczne i rehabilitacja | zaburzenia osobowości i cechy osobowości
153127,"https://www.archivespp.pl/Psychotherapy-integration-end-the-emergence-of-instinctual-territoriality,153127,0,2.html",2006,1,2005-2009,Psychotherapy integration end the emergence of instinctual territoriality,5,5,eclecticism | instynkt | opór | territoriality | zaburzenia osobowości i cechy osobowości
153128,"https://www.archivespp.pl/Working-memory-dysfunction-in-patients-suffering-from-schizophrenia-and-their-first,153128,0,2.html",2006,1,2005-2009,Working memory dysfunction in patients suffering from schizophrenia and their first-degree relatives,3,3,"rodzina, rodzeństwo i bliscy | schizofrenia i zaburzenia psychotyczne | zaburzenia neurorozwojowe i autyzm"
153129,"https://www.archivespp.pl/Association-study-of-the-Brain-Derived-Neurotrophic-Factor-BDNF-gene-C-270T-polymorphism,153129,0,2.html",2006,1,2005-2009,Association study of the Brain-Derived Neurotrophic Factor (BDNF) gene C-270T polymorphism with bipolar affective disorder,4,4,"association | depresja i zaburzenia depresyjne | neurobiologia, genetyka i biomarkery | polimorfizm"
153130,"https://www.archivespp.pl/The-versatile-effects-of-breath-holding,153130,0,2.html",2006,1,2005-2009,The versatile effects of breath-holding,2,2,lęk i zaburzenia lękowe | respiration
153131,"https://www.archivespp.pl/Music-Therapy-history-definitions-and-application,153131,0,2.html",2006,1,2005-2009,"Music Therapy - history, definitions and application",1,1,music terapia
