analysis_period_order,analysis_period,keyword_concept_polish_analysis,n_keyword_records,n_articles,example_raw_keywords
1,2005-2009,schizofrenia i zaburzenia psychotyczne,74,64,"Changes in inflammatory parameters and antioxidants and their impact on clinical symptoms, including cognitive functions, in patients with schizophrenia - scoping review | Creativity and schizophrenia: a literature review of the problem | Effect of schizophrenia and substance use disorder on depressive symptoms and stressful life events | PANSS | Recovery of patients with schizophrenia diagnosis in a day rehabilitation psychiatric ward | Schizophrenia | Sensory thresholds and the sense of bodily identity in schizophrenia | adolescent depression"
1,2005-2009,zaburzenia osobowości i cechy osobowości,55,43,Adolescence | Psychotherapy integration | adolescence | adolescents | child psychotherapy | childhood | children | children and adolescents
1,2005-2009,funkcjonowanie społeczne i wsparcie społeczne,22,21,anticipated and experienced stigma | attachment theory | attenuation of pair bonding | community social support | disorganised attachment | electronic communication | pair bonding | relationship patterns
1,2005-2009,zaburzenia odżywiania i obraz ciała,19,18,anorexia nervosa | bulimia nervosa | eating disorders | eating disorders subtypes | whole body cryotherapy
1,2005-2009,depresja i zaburzenia depresyjne,19,17,Experiencing Scale | Mood Disorder Questionnaire | Olfactory Obsessions Questionnaire | The Offer Self-Image Questionnaire for Adolescents | bipolar affective disorder | bipolar affective illness | bipolar disorder | bipolar spectrum
1,2005-2009,"samoocena, tożsamość i obraz siebie",18,17,aggression | deportation | identity | integration | interceptive exposure | interpretation | military population | motivation
1,2005-2009,"neurobiologia, genetyka i biomarkery",15,15,Brain-Derived Neurotrophic Factor (BDNF) gene | PAX - 6 gene | amyloid | corticotropin releasing hormone receptors | fMRI | gene polymorphism | genetics | neuroscience
1,2005-2009,choroby somatyczne i współchorobowość medyczna,14,12,Parkinson's disease | breast cancer | comorbidity | coronary angioplasty | coronary artery disease | course of illness | internal illnesses | medical statistics
1,2005-2009,interwencje terapeutyczne i rehabilitacja,12,12,community treatment programme | context and motivation to the treatment | epidemiology of mental disorders in adolescence | mental health | psychiatric rehabilitation | psychopathology | treatment | treatment outcome follow-up study
1,2005-2009,"trauma, PTSD i zaburzenia stresowe",13,10,Complex-PTSD | PTSD | chronic trauma | coping with stress | early childhood trauma | exam stress | experience of trauma | oxidative stress
1,2005-2009,zaburzenia używania substancji i uzależnienia,13,10,alcohol | alcohol dependence | alcohol withdrawal syndrome | alcoholism | drug addiction | gender role conflict | sexual abuse | sexual identity
1,2005-2009,lęk i zaburzenia lękowe,11,10,affect phobia model | agoraphobia | anxiety | anxiety disorders | anxiety paradoxical effects | generalized anxiety | panic
1,2005-2009,zaburzenia neurorozwojowe i autyzm,11,10,cognitive deficits | cognitive dysfunctions | cognitive functions | executive functions | mild cognitive impairment | working memory | working memory deficits
1,2005-2009,metodologia badań i projekt badawczy,10,10,1-year follow-up | case study | cross-cultural study | epidemiological study | follow-up study | methodology problems | process research | research
1,2005-2009,"historia, pamięć i trauma zbiorowa",8,7,Archive | Holocaust | Warsaw Ghetto Uprising | day-care ward | experience of values | psychiatric ward | values system
1,2005-2009,"emocje, afekt i regulacja emocji",8,6,affective disorders | anger control | anger expression | emotional reaction | emotional symptoms | guilt
1,2005-2009,psychoanaliza i podejście psychodynamiczne,5,5,defence mechanisms | psychoanalysis | psychoanalytic instinct theory
1,2005-2009,"wyniki leczenia, skuteczność i rokowanie",5,5,cost effectiveness | effectiveness | effectivness | symptom improvement
1,2005-2009,organizacja opieki psychiatrycznej,5,4,community psychiatry | day hospital | hospitalisations | psychiatric care | rehospitalisation
1,2005-2009,działania niepożądane i bezpieczeństwo leczenia,4,4,adverse events | tardive dyskinesia
1,2005-2009,objawy i nasilenie objawów,4,4,psycho-pathological symptoms | symptom dynamics
1,2005-2009,"ocena kliniczna, psychometria i narzędzia pomiarowe",4,4,CIDI | psychometric scales | scales
1,2005-2009,"ryzyko, czynniki ochronne i predyktory",4,4,clinical factors | predictors | risk behaviours | vascular factors
1,2005-2009,starzenie się i osoby starsze,4,4,Alzheimer's disease | dementia
1,2005-2009,zaburzenie obsesyjno-kompulsyjne i pokrewne,4,3,OCD | compulsory treatment/compulsory order | obsessive-compulsive disorder | olfactory obsessions
