year,keyword_final_polish
2025.0,neuropsychologia
2025.0,psychiatria dzieci i m³odzie¿y
2025.0,logopedia
2025.0,psychiatria dzieci i m³odzie¿y
2025.0,psychiatria dzieci i m³odzie¿y
2025.0,diagnostyka logopedyczna
2025.0,psychiatria dzieci i m³odzie¿y
2025.0,psychiatria dzieci i m³odzie¿y
2025.0,zaburzenia od¿ywiania
2025.0,zaburzenia od¿ywiania
2025.0,psychiatria dzieci i m³odzie¿y
2025.0,psychotherapy
2025.0,seksualnoœæ
2025.0,ci¹¿a
2025.0,kobiety
2025.0,studenci
2025.0,psychopatologia
2025.0,metodologia badañ
2025.0,epidemiologia
2025.0,m³odzie¿
2025.0,psychiatria dzieci i m³odzie¿y
2025.0,m³odzie¿
2025.0,schizofrenia
2025.0,olanzapina
2025.0,farmakoterapia
2025.0,samobójstwo
2021.0,bezsennoœæ
2021.0,farmakoterapia
2021.0,trazodon
2021.0,farmakoterapia
,walidacja
2020.0,klasyfikacja
2025.0,psychometria
2025.0,temperament
2025.0,walidacja
2025.0,neuropsychologia
2025.0,neurotransmitery
2025.0,neurotransmitery
2025.0,kreatywnoœæ
2025.0,neuropsychologia
2025.0,psychiatria dzieci i m³odzie¿y
2025.0,psychiatria dzieci i m³odzie¿y
2025.0,m³odzie¿
2025.0,temperament
2025.0,psychiatria dzieci i m³odzie¿y
2025.0,mentalizacja
2025.0,depresja
2025.0,m³odzie¿
2025.0,psychiatria dzieci i m³odzie¿y
2025.0,depresja
2025.0,depresja
2025.0,schizofrenia
2025.0,biopierwiastki
2025.0,farmakoterapia
2025.0,farmakoterapia
2025.0,prawo i hospitalizacja
2025.0,schizofrenia
2025.0,leczenie
2025.0,neuropsychologia
2025.0,depresja
2025.0,niep³odnoœæ
2025.0,psychoterapia
2025.0,farmakoterapia
2025.0,depresja
2025.0,depresja
2025.0,depresja
2025.0,farmakoterapia
2025.0,farmakoterapia
2025.0,uzale¿nienia
2025.0,reklama
2025.0,farmakoterapia
2025.0,stres
2025.0,mniejszoœci seksualne
2025.0,menopauza
2025.0,psychoterapia
2025.0,umowa terapeutyczna
2025.0,schizofrenia
2025.0,stres
2025.0,psychiatria dzieci i m³odzie¿y
2025.0,neuropsychologia
2025.0,psychiatria dzieci i m³odzie¿y
2025.0,psychiatria dzieci i m³odzie¿y
2025.0,psychiatria dzieci i m³odzie¿y
2025.0,psychiatria dzieci i m³odzie¿y
2025.0,farmakoterapia
2025.0,psychiatria dzieci i m³odzie¿y
2025.0,psychiatria dzieci i m³odzie¿y
2025.0,psychiatria dzieci i m³odzie¿y
2025.0,anhedonia
2025.0,psychiatria dzieci i m³odzie¿y
2025.0,efekty leczenia
2025.0,efekty leczenia
2025.0,psychiatria dzieci i m³odzie¿y
2025.0,psychiatria dzieci i m³odzie¿y
2025.0,psychiatria dzieci i m³odzie¿y
2025.0,psychoterapia
2025.0,relacja terapeutyczna
2025.0,ptsd
2025.0,diagnostyka eeg
2025.0,diagnostyka
2025.0,neuropsychologia
2025.0,samobójstwo
2025.0,psychopatologia
2025.0,fibromialgia
2025.0,farmakoterapia
2025.0,anhedonia
2025.0,mania
2025.0,psychiatria dzieci i m³odzie¿y
2025.0,fobie
2025.0,empatia
2025.0,trauma
2025.0,psychoterapia
2025.0,specjaliœci zdrowia psychicznego
2025.0,znieczulenie
2025.0,elektrowstrz¹sy
2025.0,farmakoterapia
2025.0,bmi
2025.0,cyberchondria
2025.0,neuropsychologia
2025.0,rodzina
2025.0,farmakoterapia
2025.0,depresja
2025.0,ssri
2025.0,trazodon
2025.0,farmakoterapia
2025.0,równowaga
2025.0,schizofrenia
2025.0,stygmatyzacja
2025.0,stygmatyzacja
2025.0,psychiatria
2025.0,prawo pacjenta
2025.0,klozapina
2025.0,farmakoterapia
2025.0,farmakoterapia
2025.0,ci¹¿a
2025.0,wolontariat
2025.0,wojna
2025.0,depresja
2024.0,neuropsychologia
2024.0,schizofrenia
2024.0,autonarracja
2024.0,samoocena
2024.0,psychoza
2024.0,elektrowstrz¹sy
2024.0,zaburzenia snu i emocji
2024.0,neuropsychologia
2024.0,metapoznanie
2024.0,psychiatria dzieci i m³odzie¿y
2024.0,epigenetyka
2024.0,oksytocyna
2024.0,psychoza
2024.0,mindfulness
2024.0,mindfulness
2024.0,temperament
2024.0,przywi¹zanie
2024.0,uzale¿nienia behawioralne
2024.0,neuroobrazowanie
2024.0,diagnostyka
2024.0,schizofrenia
2024.0,intuicja
2024.0,neuropsychologia
2024.0,depresja
2024.0,separacja
2024.0,psychologia
2024.0,psychiatria dzieci i m³odzie¿y
2024.0,psychiatria dzieci i m³odzie¿y
2024.0,m³odzie¿
2024.0,psychiatria dzieci i m³odzie¿y
2024.0,adhd
2024.0,psychiatria dzieci i m³odzie¿y
