keyword_norm,2005–2009,2010–2014,2015–2019,2020–2024,2025–2029,change
schizophrenia,39.0,41.0,0.0,0.0,1.0,-39.0
depression,14.0,47.0,0.0,0.0,0.0,-14.0
janusz rybakowski,5.0,20.0,18.0,15.0,3.0,10.0
psychiatria sądowa,0.0,2.0,32.0,30.0,6.0,30.0
zaburzenia odżywiania się,0.0,8.0,41.0,31.0,5.0,31.0
seksuologia,0.0,11.0,23.0,32.0,5.0,32.0
katarzyna klasa,1.0,10.0,41.0,36.0,6.0,35.0
jerzy a. sobański,0.0,4.0,46.0,35.0,6.0,35.0
depresja,0.0,9.0,38.0,35.0,5.0,35.0
dominika dudek,12.0,19.0,51.0,48.0,15.0,36.0
nerwice,0.0,11.0,67.0,39.0,3.0,39.0
uzależnienia,0.0,7.0,34.0,43.0,5.0,43.0
skale diagnostyczne,0.0,11.0,72.0,60.0,8.0,60.0
farmakoterapia i farmakologia,0.0,17.0,52.0,61.0,10.0,61.0
neuropsychologia i neuropsychiatria,0.0,16.0,86.0,62.0,7.0,62.0
psychiatria środowiskowa,0.0,10.0,45.0,67.0,9.0,67.0
epidemiologia,0.0,14.0,70.0,70.0,11.0,70.0
psychiatria dzieci i młodzieży,0.0,13.0,71.0,82.0,15.0,82.0
psychoterapia,0.0,12.0,102.0,87.0,17.0,87.0
zaburzenia afektywne,0.0,27.0,113.0,105.0,19.0,105.0
