url,year,volume,issue,doi,keyword_raw,keyword_norm,keyword_pl,keyword_pl_norm,keyword_semantic_auto,keyword_final_clean,keyword_final_polish,,,,,,
"https://www.psychiatriapolska.pl/Editorial,216431,0,1.html",2025.0,59.0,6.0,https://doi.org/10.12740/PP/216431,Neuropsychologia i neuropsychiatria,neuropsychologia i neuropsychiatria,neuropsychologia i neuropsychiatria,neuropsychologia i neuropsychiatria,neuropsychologia,neuropsychologia,neuropsychologia,,,,,,
"https://www.psychiatriapolska.pl/Editorial,216431,0,1.html",2025.0,59.0,6.0,https://doi.org/10.12740/PP/216431,Psychiatria dzieci i młodzieży,psychiatria dzieci i młodzieży,psychiatria dzieci i młodzieży,psychiatria dzieci i młodzieży,psychiatria dzieci i młodzieży,psychiatria dzieci i młodzieży,psychiatria dzieci i młodzieży,,,,,,
"https://www.psychiatriapolska.pl/Speech-and-Language-Therapy-in-Mental-Health-Care-of-Children-Part-1-the-areas-of,194143,0,1.html",2025.0,59.0,6.0,https://doi.org/10.12740/PP/194143,logopedia,logopedia,logopedia,logopedia,logopedia,logopedia,logopedia,,,,,,
"https://www.psychiatriapolska.pl/Speech-and-Language-Therapy-in-Mental-Health-Care-of-Children-Part-1-the-areas-of,194143,0,1.html",2025.0,59.0,6.0,https://doi.org/10.12740/PP/194143,zdrowie psychiczne,zdrowie psychiczne,zdrowie psychiczne,zdrowie psychiczne,zdrowie psychiczne,zdrowie psychiczne,zdrowie psychiczne,,,,,,
"https://www.psychiatriapolska.pl/Speech-and-Language-Therapy-in-Mental-Health-Care-of-Children-Part-1-the-areas-of,194143,0,1.html",2025.0,59.0,6.0,https://doi.org/10.12740/PP/194143,dzieci,dzieci,dzieci,dzieci,psychiatria dzieci i młodzieży,psychiatria dzieci i młodzieży,psychiatria dzieci i młodzieży,,,,,,
"https://www.psychiatriapolska.pl/Speech-and-Language-Therapy-in-Mental-Health-Care-of-Children-Part-1-the-areas-of,194143,0,1.html",2025.0,59.0,6.0,https://doi.org/10.12740/PP/194143,Psychiatria dzieci i młodzieży,psychiatria dzieci i młodzieży,psychiatria dzieci i młodzieży,psychiatria dzieci i młodzieży,psychiatria dzieci i młodzieży,psychiatria dzieci i młodzieży,psychiatria dzieci i młodzieży,,,,,,
"https://www.psychiatriapolska.pl/Speech-and-Language-Therapy-in-Mental-Health-Care-of-Children-Part-2-competences,195509,0,1.html",2025.0,59.0,6.0,https://doi.org/10.12740/PP/195509,ocena i diagnoza logopedyczna,ocena i diagnoza logopedyczna,ocena i diagnoza logopedyczna,ocena i diagnoza logopedyczna,ocena i diagnoza logopedyczna,ocena i diagnoza logopedyczna,ocena i diagnoza logopedyczna,,,,,,
"https://www.psychiatriapolska.pl/Speech-and-Language-Therapy-in-Mental-Health-Care-of-Children-Part-2-competences,195509,0,1.html",2025.0,59.0,6.0,https://doi.org/10.12740/PP/195509,zdrowie psychiczne dzieci,zdrowie psychiczne dzieci,zdrowie psychiczne dzieci,zdrowie psychiczne dzieci,psychiatria dzieci i młodzieży,psychiatria dzieci i młodzieży,psychiatria dzieci i młodzieży,,,,,,
"https://www.psychiatriapolska.pl/Speech-and-Language-Therapy-in-Mental-Health-Care-of-Children-Part-2-competences,195509,0,1.html",2025.0,59.0,6.0,https://doi.org/10.12740/PP/195509,Psychiatria dzieci i młodzieży,psychiatria dzieci i młodzieży,psychiatria dzieci i młodzieży,psychiatria dzieci i młodzieży,psychiatria dzieci i młodzieży,psychiatria dzieci i młodzieży,psychiatria dzieci i młodzieży,,,,,,
"https://www.psychiatriapolska.pl/When-eating-inedible-things-Determining-the-prevalence-of-pica-disorder-in-a-group,202942,0,1.html",2025.0,59.0,6.0,https://doi.org/10.12740/PP/OnlineFirst/202942,pica,pica,pica,pica,pica,pica,pica,,,,,,
"https://www.psychiatriapolska.pl/When-eating-inedible-things-Determining-the-prevalence-of-pica-disorder-in-a-group,202942,0,1.html",2025.0,59.0,6.0,https://doi.org/10.12740/PP/OnlineFirst/202942,zaburzenia odżywiania nieokreślone inaczej,zaburzenia odżywiania nieokreślone inaczej,zaburzenia odżywiania nieokreślone inaczej,zaburzenia odżywiania nieokreślone inaczej,zaburzenia odżywiania nieokreślone inaczej,zaburzenia odżywiania nieokreślone inaczej,zaburzenia odżywiania nieokreślone inaczej,,,,,,
"https://www.psychiatriapolska.pl/When-eating-inedible-things-Determining-the-prevalence-of-pica-disorder-in-a-group,202942,0,1.html",2025.0,59.0,6.0,https://doi.org/10.12740/PP/OnlineFirst/202942,Psychiatria środowiskowa,psychiatria środowiskowa,psychiatria środowiskowa,psychiatria środowiskowa,psychiatria środowiskowa,psychiatria środowiskowa,psychiatria środowiskowa,,,,,,
"https://www.psychiatriapolska.pl/When-eating-inedible-things-Determining-the-prevalence-of-pica-disorder-in-a-group,202942,0,1.html",2025.0,59.0,6.0,https://doi.org/10.12740/PP/OnlineFirst/202942,Psychiatria dzieci i młodzieży,psychiatria dzieci i młodzieży,psychiatria dzieci i młodzieży,psychiatria dzieci i młodzieży,psychiatria dzieci i młodzieży,psychiatria dzieci i młodzieży,psychiatria dzieci i młodzieży,,,,,,
"https://www.psychiatriapolska.pl/When-eating-inedible-things-Determining-the-prevalence-of-pica-disorder-in-a-group,202942,0,1.html",2025.0,59.0,6.0,https://doi.org/10.12740/PP/OnlineFirst/202942,Zaburzenia odżywiania się,zaburzenia odżywiania się,zaburzenia odżywiania się,zaburzenia odżywiania się,zaburzenia odżywiania się,zaburzenia odżywiania się,zaburzenia odżywiania się,,,,,,
"https://www.psychiatriapolska.pl/Validation-of-the-Polish-version-of-the-Functional-Analytic-Psychotherapy-Intimacy,194429,0,1.html",2025.0,59.0,6.0,https://doi.org/10.12740/PP/194429,psychoterapia oparta na analizie funkcjonalnej,psychoterapia oparta na analizie funkcjonalnej,psychoterapia oparta na analizie funkcjonalnej,psychoterapia oparta na analizie funkcjonalnej,psychoterapia,psychoterapia,psychoterapia,,,,,,
"https://www.psychiatriapolska.pl/Women-s-sexuality-during-pregnancy,199492,0,1.html",2025.0,59.0,6.0,https://doi.org/10.12740/PP/199492,seksualność,seksualność,seksualność,seksualność,seksualność,seksualność,seksualność,,,,,,
"https://www.psychiatriapolska.pl/Women-s-sexuality-during-pregnancy,199492,0,1.html",2025.0,59.0,6.0,https://doi.org/10.12740/PP/199492,ciąża,ciąża,ciąża,ciąża,ciąża,ciąża,ciąża,,,,,,
"https://www.psychiatriapolska.pl/Women-s-sexuality-during-pregnancy,199492,0,1.html",2025.0,59.0,6.0,https://doi.org/10.12740/PP/199492,kobiety,kobiety,kobiety,kobiety,kobiety,kobiety,kobiety,,,,,,
