journal_id,journal_label,pep_code_candidate,probe_year,document_id,pep_code_record,year_record,title,authors,source_title,volume,issue,pages,doi,article_type,has_abstract,has_keywords,n_keywords,keywords_joined,keyword_source,art_kwds_count,source_file
japa,Journal of the American Psychoanalytic Association,APA,2015,APA.063.0615A,APA,2015,"Freud's Cases in Fiction: Dreaming for Freud: A Novel. By Sheila Kohler. New York: Penguin Books, 2014, 232 pp., $16.00 paperback.",David Goldenberg,Journal of the American Psychoanalytic Association,63,3,615-620,10.1177/0003065115587701,REV,True,False,0,,,0,data\raw_pep_metadata\japa\2015\japa_APA_2015_art_id_APA._AND_year_2015.json
japa,Journal of the American Psychoanalytic Association,APA,2015,APA.063.1135A,APA,2015,Between the Idea and the Reality … Falls the Shadow: Commentary on Gobodo-Madikizela,Richard Neugebauer,Journal of the American Psychoanalytic Association,63,6,1135-1139,10.1177/0003065115620616,COM,True,False,0,,,0,data\raw_pep_metadata\japa\2015\japa_APA_2015_art_id_APA._AND_year_2015.json
japa,Journal of the American Psychoanalytic Association,APA,2015,APA.063.0007A,APA,2015,Comings and Goings,Bonnie E. Litowitz,Journal of the American Psychoanalytic Association,63,1,7,10.1177/0003065115571744,COM,True,False,0,,,0,data\raw_pep_metadata\japa\2015\japa_APA_2015_art_id_APA._AND_year_2015.json
japa,Journal of the American Psychoanalytic Association,APA,2015,APA.063.0139A,APA,2015,Henry James's The Portrait of a Lady,Leslie Keith,Journal of the American Psychoanalytic Association,63,1,139-151,10.1177/0003065115571742,ART,True,False,0,,,0,data\raw_pep_metadata\japa\2015\japa_APA_2015_art_id_APA._AND_year_2015.json
japa,Journal of the American Psychoanalytic Association,APA,2015,APA.063.0399A,APA,2015,Book Reviewers,,Journal of the American Psychoanalytic Association,63,2,399,10.1177/0003065115582475,SUP,True,False,0,,,0,data\raw_pep_metadata\japa\2015\japa_APA_2015_art_id_APA._AND_year_2015.json
japa,Journal of the American Psychoanalytic Association,APA,2015,APA.063.0787A,APA,2015,"A Genocide Rooted in Religion and Culture: A WORLD WITHOUT JEWS: THE NAZI IMAGINATION FROM PERSECUTION TO GENOCIDE. By Alon Confino. New Haven: Yale University Press, 2014, xvi + 284, $30.00 hardcover, $20.00 paperback.",Arnold D. Richards,Journal of the American Psychoanalytic Association,63,4,787-793,10.1177/0003065115602197,REV,True,False,0,,,0,data\raw_pep_metadata\japa\2015\japa_APA_2015_art_id_APA._AND_year_2015.json
japa,Journal of the American Psychoanalytic Association,APA,2015,APA.063.0811A,APA,2015,"War and its Aftermath: Zeitzeugen Des Hamburger Feuersturms 1943 Und Ihre Familien (Eyewitnesses of the 1943 Hamburg Firestorms and their Families). Edited by Ulrich Lamparter, Silke Wiegand-Grefe, and Dorothee Wierling. Göttingen: Vandenhoeck & Ruprecht, 2013, 384 pp., $46.00 hardcover.",Andreas Hamburger,Journal of the American Psychoanalytic Association,63,4,811-815,10.1177/0003065115602866,REV,True,False,0,,,0,data\raw_pep_metadata\japa\2015\japa_APA_2015_art_id_APA._AND_year_2015.json
japa,Journal of the American Psychoanalytic Association,APA,2015,APA.063.1244A,APA,2015,"J.L. Hanson, B.M. Nacewicz, M.J. Sutterer, Cavo, A.A., S.M. Schaefer, K.D. Rudolph, E.A. Shirtcliff, S.D. Pollak, & R.J. Davidson (2015). Behavioral problems after early life stress: Contributions of the hippocampus and amygdala. Biological Psychiatry 77:314-323.",Sonya Martin,Journal of the American Psychoanalytic Association,63,6,1244-1246,10.1177/0003065115620405,REV,True,False,0,,,0,data\raw_pep_metadata\japa\2015\japa_APA_2015_art_id_APA._AND_year_2015.json
japa,Journal of the American Psychoanalytic Association,APA,2015,APA.063.1262A,APA,2015,"Une part de soi dans la vie des autres (A Part of Oneself in the Life of Others). By Danièle Brun. Paris: Odile Jacob, 2015, 162 pp., €22.90 paperback.",Rachel Widawsky,Journal of the American Psychoanalytic Association,63,6,1262-1265,10.1177/0003065115620787,REV,True,False,0,,,0,data\raw_pep_metadata\japa\2015\japa_APA_2015_art_id_APA._AND_year_2015.json
japa,Journal of the American Psychoanalytic Association,APA,2015,APA.063D.NP0001A,APA,2015,Poster Summaries from the 2015 Poster Session of the American Psychoanalytic Association,"Sureyya Iscan,  Carolina Seybert,  Ingrid Erhardt,  Mattias Desmet,  Raymond A. Levy and  J. Stuart Ablon",Journal of the American Psychoanalytic Association,63,4,NP1-NP4,10.1177/0003065115602878,ART,True,False,0,,,0,data\raw_pep_metadata\japa\2015\japa_APA_2015_art_id_APA._AND_year_2015.json
