journal_id,journal_label,pep_code_candidate,probe_year,document_id,pep_code_record,year_record,title,authors,source_title,volume,issue,pages,doi,article_type,has_abstract,has_keywords,n_keywords,keywords_joined,keyword_source,art_kwds_count,source_file
psychoanalytic_psychotherapy,Psychoanalytic Psychotherapy,,2016,PPTX.030.0138A,PPTX,2016,Forensic follow-up care for outpatients in Germany,Markus G. Feil,Psychoanalytic Psychotherapy,30,2,138-151,10.1080/02668734.2016.1183345,ART,True,True,3,forensic psychotherapy; supervision of conduct; forensic follow-up care,documentInfoXML/artkwds,1,data\raw_pep_metadata\psychoanalytic_psychotherapy\2016\psychoanalytic_psychotherapy_nopep_2016_art_id_PPTX._AND_year_2016.json
psychoanalytic_psychotherapy,Psychoanalytic Psychotherapy,,2016,PPTX.030.0292A,PPTX,2016,Publications received since November 2015,,Psychoanalytic Psychotherapy,30,3,292,10.1080/02668734.2016.1211428,ART,True,False,0,,,0,data\raw_pep_metadata\psychoanalytic_psychotherapy\2016\psychoanalytic_psychotherapy_nopep_2016_art_id_PPTX._AND_year_2016.json
psychoanalytic_psychotherapy,Psychoanalytic Psychotherapy,,2016,PPTX.030.0293A,PPTX,2016,"Books available for review for Psychoanalytic Psychotherapy, June 2016",,Psychoanalytic Psychotherapy,30,3,293,10.1080/02668734.2016.1211430,ART,True,False,0,,,0,data\raw_pep_metadata\psychoanalytic_psychotherapy\2016\psychoanalytic_psychotherapy_nopep_2016_art_id_PPTX._AND_year_2016.json
psychoanalytic_psychotherapy,Psychoanalytic Psychotherapy,,2016,PPTX.030.0294A,PPTX,2016,Erratum,,Psychoanalytic Psychotherapy,30,3,294,10.1080/02668734.2016.1231482,ART,True,False,0,,,0,data\raw_pep_metadata\psychoanalytic_psychotherapy\2016\psychoanalytic_psychotherapy_nopep_2016_art_id_PPTX._AND_year_2016.json
psychoanalytic_psychotherapy,Psychoanalytic Psychotherapy,,2016,PPTX.030.0115A,PPTX,2016,Creativity and psychotic states in exceptional people: the work of Murray Jackson,R. D. Hinshelwood,Psychoanalytic Psychotherapy,30,1,115-117,10.1080/02668734.2016.1144916,ART,True,False,0,,,0,data\raw_pep_metadata\psychoanalytic_psychotherapy\2016\psychoanalytic_psychotherapy_nopep_2016_art_id_PPTX._AND_year_2016.json
psychoanalytic_psychotherapy,Psychoanalytic Psychotherapy,,2016,PPTX.030.0001A,PPTX,2016,Editorial,Jessica Yakeley,Psychoanalytic Psychotherapy,30,1,1-3,10.1080/02668734.2016.1158926,COM,True,False,0,,,0,data\raw_pep_metadata\psychoanalytic_psychotherapy\2016\psychoanalytic_psychotherapy_nopep_2016_art_id_PPTX._AND_year_2016.json
psychoanalytic_psychotherapy,Psychoanalytic Psychotherapy,,2016,PPTX.030.0119A,PPTX,2016,Editorial,Jessica Yakeley and  Gill McGauley,Psychoanalytic Psychotherapy,30,2,119-124,10.1080/02668734.2016.1185319,COM,True,False,0,,,0,data\raw_pep_metadata\psychoanalytic_psychotherapy\2016\psychoanalytic_psychotherapy_nopep_2016_art_id_PPTX._AND_year_2016.json
psychoanalytic_psychotherapy,Psychoanalytic Psychotherapy,,2016,PPTX.030.0201A,PPTX,2016,Editorial,Jessica Yakeley,Psychoanalytic Psychotherapy,30,3,201-203,10.1080/02668734.2016.1211425,COM,True,False,0,,,0,data\raw_pep_metadata\psychoanalytic_psychotherapy\2016\psychoanalytic_psychotherapy_nopep_2016_art_id_PPTX._AND_year_2016.json
psychoanalytic_psychotherapy,Psychoanalytic Psychotherapy,,2016,PPTX.030.0295A,PPTX,2016,Editorial,Jessica Yakeley,Psychoanalytic Psychotherapy,30,4,295-297,10.1080/02668734.2016.1254344,COM,True,False,0,,,0,data\raw_pep_metadata\psychoanalytic_psychotherapy\2016\psychoanalytic_psychotherapy_nopep_2016_art_id_PPTX._AND_year_2016.json
psychoanalytic_psychotherapy,Psychoanalytic Psychotherapy,,2016,PPTX.030.0376A,PPTX,2016,Books received since September 2016,,Psychoanalytic Psychotherapy,30,4,376,10.1080/02668734.2016.1254363,ART,True,False,0,,,0,data\raw_pep_metadata\psychoanalytic_psychotherapy\2016\psychoanalytic_psychotherapy_nopep_2016_art_id_PPTX._AND_year_2016.json
psychoanalytic_psychotherapy,Psychoanalytic Psychotherapy,,2016,PPTX.030.0023A,PPTX,2016,"Trauma, personality disorders and chronic depression – the role of the conversational model of psychodynamic psychotherapy in treatment resistant depression","Janine Stevenson,  Joan Haliburn and  Shaun Halovic",Psychoanalytic Psychotherapy,30,1,23-41,10.1080/02668734.2015.1107122,ART,True,True,6,treatment-resistant depression; Conversational Model; psychodynamic psychotherapy; personality disorders; trauma; comorbidity,documentInfoXML/artkwds,1,data\raw_pep_metadata\psychoanalytic_psychotherapy\2016\psychoanalytic_psychotherapy_nopep_2016_art_id_PPTX._AND_year_2016.json
psychoanalytic_psychotherapy,Psychoanalytic Psychotherapy,,2016,PPTX.030.0062A,PPTX,2016,"Othering, blame and shame when working with people living with HIV",Poul Rohleder,Psychoanalytic Psychotherapy,30,1,62-78,10.1080/02668734.2015.1107125,ART,True,True,5,HIV; stigma; othering; shame; sexuality,documentInfoXML/artkwds,1,data\raw_pep_metadata\psychoanalytic_psychotherapy\2016\psychoanalytic_psychotherapy_nopep_2016_art_id_PPTX._AND_year_2016.json
psychoanalytic_psychotherapy,Psychoanalytic Psychotherapy,,2016,PPTX.030.0096A,PPTX,2016,The Balint group experience for medical students: a pilot project,"Sheila O’Neill,  Kirsty Foster and  Alexa Gilbert-Obrart",Psychoanalytic Psychotherapy,30,1,96-108,10.1080/02668734.2015.1107124,ART,True,True,5,Balint group; medical students; doctor–patient relationship; group dynamics; empathy,documentInfoXML/artkwds,1,data\raw_pep_metadata\psychoanalytic_psychotherapy\2016\psychoanalytic_psychotherapy_nopep_2016_art_id_PPTX._AND_year_2016.json
psychoanalytic_psychotherapy,Psychoanalytic Psychotherapy,,2016,PPTX.030.0365A,PPTX,2016,Journeys in psychoanalysis: the selected work of Elizabeth Spillius,Stanley Ruszczynski,Psychoanalytic Psychotherapy,30,4,365-368,10.1080/02668734.2016.1245908,REV,True,False,0,,,0,data\raw_pep_metadata\psychoanalytic_psychotherapy\2016\psychoanalytic_psychotherapy_nopep_2016_art_id_PPTX._AND_year_2016.json
psychoanalytic_psychotherapy,Psychoanalytic Psychotherapy,,2016,PPTX.030.0369A,PPTX,2016,"Murdered father, dead father: revisiting the Oedipus Complex",Jessica Yakeley,Psychoanalytic Psychotherapy,30,4,369-372,10.1080/02668734.2016.1234135,REV,True,False,0,,,0,data\raw_pep_metadata\psychoanalytic_psychotherapy\2016\psychoanalytic_psychotherapy_nopep_2016_art_id_PPTX._AND_year_2016.json
psychoanalytic_psychotherapy,Psychoanalytic Psychotherapy,,2016,PPTX.030.0042A,PPTX,2016,"Clients’ experiences of dynamic interpersonal therapy (DIT): opportunities and challenges for brief, manualised psychodynamic therapy in the NHS","Venetia Leonidaki,  Alessandra Lemma and  Imogen Hobbis",Psychoanalytic Psychotherapy,30,1,42-61,10.1080/02668734.2015.1081266,ART,True,True,5,dynamic interpersonal therapy (DIT); brief psychodynamic psychotherapy; interpetative phenomenological analysis (IPA); qualitative research; clients’ experiences,documentInfoXML/artkwds,1,data\raw_pep_metadata\psychoanalytic_psychotherapy\2016\psychoanalytic_psychotherapy_nopep_2016_art_id_PPTX._AND_year_2016.json
psychoanalytic_psychotherapy,Psychoanalytic Psychotherapy,,2016,PPTX.030.0329A,PPTX,2016,"A new diagnosis of complex Post-traumatic Stress Disorder, PTSD – a window of opportunity for the treatment of patients in the NHS?",Catherine Matheson,Psychoanalytic Psychotherapy,30,4,329-344,10.1080/02668734.2016.1252943,ART,True,True,5,complex PTSD; refugees; childhood sexual abuse; personality disorder; psychodynamic theory,documentInfoXML/artkwds,1,data\raw_pep_metadata\psychoanalytic_psychotherapy\2016\psychoanalytic_psychotherapy_nopep_2016_art_id_PPTX._AND_year_2016.json
psychoanalytic_psychotherapy,Psychoanalytic Psychotherapy,,2016,PPTX.030.0164A,PPTX,2016,A child’s loss becomes a young man’s violence,Carine Minne,Psychoanalytic Psychotherapy,30,2,164-177,10.1080/02668734.2016.1171953,ART,True,True,3,forensic psychotherapy; personality disorders; psychosis,documentInfoXML/artkwds,1,data\raw_pep_metadata\psychoanalytic_psychotherapy\2016\psychoanalytic_psychotherapy_nopep_2016_art_id_PPTX._AND_year_2016.json
