journal_id,journal_label,pep_code_candidate,probe_year,document_id,pep_code_record,year_record,title,authors,source_title,volume,issue,pages,doi,article_type,keyword_order,keyword_raw,keyword_source,art_kwds_count,source_file
psychoanalytic_psychotherapy,Psychoanalytic Psychotherapy,,2020,PPTX.034.0129A,PPTX,2020,Psychoanalytic psychotherapy in Finland,Olavi Lindfors and  Matti Keinänen,Psychoanalytic Psychotherapy,34,2,129-146,10.1080/02668734.2020.1836675,ART,1,current care guidelines,documentInfoXML/artkwds,1,data\raw_pep_metadata\psychoanalytic_psychotherapy\2020\psychoanalytic_psychotherapy_nopep_2020_art_id_PPTX._AND_year_2020.json
psychoanalytic_psychotherapy,Psychoanalytic Psychotherapy,,2020,PPTX.034.0129A,PPTX,2020,Psychoanalytic psychotherapy in Finland,Olavi Lindfors and  Matti Keinänen,Psychoanalytic Psychotherapy,34,2,129-146,10.1080/02668734.2020.1836675,ART,2,evidence-based treatment,documentInfoXML/artkwds,1,data\raw_pep_metadata\psychoanalytic_psychotherapy\2020\psychoanalytic_psychotherapy_nopep_2020_art_id_PPTX._AND_year_2020.json
psychoanalytic_psychotherapy,Psychoanalytic Psychotherapy,,2020,PPTX.034.0129A,PPTX,2020,Psychoanalytic psychotherapy in Finland,Olavi Lindfors and  Matti Keinänen,Psychoanalytic Psychotherapy,34,2,129-146,10.1080/02668734.2020.1836675,ART,3,psychotherapy,documentInfoXML/artkwds,1,data\raw_pep_metadata\psychoanalytic_psychotherapy\2020\psychoanalytic_psychotherapy_nopep_2020_art_id_PPTX._AND_year_2020.json
psychoanalytic_psychotherapy,Psychoanalytic Psychotherapy,,2020,PPTX.034.0129A,PPTX,2020,Psychoanalytic psychotherapy in Finland,Olavi Lindfors and  Matti Keinänen,Psychoanalytic Psychotherapy,34,2,129-146,10.1080/02668734.2020.1836675,ART,4,health-care system,documentInfoXML/artkwds,1,data\raw_pep_metadata\psychoanalytic_psychotherapy\2020\psychoanalytic_psychotherapy_nopep_2020_art_id_PPTX._AND_year_2020.json
psychoanalytic_psychotherapy,Psychoanalytic Psychotherapy,,2020,PPTX.034.0205A,PPTX,2020,"Tinnitus, paranoid psychosis, homicide and the identificate in an amiable man",Philip Lucas,Psychoanalytic Psychotherapy,34,3,205-227,10.1080/02668734.2020.1821756,ART,1,homicide,documentInfoXML/artkwds,1,data\raw_pep_metadata\psychoanalytic_psychotherapy\2020\psychoanalytic_psychotherapy_nopep_2020_art_id_PPTX._AND_year_2020.json
psychoanalytic_psychotherapy,Psychoanalytic Psychotherapy,,2020,PPTX.034.0205A,PPTX,2020,"Tinnitus, paranoid psychosis, homicide and the identificate in an amiable man",Philip Lucas,Psychoanalytic Psychotherapy,34,3,205-227,10.1080/02668734.2020.1821756,ART,2,paranoid psychosis,documentInfoXML/artkwds,1,data\raw_pep_metadata\psychoanalytic_psychotherapy\2020\psychoanalytic_psychotherapy_nopep_2020_art_id_PPTX._AND_year_2020.json
psychoanalytic_psychotherapy,Psychoanalytic Psychotherapy,,2020,PPTX.034.0205A,PPTX,2020,"Tinnitus, paranoid psychosis, homicide and the identificate in an amiable man",Philip Lucas,Psychoanalytic Psychotherapy,34,3,205-227,10.1080/02668734.2020.1821756,ART,3,pathological organization,documentInfoXML/artkwds,1,data\raw_pep_metadata\psychoanalytic_psychotherapy\2020\psychoanalytic_psychotherapy_nopep_2020_art_id_PPTX._AND_year_2020.json
psychoanalytic_psychotherapy,Psychoanalytic Psychotherapy,,2020,PPTX.034.0205A,PPTX,2020,"Tinnitus, paranoid psychosis, homicide and the identificate in an amiable man",Philip Lucas,Psychoanalytic Psychotherapy,34,3,205-227,10.1080/02668734.2020.1821756,ART,4,identificate,documentInfoXML/artkwds,1,data\raw_pep_metadata\psychoanalytic_psychotherapy\2020\psychoanalytic_psychotherapy_nopep_2020_art_id_PPTX._AND_year_2020.json
psychoanalytic_psychotherapy,Psychoanalytic Psychotherapy,,2020,PPTX.034.0205A,PPTX,2020,"Tinnitus, paranoid psychosis, homicide and the identificate in an amiable man",Philip Lucas,Psychoanalytic Psychotherapy,34,3,205-227,10.1080/02668734.2020.1821756,ART,5,tinnitus,documentInfoXML/artkwds,1,data\raw_pep_metadata\psychoanalytic_psychotherapy\2020\psychoanalytic_psychotherapy_nopep_2020_art_id_PPTX._AND_year_2020.json
psychoanalytic_psychotherapy,Psychoanalytic Psychotherapy,,2020,PPTX.034.0278A,PPTX,2020,"Is a ‘good enough’ experience possible for patients and clinicians through remote consultations? A guide to surviving remote therapy, based on psychoanalytic and neuroscientific literature",Angeliki Zoumpouli,Psychoanalytic Psychotherapy,34,4,278-292,10.1080/02668734.2021.1875025,ART,1,attunement,documentInfoXML/artkwds,1,data\raw_pep_metadata\psychoanalytic_psychotherapy\2020\psychoanalytic_psychotherapy_nopep_2020_art_id_PPTX._AND_year_2020.json
psychoanalytic_psychotherapy,Psychoanalytic Psychotherapy,,2020,PPTX.034.0278A,PPTX,2020,"Is a ‘good enough’ experience possible for patients and clinicians through remote consultations? A guide to surviving remote therapy, based on psychoanalytic and neuroscientific literature",Angeliki Zoumpouli,Psychoanalytic Psychotherapy,34,4,278-292,10.1080/02668734.2021.1875025,ART,2,misattunement,documentInfoXML/artkwds,1,data\raw_pep_metadata\psychoanalytic_psychotherapy\2020\psychoanalytic_psychotherapy_nopep_2020_art_id_PPTX._AND_year_2020.json
psychoanalytic_psychotherapy,Psychoanalytic Psychotherapy,,2020,PPTX.034.0278A,PPTX,2020,"Is a ‘good enough’ experience possible for patients and clinicians through remote consultations? A guide to surviving remote therapy, based on psychoanalytic and neuroscientific literature",Angeliki Zoumpouli,Psychoanalytic Psychotherapy,34,4,278-292,10.1080/02668734.2021.1875025,ART,3,remote therapy,documentInfoXML/artkwds,1,data\raw_pep_metadata\psychoanalytic_psychotherapy\2020\psychoanalytic_psychotherapy_nopep_2020_art_id_PPTX._AND_year_2020.json
psychoanalytic_psychotherapy,Psychoanalytic Psychotherapy,,2020,PPTX.034.0278A,PPTX,2020,"Is a ‘good enough’ experience possible for patients and clinicians through remote consultations? A guide to surviving remote therapy, based on psychoanalytic and neuroscientific literature",Angeliki Zoumpouli,Psychoanalytic Psychotherapy,34,4,278-292,10.1080/02668734.2021.1875025,ART,4,holding,documentInfoXML/artkwds,1,data\raw_pep_metadata\psychoanalytic_psychotherapy\2020\psychoanalytic_psychotherapy_nopep_2020_art_id_PPTX._AND_year_2020.json
