journal_id,journal_title,probe_year,probe_role,target_source_priority,source_checked,source_url,issue_or_volume_url,sample_article_url,n_records_visible,has_title,has_authors,has_year,has_volume,has_issue,has_pages,has_doi,has_abstract,has_keywords,has_article_type,has_references,full_text_visible,pdf_link_visible,access_status,robots_or_terms_note,recommended_harvest_method,parser_difficulty,notes
ijpa,The International Journal of Psychoanalysis,1920,first_year,PEP-Web; publisher/Crossref validation,,,,,,,,,,,,,,,,,,,,,,,
ijpa,The International Journal of Psychoanalysis,1950,mid_century,PEP-Web,,,,,,,,,,,,,,,,,,,,,,,
ijpa,The International Journal of Psychoanalysis,1975,postwar_expansion,PEP-Web,,,,,,,,,,,,,,,,,,,,,,,
ijpa,The International Journal of Psychoanalysis,1995,late_20th_century,PEP-Web; Crossref if DOI coverage exists,,,,,,,,,,,,,,,,,,,,,,,
ijpa,The International Journal of Psychoanalysis,2005,comparison_baseline,Crossref; publisher; PEP-Web,,,,,,,,,,,,,,,,,,,,,,,
ijpa,The International Journal of Psychoanalysis,2020,recent_stable_year,publisher; Crossref; PEP-Web if available,,,,,,,,,,,,,,,,,,,,,,,
japa,Journal of the American Psychoanalytic Association,1953,first_year,PEP-Web; SAGE validation,,,,,,,,,,,,,,,,,,,,,,,
japa,Journal of the American Psychoanalytic Association,1975,postwar_expansion,PEP-Web,,,,,,,,,,,,,,,,,,,,,,,
japa,Journal of the American Psychoanalytic Association,1995,late_20th_century,PEP-Web; Crossref if DOI coverage exists,,,,,,,,,,,,,,,,,,,,,,,
japa,Journal of the American Psychoanalytic Association,2005,comparison_baseline,SAGE; Crossref; PEP-Web,,,,,,,,,,,,,,,,,,,,,,,
japa,Journal of the American Psychoanalytic Association,2020,recent_stable_year,SAGE; Crossref; PEP-Web if available,,,,,,,,,,,,,,,,,,,,,,,
psychoanalytic_psychology,Psychoanalytic Psychology,1984,first_year,APA; PEP-Web; Crossref validation,,,,,,,,,,,,,,,,,,,,,,,
psychoanalytic_psychology,Psychoanalytic Psychology,1995,late_20th_century,APA; PEP-Web; Crossref,,,,,,,,,,,,,,,,,,,,,,,
psychoanalytic_psychology,Psychoanalytic Psychology,2005,comparison_baseline,APA; Crossref; PEP-Web,,,,,,,,,,,,,,,,,,,,,,,
psychoanalytic_psychology,Psychoanalytic Psychology,2020,recent_stable_year,APA; Crossref,,,,,,,,,,,,,,,,,,,,,,,
psychoanalytic_dialogues,Psychoanalytic Dialogues,1991,first_year,T&F; PEP-Web; Crossref validation,,,,,,,,,,,,,,,,,,,,,,,
psychoanalytic_dialogues,Psychoanalytic Dialogues,2000,early_mature_phase,T&F; PEP-Web; Crossref,,,,,,,,,,,,,,,,,,,,,,,
psychoanalytic_dialogues,Psychoanalytic Dialogues,2005,comparison_baseline,T&F; Crossref; PEP-Web,,,,,,,,,,,,,,,,,,,,,,,
psychoanalytic_dialogues,Psychoanalytic Dialogues,2020,recent_stable_year,T&F; Crossref,,,,,,,,,,,,,,,,,,,,,,,
psychoanalytic_psychotherapy,Psychoanalytic Psychotherapy,1985,approximate_early_year_to_verify,T&F; PEP-Web; Crossref validation,,,,,,,,,,,,,,,,,,,,,,,
psychoanalytic_psychotherapy,Psychoanalytic Psychotherapy,1995,late_20th_century,T&F; PEP-Web; Crossref,,,,,,,,,,,,,,,,,,,,,,,
psychoanalytic_psychotherapy,Psychoanalytic Psychotherapy,2005,comparison_baseline,T&F; Crossref; PEP-Web,,,,,,,,,,,,,,,,,,,,,,,
psychoanalytic_psychotherapy,Psychoanalytic Psychotherapy,2020,recent_stable_year,T&F; Crossref,,,,,,,,,,,,,,,,,,,,,,,
