journal_id,journal_label,pep_code_candidate,probe_year,document_id,pep_code_record,year_record,title,authors,source_title,volume,issue,pages,doi,article_type,has_abstract,has_keywords,n_keywords,keywords_joined,keyword_source,art_kwds_count,source_file,harvest_file,harvest_year_from_filename
ijpa,International Journal of Psychoanalysis,IJP,1920,IJP.001.0420A,IJP,1920,A Trivial Incident,X.,International Journal of Psychoanalysis ,1,,420-422,,ART,True,False,0,,,0,data\raw_pep_metadata\ijpa\1920\ijpa_IJP_1920_art_id_IJP._AND_year_1920.json,C:\Users\lkali\Documents\GitHub\andromeda\data_psychoanalytic_core\data\harvest\articles_by_year\ijpa\ijpa_1920_pep_articles_raw.csv,1920
ijpa,International Journal of Psychoanalysis,IJP,1920,IJP.001.0340A,IJP,1920,Notes,,International Journal of Psychoanalysis ,1,,340-341,,ART,True,False,0,,,0,data\raw_pep_metadata\ijpa\1920\ijpa_IJP_1920_art_id_IJP._AND_year_1920.json,C:\Users\lkali\Documents\GitHub\andromeda\data_psychoanalytic_core\data\harvest\articles_by_year\ijpa\ijpa_1920_pep_articles_raw.csv,1920
ijpa,International Journal of Psychoanalysis,IJP,1920,IJP.001.0273A,IJP,1920,A Substitutive Memory,Ernest Jones,International Journal of Psychoanalysis ,1,,273-274,,ART,True,False,0,,,0,data\raw_pep_metadata\ijpa\1920\ijpa_IJP_1920_art_id_IJP._AND_year_1920.json,C:\Users\lkali\Documents\GitHub\andromeda\data_psychoanalytic_core\data\harvest\articles_by_year\ijpa\ijpa_1920_pep_articles_raw.csv,1920
ijpa,International Journal of Psychoanalysis,IJP,1920,IJP.001.0445A,IJP,1920,The Literature in Dutch,August Stärcke,International Journal of Psychoanalysis ,1,,445-447,,ART,True,False,0,,,0,data\raw_pep_metadata\ijpa\1920\ijpa_IJP_1920_art_id_IJP._AND_year_1920.json,C:\Users\lkali\Documents\GitHub\andromeda\data_psychoanalytic_core\data\harvest\articles_by_year\ijpa\ijpa_1920_pep_articles_raw.csv,1920
ijpa,International Journal of Psychoanalysis,IJP,1920,IJP.001.0455A,IJP,1920,Italian Literature,Edoardo Weiss,International Journal of Psychoanalysis ,1,,455-456,,ART,True,False,0,,,0,data\raw_pep_metadata\ijpa\1920\ijpa_IJP_1920_art_id_IJP._AND_year_1920.json,C:\Users\lkali\Documents\GitHub\andromeda\data_psychoanalytic_core\data\harvest\articles_by_year\ijpa\ijpa_1920_pep_articles_raw.csv,1920
ijpa,International Journal of Psychoanalysis,IJP,1920,IJP.001.0457A,IJP,1920,The Literature in Spanish,K. Abraham,International Journal of Psychoanalysis ,1,,457-458,,ART,True,False,0,,,0,data\raw_pep_metadata\ijpa\1920\ijpa_IJP_1920_art_id_IJP._AND_year_1920.json,C:\Users\lkali\Documents\GitHub\andromeda\data_psychoanalytic_core\data\harvest\articles_by_year\ijpa\ijpa_1920_pep_articles_raw.csv,1920
ijpa,International Journal of Psychoanalysis,IJP,1920,IJP.001.0196A,IJP,1920,A Note on William Blake's Lyrics,J. W. Preger,International Journal of Psychoanalysis ,1,,196-199,,ART,True,False,0,,,0,data\raw_pep_metadata\ijpa\1920\ijpa_IJP_1920_art_id_IJP._AND_year_1920.json,C:\Users\lkali\Documents\GitHub\andromeda\data_psychoanalytic_core\data\harvest\articles_by_year\ijpa\ijpa_1920_pep_articles_raw.csv,1920
ijpa,International Journal of Psychoanalysis,IJP,1920,IJP.001.0056A,IJP,1920,Freud's Psychology,Douglas Bryan,International Journal of Psychoanalysis ,1,,56-67,,ART,True,False,0,,,0,data\raw_pep_metadata\ijpa\1920\ijpa_IJP_1920_art_id_IJP._AND_year_1920.json,C:\Users\lkali\Documents\GitHub\andromeda\data_psychoanalytic_core\data\harvest\articles_by_year\ijpa\ijpa_1920_pep_articles_raw.csv,1920
ijpa,International Journal of Psychoanalysis,IJP,1920,IJP.001.0204A,IJP,1920,Ambivalence in a Slip of the Tongue,C. P. Oberndorf,International Journal of Psychoanalysis ,1,,204-204,,ART,True,False,0,,,0,data\raw_pep_metadata\ijpa\1920\ijpa_IJP_1920_art_id_IJP._AND_year_1920.json,C:\Users\lkali\Documents\GitHub\andromeda\data_psychoanalytic_core\data\harvest\articles_by_year\ijpa\ijpa_1920_pep_articles_raw.csv,1920
ijpa,International Journal of Psychoanalysis,IJP,1920,IJP.001.0423A,IJP,1920,Word-Play in Dreams,Douglas Bryan,International Journal of Psychoanalysis ,1,,423-423,,ART,True,False,0,,,0,data\raw_pep_metadata\ijpa\1920\ijpa_IJP_1920_art_id_IJP._AND_year_1920.json,C:\Users\lkali\Documents\GitHub\andromeda\data_psychoanalytic_core\data\harvest\articles_by_year\ijpa\ijpa_1920_pep_articles_raw.csv,1920
ijpa,International Journal of Psychoanalysis,IJP,1920,IJP.001.0396A,IJP,1920,Erotism as Portrayed in Literature,Frederic J. Farnell,International Journal of Psychoanalysis ,1,,396-413,,ART,True,False,0,,,0,data\raw_pep_metadata\ijpa\1920\ijpa_IJP_1920_art_id_IJP._AND_year_1920.json,C:\Users\lkali\Documents\GitHub\andromeda\data_psychoanalytic_core\data\harvest\articles_by_year\ijpa\ijpa_1920_pep_articles_raw.csv,1920
ijpa,International Journal of Psychoanalysis,IJP,1920,IJP.001.0271A,IJP,1920,A Revived Sensation-Memory,Barbara Low,International Journal of Psychoanalysis ,1,,271-272,,ART,True,False,0,,,0,data\raw_pep_metadata\ijpa\1920\ijpa_IJP_1920_art_id_IJP._AND_year_1920.json,C:\Users\lkali\Documents\GitHub\andromeda\data_psychoanalytic_core\data\harvest\articles_by_year\ijpa\ijpa_1920_pep_articles_raw.csv,1920
ijpa,International Journal of Psychoanalysis,IJP,1920,IJP.001.0268A,IJP,1920,An Instance of the Care Needed in Drawing Conclusions,Douglas Bryan,International Journal of Psychoanalysis ,1,,268-270,,ART,True,False,0,,,0,data\raw_pep_metadata\ijpa\1920\ijpa_IJP_1920_art_id_IJP._AND_year_1920.json,C:\Users\lkali\Documents\GitHub\andromeda\data_psychoanalytic_core\data\harvest\articles_by_year\ijpa\ijpa_1920_pep_articles_raw.csv,1920
ijpa,International Journal of Psychoanalysis,IJP,1920,IJP.001.0203A,IJP,1920,The Symbolism of Being Run Over,Ernest Jones,International Journal of Psychoanalysis ,1,,203-203,,ART,True,False,0,,,0,data\raw_pep_metadata\ijpa\1920\ijpa_IJP_1920_art_id_IJP._AND_year_1920.json,C:\Users\lkali\Documents\GitHub\andromeda\data_psychoanalytic_core\data\harvest\articles_by_year\ijpa\ijpa_1920_pep_articles_raw.csv,1920
ijpa,International Journal of Psychoanalysis,IJP,1920,IJP.001.0280A,IJP,1920,Special Pathology and Therapy of the Neuroses and Psychoses,Karl Abraham,International Journal of Psychoanalysis ,1,,280-281,,ART,True,False,0,,,0,data\raw_pep_metadata\ijpa\1920\ijpa_IJP_1920_art_id_IJP._AND_year_1920.json,C:\Users\lkali\Documents\GitHub\andromeda\data_psychoanalytic_core\data\harvest\articles_by_year\ijpa\ijpa_1920_pep_articles_raw.csv,1920
ijpa,International Journal of Psychoanalysis,IJP,1920,IJP.001.0262A,IJP,1920,The Wish to be a Man,Hanns Sachs,International Journal of Psychoanalysis ,1,,262-267,,ART,True,False,0,,,0,data\raw_pep_metadata\ijpa\1920\ijpa_IJP_1920_art_id_IJP._AND_year_1920.json,C:\Users\lkali\Documents\GitHub\andromeda\data_psychoanalytic_core\data\harvest\articles_by_year\ijpa\ijpa_1920_pep_articles_raw.csv,1920
