journal_id,journal_label,pep_code_candidate,probe_year,document_id,pep_code_record,year_record,title,authors,source_title,volume,issue,pages,doi,article_type,has_abstract,has_keywords,n_keywords,keywords_joined,keyword_source,art_kwds_count,source_file,harvest_file,harvest_year_from_filename,exclusion_reason
japa,Journal of the American Psychoanalytic Association,APA,1953,APA.001.0574A,APA,1953,Erratum,,Journal of the American Psychoanalytic Association,1,,574,,ERA,True,False,0,,,0,data\raw_pep_metadata\japa\1953\japa_APA_1953_art_id_APA._AND_year_1953.json,C:\Users\lkali\Documents\GitHub\andromeda\data_psychoanalytic_core\data\harvest\articles_by_year\japa\japa_1953_pep_articles_raw.csv,1953,article_type_not_ART
japa,Journal of the American Psychoanalytic Association,APA,1953,APA.001.0718A,APA,1953,Erratum,,Journal of the American Psychoanalytic Association,1,,718,,ERA,True,False,0,,,0,data\raw_pep_metadata\japa\1953\japa_APA_1953_art_id_APA._AND_year_1953.json,C:\Users\lkali\Documents\GitHub\andromeda\data_psychoanalytic_core\data\harvest\articles_by_year\japa\japa_1953_pep_articles_raw.csv,1953,article_type_not_ART
japa,Journal of the American Psychoanalytic Association,APA,1953,APA.001.0562A,APA,1953,IV. Problems of Hypertension,Maurice Levine and  Nathan W. Ackerman,Journal of the American Psychoanalytic Association,1,,562-574,,REP,True,False,0,,,0,data\raw_pep_metadata\japa\1953\japa_APA_1953_art_id_APA._AND_year_1953.json,C:\Users\lkali\Documents\GitHub\andromeda\data_psychoanalytic_core\data\harvest\articles_by_year\japa\japa_1953_pep_articles_raw.csv,1953,article_type_not_ART
japa,Journal of the American Psychoanalytic Association,APA,1953,APA.001.0550A,APA,1953,III. the Essentials of Psychotherapy as Viewed by the Psychoanalyst,Adelaide Johnson and  O. Spurgeon English,Journal of the American Psychoanalytic Association,1,,550-561,,REP,True,False,0,,,0,data\raw_pep_metadata\japa\1953\japa_APA_1953_art_id_APA._AND_year_1953.json,C:\Users\lkali\Documents\GitHub\andromeda\data_psychoanalytic_core\data\harvest\articles_by_year\japa\japa_1953_pep_articles_raw.csv,1953,article_type_not_ART
japa,Journal of the American Psychoanalytic Association,APA,1953,APA.001.0526A,APA,1953,"Panel Reports—midwinter Meeting, 1952—I. the Traditional Psychoanalytic Technique and its Variations",Douglas Orr and  Elizabeth R. Zetzel,Journal of the American Psychoanalytic Association,1,,526-537,,REP,True,False,0,,,0,data\raw_pep_metadata\japa\1953\japa_APA_1953_art_id_APA._AND_year_1953.json,C:\Users\lkali\Documents\GitHub\andromeda\data_psychoanalytic_core\data\harvest\articles_by_year\japa\japa_1953_pep_articles_raw.csv,1953,article_type_not_ART
japa,Journal of the American Psychoanalytic Association,APA,1953,APA.001.0538A,APA,1953,II. Problems of Identification,Robert Fliess and  Herbert A. Wiggers,Journal of the American Psychoanalytic Association,1,,538-549,,REP,True,False,0,,,0,data\raw_pep_metadata\japa\1953\japa_APA_1953_art_id_APA._AND_year_1953.json,C:\Users\lkali\Documents\GitHub\andromeda\data_psychoanalytic_core\data\harvest\articles_by_year\japa\japa_1953_pep_articles_raw.csv,1953,article_type_not_ART
japa,Journal of the American Psychoanalytic Association,APA,1954,APA.002.0535A,APA,1954,Book Notices,,Journal of the American Psychoanalytic Association,2,,535-543,,REV,True,False,0,,,0,data\raw_pep_metadata\japa\1954\japa_APA_1954_art_id_APA._AND_year_1954.json,C:\Users\lkali\Documents\GitHub\andromeda\data_psychoanalytic_core\data\harvest\articles_by_year\japa\japa_1954_pep_articles_raw.csv,1954,article_type_not_ART
japa,Journal of the American Psychoanalytic Association,APA,1954,APA.002.0166A,APA,1954,II. Homeostasis and Ego Function,Roy R. Grinker and  Martin A. Berezin,Journal of the American Psychoanalytic Association,2,,166-175,,REP,True,False,0,,,0,data\raw_pep_metadata\japa\1954\japa_APA_1954_art_id_APA._AND_year_1954.json,C:\Users\lkali\Documents\GitHub\andromeda\data_psychoanalytic_core\data\harvest\articles_by_year\japa\japa_1954_pep_articles_raw.csv,1954,article_type_not_ART
japa,Journal of the American Psychoanalytic Association,APA,1954,APA.002.0546A,APA,1954,"Clarence P. Oberndorf, M.D—1882-1954",,Journal of the American Psychoanalytic Association,2,,546-552,,PRO,True,False,0,,,0,data\raw_pep_metadata\japa\1954\japa_APA_1954_art_id_APA._AND_year_1954.json,C:\Users\lkali\Documents\GitHub\andromeda\data_psychoanalytic_core\data\harvest\articles_by_year\japa\japa_1954_pep_articles_raw.csv,1954,article_type_not_ART
japa,Journal of the American Psychoanalytic Association,APA,1954,APA.002.0327A,APA,1954,II. Child Analysis,George E. Gardner and  Eveoleen N. Rexford,Journal of the American Psychoanalytic Association,2,,327-335,,REP,True,False,0,,,0,data\raw_pep_metadata\japa\1954\japa_APA_1954_art_id_APA._AND_year_1954.json,C:\Users\lkali\Documents\GitHub\andromeda\data_psychoanalytic_core\data\harvest\articles_by_year\japa\japa_1954_pep_articles_raw.csv,1954,article_type_not_ART
