field,present_as_column,actual_column,n_nonempty,pct_nonempty
article_id,False,,0,0.0
journal_key,True,journal_key,24393,100.0
journal_label,True,journal_label,24393,100.0
pep_prefix,True,pep_prefix,24393,100.0
source_title,True,source_title,24393,100.0
year,False,,0,0.0
volume,True,volume,24393,100.0
issue_number,False,,0,0.0
title,True,title,24390,99.99
authors,True,authors,22722,93.15
pages,True,pages,24393,100.0
doi,True,doi,6211,25.46
article_type,True,article_type,24393,100.0
abstract_text,False,,0,0.0
n_keywords,True,n_keywords,24393,100.0
keyword_extraction_source,False,,0,0.0
