journal_key,year,n_records_raw,n_ART,n_non_ART,n_with_doi,n_with_title,n_with_authors
ijpa,1920,66,34,32,0,66,61
ijpa,1921,75,31,44,0,75,70
ijpa,1922,179,25,154,0,179,177
ijpa,1923,174,27,147,0,174,169
ijpa,1924,153,30,123,0,153,148
ijpa,1925,169,36,133,0,169,165
ijpa,1926,118,37,81,0,118,107
ijpa,1927,110,28,82,0,110,104
ijpa,1928,68,23,45,0,68,66
ijpa,1929,69,45,24,0,69,66
ijpa,1930,80,41,39,0,80,79
ijpa,1931,75,24,51,0,75,74
ijpa,1932,60,17,43,0,60,58
ijpa,1933,127,20,107,0,127,121
ijpa,1934,187,24,163,0,187,182
ijpa,1935,146,29,117,0,146,138
ijpa,1936,148,28,120,0,148,142
ijpa,1937,95,13,82,0,95,87
ijpa,1938,144,26,118,0,144,134
ijpa,1939,96,42,54,0,96,88
ijpa,1940,167,14,153,0,167,152
ijpa,1941,56,18,38,0,56,52
ijpa,1942,74,14,60,0,74,60
ijpa,1943,55,24,31,0,55,51
ijpa,1944,33,16,17,0,33,32
ijpa,1945,49,20,29,0,49,48
ijpa,1946,46,21,25,0,46,45
ijpa,1947,47,14,33,0,47,43
ijpa,1948,106,22,84,0,106,99
ijpa,1949,54,26,28,0,54,48
ijpa,1950,71,44,27,0,71,68
ijpa,1951,103,32,71,0,103,82
ijpa,1952,104,50,54,0,104,84
ijpa,1953,198,41,157,0,198,119
ijpa,1954,154,55,99,0,154,108
ijpa,1955,227,44,183,0,227,138
ijpa,1956,181,57,124,0,181,126
ijpa,1957,163,48,115,0,163,105
ijpa,1958,174,70,104,0,174,118
ijpa,1959,191,49,142,0,191,103
ijpa,1960,154,70,84,0,154,110
ijpa,1961,87,50,37,0,87,64
ijpa,1962,96,65,31,0,96,91
ijpa,1963,77,54,23,0,77,71
ijpa,1964,115,66,49,0,115,101
ijpa,1965,86,47,39,0,86,83
ijpa,1966,89,63,26,0,89,85
ijpa,1967,75,43,32,0,75,71
ijpa,1968,144,106,38,0,144,141
ijpa,1969,114,68,46,0,114,83
ijpa,1970,137,45,92,0,137,64
ijpa,1971,97,46,51,0,97,67
ijpa,1972,101,58,43,0,101,78
ijpa,1973,82,47,35,0,82,63
ijpa,1974,85,80,5,0,85,82
ijpa,1975,85,37,48,0,85,80
ijpa,1976,70,50,20,0,70,69
ijpa,1977,46,40,6,0,46,44
ijpa,1978,60,48,12,0,60,56
ijpa,1979,59,40,19,0,59,53
ijpa,1980,57,42,15,0,57,54
ijpa,1981,62,40,22,0,62,57
ijpa,1982,69,43,26,0,69,65
ijpa,1983,66,37,29,0,66,59
ijpa,1984,64,38,26,0,64,58
ijpa,1985,62,38,24,0,62,59
ijpa,1986,72,38,34,0,72,69
ijpa,1987,78,40,38,0,78,69
ijpa,1988,75,47,28,0,75,66
ijpa,1989,92,61,31,0,92,83
ijpa,1990,97,53,44,0,97,93
ijpa,1991,98,57,41,0,98,94
ijpa,1992,94,56,38,0,94,89
ijpa,1993,186,86,100,0,186,183
ijpa,1994,138,85,53,0,138,135
ijpa,1995,161,82,79,0,161,161
ijpa,1996,163,50,113,0,163,162
ijpa,1997,172,61,111,0,172,172
ijpa,1998,187,55,132,0,187,186
ijpa,1999,159,56,103,0,159,159
ijpa,2000,167,60,107,0,167,165
ijpa,2001,158,62,96,0,158,158
ijpa,2002,202,76,126,0,202,197
ijpa,2003,176,91,85,0,176,174
ijpa,2004,194,88,106,0,194,194
ijpa,2005,185,87,98,0,185,183
ijpa,2006,189,80,109,0,189,184
ijpa,2007,155,72,83,0,155,155
ijpa,2008,142,65,77,0,142,138
ijpa,2009,147,74,73,0,147,144
ijpa,2010,173,107,66,0,173,169
ijpa,2011,130,83,47,31,130,127
ijpa,2012,145,69,76,109,145,142
ijpa,2013,128,61,67,99,128,123
ijpa,2014,117,67,50,109,117,114
ijpa,2015,116,76,40,116,116,114
ijpa,2016,138,76,62,138,138,136
ijpa,2017,137,80,57,137,137,135
ijpa,2018,132,79,53,132,132,130
ijpa,2019,144,97,47,144,144,142
ijpa,2020,130,77,53,130,130,125
ijpa,2021,127,68,59,127,127,110
ijpa,2022,105,66,39,105,105,102
ijpa,2023,116,68,48,116,116,116
ijpa,2024,107,73,34,107,107,105
ijpa,2025,120,74,46,120,120,119
japa,1953,34,28,6,0,34,32
japa,1954,50,41,9,0,50,48
japa,1955,43,32,11,0,43,41
japa,1956,40,27,13,0,40,35
japa,1957,43,34,9,0,43,42
japa,1958,42,31,11,0,42,40
japa,1959,35,26,9,0,35,34
japa,1960,36,25,11,0,36,34
japa,1961,42,33,9,0,42,40
japa,1962,46,35,11,0,46,43
japa,1963,40,31,9,0,40,39
japa,1964,43,32,11,0,43,42
japa,1965,39,29,10,0,39,35
japa,1966,36,26,10,0,36,32
japa,1967,41,29,12,0,41,35
japa,1968,44,35,9,0,44,42
japa,1969,52,44,8,0,52,51
japa,1970,43,32,11,0,43,41
japa,1971,44,31,13,0,44,41
japa,1972,45,34,11,0,45,43
japa,1973,47,33,14,0,47,45
japa,1974,54,39,15,0,54,52
japa,1975,52,30,22,0,52,51
japa,1976,62,45,17,0,62,59
japa,1977,46,31,15,0,46,44
japa,1978,43,30,13,0,43,41
japa,1979,68,44,24,0,68,64
japa,1980,38,29,9,0,38,35
japa,1981,43,29,14,0,43,41
japa,1982,52,30,22,0,52,50
japa,1983,64,38,26,0,64,61
japa,1984,67,28,39,0,67,67
japa,1985,102,35,67,0,102,102
japa,1986,60,32,28,0,60,59
japa,1987,65,29,36,0,65,65
japa,1988,116,46,70,0,116,116
japa,1989,70,36,34,0,70,70
japa,1990,54,37,17,0,54,54
japa,1991,94,54,40,0,94,94
japa,1992,88,36,52,0,88,88
japa,1993,115,57,58,0,115,115
japa,1994,109,38,71,0,109,107
japa,1995,134,31,103,0,134,133
japa,1996,148,59,89,0,148,138
japa,1997,141,40,101,0,141,136
japa,1998,151,35,116,0,151,140
japa,1999,149,60,89,0,146,137
japa,2000,141,48,93,0,141,135
japa,2001,123,47,76,0,123,112
japa,2002,141,40,101,0,141,132
japa,2003,142,57,85,0,142,139
japa,2004,134,39,95,0,134,132
japa,2005,130,44,86,0,130,130
japa,2006,119,58,61,0,119,118
japa,2007,111,54,57,0,111,111
japa,2008,114,64,50,0,114,114
japa,2009,123,77,46,17,123,123
japa,2010,106,54,52,0,106,104
japa,2011,96,52,44,39,96,93
japa,2012,120,48,72,116,120,114
japa,2013,106,38,68,106,106,100
japa,2014,126,50,76,120,126,114
japa,2015,149,63,86,147,149,141
japa,2016,118,40,78,112,118,104
japa,2017,99,33,66,98,99,91
japa,2018,100,40,60,93,100,87
japa,2019,100,31,69,95,100,89
japa,2020,112,51,61,106,112,100
japa,2021,112,48,64,106,112,97
japa,2022,106,41,65,99,106,94
japa,2023,104,52,52,101,104,96
japa,2024,91,50,41,83,91,77
japa,2025,82,39,43,81,82,80
psychoanalytic_dialogues,1991,35,13,22,0,35,34
psychoanalytic_dialogues,1992,38,16,22,0,38,37
psychoanalytic_dialogues,1993,47,22,25,0,47,46
psychoanalytic_dialogues,1994,48,19,29,0,48,48
psychoanalytic_dialogues,1995,55,35,20,0,55,54
psychoanalytic_dialogues,1996,54,18,36,0,54,54
psychoanalytic_dialogues,1997,59,37,22,0,59,59
psychoanalytic_dialogues,1998,65,26,39,0,65,65
psychoanalytic_dialogues,1999,65,43,22,0,65,64
psychoanalytic_dialogues,2000,75,53,22,0,75,75
psychoanalytic_dialogues,2001,57,18,39,0,57,56
psychoanalytic_dialogues,2002,68,28,40,0,68,67
psychoanalytic_dialogues,2003,55,38,17,0,55,52
psychoanalytic_dialogues,2004,52,33,19,0,52,51
psychoanalytic_dialogues,2005,69,18,51,0,69,69
psychoanalytic_dialogues,2006,61,32,29,0,61,60
psychoanalytic_dialogues,2007,70,23,47,0,70,70
psychoanalytic_dialogues,2008,60,29,31,0,60,59
psychoanalytic_dialogues,2009,72,34,38,72,72,71
psychoanalytic_dialogues,2010,73,34,39,73,73,73
psychoanalytic_dialogues,2011,75,37,38,75,75,74
psychoanalytic_dialogues,2012,79,34,45,79,79,77
psychoanalytic_dialogues,2013,84,48,36,84,84,80
psychoanalytic_dialogues,2014,76,49,27,76,76,74
psychoanalytic_dialogues,2015,75,46,29,75,75,74
psychoanalytic_dialogues,2016,87,61,26,87,87,85
psychoanalytic_dialogues,2017,98,75,23,98,98,97
psychoanalytic_dialogues,2018,87,61,26,87,87,86
psychoanalytic_dialogues,2019,75,56,19,75,75,75
psychoanalytic_dialogues,2020,87,74,13,87,87,87
psychoanalytic_dialogues,2021,108,81,27,108,108,106
psychoanalytic_dialogues,2022,84,72,12,84,84,84
psychoanalytic_dialogues,2023,96,92,4,96,96,96
psychoanalytic_dialogues,2024,107,103,4,107,107,107
psychoanalytic_dialogues,2025,120,120,0,120,120,120
psychoanalytic_psychology,1984,28,17,11,0,28,28
psychoanalytic_psychology,1985,27,17,10,0,27,27
psychoanalytic_psychology,1986,33,22,11,0,33,33
psychoanalytic_psychology,1987,32,19,13,0,32,31
psychoanalytic_psychology,1988,27,21,6,0,27,27
psychoanalytic_psychology,1989,40,27,13,0,40,38
psychoanalytic_psychology,1990,48,31,17,0,48,46
psychoanalytic_psychology,1991,34,18,16,0,34,33
psychoanalytic_psychology,1992,47,29,18,0,47,46
psychoanalytic_psychology,1993,53,29,24,0,53,51
psychoanalytic_psychology,1994,43,35,8,0,43,42
psychoanalytic_psychology,1995,57,36,21,0,57,56
psychoanalytic_psychology,1996,45,24,21,0,45,41
psychoanalytic_psychology,1997,42,28,14,0,42,42
psychoanalytic_psychology,1998,39,24,15,0,39,39
psychoanalytic_psychology,1999,50,27,23,0,50,50
psychoanalytic_psychology,2000,56,32,24,0,56,56
psychoanalytic_psychology,2001,57,32,25,0,57,57
psychoanalytic_psychology,2002,50,30,20,0,50,50
psychoanalytic_psychology,2003,67,39,28,0,67,67
psychoanalytic_psychology,2004,56,39,17,0,56,56
psychoanalytic_psychology,2005,42,23,19,0,42,42
psychoanalytic_psychology,2006,58,46,12,0,58,58
psychoanalytic_psychology,2007,64,35,29,0,64,62
psychoanalytic_psychology,2008,50,36,14,0,50,50
psychoanalytic_psychology,2009,33,29,4,0,33,31
psychoanalytic_psychology,2010,46,30,16,0,46,42
psychoanalytic_psychology,2011,48,38,10,0,48,41
psychoanalytic_psychology,2012,48,36,12,41,48,39
psychoanalytic_psychology,2013,57,38,19,51,57,49
psychoanalytic_psychology,2014,57,39,18,53,57,51
psychoanalytic_psychology,2015,50,33,17,46,50,45
psychoanalytic_psychology,2016,77,53,24,71,77,67
psychoanalytic_psychology,2017,77,55,22,73,77,72
psychoanalytic_psychology,2018,63,54,9,59,63,57
psychoanalytic_psychology,2019,63,37,26,59,63,59
psychoanalytic_psychology,2020,51,36,15,47,51,45
psychoanalytic_psychology,2021,66,48,18,62,66,61
psychoanalytic_psychology,2022,52,38,14,48,52,46
psychoanalytic_psychology,2023,69,50,19,65,69,65
psychoanalytic_psychology,2024,31,18,13,31,31,31
psychoanalytic_psychology,2025,38,21,17,38,38,38
psychoanalytic_psychotherapy,1987,11,7,4,0,11,11
psychoanalytic_psychotherapy,1988,24,12,12,0,24,23
psychoanalytic_psychotherapy,1989,29,20,9,0,29,27
psychoanalytic_psychotherapy,1990,12,5,7,0,12,12
psychoanalytic_psychotherapy,1991,23,11,12,0,23,23
psychoanalytic_psychotherapy,1992,37,21,16,0,37,36
psychoanalytic_psychotherapy,1993,34,17,17,0,34,33
psychoanalytic_psychotherapy,1994,39,22,17,0,39,38
psychoanalytic_psychotherapy,1995,36,22,14,0,36,35
psychoanalytic_psychotherapy,1996,38,17,21,0,38,38
psychoanalytic_psychotherapy,1997,37,18,19,0,37,37
psychoanalytic_psychotherapy,1998,51,23,28,0,51,46
psychoanalytic_psychotherapy,1999,39,17,22,0,39,39
psychoanalytic_psychotherapy,2000,37,17,20,0,37,37
psychoanalytic_psychotherapy,2001,29,14,15,0,29,29
psychoanalytic_psychotherapy,2002,27,22,5,0,27,27
psychoanalytic_psychotherapy,2003,34,19,15,0,34,34
psychoanalytic_psychotherapy,2004,46,27,19,0,46,43
psychoanalytic_psychotherapy,2005,31,17,14,11,31,29
psychoanalytic_psychotherapy,2006,24,19,5,24,24,19
psychoanalytic_psychotherapy,2007,23,18,5,23,23,19
psychoanalytic_psychotherapy,2008,39,34,5,39,39,24
psychoanalytic_psychotherapy,2009,45,39,6,45,45,37
psychoanalytic_psychotherapy,2010,45,38,7,45,45,42
psychoanalytic_psychotherapy,2011,47,35,12,47,47,41
psychoanalytic_psychotherapy,2012,38,23,15,38,38,34
psychoanalytic_psychotherapy,2013,38,25,13,38,38,34
psychoanalytic_psychotherapy,2014,45,26,19,45,45,42
psychoanalytic_psychotherapy,2015,37,29,8,37,37,34
psychoanalytic_psychotherapy,2016,41,29,12,41,41,35
psychoanalytic_psychotherapy,2017,39,28,11,39,39,36
psychoanalytic_psychotherapy,2018,34,29,5,34,34,34
psychoanalytic_psychotherapy,2019,34,27,7,34,34,29
psychoanalytic_psychotherapy,2020,32,28,4,32,32,29
psychoanalytic_psychotherapy,2021,35,31,4,35,35,31
psychoanalytic_psychotherapy,2022,33,23,10,33,33,31
psychoanalytic_psychotherapy,2023,37,19,18,37,37,31
psychoanalytic_psychotherapy,2024,39,25,14,39,39,37
psychoanalytic_psychotherapy,2025,29,17,12,29,29,25
