journal_key,year,n_keyword_rows
ijpa,2002,275
ijpa,2003,588
ijpa,2004,428
ijpa,2005,484
ijpa,2006,491
ijpa,2007,482
ijpa,2008,271
ijpa,2009,327
ijpa,2010,320
ijpa,2011,364
ijpa,2012,297
ijpa,2013,195
ijpa,2014,271
ijpa,2015,362
ijpa,2016,337
ijpa,2017,410
ijpa,2018,286
ijpa,2019,199
ijpa,2020,210
ijpa,2021,240
ijpa,2022,214
ijpa,2023,211
ijpa,2024,236
ijpa,2025,286
japa,2014,113
japa,2015,118
japa,2016,106
japa,2017,59
japa,2018,152
japa,2019,107
japa,2020,158
japa,2021,154
japa,2022,196
japa,2023,203
japa,2024,105
japa,2025,100
psychoanalytic_dialogues,2023,5
psychoanalytic_psychology,2005,48
psychoanalytic_psychology,2006,197
psychoanalytic_psychology,2007,238
psychoanalytic_psychology,2008,170
psychoanalytic_psychology,2009,120
psychoanalytic_psychology,2010,129
psychoanalytic_psychology,2011,136
psychoanalytic_psychology,2012,117
psychoanalytic_psychology,2013,143
psychoanalytic_psychology,2014,162
psychoanalytic_psychology,2015,128
psychoanalytic_psychology,2016,206
psychoanalytic_psychology,2017,237
psychoanalytic_psychology,2018,234
psychoanalytic_psychology,2019,166
psychoanalytic_psychology,2020,145
psychoanalytic_psychology,2021,219
psychoanalytic_psychology,2022,175
psychoanalytic_psychology,2023,224
psychoanalytic_psychology,2024,84
psychoanalytic_psychology,2025,114
psychoanalytic_psychotherapy,2008,18
psychoanalytic_psychotherapy,2009,72
psychoanalytic_psychotherapy,2010,104
psychoanalytic_psychotherapy,2011,68
psychoanalytic_psychotherapy,2012,87
psychoanalytic_psychotherapy,2013,96
psychoanalytic_psychotherapy,2014,115
psychoanalytic_psychotherapy,2015,113
psychoanalytic_psychotherapy,2016,95
psychoanalytic_psychotherapy,2017,111
psychoanalytic_psychotherapy,2018,93
psychoanalytic_psychotherapy,2019,64
psychoanalytic_psychotherapy,2020,74
psychoanalytic_psychotherapy,2021,86
psychoanalytic_psychotherapy,2022,110
psychoanalytic_psychotherapy,2023,98
psychoanalytic_psychotherapy,2024,115
psychoanalytic_psychotherapy,2025,77
