year,n_records_raw,n_ART,n_non_ART,n_with_doi,n_with_title,n_with_authors
"('1920',)",66,34,32,0,66,61
"('1921',)",75,31,44,0,75,70
"('1922',)",179,25,154,0,179,177
"('1923',)",174,27,147,0,174,169
"('1924',)",153,30,123,0,153,148
"('1925',)",169,36,133,0,169,165
"('1926',)",118,37,81,0,118,107
"('1927',)",110,28,82,0,110,104
"('1928',)",68,23,45,0,68,66
"('1929',)",69,45,24,0,69,66
"('1930',)",80,41,39,0,80,79
"('1931',)",75,24,51,0,75,74
"('1932',)",60,17,43,0,60,58
"('1933',)",127,20,107,0,127,121
"('1934',)",187,24,163,0,187,182
"('1935',)",146,29,117,0,146,138
"('1936',)",148,28,120,0,148,142
"('1937',)",95,13,82,0,95,87
"('1938',)",144,26,118,0,144,134
"('1939',)",96,42,54,0,96,88
"('1940',)",167,14,153,0,167,152
"('1941',)",56,18,38,0,56,52
"('1942',)",74,14,60,0,74,60
"('1943',)",55,24,31,0,55,51
"('1944',)",33,16,17,0,33,32
"('1945',)",49,20,29,0,49,48
"('1946',)",46,21,25,0,46,45
"('1947',)",47,14,33,0,47,43
"('1948',)",106,22,84,0,106,99
"('1949',)",54,26,28,0,54,48
"('1950',)",71,44,27,0,71,68
"('1951',)",103,32,71,0,103,82
"('1952',)",104,50,54,0,104,84
"('1953',)",232,69,163,0,232,151
"('1954',)",204,96,108,0,204,156
"('1955',)",270,76,194,0,270,179
"('1956',)",221,84,137,0,221,161
"('1957',)",206,82,124,0,206,147
"('1958',)",216,101,115,0,216,158
"('1959',)",226,75,151,0,226,137
"('1960',)",190,95,95,0,190,144
"('1961',)",129,83,46,0,129,104
"('1962',)",142,100,42,0,142,134
"('1963',)",117,85,32,0,117,110
"('1964',)",158,98,60,0,158,143
"('1965',)",125,76,49,0,125,118
"('1966',)",125,89,36,0,125,117
"('1967',)",116,72,44,0,116,106
"('1968',)",188,141,47,0,188,183
"('1969',)",166,112,54,0,166,134
"('1970',)",180,77,103,0,180,105
"('1971',)",141,77,64,0,141,108
"('1972',)",146,92,54,0,146,121
"('1973',)",129,80,49,0,129,108
"('1974',)",139,119,20,0,139,134
"('1975',)",137,67,70,0,137,131
"('1976',)",132,95,37,0,132,128
"('1977',)",92,71,21,0,92,88
"('1978',)",103,78,25,0,103,97
"('1979',)",127,84,43,0,127,117
"('1980',)",95,71,24,0,95,89
"('1981',)",105,69,36,0,105,98
"('1982',)",121,73,48,0,121,115
"('1983',)",130,75,55,0,130,120
"('1984',)",159,83,76,0,159,153
"('1985',)",191,90,101,0,191,188
"('1986',)",165,92,73,0,165,161
"('1987',)",186,95,91,0,186,176
"('1988',)",242,126,116,0,242,232
"('1989',)",231,144,87,0,231,218
"('1990',)",211,126,85,0,211,205
"('1991',)",284,153,131,0,284,278
"('1992',)",304,158,146,0,304,296
"('1993',)",435,211,224,0,435,428
"('1994',)",377,199,178,0,377,370
"('1995',)",443,206,237,0,443,439
"('1996',)",448,168,280,0,448,433
"('1997',)",451,184,267,0,451,446
"('1998',)",493,163,330,0,493,476
"('1999',)",462,203,259,0,459,449
"('2000',)",476,210,266,0,476,468
"('2001',)",424,173,251,0,424,412
"('2002',)",488,196,292,0,488,473
"('2003',)",474,244,230,0,474,466
"('2004',)",482,226,256,0,482,476
"('2005',)",457,189,268,11,457,453
"('2006',)",451,235,216,24,451,439
"('2007',)",423,202,221,23,423,417
"('2008',)",405,228,177,39,405,385
"('2009',)",420,253,167,134,420,406
"('2010',)",443,263,180,118,443,430
"('2011',)",396,245,151,192,396,376
"('2012',)",430,210,220,383,430,406
"('2013',)",413,210,203,378,413,386
"('2014',)",421,231,190,403,421,395
"('2015',)",427,247,180,421,427,408
"('2016',)",461,259,202,449,461,427
"('2017',)",450,271,179,445,450,431
"('2018',)",416,263,153,405,416,394
"('2019',)",416,248,168,407,416,394
"('2020',)",412,266,146,402,412,386
"('2021',)",448,276,172,438,448,405
"('2022',)",380,240,140,369,380,357
"('2023',)",422,281,141,415,422,404
"('2024',)",375,269,106,367,375,357
"('2025',)",389,271,118,388,389,382
