year,n_records,n_ART,n_non_ART,n_with_doi,n_with_authors,n_with_title
1920,66,34,32,0,61,66
1921,75,31,44,0,70,75
1922,179,25,154,0,177,179
1923,174,27,147,0,169,174
1924,153,30,123,0,148,153
1925,169,36,133,0,165,169
1926,118,37,81,0,107,118
1927,110,28,82,0,104,110
1928,68,23,45,0,66,68
1929,69,45,24,0,66,69
1930,80,41,39,0,79,80
1931,75,24,51,0,74,75
1932,60,17,43,0,58,60
1933,127,20,107,0,121,127
1934,187,24,163,0,182,187
1935,146,29,117,0,138,146
1936,148,28,120,0,142,148
1937,95,13,82,0,87,95
1938,144,26,118,0,134,144
1939,96,42,54,0,88,96
1940,167,14,153,0,152,167
1941,56,18,38,0,52,56
1942,74,14,60,0,60,74
1943,55,24,31,0,51,55
1944,33,16,17,0,32,33
1945,49,20,29,0,48,49
1946,46,21,25,0,45,46
1947,47,14,33,0,43,47
1948,106,22,84,0,99,106
1949,54,26,28,0,48,54
1950,71,44,27,0,68,71
1951,103,32,71,0,82,103
1952,104,50,54,0,84,104
1953,198,41,157,0,119,198
1954,154,55,99,0,108,154
1955,227,44,183,0,138,227
1956,181,57,124,0,126,181
1957,163,48,115,0,105,163
1958,174,70,104,0,118,174
1959,191,49,142,0,103,191
1960,154,70,84,0,110,154
1961,87,50,37,0,64,87
1962,96,65,31,0,91,96
1963,77,54,23,0,71,77
1964,115,66,49,0,101,115
1965,86,47,39,0,83,86
1966,89,63,26,0,85,89
1967,75,43,32,0,71,75
1968,144,106,38,0,141,144
1969,114,68,46,0,83,114
1970,137,45,92,0,64,137
1971,97,46,51,0,67,97
1972,101,58,43,0,78,101
1973,82,47,35,0,63,82
1974,85,80,5,0,82,85
1975,85,37,48,0,80,85
1976,70,50,20,0,69,70
1977,46,40,6,0,44,46
1978,60,48,12,0,56,60
1979,59,40,19,0,53,59
1980,57,42,15,0,54,57
1981,62,40,22,0,57,62
1982,69,43,26,0,65,69
1983,66,37,29,0,59,66
1984,64,38,26,0,58,64
1985,62,38,24,0,59,62
1986,72,38,34,0,69,72
1987,78,40,38,0,69,78
1988,75,47,28,0,66,75
1989,92,61,31,0,83,92
1990,97,53,44,0,93,97
1991,98,57,41,0,94,98
1992,94,56,38,0,89,94
1993,186,86,100,0,183,186
1994,138,85,53,0,135,138
1995,161,82,79,0,161,161
1996,163,50,113,0,162,163
1997,172,61,111,0,172,172
1998,187,55,132,0,186,187
1999,159,56,103,0,159,159
2000,167,60,107,0,165,167
2001,158,62,96,0,158,158
2002,202,76,126,0,197,202
2003,176,91,85,0,174,176
2004,194,88,106,0,194,194
2005,185,87,98,0,183,185
2006,189,80,109,0,184,189
2007,155,72,83,0,155,155
2008,142,65,77,0,138,142
2009,147,74,73,0,144,147
2010,173,107,66,0,169,173
2011,130,83,47,31,127,130
2012,145,69,76,109,142,145
2013,128,61,67,99,123,128
2014,117,67,50,109,114,117
2015,116,76,40,116,114,116
2016,138,76,62,138,136,138
2017,137,80,57,137,135,137
2018,132,79,53,132,130,132
2019,144,97,47,144,142,144
2020,130,77,53,130,125,130
2021,127,68,59,127,110,127
2022,105,66,39,105,102,105
2023,116,68,48,116,116,116
2024,107,73,34,107,105,107
2025,120,74,46,120,119,120
