year,n_records,n_ART,n_non_ART,n_with_doi,n_with_authors,n_with_title
1953,34,28,6,0,32,34
1954,50,41,9,0,48,50
1955,43,32,11,0,41,43
1956,40,27,13,0,35,40
1957,43,34,9,0,42,43
1958,42,31,11,0,40,42
1959,35,26,9,0,34,35
1960,36,25,11,0,34,36
1961,42,33,9,0,40,42
1962,46,35,11,0,43,46
1963,40,31,9,0,39,40
1964,43,32,11,0,42,43
1965,39,29,10,0,35,39
1966,36,26,10,0,32,36
1967,41,29,12,0,35,41
1968,44,35,9,0,42,44
1969,52,44,8,0,51,52
1970,43,32,11,0,41,43
1971,44,31,13,0,41,44
1972,45,34,11,0,43,45
1973,47,33,14,0,45,47
1974,54,39,15,0,52,54
1975,52,30,22,0,51,52
1976,62,45,17,0,59,62
1977,46,31,15,0,44,46
1978,43,30,13,0,41,43
1979,68,44,24,0,64,68
1980,38,29,9,0,35,38
1981,43,29,14,0,41,43
1982,52,30,22,0,50,52
1983,64,38,26,0,61,64
1984,67,28,39,0,67,67
1985,102,35,67,0,102,102
1986,60,32,28,0,59,60
1987,65,29,36,0,65,65
1988,116,46,70,0,116,116
1989,70,36,34,0,70,70
1990,54,37,17,0,54,54
1991,94,54,40,0,94,94
1992,88,36,52,0,88,88
1993,115,57,58,0,115,115
1994,109,38,71,0,107,109
1995,134,31,103,0,133,134
1996,148,59,89,0,138,148
1997,141,40,101,0,136,141
1998,151,35,116,0,140,151
1999,149,60,89,0,137,146
2000,141,48,93,0,135,141
2001,123,47,76,0,112,123
2002,141,40,101,0,132,141
2003,142,57,85,0,139,142
2004,134,39,95,0,132,134
2005,130,44,86,0,130,130
2006,119,58,61,0,118,119
2007,111,54,57,0,111,111
2008,114,64,50,0,114,114
2009,123,77,46,17,123,123
2010,106,54,52,0,104,106
2011,96,52,44,39,93,96
2012,120,48,72,116,114,120
2013,106,38,68,106,100,106
2014,126,50,76,120,114,126
2015,149,63,86,147,141,149
2016,118,40,78,112,104,118
2017,99,33,66,98,91,99
2018,100,40,60,93,87,100
2019,100,31,69,95,89,100
2020,112,51,61,106,100,112
2021,112,48,64,106,97,112
2022,106,41,65,99,94,106
2023,104,52,52,101,96,104
2024,91,50,41,83,77,91
2025,82,39,43,81,80,82
