year,n_records,n_ART,n_non_ART,n_with_doi,n_with_authors,n_with_title
1991,35,13,22,0,34,35
1992,38,16,22,0,37,38
1993,47,22,25,0,46,47
1994,48,19,29,0,48,48
1995,55,35,20,0,54,55
1996,54,18,36,0,54,54
1997,59,37,22,0,59,59
1998,65,26,39,0,65,65
1999,65,43,22,0,64,65
2000,75,53,22,0,75,75
2001,57,18,39,0,56,57
2002,68,28,40,0,67,68
2003,55,38,17,0,52,55
2004,52,33,19,0,51,52
2005,69,18,51,0,69,69
2006,61,32,29,0,60,61
2007,70,23,47,0,70,70
2008,60,29,31,0,59,60
2009,72,34,38,72,71,72
2010,73,34,39,73,73,73
2011,75,37,38,75,74,75
2012,79,34,45,79,77,79
2013,84,48,36,84,80,84
2014,76,49,27,76,74,76
2015,75,46,29,75,74,75
2016,87,61,26,87,85,87
2017,98,75,23,98,97,98
2018,87,61,26,87,86,87
2019,75,56,19,75,75,75
2020,87,74,13,87,87,87
2021,108,81,27,108,106,108
2022,84,72,12,84,84,84
2023,96,92,4,96,96,96
2024,107,103,4,107,107,107
2025,120,120,0,120,120,120
