year,n_records,n_ART,n_non_ART,n_with_doi,n_with_authors,n_with_title
1984,28,17,11,0,28,28
1985,27,17,10,0,27,27
1986,33,22,11,0,33,33
1987,32,19,13,0,31,32
1988,27,21,6,0,27,27
1989,40,27,13,0,38,40
1990,48,31,17,0,46,48
1991,34,18,16,0,33,34
1992,47,29,18,0,46,47
1993,53,29,24,0,51,53
1994,43,35,8,0,42,43
1995,57,36,21,0,56,57
1996,45,24,21,0,41,45
1997,42,28,14,0,42,42
1998,39,24,15,0,39,39
1999,50,27,23,0,50,50
2000,56,32,24,0,56,56
2001,57,32,25,0,57,57
2002,50,30,20,0,50,50
2003,67,39,28,0,67,67
2004,56,39,17,0,56,56
2005,42,23,19,0,42,42
2006,58,46,12,0,58,58
2007,64,35,29,0,62,64
2008,50,36,14,0,50,50
2009,33,29,4,0,31,33
2010,46,30,16,0,42,46
2011,48,38,10,0,41,48
2012,48,36,12,41,39,48
2013,57,38,19,51,49,57
2014,57,39,18,53,51,57
2015,50,33,17,46,45,50
2016,77,53,24,71,67,77
2017,77,55,22,73,72,77
2018,63,54,9,59,57,63
2019,63,37,26,59,59,63
2020,51,36,15,47,45,51
2021,66,48,18,62,61,66
2022,52,38,14,48,46,52
2023,69,50,19,65,65,69
2024,31,18,13,31,31,31
2025,38,21,17,38,38,38
