year,n_records,n_ART,n_non_ART,n_with_doi,n_with_authors,n_with_title
1987,11,7,4,0,11,11
1988,24,12,12,0,23,24
1989,29,20,9,0,27,29
1990,12,5,7,0,12,12
1991,23,11,12,0,23,23
1992,37,21,16,0,36,37
1993,34,17,17,0,33,34
1994,39,22,17,0,38,39
1995,36,22,14,0,35,36
1996,38,17,21,0,38,38
1997,37,18,19,0,37,37
1998,51,23,28,0,46,51
1999,39,17,22,0,39,39
2000,37,17,20,0,37,37
2001,29,14,15,0,29,29
2002,27,22,5,0,27,27
2003,34,19,15,0,34,34
2004,46,27,19,0,43,46
2005,31,17,14,11,29,31
2006,24,19,5,24,19,24
2007,23,18,5,23,19,23
2008,39,34,5,39,24,39
2009,45,39,6,45,37,45
2010,45,38,7,45,42,45
2011,47,35,12,47,41,47
2012,38,23,15,38,34,38
2013,38,25,13,38,34,38
2014,45,26,19,45,42,45
2015,37,29,8,37,34,37
2016,41,29,12,41,35,41
2017,39,28,11,39,36,39
2018,34,29,5,34,34,34
2019,34,27,7,34,29,34
2020,32,28,4,32,29,32
2021,35,31,4,35,31,35
2022,33,23,10,33,31,33
2023,37,19,18,37,31,37
2024,39,25,14,39,37,39
2025,29,17,12,29,25,29
