journal_id,journal_label,pep_code_candidate,probe_year,document_id,pep_code_record,year_record,title,authors,source_title,volume,issue,pages,doi,article_type,has_abstract,has_keywords,n_keywords,keywords_joined,keyword_source,art_kwds_count,source_file
ijpa,International Journal of Psychoanalysis,IJP,1923,IJP.004.0199A,IJP,1923,"Fundamental Conceptions of Psychoanalysis: By A. A. Brill, Ph.B., M.D., Lecturer on Psychoanalysis and Abnormal Psychology, New York University.  (George Allen and Unwin, Ltd., London, 1922.  Pp. v+336.  Price 12 s. 6 d.",John Rickman,International Journal of Psychoanalysis ,4,,199-201,,REV,True,False,0,,,0,data\raw_pep_metadata\ijpa\1923\ijpa_IJP_1923_art_id_IJP._AND_year_1923.json
ijpa,International Journal of Psychoanalysis,IJP,1923,IJP.004.0351A,IJP,1923,"Remembering and Forgetting: By T. H. Pear, M. A., B. Sc., Professor of Psychology in the University of Manchester.  (Methuen & Co. Ltd. London, 1922, pp. XII, 142.  Price 6/-)",J. C. F.,International Journal of Psychoanalysis ,4,,351-354,,REV,True,False,0,,,0,data\raw_pep_metadata\ijpa\1923\ijpa_IJP_1923_art_id_IJP._AND_year_1923.json
ijpa,International Journal of Psychoanalysis,IJP,1923,IJP.004.0350A,IJP,1923,"Handbook for Mental Nurses (Seventh Edition): (Bailliere, Tindall & Cox, 1923, pp. XIV, 640.  Price 6/- net.)",W. H. B.,International Journal of Psychoanalysis ,4,,350-350,,REV,True,False,0,,,0,data\raw_pep_metadata\ijpa\1923\ijpa_IJP_1923_art_id_IJP._AND_year_1923.json
ijpa,International Journal of Psychoanalysis,IJP,1923,IJP.004.0341A,IJP,1923,"Applied: F. C. Bartlett.  Psychology in Relation to the Popular Story.  Folk-Lore, 1920, Vol. XXXI, p. 264.",J. C. F.,International Journal of Psychoanalysis ,4,,341-342,,ABS,True,False,0,,,0,data\raw_pep_metadata\ijpa\1923\ijpa_IJP_1923_art_id_IJP._AND_year_1923.json
ijpa,International Journal of Psychoanalysis,IJP,1923,IJP.004.0492C,IJP,1923,"Childhood: Jakob Kläsi.  Beitrag zur Frage der kindlichen Sexualität.  Zeitschr. f. d. ges. Neurol. u. Psych. Bd. 74, H. 1/3, S. 362—378, 1922.",E. Blum,International Journal of Psychoanalysis ,4,,492-493,,ABS,True,False,0,,,0,data\raw_pep_metadata\ijpa\1923\ijpa_IJP_1923_art_id_IJP._AND_year_1923.json
ijpa,International Journal of Psychoanalysis,IJP,1923,IJP.004.0494A,IJP,1923,Applied: Carl Müller-Braunschweig.  Psychoanalyse und Sexualreform.  (Lecture given before the International Congress of Sexual Reform.  1921.),,International Journal of Psychoanalysis ,4,,494-495,,ABS,True,False,0,,,0,data\raw_pep_metadata\ijpa\1923\ijpa_IJP_1923_art_id_IJP._AND_year_1923.json
ijpa,International Journal of Psychoanalysis,IJP,1923,IJP.004.0496A,IJP,1923,"Applied: W. A. Potts.  The Psychological Treatment of Criminals in Different Countries.  Lancet, vol. II, 1922, pp. 1365—1367.",Warburton Brown,International Journal of Psychoanalysis ,4,,496,,ABS,True,False,0,,,0,data\raw_pep_metadata\ijpa\1923\ijpa_IJP_1923_art_id_IJP._AND_year_1923.json
ijpa,International Journal of Psychoanalysis,IJP,1923,IJP.004.0496B,IJP,1923,"Applied: Henri Flournoy.  Çiva Androgyne.  Archives de Psychologie, 1922, vol. XVIII, p. 235.",J. C. F.,International Journal of Psychoanalysis ,4,,496,,ABS,True,False,0,,,0,data\raw_pep_metadata\ijpa\1923\ijpa_IJP_1923_art_id_IJP._AND_year_1923.json
ijpa,International Journal of Psychoanalysis,IJP,1923,IJP.004.0499A,IJP,1923,"Conjlict and Dream: By W. H. R. Rivers.  (Kegan Paul, Trench, Trubner & Co. Ltd. London, 1923.  Pp. 195.  Price 12/6.)",E. J.,International Journal of Psychoanalysis ,4,,499-501,,REV,True,False,0,,,0,data\raw_pep_metadata\ijpa\1923\ijpa_IJP_1923_art_id_IJP._AND_year_1923.json
ijpa,International Journal of Psychoanalysis,IJP,1923,IJP.004.0501A,IJP,1923,"Getting what We Want: How to Apply Psycho-analysis to your Own Problems.  By David Orr Edson, M.D. (Harper & Brothers, New York and London, 1921. Pp. 287.)",M. A. Meyer,International Journal of Psychoanalysis ,4,,501-502,,REV,True,False,0,,,0,data\raw_pep_metadata\ijpa\1923\ijpa_IJP_1923_art_id_IJP._AND_year_1923.json
ijpa,International Journal of Psychoanalysis,IJP,1923,IJP.004.0505A,IJP,1923,"An Introduction to the Psychology of Religion: By Robert H. Thouless.  (Cambridge University Press, 1923, pp. 286.  Price 7/6 net.)",E. J.,International Journal of Psychoanalysis ,4,,505-505,,REV,True,False,0,,,0,data\raw_pep_metadata\ijpa\1923\ijpa_IJP_1923_art_id_IJP._AND_year_1923.json
ijpa,International Journal of Psychoanalysis,IJP,1923,IJP.004.0506B,IJP,1923,"The Dominant Sex: A Study in the Sociology of Sex Differentiation: By Mathilde and Mathias Vaerting.  Translated by Eden and Cedar Paul.  (Allen & Unwin, London, 1923, pp. 240.  Price 10/6.)",E. J.,International Journal of Psychoanalysis ,4,,506,,REV,True,False,0,,,0,data\raw_pep_metadata\ijpa\1923\ijpa_IJP_1923_art_id_IJP._AND_year_1923.json
