journal_id,journal_label,pep_code_candidate,probe_year,document_id,pep_code_record,year_record,title,authors,source_title,volume,issue,pages,doi,article_type,has_abstract,has_keywords,n_keywords,keywords_joined,keyword_source,art_kwds_count,source_file
japa,Journal of the American Psychoanalytic Association,APA,1953,APA.001.0574A,APA,1953,Erratum,,Journal of the American Psychoanalytic Association,1,,574,,ERA,True,False,0,,,0,data\raw_pep_metadata\japa_probe\japa_APA_1953.json
japa,Journal of the American Psychoanalytic Association,APA,1953,APA.001.0718A,APA,1953,Erratum,,Journal of the American Psychoanalytic Association,1,,718,,ERA,True,False,0,,,0,data\raw_pep_metadata\japa_probe\japa_APA_1953.json
japa,Journal of the American Psychoanalytic Association,APA,1953,APA.001.0222A,APA,1953,Studies on the Nature of Suggestion—Part I Experimental Induction of Dreams by Direct Suggestion,Charles Fisher,Journal of the American Psychoanalytic Association,1,,222-255,,ART,True,False,0,,,0,data\raw_pep_metadata\japa_probe\japa_APA_1953.json
japa,Journal of the American Psychoanalytic Association,APA,1953,APA.001.0510A,APA,1953,The Psychoanalytic Treatment of a Man Suffering with Ulcerative Colitis,Mary McKinniss Cushing,Journal of the American Psychoanalytic Association,1,,510-518,,ART,True,False,0,,,0,data\raw_pep_metadata\japa_probe\japa_APA_1953.json
japa,Journal of the American Psychoanalytic Association,APA,1953,APA.001.0389A,APA,1953,Reconstruction and Screen Function,Norman Reider,Journal of the American Psychoanalytic Association,1,,389-405,,ART,True,False,0,,,0,data\raw_pep_metadata\japa_probe\japa_APA_1953.json
japa,Journal of the American Psychoanalytic Association,APA,1953,APA.001.0706A,APA,1953,"Bibliography of Early Psychoanalytic Monographic Series—2—secondary, Publisher-Sponsored Series","Ilse Bry,  Helen Bayne and  Myrl Ebert",Journal of the American Psychoanalytic Association,1,,706-718,,ART,True,False,0,,,0,data\raw_pep_metadata\japa_probe\japa_APA_1953.json
japa,Journal of the American Psychoanalytic Association,APA,1953,APA.001.0562A,APA,1953,IV. Problems of Hypertension,Maurice Levine and  Nathan W. Ackerman,Journal of the American Psychoanalytic Association,1,,562-574,,REP,True,False,0,,,0,data\raw_pep_metadata\japa_probe\japa_APA_1953.json
japa,Journal of the American Psychoanalytic Association,APA,1953,APA.001.0144A,APA,1953,Past and Present in the Transference,Mark Kanzer,Journal of the American Psychoanalytic Association,1,,144-154,,ART,True,False,0,,,0,data\raw_pep_metadata\japa_probe\japa_APA_1953.json
japa,Journal of the American Psychoanalytic Association,APA,1953,APA.001.0519A,APA,1953,Bibliography of Early Psychoanalytic Monographic Series—I—under the Editorship of Freud,"Ilse Bry,  Helen Bayne and  Myrl Ebert",Journal of the American Psychoanalytic Association,1,,519-525,,ART,True,False,0,,,0,data\raw_pep_metadata\japa_probe\japa_APA_1953.json
japa,Journal of the American Psychoanalytic Association,APA,1953,APA.001.0458A,APA,1953,On the Psychodynamics of Teasing,Samuel J. Sperling,Journal of the American Psychoanalytic Association,1,,458-483,,ART,True,False,0,,,0,data\raw_pep_metadata\japa_probe\japa_APA_1953.json
japa,Journal of the American Psychoanalytic Association,APA,1953,APA.001.0022A,APA,1953,Narcissistic Object Choice in Women,Annie Reich,Journal of the American Psychoanalytic Association,1,,22-44,,ART,True,False,0,,,0,data\raw_pep_metadata\japa_probe\japa_APA_1953.json
japa,Journal of the American Psychoanalytic Association,APA,1953,APA.001.0059A,APA,1953,The Distortion of the Symbolic Process in Neurosis and Psychosis,Lawrence S. Kubie,Journal of the American Psychoanalytic Association,1,,59-86,,ART,True,False,0,,,0,data\raw_pep_metadata\japa_probe\japa_APA_1953.json
japa,Journal of the American Psychoanalytic Association,APA,1953,APA.001.0256A,APA,1953,Psychoanalysis and Members of Minority Groups,Viola W. Bernard,Journal of the American Psychoanalytic Association,1,,256-267,,ART,True,False,0,,,0,data\raw_pep_metadata\japa_probe\japa_APA_1953.json
japa,Journal of the American Psychoanalytic Association,APA,1953,APA.001.0268A,APA,1953,Countertransference and Counteridentification,Robert Fliess,Journal of the American Psychoanalytic Association,1,,268-284,,ART,True,False,0,,,0,data\raw_pep_metadata\japa_probe\japa_APA_1953.json
japa,Journal of the American Psychoanalytic Association,APA,1953,APA.001.0197A,APA,1953,The Present Status of Organized Psychoanalysis in the United States,Robert P. Knight,Journal of the American Psychoanalytic Association,1,,197-221,,ART,True,False,0,,,0,data\raw_pep_metadata\japa_probe\japa_APA_1953.json
japa,Journal of the American Psychoanalytic Association,APA,1953,APA.001.0007A,APA,1953,On Boredom,Ralph R. Greenson,Journal of the American Psychoanalytic Association,1,,7-21,,ART,True,False,0,,,0,data\raw_pep_metadata\japa_probe\japa_APA_1953.json
japa,Journal of the American Psychoanalytic Association,APA,1953,APA.001.0581A,APA,1953,"Freud's Studies on Cocaine, 1884-1887",Siegfried Bernfeld,Journal of the American Psychoanalytic Association,1,,581-613,,ART,True,False,0,,,0,data\raw_pep_metadata\japa_probe\japa_APA_1953.json
japa,Journal of the American Psychoanalytic Association,APA,1953,APA.001.0550A,APA,1953,III. the Essentials of Psychotherapy as Viewed by the Psychoanalyst,Adelaide Johnson and  O. Spurgeon English,Journal of the American Psychoanalytic Association,1,,550-561,,REP,True,False,0,,,0,data\raw_pep_metadata\japa_probe\japa_APA_1953.json
japa,Journal of the American Psychoanalytic Association,APA,1953,APA.001.0672A,APA,1953,"The Ear, Listening and Hearing",Peter Hobart Knapp,Journal of the American Psychoanalytic Association,1,,672-689,,ART,True,False,0,,,0,data\raw_pep_metadata\japa_probe\japa_APA_1953.json
japa,Journal of the American Psychoanalytic Association,APA,1953,APA.001.0285A,APA,1953,Fetishism,Robert C. Bak,Journal of the American Psychoanalytic Association,1,,285-298,,ART,True,False,0,,,0,data\raw_pep_metadata\japa_probe\japa_APA_1953.json
japa,Journal of the American Psychoanalytic Association,APA,1970,APA.018.0673A,APA,1970,The Scope of the Psychoanalyst as a Consultant in Colleges,Lore Reich Rubin,Journal of the American Psychoanalytic Association,18,,673-681,,REP,True,False,0,,,0,data\raw_pep_metadata\japa_probe\japa_APA_1970.json
japa,Journal of the American Psychoanalytic Association,APA,1970,APA.018.0195A,APA,1970,The Ideological Wellsprings of Psychoanalysis,Lucille B. Ritvo,Journal of the American Psychoanalytic Association,18,,195-208,,REP,True,False,0,,,0,data\raw_pep_metadata\japa_probe\japa_APA_1970.json
japa,Journal of the American Psychoanalytic Association,APA,1970,APA.018.0177A,APA,1970,The Fate of the Defenses in the Psychoanalytic Process,Justin Krent,Journal of the American Psychoanalytic Association,18,,177-194,,REP,True,False,0,,,0,data\raw_pep_metadata\japa_probe\japa_APA_1970.json
japa,Journal of the American Psychoanalytic Association,APA,1970,APA.018.0209A,APA,1970,Psychoanalytic Evaluation of Addiction and Habituation,William A. Frosch,Journal of the American Psychoanalytic Association,18,,209-218,,REP,True,False,0,,,0,data\raw_pep_metadata\japa_probe\japa_APA_1970.json
japa,Journal of the American Psychoanalytic Association,APA,1970,APA.018.0831A,APA,1970,Object-Specific Superego Responses,Burton N. Wixen,Journal of the American Psychoanalytic Association,18,,831-840,,ART,True,False,0,,,0,data\raw_pep_metadata\japa_probe\japa_APA_1970.json
japa,Journal of the American Psychoanalytic Association,APA,1970,APA.018.0539A,APA,1970,On the Structural View of Affect,Joseph H. Smith,Journal of the American Psychoanalytic Association,18,,539-561,,ART,True,False,0,,,0,data\raw_pep_metadata\japa_probe\japa_APA_1970.json
japa,Journal of the American Psychoanalytic Association,APA,1970,APA.018.0599A,APA,1970,The Analysis of Metaphor,Harold M. Voth,Journal of the American Psychoanalytic Association,18,,599-621,,ART,True,False,0,,,0,data\raw_pep_metadata\japa_probe\japa_APA_1970.json
japa,Journal of the American Psychoanalytic Association,APA,1970,APA.018.0440A,APA,1970,Preventive Psychiatry and the Field Theory of Reality,Roger L. Gould,Journal of the American Psychoanalytic Association,18,,440-461,,ART,True,False,0,,,0,data\raw_pep_metadata\japa_probe\japa_APA_1970.json
