journal_id,journal_label,pep_code_candidate,probe_year,document_id,pep_code_record,year_record,title,authors,source_title,volume,issue,pages,doi,article_type,has_abstract,has_keywords,n_keywords,keywords_joined,keyword_source,art_kwds_count,source_file
japa,Journal of the American Psychoanalytic Association,APA,2012,APA.060.0201A,APA,2012,"Created in Our Own Images.com. Edited by Fred Sander. International Psychoanalytic Books, 2010, 174 pp., $29.95.",Frances Lang,Journal of the American Psychoanalytic Association,60,1,201-207,10.1177/0003065111429963,REV,True,False,0,,,0,data\raw_pep_metadata\japa\2012\japa_APA_2012_art_id_APA._AND_year_2012.json
japa,Journal of the American Psychoanalytic Association,APA,2012,APA.060.0181A,APA,2012,"Transference and Countertransference: A Disturbance in the Field: Essays in Transference-Countertransference Engagement. By Steven Cooper. New York: Routledge, 2010, xii + 237 pp., $90.00 hardcover, $34.95 paperback.",Connie Isenberg,Journal of the American Psychoanalytic Association,60,1,181-186,10.1177/0003065111434983,REV,True,False,0,,,0,data\raw_pep_metadata\japa\2012\japa_APA_2012_art_id_APA._AND_year_2012.json
japa,Journal of the American Psychoanalytic Association,APA,2012,APA.060.0218A,APA,2012,Erratum,,Journal of the American Psychoanalytic Association,60,1,218-218,10.1177/0003065112437174,ERA,True,False,0,,,0,data\raw_pep_metadata\japa\2012\japa_APA_2012_art_id_APA._AND_year_2012.json
japa,Journal of the American Psychoanalytic Association,APA,2012,APA.060.0389A,APA,2012,"K.A. McLaughlin, N.A. Fox, C.H. Zeanah, & C.A. Nelson (2011). Adverse rearing environments and neural development in children: The development of frontal electroencephalogram asymmetry. Biological Psychiatry 70:1008-1015.",Bret R. Rutherford,Journal of the American Psychoanalytic Association,60,2,389-390,10.1177/0003065112441621,REV,True,False,0,,,0,data\raw_pep_metadata\japa\2012\japa_APA_2012_art_id_APA._AND_year_2012.json
japa,Journal of the American Psychoanalytic Association,APA,2012,APA.060.0390A,APA,2012,"U. Wagner, K. N'Diaye, T. Ethofer, & P. Vuilleumier (2011). Guilt specific processing in the prefrontal cortex. Cerebral Cortex 21:2461-2470.",Tiziano Colibazzi,Journal of the American Psychoanalytic Association,60,2,390-393,,REV,True,False,0,,,0,data\raw_pep_metadata\japa\2012\japa_APA_2012_art_id_APA._AND_year_2012.json
japa,Journal of the American Psychoanalytic Association,APA,2012,APA.060.0411A,APA,2012,"Psychoanalytic Developments: A New Freudian Synthesis: Clinical Process in the Next Generation. Edited by Andrew B. Druck, Carolyn Ellman, Norbert Freedman, and Aaron Thaler. London: Karnac Books, 2011, 316 pp., $42.50.",Ellen Rees,Journal of the American Psychoanalytic Association,60,2,411-415,10.1177/0003065112440724,REV,True,False,0,,,0,data\raw_pep_metadata\japa\2012\japa_APA_2012_art_id_APA._AND_year_2012.json
japa,Journal of the American Psychoanalytic Association,APA,2012,APA.060.0889A,APA,2012,Book Reviewers,,Journal of the American Psychoanalytic Association,60,4,889,10.1177/0003065112457903,SUP,True,False,0,,,0,data\raw_pep_metadata\japa\2012\japa_APA_2012_art_id_APA._AND_year_2012.json
japa,Journal of the American Psychoanalytic Association,APA,2012,APA.060.1059A,APA,2012,"S.W. Twemlow, P. Fonagy, F.C. Sacco, E. Vernberg, & J.M. Malcolm (2011). Reducing violence and prejudice in a Jamaican all age school using attachment and mentalization theory. Psychoanalytic Psychology 28:497-511.",Steven P. Roose,Journal of the American Psychoanalytic Association,60,5,1059-1061,10.1177/0003065112460089,REV,True,False,0,,,0,data\raw_pep_metadata\japa\2012\japa_APA_2012_art_id_APA._AND_year_2012.json
japa,Journal of the American Psychoanalytic Association,APA,2012,APA.060.1127A,APA,2012,Book Reviewers,,Journal of the American Psychoanalytic Association,60,5,1127,10.1177/0003065112460503,SUP,True,False,0,,,0,data\raw_pep_metadata\japa\2012\japa_APA_2012_art_id_APA._AND_year_2012.json
japa,Journal of the American Psychoanalytic Association,APA,2012,APA.060.1128A,APA,2012,Erratum,,Journal of the American Psychoanalytic Association,60,5,1128,10.1177/0003065112463333,ERA,True,False,0,,,0,data\raw_pep_metadata\japa\2012\japa_APA_2012_art_id_APA._AND_year_2012.json
