journal_id,journal_label,pep_code_candidate,probe_year,document_id,pep_code_record,year_record,title,authors,source_title,volume,issue,pages,doi,article_type,keyword_order,keyword_raw,keyword_source,art_kwds_count,source_file
psychoanalytic_psychotherapy,Psychoanalytic Psychotherapy,,2013,PPTX.027.0077A,PPTX,2013,"An exploration of core psychiatry trainees experience of and thoughts
	 surrounding personal psychotherapy",Shivanthi Sathanandan and  Darren Bull,Psychoanalytic Psychotherapy,27,1,77-82,10.1080/02668734.2012.760478,ART,1,psychiatric trainees,documentInfoXML/artkwds,1,data\raw_pep_metadata\psychoanalytic_psychotherapy\2013\psychoanalytic_psychotherapy_nopep_2013_art_id_PPTX._AND_year_2013.json
psychoanalytic_psychotherapy,Psychoanalytic Psychotherapy,,2013,PPTX.027.0077A,PPTX,2013,"An exploration of core psychiatry trainees experience of and thoughts
	 surrounding personal psychotherapy",Shivanthi Sathanandan and  Darren Bull,Psychoanalytic Psychotherapy,27,1,77-82,10.1080/02668734.2012.760478,ART,2,personal psychotherapy,documentInfoXML/artkwds,1,data\raw_pep_metadata\psychoanalytic_psychotherapy\2013\psychoanalytic_psychotherapy_nopep_2013_art_id_PPTX._AND_year_2013.json
psychoanalytic_psychotherapy,Psychoanalytic Psychotherapy,,2013,PPTX.027.0077A,PPTX,2013,"An exploration of core psychiatry trainees experience of and thoughts
	 surrounding personal psychotherapy",Shivanthi Sathanandan and  Darren Bull,Psychoanalytic Psychotherapy,27,1,77-82,10.1080/02668734.2012.760478,ART,3,qualitative research,documentInfoXML/artkwds,1,data\raw_pep_metadata\psychoanalytic_psychotherapy\2013\psychoanalytic_psychotherapy_nopep_2013_art_id_PPTX._AND_year_2013.json
psychoanalytic_psychotherapy,Psychoanalytic Psychotherapy,,2013,PPTX.027.0077A,PPTX,2013,"An exploration of core psychiatry trainees experience of and thoughts
	 surrounding personal psychotherapy",Shivanthi Sathanandan and  Darren Bull,Psychoanalytic Psychotherapy,27,1,77-82,10.1080/02668734.2012.760478,ART,4,medical education,documentInfoXML/artkwds,1,data\raw_pep_metadata\psychoanalytic_psychotherapy\2013\psychoanalytic_psychotherapy_nopep_2013_art_id_PPTX._AND_year_2013.json
psychoanalytic_psychotherapy,Psychoanalytic Psychotherapy,,2013,PPTX.027.0021A,PPTX,2013,Successful psychotherapies with young adults: an explorative study of the participants' view,Vendela Palmstierna and  Andrzej Werbart,Psychoanalytic Psychotherapy,27,1,21-40,10.1080/02668734.2012.760477,ART,1,successful cases,documentInfoXML/artkwds,1,data\raw_pep_metadata\psychoanalytic_psychotherapy\2013\psychoanalytic_psychotherapy_nopep_2013_art_id_PPTX._AND_year_2013.json
psychoanalytic_psychotherapy,Psychoanalytic Psychotherapy,,2013,PPTX.027.0021A,PPTX,2013,Successful psychotherapies with young adults: an explorative study of the participants' view,Vendela Palmstierna and  Andrzej Werbart,Psychoanalytic Psychotherapy,27,1,21-40,10.1080/02668734.2012.760477,ART,2,process and outcome,documentInfoXML/artkwds,1,data\raw_pep_metadata\psychoanalytic_psychotherapy\2013\psychoanalytic_psychotherapy_nopep_2013_art_id_PPTX._AND_year_2013.json
psychoanalytic_psychotherapy,Psychoanalytic Psychotherapy,,2013,PPTX.027.0021A,PPTX,2013,Successful psychotherapies with young adults: an explorative study of the participants' view,Vendela Palmstierna and  Andrzej Werbart,Psychoanalytic Psychotherapy,27,1,21-40,10.1080/02668734.2012.760477,ART,3,young adults,documentInfoXML/artkwds,1,data\raw_pep_metadata\psychoanalytic_psychotherapy\2013\psychoanalytic_psychotherapy_nopep_2013_art_id_PPTX._AND_year_2013.json
psychoanalytic_psychotherapy,Psychoanalytic Psychotherapy,,2013,PPTX.027.0021A,PPTX,2013,Successful psychotherapies with young adults: an explorative study of the participants' view,Vendela Palmstierna and  Andrzej Werbart,Psychoanalytic Psychotherapy,27,1,21-40,10.1080/02668734.2012.760477,ART,4,psychoanalytic psychotherapy,documentInfoXML/artkwds,1,data\raw_pep_metadata\psychoanalytic_psychotherapy\2013\psychoanalytic_psychotherapy_nopep_2013_art_id_PPTX._AND_year_2013.json
psychoanalytic_psychotherapy,Psychoanalytic Psychotherapy,,2013,PPTX.027.0108A,PPTX,2013,The practice of individual psychodynamic psychotherapy with people who have intellectual disabilities,Tom Jackson and  Nigel Beail,Psychoanalytic Psychotherapy,27,2,108-123,10.1080/02668734.2013.798680,ART,1,psychodynamic psychotherapy,documentInfoXML/artkwds,1,data\raw_pep_metadata\psychoanalytic_psychotherapy\2013\psychoanalytic_psychotherapy_nopep_2013_art_id_PPTX._AND_year_2013.json
psychoanalytic_psychotherapy,Psychoanalytic Psychotherapy,,2013,PPTX.027.0108A,PPTX,2013,The practice of individual psychodynamic psychotherapy with people who have intellectual disabilities,Tom Jackson and  Nigel Beail,Psychoanalytic Psychotherapy,27,2,108-123,10.1080/02668734.2013.798680,ART,2,intellectual disability,documentInfoXML/artkwds,1,data\raw_pep_metadata\psychoanalytic_psychotherapy\2013\psychoanalytic_psychotherapy_nopep_2013_art_id_PPTX._AND_year_2013.json
psychoanalytic_psychotherapy,Psychoanalytic Psychotherapy,,2013,PPTX.027.0108A,PPTX,2013,The practice of individual psychodynamic psychotherapy with people who have intellectual disabilities,Tom Jackson and  Nigel Beail,Psychoanalytic Psychotherapy,27,2,108-123,10.1080/02668734.2013.798680,ART,3,psychoanalysis,documentInfoXML/artkwds,1,data\raw_pep_metadata\psychoanalytic_psychotherapy\2013\psychoanalytic_psychotherapy_nopep_2013_art_id_PPTX._AND_year_2013.json
