rank,term,ngram_n,count,doc_count,doc_pct,n_docs_base,semantic_review_status,candidate_reason,suggested_family,term_norm_for_audit,audit_category,audit_reason,include_in_semantic_review,audit_scope,audit_stage,manual_override,manual_override_note
3,one,1,3852,2263,41.73,5423,pending,ijpa_high_frequency_recon,,one,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
4,freud,1,3648,1502,27.697,5423,pending,ijpa_high_frequency_recon,,freud,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
9,between,1,3279,1972,36.364,5423,pending,ijpa_high_frequency_recon,,between,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
12,other,1,2798,1917,35.349,5423,pending,ijpa_high_frequency_recon,,other,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
14,about,1,2636,1639,30.223,5423,pending,ijpa_high_frequency_recon,,about,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
15,ego,1,2629,935,17.241,5423,pending,ijpa_high_frequency_recon,,ego,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
17,object,1,2421,1039,19.159,5423,pending,ijpa_high_frequency_recon,object_relations,object,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
18,all,1,2401,1624,29.947,5423,pending,ijpa_high_frequency_recon,,all,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
20,also,1,2364,1742,32.122,5423,pending,ijpa_high_frequency_recon,,also,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
22,only,1,2337,1638,30.205,5423,pending,ijpa_high_frequency_recon,,only,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
23,new,1,2337,1548,28.545,5423,pending,ijpa_high_frequency_recon,,new,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
24,first,1,2303,1541,28.416,5423,pending,ijpa_high_frequency_recon,,first,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
25,two,1,2253,1557,28.711,5423,pending,ijpa_high_frequency_recon,,two,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
26,unconscious,1,2196,1146,21.132,5423,pending,ijpa_high_frequency_recon,,unconscious,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
27,transference,1,2156,847,15.619,5423,pending,ijpa_high_frequency_recon,transference_countertransference,transference,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
28,time,1,2137,1298,23.935,5423,pending,ijpa_high_frequency_recon,,time,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
29,freud's,1,2099,1035,19.085,5423,pending,ijpa_high_frequency_recon,,freud's,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
32,life,1,1930,1279,23.585,5423,pending,ijpa_high_frequency_recon,,life,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
33,out,1,1834,1230,22.681,5423,pending,ijpa_high_frequency_recon,,out,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
34,both,1,1817,1379,25.429,5423,pending,ijpa_high_frequency_recon,,both,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
35,psychic,1,1773,886,16.338,5423,pending,ijpa_high_frequency_recon,,psychic,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
37,relationship,1,1676,998,18.403,5423,pending,ijpa_high_frequency_recon,,relationship,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
38,child,1,1632,712,13.129,5423,pending,ijpa_high_frequency_recon,development_attachment,child,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
39,very,1,1546,1118,20.616,5423,pending,ijpa_high_frequency_recon,,very,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
40,own,1,1517,1121,20.671,5423,pending,ijpa_high_frequency_recon,,own,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
41,years,1,1494,1024,18.883,5423,pending,ijpa_high_frequency_recon,,years,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
42,reality,1,1481,704,12.982,5423,pending,ijpa_high_frequency_recon,,reality,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
43,early,1,1469,944,17.407,5423,pending,ijpa_high_frequency_recon,,early,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
44,different,1,1423,1005,18.532,5423,pending,ijpa_high_frequency_recon,,different,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
45,london,1,1395,1116,20.579,5423,pending,ijpa_high_frequency_recon,,london,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
46,mother,1,1376,641,11.82,5423,pending,ijpa_high_frequency_recon,development_attachment,mother,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
47,mental,1,1369,795,14.66,5423,pending,ijpa_high_frequency_recon,,mental,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
48,psycho-analysis,1,1367,608,11.212,5423,pending,ijpa_high_frequency_recon,,psycho-analysis,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
