rank,term,ngram_n,count,doc_count,doc_pct,n_docs_base,semantic_review_status,candidate_reason,suggested_family,term_norm_for_audit,audit_category,audit_reason,include_in_semantic_review,audit_scope,audit_stage,manual_override,manual_override_note
1,phd,1,1792,1076,78.598,1369,pending,psychoanalytic_psychology_high_frequency_recon,,phd,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
2,psychoanalytic,1,1560,629,45.946,1369,pending,psychoanalytic_psychology_high_frequency_recon,,psychoanalytic,background_domain_term,explicit_background_domain_rule,False,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
3,runninghead,1,1369,1369,100.0,1369,pending,psychoanalytic_psychology_high_frequency_recon,,runninghead,technical_artifact,explicit_artifact_rule,False,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
4,psychoanalysis,1,1169,429,31.337,1369,pending,psychoanalytic_psychology_high_frequency_recon,,psychoanalysis,background_domain_term,explicit_background_domain_rule,False,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
5,new,1,913,468,34.186,1369,pending,psychoanalytic_psychology_high_frequency_recon,,new,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
6,treatment,1,859,366,26.735,1369,pending,psychoanalytic_psychology_high_frequency_recon,technique_process,treatment,background_domain_term,explicit_background_domain_rule,False,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
7,clinical,1,829,490,35.793,1369,pending,psychoanalytic_psychology_high_frequency_recon,,clinical,background_domain_term,explicit_background_domain_rule,False,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
8,between,1,819,455,33.236,1369,pending,psychoanalytic_psychology_high_frequency_recon,,between,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
9,university,1,796,208,15.194,1369,pending,psychoanalytic_psychology_high_frequency_recon,,university,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
10,e-mail,1,791,629,45.946,1369,pending,psychoanalytic_psychology_high_frequency_recon,,e-mail,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
11,theory,1,782,352,25.712,1369,pending,psychoanalytic_psychology_high_frequency_recon,,theory,background_domain_term,explicit_background_domain_rule,False,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
12,attachment,1,771,130,9.496,1369,pending,psychoanalytic_psychology_high_frequency_recon,development_attachment,attachment,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
