rank,term,ngram_n,count,doc_count,doc_pct,n_docs_base,semantic_review_status,candidate_reason,suggested_family,term_norm_for_audit,audit_category,audit_reason,include_in_semantic_review,audit_scope,audit_stage,manual_override,manual_override_note
8,london,1,534,357,41.034,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,london,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
12,health,1,409,191,21.954,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,health,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
13,between,1,399,254,29.195,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,between,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
14,psychodynamic,1,397,134,15.402,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,psychodynamic,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
15,research,1,373,168,19.31,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,research,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
16,mental,1,370,181,20.805,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,mental,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
17,about,1,362,222,25.517,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,about,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
18,understanding,1,361,223,25.632,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,understanding,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
20,group,1,340,133,15.287,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,group,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
21,therapeutic,1,339,177,20.345,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,technique_process,therapeutic,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
23,one,1,304,217,24.943,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,one,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
24,other,1,295,207,23.793,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,other,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
25,both,1,293,228,26.207,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,both,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
27,also,1,275,215,24.713,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,also,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
28,service,1,272,124,14.253,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,service,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
30,nhs,1,269,140,16.092,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,nhs,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
31,care,1,257,114,13.103,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,care,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
33,two,1,255,175,20.115,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,two,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
34,relationship,1,240,148,17.011,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,relationship,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
35,new,1,214,129,14.828,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,new,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
36,depression,1,214,58,6.667,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,depression,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
37,child,1,213,103,11.839,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,development_attachment,child,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
39,mind,1,208,113,12.989,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,mind,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
40,personality,1,207,99,11.379,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,personality,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
41,training,1,199,94,10.805,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,training,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
42,psychological,1,192,123,14.138,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,psychological,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
43,all,1,188,140,16.092,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,all,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
44,services,1,188,84,9.655,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,services,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
45,disorder,1,188,88,10.115,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,disorder,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
46,life,1,187,111,12.759,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,life,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
47,first,1,181,142,16.322,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,first,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
48,time,1,180,135,15.517,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,time,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
49,disorders,1,177,78,8.966,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,disorders,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
50,hospital,1,176,87,10.0,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,hospital,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
