term_norm_for_audit,audit_category,audit_reason,include_in_semantic_review,manual_override,manual_override_note
abstract,technical_artifact,explicit_artifact_rule,False,,
analytic process runninghead,technical_artifact,explicit_artifact_rule,False,,
latest online runninghead,technical_artifact,explicit_artifact_rule,False,,
material,technical_artifact,explicit_artifact_rule,False,,
online runninghead e-mail,technical_artifact,explicit_artifact_rule,False,,
process runninghead,technical_artifact,explicit_artifact_rule,False,,
psychoanalysis runninghead,technical_artifact,explicit_artifact_rule,False,,
psychotherapy runninghead,technical_artifact,explicit_artifact_rule,False,,
runninghead,technical_artifact,explicit_artifact_rule,False,,
runninghead e-mail notification,technical_artifact,explicit_artifact_rule,False,,
runninghead psychoanalysis,technical_artifact,explicit_artifact_rule,False,,
runninghead psychoanalytic,technical_artifact,explicit_artifact_rule,False,,
