term_norm_for_audit,audit_category,audit_reason,include_in_semantic_review,manual_override,manual_override_note
analysis,background_domain_term,explicit_background_domain_rule,False,,
analyst,background_domain_term,explicit_background_domain_rule,False,,
analyst patient,background_domain_term,explicit_background_domain_rule,False,,
analysts,background_domain_term,explicit_background_domain_rule,False,,
analytic,background_domain_term,explicit_background_domain_rule,False,,
analytic process,background_domain_term,explicit_background_domain_rule,False,,
analytic situation,background_domain_term,explicit_background_domain_rule,False,,
analytic treatment,background_domain_term,explicit_background_domain_rule,False,,
analytic work,background_domain_term,explicit_background_domain_rule,False,,
clinical,background_domain_term,explicit_background_domain_rule,False,,
clinical material,background_domain_term,explicit_background_domain_rule,False,,
clinical practice,background_domain_term,explicit_background_domain_rule,False,,
clinical psychoanalysis,background_domain_term,explicit_background_domain_rule,False,,
clinical work,background_domain_term,explicit_background_domain_rule,False,,
development,background_domain_term,explicit_background_domain_rule,False,,
developmental,background_domain_term,explicit_background_domain_rule,False,,
experience,background_domain_term,explicit_background_domain_rule,False,,
experiences,background_domain_term,explicit_background_domain_rule,False,,
patient,background_domain_term,explicit_background_domain_rule,False,,
patient analyst,background_domain_term,explicit_background_domain_rule,False,,
patients,background_domain_term,explicit_background_domain_rule,False,,
practice,background_domain_term,explicit_background_domain_rule,False,,
process,background_domain_term,explicit_background_domain_rule,False,,
processes,background_domain_term,explicit_background_domain_rule,False,,
psychoanalysis,background_domain_term,explicit_background_domain_rule,False,,
psychoanalytic,background_domain_term,explicit_background_domain_rule,False,,
psychoanalytic practice,background_domain_term,explicit_background_domain_rule,False,,
psychoanalytic process,background_domain_term,explicit_background_domain_rule,False,,
psychoanalytic psychotherapy,background_domain_term,explicit_background_domain_rule,False,,
psychoanalytic theory,background_domain_term,explicit_background_domain_rule,False,,
psychoanalytic treatment,background_domain_term,explicit_background_domain_rule,False,,
psychoanalytic work,background_domain_term,explicit_background_domain_rule,False,,
psychotherapeutic,background_domain_term,explicit_background_domain_rule,False,,
psychotherapy,background_domain_term,explicit_background_domain_rule,False,,
theoretical,background_domain_term,explicit_background_domain_rule,False,,
theory,background_domain_term,explicit_background_domain_rule,False,,
therapist,background_domain_term,explicit_background_domain_rule,False,,
therapists,background_domain_term,explicit_background_domain_rule,False,,
therapy,background_domain_term,explicit_background_domain_rule,False,,
treatment,background_domain_term,explicit_background_domain_rule,False,,
work,background_domain_term,explicit_background_domain_rule,False,,
working,background_domain_term,explicit_background_domain_rule,False,,
