rank,term,ngram_n,count,doc_count,doc_pct,n_docs_base,semantic_review_status,candidate_reason,suggested_family
1,runninghead,1,5423,5423,100.0,5423,pending,ijpa_high_frequency_recon,
2,psychoanalytic,1,4290,1755,32.362,5423,pending,ijpa_high_frequency_recon,
3,one,1,3852,2263,41.73,5423,pending,ijpa_high_frequency_recon,
4,freud,1,3648,1502,27.697,5423,pending,ijpa_high_frequency_recon,
5,analysis,1,3581,1591,29.338,5423,pending,ijpa_high_frequency_recon,
6,clinical,1,3536,1822,33.598,5423,pending,ijpa_high_frequency_recon,
7,psychoanalysis,1,3473,1398,25.779,5423,pending,ijpa_high_frequency_recon,
8,patient,1,3369,1534,28.287,5423,pending,ijpa_high_frequency_recon,
9,between,1,3279,1972,36.364,5423,pending,ijpa_high_frequency_recon,
10,theory,1,3060,1285,23.695,5423,pending,ijpa_high_frequency_recon,
11,work,1,2801,1642,30.278,5423,pending,ijpa_high_frequency_recon,
12,other,1,2798,1917,35.349,5423,pending,ijpa_high_frequency_recon,
13,analyst,1,2732,1213,22.368,5423,pending,ijpa_high_frequency_recon,
14,about,1,2636,1639,30.223,5423,pending,ijpa_high_frequency_recon,
15,ego,1,2629,935,17.241,5423,pending,ijpa_high_frequency_recon,
16,development,1,2481,1369,25.244,5423,pending,ijpa_high_frequency_recon,development_attachment
17,object,1,2421,1039,19.159,5423,pending,ijpa_high_frequency_recon,object_relations
18,all,1,2401,1624,29.947,5423,pending,ijpa_high_frequency_recon,
19,analytic,1,2396,1175,21.667,5423,pending,ijpa_high_frequency_recon,technique_process
20,also,1,2364,1742,32.122,5423,pending,ijpa_high_frequency_recon,
21,process,1,2345,1280,23.603,5423,pending,ijpa_high_frequency_recon,technique_process
22,only,1,2337,1638,30.205,5423,pending,ijpa_high_frequency_recon,
23,new,1,2337,1548,28.545,5423,pending,ijpa_high_frequency_recon,
24,first,1,2303,1541,28.416,5423,pending,ijpa_high_frequency_recon,
25,two,1,2253,1557,28.711,5423,pending,ijpa_high_frequency_recon,
26,unconscious,1,2196,1146,21.132,5423,pending,ijpa_high_frequency_recon,
27,transference,1,2156,847,15.619,5423,pending,ijpa_high_frequency_recon,transference_countertransference
28,time,1,2137,1298,23.935,5423,pending,ijpa_high_frequency_recon,
29,freud's,1,2099,1035,19.085,5423,pending,ijpa_high_frequency_recon,
30,patients,1,1952,997,18.385,5423,pending,ijpa_high_frequency_recon,
31,experience,1,1932,1192,21.98,5423,pending,ijpa_high_frequency_recon,
32,life,1,1930,1279,23.585,5423,pending,ijpa_high_frequency_recon,
33,out,1,1834,1230,22.681,5423,pending,ijpa_high_frequency_recon,
34,both,1,1817,1379,25.429,5423,pending,ijpa_high_frequency_recon,
35,psychic,1,1773,886,16.338,5423,pending,ijpa_high_frequency_recon,
36,treatment,1,1755,933,17.204,5423,pending,ijpa_high_frequency_recon,technique_process
37,relationship,1,1676,998,18.403,5423,pending,ijpa_high_frequency_recon,
38,child,1,1632,712,13.129,5423,pending,ijpa_high_frequency_recon,development_attachment
39,very,1,1546,1118,20.616,5423,pending,ijpa_high_frequency_recon,
40,own,1,1517,1121,20.671,5423,pending,ijpa_high_frequency_recon,
41,years,1,1494,1024,18.883,5423,pending,ijpa_high_frequency_recon,
42,reality,1,1481,704,12.982,5423,pending,ijpa_high_frequency_recon,
43,early,1,1469,944,17.407,5423,pending,ijpa_high_frequency_recon,
44,different,1,1423,1005,18.532,5423,pending,ijpa_high_frequency_recon,
45,london,1,1395,1116,20.579,5423,pending,ijpa_high_frequency_recon,
46,mother,1,1376,641,11.82,5423,pending,ijpa_high_frequency_recon,development_attachment
47,mental,1,1369,795,14.66,5423,pending,ijpa_high_frequency_recon,
48,psycho-analysis,1,1367,608,11.212,5423,pending,ijpa_high_frequency_recon,
49,well,1,1367,1113,20.524,5423,pending,ijpa_high_frequency_recon,
50,many,1,1352,1030,18.993,5423,pending,ijpa_high_frequency_recon,
51,any,1,1341,961,17.721,5423,pending,ijpa_high_frequency_recon,
