period,n_records_group,rank,term,ngram_n,count,doc_count,doc_pct,n_docs_base
1920-1945,686,1,one,1,765,416,60.641,686
1920-1945,686,2,runninghead,1,686,686,100.0,686
1920-1945,686,3,analysis,1,498,217,31.633,686
1920-1945,686,4,all,1,488,313,45.627,686
1920-1945,686,5,freud,1,483,225,32.799,686
1920-1945,686,6,only,1,480,317,46.21,686
1920-1945,686,7,psycho-analysis,1,472,215,31.341,686
1920-1945,686,8,other,1,444,296,43.149,686
1920-1945,686,9,first,1,414,283,41.254,686
1920-1945,686,10,patient,1,401,185,26.968,686
1920-1945,686,11,time,1,391,247,36.006,686
1920-1945,686,12,very,1,373,263,38.338,686
1920-1945,686,13,child,1,364,131,19.096,686
1920-1945,686,14,psycho-analytical,1,341,207,30.175,686
1920-1945,686,15,any,1,324,220,32.07,686
1920-1945,686,16,two,1,322,216,31.487,686
1920-1945,686,17,life,1,322,197,28.717,686
1920-1945,686,18,about,1,310,210,30.612,686
1920-1945,686,19,out,1,310,218,31.778,686
1920-1945,686,20,unconscious,1,301,165,24.052,686
1920-1945,686,21,certain,1,295,210,30.612,686
1920-1945,686,22,theory,1,283,115,16.764,686
1920-1945,686,23,also,1,283,210,30.612,686
1920-1945,686,24,work,1,282,186,27.114,686
1920-1945,686,25,ego,1,281,108,15.743,686
1920-1945,686,26,sexual,1,278,135,19.679,686
1920-1945,686,27,years,1,277,187,27.259,686
1920-1945,686,28,development,1,269,150,21.866,686
1920-1945,686,29,between,1,268,181,26.385,686
1920-1945,686,30,must,1,266,181,26.385,686
1920-1945,686,31,before,1,264,216,31.487,686
1920-1945,686,32,new,1,255,172,25.073,686
1920-1945,686,33,london,1,245,216,31.487,686
1920-1945,686,34,psychology,1,242,98,14.286,686
1920-1945,686,35,mother,1,240,102,14.869,686
1920-1945,686,36,made,1,228,185,26.968,686
1920-1945,686,37,own,1,222,158,23.032,686
1920-1945,686,38,jones,1,219,74,10.787,686
1920-1945,686,39,many,1,218,157,22.886,686
1920-1945,686,40,mental,1,217,135,19.679,686
1920-1945,686,41,treatment,1,217,101,14.723,686
1920-1945,686,42,same,1,215,167,24.344,686
1920-1945,686,43,man,1,212,127,18.513,686
1920-1945,686,44,even,1,210,165,24.052,686
1920-1945,686,45,fact,1,205,163,23.761,686
1920-1945,686,46,complex,1,203,79,11.516,686
1920-1945,686,47,however,1,201,167,24.344,686
1920-1945,686,48,problem,1,199,112,16.327,686
1920-1945,686,49,himself,1,195,131,19.096,686
1920-1945,686,50,little,1,194,133,19.388,686
1920-1945,686,51,early,1,194,119,17.347,686
1920-1945,686,52,father,1,192,89,12.974,686
1920-1945,686,53,psychological,1,190,104,15.16,686
1920-1945,686,54,subject,1,188,143,20.845,686
1920-1945,686,55,general,1,188,140,20.408,686
1920-1945,686,56,dream,1,188,61,8.892,686
1920-1945,686,57,ernest,1,187,67,9.767,686
1920-1945,686,58,much,1,186,147,21.429,686
1920-1945,686,59,after,1,186,144,20.991,686
1920-1945,686,60,form,1,186,130,18.95,686
1920-1945,686,61,psycho-analytic,1,185,108,15.743,686
1920-1945,686,62,character,1,183,90,13.12,686
1920-1945,686,63,anxiety,1,180,74,10.787,686
1920-1945,686,64,following,1,179,158,23.032,686
1920-1945,686,65,children,1,179,91,13.265,686
1920-1945,686,66,both,1,177,138,20.117,686
1920-1945,686,67,dreams,1,175,65,9.475,686
1920-1945,686,68,material,1,174,120,17.493,686
1920-1945,686,69,freud's,1,168,110,16.035,686
1920-1945,686,70,further,1,166,135,19.679,686
1920-1945,686,71,mind,1,166,116,16.91,686
1920-1945,686,72,often,1,166,128,18.659,686
1920-1945,686,73,well,1,165,129,18.805,686
1920-1945,686,74,society,1,164,86,12.536,686
1920-1945,686,75,said,1,163,98,14.286,686
1920-1945,686,76,relation,1,162,98,14.286,686
1920-1945,686,77,women,1,162,66,9.621,686
1920-1945,686,78,now,1,157,127,18.513,686
1920-1945,686,79,read,1,157,141,20.554,686
1920-1945,686,80,question,1,157,112,16.327,686
1920-1945,686,81,far,1,157,134,19.534,686
1920-1945,686,82,process,1,156,87,12.682,686
1920-1945,686,83,course,1,154,129,18.805,686
1920-1945,686,84,sense,1,154,96,13.994,686
1920-1945,686,85,individual,1,153,109,15.889,686
1920-1945,686,86,shall,1,153,105,15.306,686
1920-1945,686,87,technique,1,151,53,7.726,686
1920-1945,686,88,means,1,150,114,16.618,686
1920-1945,686,89,nature,1,149,115,16.764,686
1920-1945,686,90,experience,1,147,105,15.306,686
1920-1945,686,91,reality,1,147,62,9.038,686
1920-1945,686,92,journal,1,147,57,8.309,686
1920-1945,686,93,against,1,146,112,16.327,686
1920-1945,686,94,death,1,145,64,9.329,686
1920-1945,686,95,over,1,145,99,14.431,686
1920-1945,686,96,clinical,1,144,88,12.828,686
1920-1945,686,97,here,1,144,121,17.638,686
1920-1945,686,98,later,1,143,118,17.201,686
1920-1945,686,99,glover,1,143,34,4.956,686
1920-1945,686,100,neurosis,1,142,76,11.079,686
1946-1969,1205,1,ego,1,1305,391,32.448,1205
1946-1969,1205,2,one,1,1243,667,55.353,1205
1946-1969,1205,3,runninghead,1,1205,1205,100.0,1205
1946-1969,1205,4,analysis,1,1068,405,33.61,1205
1946-1969,1205,5,freud,1,969,425,35.27,1205
1946-1969,1205,6,patient,1,966,377,31.286,1205
1946-1969,1205,7,all,1,854,545,45.228,1205
1946-1969,1205,8,only,1,842,551,45.726,1205
1946-1969,1205,9,other,1,839,554,45.975,1205
1946-1969,1205,10,development,1,832,404,33.527,1205
1946-1969,1205,11,psycho-analysis,1,806,336,27.884,1205
1946-1969,1205,12,psycho-analytic,1,805,361,29.959,1205
1946-1969,1205,13,object,1,778,285,23.651,1205
1946-1969,1205,14,first,1,752,459,38.091,1205
1946-1969,1205,15,between,1,741,443,36.763,1205
1946-1969,1205,16,theory,1,737,294,24.398,1205
1946-1969,1205,17,new,1,712,463,38.423,1205
1946-1969,1205,18,out,1,663,363,30.124,1205
1946-1969,1205,19,about,1,654,405,33.61,1205
1946-1969,1205,20,also,1,646,448,37.178,1205
1946-1969,1205,21,transference,1,642,208,17.261,1205
1946-1969,1205,22,clinical,1,585,309,25.643,1205
1946-1969,1205,23,patients,1,574,269,22.324,1205
1946-1969,1205,24,work,1,562,341,28.299,1205
1946-1969,1205,25,two,1,549,375,31.12,1205
1946-1969,1205,26,time,1,542,356,29.544,1205
1946-1969,1205,27,life,1,541,364,30.207,1205
1946-1969,1205,28,treatment,1,531,254,21.079,1205
1946-1969,1205,29,mother,1,526,209,17.344,1205
1946-1969,1205,30,very,1,525,357,29.627,1205
1946-1969,1205,31,any,1,514,342,28.382,1205
1946-1969,1205,32,process,1,507,263,21.826,1205
1946-1969,1205,33,relationship,1,500,258,21.411,1205
1946-1969,1205,34,years,1,488,323,26.805,1205
1946-1969,1205,35,analyst,1,487,217,18.008,1205
1946-1969,1205,36,anxiety,1,466,197,16.349,1205
1946-1969,1205,37,early,1,465,294,24.398,1205
1946-1969,1205,38,many,1,464,344,28.548,1205
1946-1969,1205,39,child,1,462,212,17.593,1205
1946-1969,1205,40,unconscious,1,445,253,20.996,1205
1946-1969,1205,41,freud's,1,435,228,18.921,1205
1946-1969,1205,42,both,1,428,293,24.315,1205
1946-1969,1205,43,made,1,422,335,27.801,1205
1946-1969,1205,44,certain,1,420,314,26.058,1205
1946-1969,1205,45,must,1,411,255,21.162,1205
1946-1969,1205,46,analytic,1,407,212,17.593,1205
1946-1969,1205,47,even,1,401,306,25.394,1205
1946-1969,1205,48,however,1,396,308,25.56,1205
1946-1969,1205,49,own,1,392,286,23.734,1205
1946-1969,1205,50,london,1,380,303,25.145,1205
1946-1969,1205,51,experience,1,379,244,20.249,1205
1946-1969,1205,52,same,1,378,279,23.154,1205
1946-1969,1205,53,dream,1,378,88,7.303,1205
1946-1969,1205,54,reality,1,376,206,17.095,1205
1946-1969,1205,55,well,1,372,298,24.73,1205
1946-1969,1205,56,psychoanalytic,1,372,145,12.033,1205
1946-1969,1205,57,shall,1,363,214,17.759,1205
1946-1969,1205,58,behaviour,1,358,204,16.929,1205
1946-1969,1205,59,situation,1,353,205,17.012,1205
1946-1969,1205,60,after,1,345,239,19.834,1205
1946-1969,1205,61,aspects,1,340,209,17.344,1205
1946-1969,1205,62,problem,1,338,210,17.427,1205
1946-1969,1205,63,mental,1,335,206,17.095,1205
1946-1969,1205,64,nature,1,331,228,18.921,1205
1946-1969,1205,65,defence,1,327,152,12.614,1205
1946-1969,1205,66,fact,1,323,261,21.66,1205
1946-1969,1205,67,important,1,318,253,20.996,1205
1946-1969,1205,68,york,1,316,250,20.747,1205
1946-1969,1205,69,character,1,316,169,14.025,1205
1946-1969,1205,70,like,1,313,239,19.834,1205
1946-1969,1205,71,later,1,310,250,20.747,1205
1946-1969,1205,72,himself,1,304,209,17.344,1205
1946-1969,1205,73,subject,1,303,221,18.34,1205
1946-1969,1205,74,different,1,303,220,18.257,1205
1946-1969,1205,75,state,1,302,202,16.763,1205
1946-1969,1205,76,dreams,1,302,96,7.967,1205
1946-1969,1205,77,man,1,301,175,14.523,1205
1946-1969,1205,78,technique,1,299,138,11.452,1205
1946-1969,1205,79,against,1,296,203,16.846,1205
1946-1969,1205,80,function,1,294,166,13.776,1205
1946-1969,1205,81,much,1,290,238,19.751,1205
1946-1969,1205,82,problems,1,288,183,15.187,1205
1946-1969,1205,83,therapeutic,1,285,155,12.863,1205
1946-1969,1205,84,human,1,285,173,14.357,1205
1946-1969,1205,85,psychological,1,282,186,15.436,1205
1946-1969,1205,86,summary,1,282,270,22.407,1205
1946-1969,1205,87,psychic,1,282,150,12.448,1205
1946-1969,1205,88,general,1,280,217,18.008,1205
1946-1969,1205,89,neurosis,1,279,137,11.369,1205
1946-1969,1205,90,psycho-analytical,1,277,144,11.95,1205
1946-1969,1205,91,objects,1,276,147,12.199,1205
1946-1969,1205,92,since,1,276,227,18.838,1205
1946-1969,1205,93,often,1,274,212,17.593,1205
1946-1969,1205,94,processes,1,274,149,12.365,1205
1946-1969,1205,95,personality,1,273,182,15.104,1205
1946-1969,1205,96,patient's,1,271,167,13.859,1205
1946-1969,1205,97,understanding,1,271,207,17.178,1205
1946-1969,1205,98,form,1,271,210,17.427,1205
1946-1969,1205,99,world,1,270,179,14.855,1205
1946-1969,1205,100,become,1,269,220,18.257,1205
1970-1989,915,1,psychoanalytic,1,948,380,41.53,915
1970-1989,915,2,runninghead,1,915,915,100.0,915
1970-1989,915,3,one,1,661,383,41.858,915
1970-1989,915,4,clinical,1,659,335,36.612,915
1970-1989,915,5,object,1,652,238,26.011,915
1970-1989,915,6,theory,1,645,234,25.574,915
1970-1989,915,7,psychoanalysis,1,640,266,29.071,915
1970-1989,915,8,freud,1,619,247,26.995,915
1970-1989,915,9,development,1,598,300,32.787,915
1970-1989,915,10,analysis,1,595,274,29.945,915
1970-1989,915,11,patient,1,587,269,29.399,915
1970-1989,915,12,summary,1,579,559,61.093,915
1970-1989,915,13,ego,1,566,228,24.918,915
1970-1989,915,14,between,1,559,328,35.847,915
1970-1989,915,15,analyst,1,537,217,23.716,915
1970-1989,915,16,transference,1,528,182,19.891,915
1970-1989,915,17,process,1,487,229,25.027,915
1970-1989,915,18,other,1,486,325,35.519,915
1970-1989,915,19,new,1,466,309,33.77,915
1970-1989,915,20,two,1,399,262,28.634,915
1970-1989,915,21,patients,1,395,203,22.186,915
1970-1989,915,22,freud's,1,393,192,20.984,915
1970-1989,915,23,work,1,392,238,26.011,915
1970-1989,915,24,about,1,391,240,26.23,915
1970-1989,915,25,also,1,383,284,31.038,915
1970-1989,915,26,all,1,382,269,29.399,915
1970-1989,915,27,only,1,378,269,29.399,915
1970-1989,915,28,first,1,359,232,25.355,915
1970-1989,915,29,self,1,351,147,16.066,915
1970-1989,915,30,experience,1,345,217,23.716,915
1970-1989,915,31,life,1,344,214,23.388,915
1970-1989,915,32,time,1,344,201,21.967,915
1970-1989,915,33,analytic,1,337,177,19.344,915
1970-1989,915,34,identification,1,332,124,13.552,915
1970-1989,915,35,relationship,1,323,192,20.984,915
1970-1989,915,36,child,1,321,128,13.989,915
1970-1989,915,37,unconscious,1,321,165,18.033,915
1970-1989,915,38,early,1,316,179,19.563,915
1970-1989,915,39,treatment,1,314,156,17.049,915
1970-1989,915,40,both,1,304,238,26.011,915
1970-1989,915,41,narcissistic,1,297,122,13.333,915
1970-1989,915,42,out,1,283,207,22.623,915
1970-1989,915,43,psychic,1,273,137,14.973,915
1970-1989,915,44,aspects,1,265,180,19.672,915
1970-1989,915,45,own,1,264,191,20.874,915
1970-1989,915,46,anxiety,1,260,101,11.038,915
1970-1989,915,47,mental,1,258,146,15.956,915
1970-1989,915,48,many,1,251,176,19.235,915
1970-1989,915,49,well,1,233,193,21.093,915
1970-1989,915,50,dream,1,232,56,6.12,915
1970-1989,915,51,mother,1,232,114,12.459,915
1970-1989,915,52,london,1,229,181,19.781,915
1970-1989,915,53,different,1,228,156,17.049,915
1970-1989,915,54,aggression,1,227,58,6.339,915
1970-1989,915,55,theoretical,1,222,144,15.738,915
1970-1989,915,56,years,1,218,154,16.831,915
1970-1989,915,57,street,1,217,214,23.388,915
1970-1989,915,58,understanding,1,217,161,17.596,915
1970-1989,915,59,patient's,1,216,128,13.989,915
1970-1989,915,60,therapeutic,1,206,113,12.35,915
1970-1989,915,61,nature,1,206,148,16.175,915
1970-1989,915,62,situation,1,205,122,13.333,915
1970-1989,915,63,objects,1,205,114,12.459,915
1970-1989,915,64,reality,1,202,111,12.131,915
1970-1989,915,65,important,1,200,154,16.831,915
1970-1989,915,66,very,1,197,158,17.268,915
1970-1989,915,67,certain,1,196,143,15.628,915
1970-1989,915,68,any,1,195,143,15.628,915
1970-1989,915,69,sexual,1,195,89,9.727,915
1970-1989,915,70,must,1,194,134,14.645,915
1970-1989,915,71,problems,1,194,126,13.77,915
1970-1989,915,72,york,1,191,156,17.049,915
1970-1989,915,73,developmental,1,190,111,12.131,915
1970-1989,915,74,function,1,189,120,13.115,915
1970-1989,915,75,form,1,184,126,13.77,915
1970-1989,915,76,however,1,184,155,16.94,915
1970-1989,915,77,processes,1,184,112,12.24,915
1970-1989,915,78,sense,1,183,133,14.536,915
1970-1989,915,79,rather,1,181,144,15.738,915
1970-1989,915,80,material,1,181,148,16.175,915
1970-1989,915,81,fantasy,1,181,75,8.197,915
1970-1989,915,82,made,1,179,156,17.049,915
1970-1989,915,83,personality,1,178,99,10.82,915
1970-1989,915,84,defence,1,178,92,10.055,915
1970-1989,915,85,training,1,177,50,5.464,915
1970-1989,915,86,state,1,177,121,13.224,915
1970-1989,915,87,fantasies,1,177,89,9.727,915
1970-1989,915,88,three,1,172,119,13.005,915
1970-1989,915,89,interpretation,1,172,91,9.945,915
1970-1989,915,90,world,1,170,121,13.224,915
1970-1989,915,91,mind,1,169,111,12.131,915
1970-1989,915,92,same,1,169,137,14.973,915
1970-1989,915,93,congress,1,167,67,7.322,915
1970-1989,915,94,particular,1,166,136,14.863,915
1970-1989,915,95,death,1,165,66,7.213,915
1970-1989,915,96,body,1,164,70,7.65,915
1970-1989,915,97,even,1,164,133,14.536,915
1970-1989,915,98,language,1,162,63,6.885,915
1970-1989,915,99,further,1,162,122,13.333,915
1970-1989,915,100,robert,1,161,39,4.262,915
1990-2009,1396,1,psychoanalytic,1,1496,621,44.484,1396
1990-2009,1396,2,runninghead,1,1396,1396,100.0,1396
1990-2009,1396,3,psychoanalysis,1,1320,529,37.894,1396
1990-2009,1396,4,clinical,1,1219,607,43.481,1396
1990-2009,1396,5,between,1,910,544,38.968,1396
1990-2009,1396,6,analyst,1,904,416,29.799,1396
1990-2009,1396,7,patient,1,837,421,30.158,1396
1990-2009,1396,8,theory,1,784,345,24.713,1396
1990-2009,1396,9,analytic,1,772,382,27.364,1396
1990-2009,1396,10,analysis,1,764,394,28.223,1396
1990-2009,1396,11,process,1,661,360,25.788,1396
1990-2009,1396,12,work,1,655,415,29.728,1396
1990-2009,1396,13,psychic,1,647,267,19.126,1396
1990-2009,1396,14,experience,1,613,342,24.499,1396
1990-2009,1396,15,transference,1,603,268,19.198,1396
1990-2009,1396,16,freud,1,597,288,20.63,1396
1990-2009,1396,17,one,1,595,394,28.223,1396
1990-2009,1396,18,about,1,583,371,26.576,1396
1990-2009,1396,19,freud's,1,571,255,18.266,1396
1990-2009,1396,20,unconscious,1,569,301,21.562,1396
1990-2009,1396,21,other,1,539,387,27.722,1396
1990-2009,1396,22,also,1,520,407,29.155,1396
1990-2009,1396,23,two,1,518,367,26.289,1396
1990-2009,1396,24,relationship,1,495,302,21.633,1396
1990-2009,1396,25,patients,1,493,241,17.264,1396
1990-2009,1396,26,new,1,491,334,23.926,1396
1990-2009,1396,27,reality,1,486,177,12.679,1396
1990-2009,1396,28,both,1,479,387,27.722,1396
1990-2009,1396,29,development,1,435,287,20.559,1396
1990-2009,1396,30,object,1,432,221,15.831,1396
1990-2009,1396,31,interpretation,1,403,176,12.607,1396
1990-2009,1396,32,patient's,1,403,250,17.908,1396
1990-2009,1396,33,treatment,1,401,238,17.049,1396
1990-2009,1396,34,analyst's,1,395,214,15.33,1396
1990-2009,1396,35,time,1,393,247,17.693,1396
1990-2009,1396,36,different,1,380,264,18.911,1396
1990-2009,1396,37,change,1,373,141,10.1,1396
1990-2009,1396,38,first,1,372,282,20.201,1396
1990-2009,1396,39,own,1,361,280,20.057,1396
1990-2009,1396,40,countertransference,1,347,162,11.605,1396
1990-2009,1396,41,theoretical,1,344,235,16.834,1396
1990-2009,1396,42,life,1,341,252,18.052,1396
1990-2009,1396,43,understanding,1,339,254,18.195,1396
1990-2009,1396,44,all,1,320,245,17.55,1396
1990-2009,1396,45,mental,1,317,181,12.966,1396
1990-2009,1396,46,material,1,317,224,16.046,1396
1990-2009,1396,47,mind,1,316,185,13.252,1396
1990-2009,1396,48,out,1,310,228,16.332,1396
1990-2009,1396,49,aspects,1,303,225,16.117,1396
1990-2009,1396,50,only,1,302,250,17.908,1396
1990-2009,1396,51,well,1,282,243,17.407,1396
1990-2009,1396,52,world,1,280,187,13.395,1396
1990-2009,1396,53,trauma,1,271,90,6.447,1396
1990-2009,1396,54,analysts,1,268,159,11.39,1396
1990-2009,1396,55,training,1,266,94,6.734,1396
1990-2009,1396,56,research,1,262,124,8.883,1396
1990-2009,1396,57,history,1,261,163,11.676,1396
1990-2009,1396,58,final,1,260,248,17.765,1396
1990-2009,1396,59,early,1,259,173,12.393,1396
1990-2009,1396,60,particular,1,258,220,15.759,1396
1990-2009,1396,61,therapeutic,1,257,150,10.745,1396
1990-2009,1396,62,thinking,1,252,166,11.891,1396
1990-2009,1396,63,years,1,250,173,12.393,1396
1990-2009,1396,64,ideas,1,250,193,13.825,1396
1990-2009,1396,65,version,1,250,242,17.335,1396
1990-2009,1396,66,three,1,247,186,13.324,1396
1990-2009,1396,67,child,1,247,131,9.384,1396
1990-2009,1396,68,accepted,1,247,242,17.335,1396
1990-2009,1396,69,com,1,247,213,15.258,1396
1990-2009,1396,70,internal,1,246,162,11.605,1396
1990-2009,1396,71,situation,1,246,165,11.819,1396
1990-2009,1396,72,model,1,243,136,9.742,1396
1990-2009,1396,73,london,1,243,213,15.258,1396
1990-2009,1396,74,thought,1,240,157,11.246,1396
1990-2009,1396,75,meaning,1,231,164,11.748,1396
1990-2009,1396,76,ego,1,229,119,8.524,1396
1990-2009,1396,77,summary,1,228,222,15.903,1396
1990-2009,1396,78,self,1,228,116,8.309,1396
1990-2009,1396,79,after,1,224,179,12.822,1396
1990-2009,1396,80,emotional,1,220,138,9.885,1396
1990-2009,1396,81,sense,1,219,162,11.605,1396
1990-2009,1396,82,experiences,1,214,152,10.888,1396
1990-2009,1396,83,very,1,214,159,11.39,1396
1990-2009,1396,84,processes,1,212,150,10.745,1396
1990-2009,1396,85,many,1,211,182,13.037,1396
1990-2009,1396,86,dreams,1,211,62,4.441,1396
1990-2009,1396,87,complex,1,209,139,9.957,1396
1990-2009,1396,88,dream,1,204,79,5.659,1396
1990-2009,1396,89,mother,1,203,118,8.453,1396
1990-2009,1396,90,subject,1,202,122,8.739,1396
1990-2009,1396,91,practice,1,200,146,10.458,1396
1990-2009,1396,92,usa,1,198,160,11.461,1396
1990-2009,1396,93,function,1,194,135,9.67,1396
1990-2009,1396,94,language,1,193,98,7.02,1396
1990-2009,1396,95,technique,1,193,108,7.736,1396
1990-2009,1396,96,theories,1,191,125,8.954,1396
1990-2009,1396,97,important,1,189,165,11.819,1396
1990-2009,1396,98,possible,1,186,155,11.103,1396
1990-2009,1396,99,often,1,186,159,11.39,1396
1990-2009,1396,100,body,1,185,85,6.089,1396
2010-2025,1221,1,psychoanalytic,1,1452,590,48.321,1221
2010-2025,1221,2,psychoanalysis,1,1252,492,40.295,1221
2010-2025,1221,3,runninghead,1,1221,1221,100.0,1221
2010-2025,1221,4,freud,1,980,317,25.962,1221
2010-2025,1221,5,clinical,1,929,483,39.558,1221
2010-2025,1221,6,work,1,910,462,37.838,1221
2010-2025,1221,7,der,1,855,110,9.009,1221
2010-2025,1221,8,between,1,801,476,38.984,1221
