rank,term,ngram_n,count,doc_count,doc_pct,n_docs_base,semantic_review_status,candidate_reason,suggested_family
1,psychoanalytic,1,4739,1731,59.2,2924,pending,japa_high_frequency_recon,
2,runninghead,1,2924,2924,100.0,2924,pending,japa_high_frequency_recon,
3,psychoanalysis,1,2901,1153,39.432,2924,pending,japa_high_frequency_recon,
4,new,1,2518,1371,46.888,2924,pending,japa_high_frequency_recon,
5,clinical,1,1960,1121,38.338,2924,pending,japa_high_frequency_recon,
6,theory,1,1692,692,23.666,2924,pending,japa_high_frequency_recon,
7,york,1,1539,961,32.866,2924,pending,japa_high_frequency_recon,
8,analysis,1,1516,686,23.461,2924,pending,japa_high_frequency_recon,
9,analytic,1,1483,718,24.555,2924,pending,japa_high_frequency_recon,technique_process
10,analyst,1,1410,755,25.821,2924,pending,japa_high_frequency_recon,
11,one,1,1392,907,31.019,2924,pending,japa_high_frequency_recon,
12,process,1,1352,707,24.179,2924,pending,japa_high_frequency_recon,technique_process
13,about,1,1316,798,27.291,2924,pending,japa_high_frequency_recon,
14,between,1,1294,817,27.941,2924,pending,japa_high_frequency_recon,
15,ego,1,1281,473,16.176,2924,pending,japa_high_frequency_recon,
16,development,1,1281,690,23.598,2924,pending,japa_high_frequency_recon,development_attachment
17,freud,1,1230,573,19.596,2924,pending,japa_high_frequency_recon,
18,patients,1,1212,577,19.733,2924,pending,japa_high_frequency_recon,
19,research,1,1134,528,18.057,2924,pending,japa_high_frequency_recon,
20,work,1,1060,689,23.564,2924,pending,japa_high_frequency_recon,
21,experience,1,1057,628,21.477,2924,pending,japa_high_frequency_recon,
22,patient,1,1048,567,19.391,2924,pending,japa_high_frequency_recon,
23,treatment,1,1041,529,18.092,2924,pending,japa_high_frequency_recon,technique_process
24,training,1,1033,486,16.621,2924,pending,japa_high_frequency_recon,
25,transference,1,1021,380,12.996,2924,pending,japa_high_frequency_recon,transference_countertransference
26,object,1,1018,438,14.979,2924,pending,japa_high_frequency_recon,object_relations
27,other,1,1005,717,24.521,2924,pending,japa_high_frequency_recon,
28,e-mail,1,992,945,32.319,2924,pending,japa_high_frequency_recon,
29,freud's,1,935,448,15.321,2924,pending,japa_high_frequency_recon,
30,both,1,895,714,24.419,2924,pending,japa_high_frequency_recon,
31,street,1,894,870,29.754,2924,pending,japa_high_frequency_recon,
32,all,1,819,605,20.691,2924,pending,japa_high_frequency_recon,
33,two,1,800,602,20.588,2924,pending,japa_high_frequency_recon,
34,also,1,797,640,21.888,2924,pending,japa_high_frequency_recon,
35,life,1,790,523,17.886,2924,pending,japa_high_frequency_recon,
36,time,1,783,477,16.313,2924,pending,japa_high_frequency_recon,
37,early,1,770,480,16.416,2924,pending,japa_high_frequency_recon,
38,american,1,760,482,16.484,2924,pending,japa_high_frequency_recon,
39,unconscious,1,758,436,14.911,2924,pending,japa_high_frequency_recon,
40,association,1,713,478,16.347,2924,pending,japa_high_frequency_recon,
41,university,1,699,504,17.237,2924,pending,japa_high_frequency_recon,
42,only,1,673,529,18.092,2924,pending,japa_high_frequency_recon,
43,first,1,671,493,16.86,2924,pending,japa_high_frequency_recon,
44,com,1,669,614,20.999,2924,pending,japa_high_frequency_recon,
45,child,1,668,303,10.363,2924,pending,japa_high_frequency_recon,development_attachment
46,many,1,659,506,17.305,2924,pending,japa_high_frequency_recon,
47,years,1,651,447,15.287,2924,pending,japa_high_frequency_recon,
48,therapeutic,1,650,318,10.876,2924,pending,japa_high_frequency_recon,technique_process
49,understanding,1,645,463,15.834,2924,pending,japa_high_frequency_recon,
50,relationship,1,645,409,13.988,2924,pending,japa_high_frequency_recon,
51,psychology,1,644,363,12.415,2924,pending,japa_high_frequency_recon,
52,analysts,1,641,369,12.62,2924,pending,japa_high_frequency_recon,
53,summary,1,625,613,20.964,2924,pending,japa_high_frequency_recon,
54,self,1,616,267,9.131,2924,pending,japa_high_frequency_recon,self_narcissism
55,institute,1,605,455,15.561,2924,pending,japa_high_frequency_recon,
56,robert,1,595,176,6.019,2924,pending,japa_high_frequency_recon,
57,psychic,1,581,312,10.67,2924,pending,japa_high_frequency_recon,
58,dream,1,579,154,5.267,2924,pending,japa_high_frequency_recon,
59,out,1,578,404,13.817,2924,pending,japa_high_frequency_recon,
60,developmental,1,572,305,10.431,2924,pending,japa_high_frequency_recon,development_attachment
61,avenue,1,572,561,19.186,2924,pending,japa_high_frequency_recon,
62,psychiatry,1,571,432,14.774,2924,pending,japa_high_frequency_recon,
63,analyst's,1,567,276,9.439,2924,pending,japa_high_frequency_recon,
64,personality,1,564,240,8.208,2924,pending,japa_high_frequency_recon,
65,well,1,560,484,16.553,2924,pending,japa_high_frequency_recon,
66,technique,1,535,275,9.405,2924,pending,japa_high_frequency_recon,technique_process
67,theoretical,1,521,377,12.893,2924,pending,japa_high_frequency_recon,
68,mental,1,519,332,11.354,2924,pending,japa_high_frequency_recon,
69,psychotherapy,1,514,222,7.592,2924,pending,japa_high_frequency_recon,
70,patient's,1,511,327,11.183,2924,pending,japa_high_frequency_recon,
71,own,1,508,393,13.44,2924,pending,japa_high_frequency_recon,
72,experiences,1,490,290,9.918,2924,pending,japa_high_frequency_recon,
73,center,1,476,381,13.03,2924,pending,japa_high_frequency_recon,
74,mind,1,471,300,10.26,2924,pending,japa_high_frequency_recon,
75,sexual,1,469,215,7.353,2924,pending,japa_high_frequency_recon,body_sexuality
76,aspects,1,469,351,12.004,2924,pending,japa_high_frequency_recon,
77,female,1,466,151,5.164,2924,pending,japa_high_frequency_recon,
78,body,1,463,184,6.293,2924,pending,japa_high_frequency_recon,body_sexuality
79,important,1,454,385,13.167,2924,pending,japa_high_frequency_recon,
80,reality,1,453,230,7.866,2924,pending,japa_high_frequency_recon,
81,different,1,451,339,11.594,2924,pending,japa_high_frequency_recon,
82,practice,1,450,287,9.815,2924,pending,japa_high_frequency_recon,
83,change,1,446,233,7.969,2924,pending,japa_high_frequency_recon,
