rank,term,ngram_n,count,doc_count,doc_pct,n_docs_base
1,new york,2,1528,957,32.729,2924
2,american psychoanalytic,2,499,376,12.859,2924
3,psychoanalytic association,2,491,378,12.927,2924
4,psychoanalytic theory,2,378,234,8.003,2924
5,street new,2,366,361,12.346,2924
6,supervising analyst,2,291,264,9.029,2924
7,gmail com,2,285,251,8.584,2924
8,east street,2,276,272,9.302,2924
9,training supervising,2,270,255,8.721,2924
10,object relations,2,257,147,5.027,2924
11,psychoanalytic training,2,246,160,5.472,2924
12,psychoanalytic institute,2,243,210,7.182,2924
13,fax e-mail,2,207,204,6.977,2924
14,york e-mail,2,203,195,6.669,2924
15,analytic process,2,195,135,4.617,2924
16,professor psychiatry,2,186,174,5.951,2924
17,psychoanalytic process,2,185,104,3.557,2924
18,aol com,2,179,177,6.053,2924
19,meeting american,2,178,173,5.917,2924
20,harold blum,2,177,44,1.505,2924
21,san francisco,2,174,131,4.48,2924
22,otto kernberg,2,171,39,1.334,2924
23,psychoanalytic treatment,2,163,99,3.386,2924
24,department psychiatry,2,161,148,5.062,2924
25,clinical professor,2,155,142,4.856,2924
26,psychoanalytic society,2,154,129,4.412,2924
27,relationship between,2,152,109,3.728,2924
28,columbia university,2,148,97,3.317,2924
29,psychoanalytic technique,2,146,78,2.668,2924
30,psychoanalytic education,2,145,85,2.907,2924
31,avenue new,2,137,135,4.617,2924
32,psychoanalysis runninghead,2,130,130,4.446,2924
33,york new,2,126,124,4.241,2924
34,training research,2,125,101,3.454,2924
35,analytic work,2,123,102,3.488,2924
36,submitted publication,2,116,116,3.967,2924
37,center psychoanalytic,2,115,95,3.249,2924
38,transference neurosis,2,114,48,1.642,2924
39,steven roose,2,114,32,1.094,2924
40,robert wallerstein,2,113,29,0.992,2924
41,association new,2,111,106,3.625,2924
42,ego psychology,2,111,62,2.12,2924
43,personality disorder,2,111,39,1.334,2924
44,therapeutic action,2,109,46,1.573,2924
45,steven levy,2,108,28,0.958,2924
46,school medicine,2,107,98,3.352,2924
47,patient analyst,2,105,81,2.77,2924
48,judy kantrowitz,2,105,27,0.923,2924
49,medical center,2,104,95,3.249,2924
50,clinical material,2,104,99,3.386,2924
51,los angeles,2,104,83,2.839,2924
52,street suite,2,104,102,3.488,2924
53,clinical work,2,102,76,2.599,2924
54,runninghead psychoanalytic,2,101,101,3.454,2924
55,glen gabbard,2,101,36,1.231,2924
56,borderline personality,2,100,33,1.129,2924
57,university center,2,100,82,2.804,2924
58,acting out,2,99,38,1.3,2924
59,oedipus complex,2,99,50,1.71,2924
60,medical school,2,97,92,3.146,2924
61,avenue suite,2,97,95,3.249,2924
62,psychoanalytic literature,2,94,82,2.804,2924
63,york psychoanalytic,2,93,76,2.599,2924
64,stanley coen,2,93,26,0.889,2924
65,ego ideal,2,91,32,1.094,2924
66,child analysis,2,91,36,1.231,2924
67,mitchell wilson,2,91,30,1.026,2924
68,analytic situation,2,90,69,2.36,2924
69,bonnie litowitz,2,90,28,0.958,2924
70,anna freud,2,89,49,1.676,2924
71,gender identity,2,89,28,0.958,2924
72,psychoanalytic situation,2,87,51,1.744,2924
73,mental health,2,85,74,2.531,2924
74,theodore shapiro,2,85,24,0.821,2924
75,training analysis,2,84,25,0.855,2924
76,united states,2,82,66,2.257,2924
77,psychic structure,2,82,44,1.505,2924
78,jacob arlow,2,80,25,0.855,2924
79,west street,2,80,79,2.702,2924
80,unconscious fantasy,2,79,32,1.094,2924
81,orcid org,2,77,66,2.257,2924
82,leo rangell,2,76,19,0.65,2924
83,society institute,2,76,64,2.189,2924
84,institute psychoanalysis,2,76,73,2.497,2924
85,psychoanalytic research,2,75,46,1.573,2924
86,sigmund freud,2,74,50,1.71,2924
87,theory technique,2,74,52,1.778,2924
88,west end,2,74,73,2.497,2924
89,free association,2,73,38,1.3,2924
90,therapeutic alliance,2,73,30,1.026,2924
91,suite new,2,73,72,2.462,2924
92,psychoanalytic psychotherapy,2,72,31,1.06,2924
93,personality disorders,2,72,31,1.06,2924
94,empirical research,2,72,38,1.3,2924
95,anne erreich,2,72,18,0.616,2924
96,michigan avenue,2,71,70,2.394,2924
97,john gedo,2,71,18,0.616,2924
98,end avenue,2,71,70,2.394,2924
99,phyllis tyson,2,71,18,0.616,2924
100,https orcid,2,71,60,2.052,2924
101,transference countertransference,2,70,41,1.402,2924
102,clinical practice,2,70,63,2.155,2924
103,training analyst,2,70,48,1.642,2924
104,new haven,2,70,70,2.394,2924
105,same time,2,69,67,2.291,2924
106,park west,2,69,69,2.36,2924
107,ego functions,2,68,43,1.471,2924
108,central park,2,68,68,2.326,2924
109,theory practice,2,67,52,1.778,2924
110,defense mechanisms,2,67,31,1.06,2924
111,boston psychoanalytic,2,66,63,2.155,2924
112,relation between,2,65,54,1.847,2924
113,joseph lichtenberg,2,65,18,0.616,2924
114,fred busch,2,65,16,0.547,2924
115,park avenue,2,64,64,2.189,2924
116,blum harold,2,64,36,1.231,2924
117,leon hoffman,2,64,18,0.616,2924
118,psychoanalytic therapy,2,63,40,1.368,2924
119,thinking about,2,63,55,1.881,2924
120,lawrence friedman,2,62,23,0.787,2924
121,street san,2,62,60,2.052,2924
122,psychic reality,2,62,26,0.889,2924
123,psychodynamic psychotherapy,2,61,30,1.026,2924
124,rosemary balsam,2,61,19,0.65,2924
125,years ago,2,60,59,2.018,2924
126,between two,2,60,59,2.018,2924
127,york december,2,60,59,2.018,2924
128,annual meeting,2,60,60,2.052,2924
129,psychiatry university,2,60,57,1.949,2924
130,kernberg otto,2,60,34,1.163,2924
131,stuart hauser,2,60,18,0.616,2924
132,comcast net,2,60,58,1.984,2924
133,ego development,2,59,43,1.471,2924
134,runninghead psychoanalysis,2,59,59,2.018,2924
135,medical college,2,59,55,1.881,2924
136,center psychoanalysis,2,59,54,1.847,2924
137,roy schafer,2,58,18,0.616,2924
138,richard gottlieb,2,58,19,0.65,2924
139,york fax,2,58,56,1.915,2924
140,columbia edu,2,58,57,1.949,2924
141,charles fisher,2,57,14,0.479,2924
142,object representations,2,57,35,1.197,2924
143,ann arbor,2,57,56,1.915,2924
144,altered body-ego,2,57,1,0.034,2924
145,clinical experience,2,56,48,1.642,2924
146,warren poland,2,56,17,0.581,2924
147,runninghead introduction,2,56,56,1.915,2924
148,mark kanzer,2,55,13,0.445,2924
149,distinction between,2,55,42,1.436,2924
150,defense against,2,55,43,1.471,2924
151,projective identification,2,55,23,0.787,2924
152,analyst patient,2,54,47,1.607,2924
153,west new,2,54,54,1.847,2924
154,henry smith,2,54,15,0.513,2924
155,york email,2,54,53,1.813,2924
156,early childhood,2,53,37,1.265,2924
157,primary process,2,53,24,0.821,2924
158,clinical psychoanalysis,2,53,37,1.265,2924
159,ideas about,2,53,49,1.676,2924
160,consulting room,2,53,29,0.992,2924
161,one another,2,52,50,1.71,2924
162,unconscious fantasies,2,52,37,1.265,2924
