rank,term,ngram_n,count,doc_count,doc_pct,n_docs_base
1,psychoanalytic,1,4739,1731,59.2,2924
2,runninghead,1,2924,2924,100.0,2924
3,psychoanalysis,1,2901,1153,39.432,2924
4,new,1,2518,1371,46.888,2924
5,clinical,1,1960,1121,38.338,2924
6,theory,1,1692,692,23.666,2924
7,york,1,1539,961,32.866,2924
8,analysis,1,1516,686,23.461,2924
9,analytic,1,1483,718,24.555,2924
10,analyst,1,1410,755,25.821,2924
11,one,1,1392,907,31.019,2924
12,process,1,1352,707,24.179,2924
13,about,1,1316,798,27.291,2924
14,between,1,1294,817,27.941,2924
15,ego,1,1281,473,16.176,2924
16,development,1,1281,690,23.598,2924
17,freud,1,1230,573,19.596,2924
18,patients,1,1212,577,19.733,2924
19,research,1,1134,528,18.057,2924
20,work,1,1060,689,23.564,2924
21,experience,1,1057,628,21.477,2924
22,patient,1,1048,567,19.391,2924
23,treatment,1,1041,529,18.092,2924
24,training,1,1033,486,16.621,2924
25,transference,1,1021,380,12.996,2924
26,object,1,1018,438,14.979,2924
27,other,1,1005,717,24.521,2924
28,e-mail,1,992,945,32.319,2924
29,freud's,1,935,448,15.321,2924
30,both,1,895,714,24.419,2924
31,street,1,894,870,29.754,2924
32,all,1,819,605,20.691,2924
33,two,1,800,602,20.588,2924
34,also,1,797,640,21.888,2924
35,life,1,790,523,17.886,2924
36,time,1,783,477,16.313,2924
37,early,1,770,480,16.416,2924
38,american,1,760,482,16.484,2924
39,unconscious,1,758,436,14.911,2924
40,association,1,713,478,16.347,2924
41,university,1,699,504,17.237,2924
42,only,1,673,529,18.092,2924
43,first,1,671,493,16.86,2924
44,com,1,669,614,20.999,2924
45,child,1,668,303,10.363,2924
46,many,1,659,506,17.305,2924
47,years,1,651,447,15.287,2924
48,therapeutic,1,650,318,10.876,2924
49,understanding,1,645,463,15.834,2924
50,relationship,1,645,409,13.988,2924
51,psychology,1,644,363,12.415,2924
52,analysts,1,641,369,12.62,2924
53,summary,1,625,613,20.964,2924
54,self,1,616,267,9.131,2924
55,institute,1,605,455,15.561,2924
56,robert,1,595,176,6.019,2924
57,psychic,1,581,312,10.67,2924
58,dream,1,579,154,5.267,2924
59,out,1,578,404,13.817,2924
60,developmental,1,572,305,10.431,2924
61,avenue,1,572,561,19.186,2924
62,psychiatry,1,571,432,14.774,2924
63,analyst's,1,567,276,9.439,2924
64,personality,1,564,240,8.208,2924
65,well,1,560,484,16.553,2924
66,technique,1,535,275,9.405,2924
67,theoretical,1,521,377,12.893,2924
68,mental,1,519,332,11.354,2924
69,psychotherapy,1,514,222,7.592,2924
70,patient's,1,511,327,11.183,2924
71,own,1,508,393,13.44,2924
72,experiences,1,490,290,9.918,2924
73,center,1,476,381,13.03,2924
74,mind,1,471,300,10.26,2924
75,sexual,1,469,215,7.353,2924
76,aspects,1,469,351,12.004,2924
77,female,1,466,151,5.164,2924
78,body,1,463,184,6.293,2924
79,important,1,454,385,13.167,2924
80,reality,1,453,230,7.866,2924
81,different,1,451,339,11.594,2924
82,practice,1,450,287,9.815,2924
83,change,1,446,233,7.969,2924
84,anxiety,1,446,191,6.532,2924
85,human,1,439,271,9.268,2924
86,processes,1,433,261,8.926,2924
87,after,1,430,320,10.944,2924
88,nature,1,429,321,10.978,2924
89,over,1,429,351,12.004,2924
90,dreams,1,423,145,4.959,2924
91,function,1,420,256,8.755,2924
92,sense,1,420,282,9.644,2924
93,psychological,1,418,290,9.918,2924
94,material,1,417,332,11.354,2924
95,data,1,412,284,9.713,2924
96,made,1,411,355,12.141,2924
97,mother,1,411,215,7.353,2924
98,professor,1,410,346,11.833,2924
99,toward,1,408,291,9.952,2924
100,countertransference,1,407,161,5.506,2924
101,interpretation,1,406,196,6.703,2924
102,model,1,403,221,7.558,2924
103,literature,1,402,324,11.081,2924
104,defense,1,402,196,6.703,2924
105,problems,1,401,271,9.268,2924
106,world,1,399,264,9.029,2924
107,however,1,397,361,12.346,2924
108,even,1,397,335,11.457,2924
109,fantasies,1,396,204,6.977,2924
110,situation,1,389,263,8.995,2924
111,certain,1,389,318,10.876,2924
112,complex,1,387,277,9.473,2924
113,thought,1,387,292,9.986,2924
114,often,1,386,343,11.731,2924
115,social,1,386,220,7.524,2924
116,history,1,384,267,9.131,2924
117,three,1,382,285,9.747,2924
118,introduction,1,382,172,5.882,2924
119,east,1,382,370,12.654,2924
120,ideas,1,377,273,9.337,2924
121,love,1,375,167,5.711,2924
122,identity,1,375,156,5.335,2924
123,relation,1,374,266,9.097,2924
124,john,1,370,126,4.309,2924
125,edu,1,370,353,12.073,2924
126,past,1,368,246,8.413,2924
127,behavior,1,367,225,7.695,2924
128,psychoanalysts,1,364,283,9.679,2924
129,thinking,1,361,253,8.653,2924
130,need,1,360,276,9.439,2924
131,fantasy,1,358,186,6.361,2924
132,submitted,1,358,355,12.141,2924
133,group,1,356,213,7.285,2924
134,relations,1,355,203,6.943,2924
135,medical,1,352,275,9.405,2924
136,writing,1,352,137,4.685,2924
137,form,1,350,283,9.679,2924
138,abstract,1,350,329,11.252,2924
139,conflict,1,348,224,7.661,2924
140,trauma,1,347,143,4.891,2924
141,therapy,1,346,170,5.814,2924
142,state,1,346,238,8.14,2924
143,theories,1,343,221,7.558,2924
144,conflicts,1,340,225,7.695,2924
145,language,1,337,157,5.369,2924
146,very,1,335,278,9.508,2924
147,structure,1,335,214,7.319,2924
148,current,1,335,243,8.311,2924
149,action,1,332,154,5.267,2924
150,childhood,1,329,205,7.011,2924
151,any,1,327,274,9.371,2924
152,later,1,322,266,9.097,2924
153,states,1,322,219,7.49,2924
154,character,1,322,161,5.506,2924
155,particular,1,322,272,9.302,2924
156,narcissistic,1,320,156,5.335,2924
157,central,1,320,282,9.644,2924
158,like,1,317,265,9.063,2924
159,must,1,316,250,8.55,2924
160,recent,1,316,255,8.721,2924
161,steven,1,316,86,2.941,2924
162,further,1,315,251,8.584,2924
163,against,1,315,243,8.311,2924
164,supervising,1,314,278,9.508,2924
165,capacity,1,312,212,7.25,2924
166,place,1,312,272,9.302,2924
167,become,1,312,263,8.995,2924
168,primary,1,309,175,5.985,2924
169,meaning,1,309,209,7.148,2924
