period,n_records_group,rank,term,ngram_n,count,doc_count,doc_pct,n_docs_base
1946-1969,538,1,psychoanalytic,1,759,278,51.673,538
1946-1969,538,2,ego,1,691,189,35.13,538
1946-1969,538,3,runninghead,1,538,538,100.0,538
1946-1969,538,4,new,1,405,227,42.193,538
1946-1969,538,5,one,1,401,228,42.379,538
1946-1969,538,6,freud,1,375,161,29.926,538
1946-1969,538,7,psychoanalysis,1,373,157,29.182,538
1946-1969,538,8,analysis,1,349,140,26.022,538
1946-1969,538,9,development,1,327,161,29.926,538
1946-1969,538,10,other,1,294,187,34.758,538
1946-1969,538,11,between,1,290,166,30.855,538
1946-1969,538,12,object,1,285,115,21.375,538
1946-1969,538,13,york,1,284,173,32.156,538
1946-1969,538,14,theory,1,282,114,21.19,538
1946-1969,538,15,process,1,280,124,23.048,538
1946-1969,538,16,summary,1,266,261,48.513,538
1946-1969,538,17,patient,1,264,118,21.933,538
1946-1969,538,18,dream,1,250,59,10.967,538
1946-1969,538,19,early,1,228,129,23.978,538
1946-1969,538,20,all,1,221,158,29.368,538
1946-1969,538,21,only,1,216,153,28.439,538
1946-1969,538,22,dreams,1,215,60,11.152,538
1946-1969,538,23,association,1,214,148,27.509,538
1946-1969,538,24,clinical,1,213,139,25.836,538
1946-1969,538,25,freud's,1,212,93,17.286,538
1946-1969,538,26,out,1,197,107,19.888,538
1946-1969,538,27,also,1,188,145,26.952,538
1946-1969,538,28,transference,1,187,76,14.126,538
1946-1969,538,29,body,1,185,60,11.152,538
1946-1969,538,30,first,1,184,120,22.305,538
1946-1969,538,31,relationship,1,183,106,19.703,538
1946-1969,538,32,patients,1,181,98,18.216,538
1946-1969,538,33,child,1,180,74,13.755,538
1946-1969,538,34,anxiety,1,175,61,11.338,538
1946-1969,538,35,two,1,173,126,23.42,538
1946-1969,538,36,american,1,169,130,24.164,538
1946-1969,538,37,mother,1,169,66,12.268,538
1946-1969,538,38,analytic,1,166,100,18.587,538
1946-1969,538,39,both,1,165,119,22.119,538
1946-1969,538,40,work,1,162,107,19.888,538
1946-1969,538,41,many,1,161,115,21.375,538
1946-1969,538,42,unconscious,1,158,90,16.729,538
1946-1969,538,43,experience,1,158,90,16.729,538
1946-1969,538,44,research,1,155,80,14.87,538
1946-1969,538,45,years,1,152,91,16.914,538
1946-1969,538,46,about,1,152,103,19.145,538
1946-1969,538,47,certain,1,152,116,21.561,538
1946-1969,538,48,time,1,151,109,20.26,538
1946-1969,538,49,experiences,1,150,50,9.294,538
1946-1969,538,50,technique,1,150,59,10.967,538
1946-1969,538,51,life,1,150,104,19.331,538
1946-1969,538,52,submitted,1,144,141,26.208,538
1946-1969,538,53,well,1,143,122,22.677,538
1946-1969,538,54,analyst,1,143,70,13.011,538
1946-1969,538,55,material,1,141,105,19.517,538
1946-1969,538,56,treatment,1,139,84,15.613,538
1946-1969,538,57,made,1,137,114,21.19,538
1946-1969,538,58,function,1,134,76,14.126,538
1946-1969,538,59,state,1,133,75,13.941,538
1946-1969,538,60,problems,1,132,86,15.985,538
1946-1969,538,61,robert,1,128,36,6.691,538
1946-1969,538,62,self,1,126,48,8.922,538
1946-1969,538,63,own,1,125,92,17.1,538
1946-1969,538,64,female,1,125,33,6.134,538
1946-1969,538,65,nature,1,124,91,16.914,538
1946-1969,538,66,processes,1,124,68,12.639,538
1946-1969,538,67,sexual,1,123,49,9.108,538
1946-1969,538,68,psychology,1,123,62,11.524,538
1946-1969,538,69,aspects,1,122,82,15.242,538
1946-1969,538,70,form,1,121,96,17.844,538
1946-1969,538,71,however,1,121,107,19.888,538
1946-1969,538,72,psychic,1,121,72,13.383,538
1946-1969,538,73,even,1,120,97,18.03,538
1946-1969,538,74,defense,1,120,63,11.71,538
1946-1969,538,75,human,1,119,67,12.454,538
1946-1969,538,76,meeting,1,119,99,18.401,538
1946-1969,538,77,psychological,1,115,70,13.011,538
1946-1969,538,78,against,1,114,74,13.755,538
1946-1969,538,79,mental,1,114,74,13.755,538
1946-1969,538,80,very,1,112,87,16.171,538
1946-1969,538,81,must,1,112,76,14.126,538
1946-1969,538,82,superego,1,108,45,8.364,538
1946-1969,538,83,man,1,107,57,10.595,538
1946-1969,538,84,behavior,1,106,69,12.825,538
1946-1969,538,85,before,1,105,89,16.543,538
1946-1969,538,86,any,1,105,84,15.613,538
1946-1969,538,87,situation,1,104,63,11.71,538
1946-1969,538,88,regression,1,103,38,7.063,538
1946-1969,538,89,problem,1,103,67,12.454,538
1946-1969,538,90,attempt,1,102,82,15.242,538
1946-1969,538,91,training,1,102,29,5.39,538
1946-1969,538,92,phenomena,1,102,61,11.338,538
1946-1969,538,93,important,1,101,81,15.056,538
1946-1969,538,94,charles,1,100,28,5.204,538
1946-1969,538,95,acting,1,100,21,3.903,538
1946-1969,538,96,functions,1,99,64,11.896,538
1946-1969,538,97,specific,1,99,74,13.755,538
1946-1969,538,98,relation,1,99,60,11.152,538
1946-1969,538,99,data,1,98,63,11.71,538
1946-1969,538,100,fantasies,1,98,47,8.736,538
1970-1989,681,1,psychoanalytic,1,960,336,49.339,681
1970-1989,681,2,new,1,706,360,52.863,681
1970-1989,681,3,runninghead,1,681,681,100.0,681
1970-1989,681,4,psychoanalysis,1,602,216,31.718,681
1970-1989,681,5,york,1,542,285,41.85,681
1970-1989,681,6,theory,1,496,176,25.844,681
1970-1989,681,7,analysis,1,400,179,26.285,681
1970-1989,681,8,development,1,394,201,29.515,681
1970-1989,681,9,object,1,391,142,20.852,681
1970-1989,681,10,ego,1,385,174,25.551,681
1970-1989,681,11,transference,1,380,106,15.565,681
