rank,term,ngram_n,count,doc_count,doc_pct,n_docs_base
1,american psychoanalytic association,3,476,367,12.551,2924
2,street new york,3,320,315,10.773,2924
3,training supervising analyst,3,266,251,8.584,2924
4,east street new,3,238,236,8.071,2924
5,new york e-mail,3,203,195,6.669,2924
6,meeting american psychoanalytic,3,174,170,5.814,2924
7,avenue new york,3,130,128,4.378,2924
8,new york new,3,126,124,4.241,2924
9,york new york,3,126,124,4.241,2924
10,clinical professor psychiatry,3,125,118,4.036,2924
11,psychoanalytic training research,3,116,92,3.146,2924
12,psychoanalytic association new,3,111,106,3.625,2924
13,association new york,3,109,104,3.557,2924
14,center psychoanalytic training,3,103,83,2.839,2924
15,university center psychoanalytic,3,97,80,2.736,2924
16,columbia university center,3,95,78,2.668,2924
17,new york psychoanalytic,3,93,76,2.599,2924
18,psychoanalytic society institute,3,74,62,2.12,2924
19,https orcid org,3,71,60,2.052,2924
20,west end avenue,3,70,69,2.36,2924
21,west street new,3,69,68,2.326,2924
22,central park west,3,68,68,2.326,2924
23,suite new york,3,66,65,2.223,2924
24,harold blum harold,3,64,36,1.231,2924
25,blum harold blum,3,64,36,1.231,2924
26,street san francisco,3,62,60,2.052,2924
27,new york december,3,60,59,2.018,2924
28,otto kernberg otto,3,60,34,1.163,2924
29,kernberg otto kernberg,3,60,34,1.163,2924
30,borderline personality disorder,3,60,22,0.752,2924
31,new york fax,3,58,56,1.915,2924
32,new york email,3,54,53,1.813,2924
33,park west new,3,53,53,1.813,2924
34,west new york,3,53,53,1.813,2924
35,annual meeting american,3,51,51,1.744,2924
36,altered body-ego experiences,3,50,1,0.034,2924
37,york psychoanalytic institute,3,49,46,1.573,2924
38,fall meeting american,3,48,47,1.607,2924
39,session american psychoanalytic,3,48,20,0.684,2924
40,international universities press,3,47,27,0.923,2924
41,park avenue new,3,47,47,1.607,2924
42,new york international,3,46,26,0.889,2924
43,york international universities,3,46,26,0.889,2924
44,object relations theory,3,46,23,0.787,2924
45,york fax e-mail,3,45,44,1.505,2924
46,psychoanalytic association december,3,44,44,1.505,2924
47,boston psychoanalytic society,3,44,43,1.471,2924
48,harvard medical school,3,44,44,1.505,2924
49,end avenue new,3,43,42,1.436,2924
50,college physicians surgeons,3,42,35,1.197,2924
51,poster session american,3,42,14,0.479,2924
52,journal american psychoanalytic,3,41,29,0.992,2924
53,michigan avenue chicago,3,41,41,1.402,2924
54,new york university,3,40,36,1.231,2924
55,steven levy steven,3,39,22,0.752,2924
56,levy steven levy,3,39,22,0.752,2924
57,york psychoanalytic society,3,38,30,1.026,2924
58,robert wallerstein robert,3,38,22,0.752,2924
59,wallerstein robert wallerstein,3,38,22,0.752,2924
60,street new haven,3,38,38,1.3,2924
61,psychiatry columbia university,3,37,30,1.026,2924
62,supervising analyst boston,3,37,37,1.265,2924
63,com https orcid,3,37,37,1.265,2924
64,analyst boston psychoanalytic,3,36,36,1.231,2924
65,associate clinical professor,3,34,34,1.163,2924
66,supervising analyst columbia,3,34,33,1.129,2924
67,hms harvard edu,3,34,33,1.129,2924
68,new york city,3,33,27,0.923,2924
69,address american psychoanalytic,3,33,31,1.06,2924
70,university school medicine,3,33,32,1.094,2924
71,analyst columbia university,3,33,32,1.094,2924
72,avenue suite chicago,3,33,32,1.094,2924
73,new york january,3,32,32,1.094,2924
74,leo rangell leo,3,31,16,0.547,2924
75,rangell leo rangell,3,31,16,0.547,2924
76,department psychiatry university,3,31,28,0.958,2924
77,avenue suite new,3,31,30,1.026,2924
78,north michigan avenue,3,30,30,1.026,2924
79,harold blum hemlocks,3,30,30,1.026,2924
80,blum hemlocks roslyn,3,30,30,1.026,2924
81,san francisco center,3,30,28,0.958,2924
82,francisco center psychoanalysis,3,30,28,0.958,2924
83,negative therapeutic reaction,3,29,9,0.308,2924
84,hemlocks roslyn estates,3,29,29,0.992,2924
85,michigan avenue suite,3,29,28,0.958,2924
86,new york basic,3,28,18,0.616,2924
87,fifth avenue new,3,28,28,0.958,2924
88,road white plains,3,28,28,0.958,2924
89,analyst new york,3,28,28,0.958,2924
90,south michigan avenue,3,28,28,0.958,2924
91,supervising analyst new,3,28,28,0.958,2924
92,jacob arlow jacob,3,27,14,0.479,2924
93,arlow jacob arlow,3,27,14,0.479,2924
94,midwinter meeting american,3,27,27,0.923,2924
95,psychiatry harvard medical,3,27,27,0.923,2924
96,both patient analyst,3,27,25,0.855,2924
97,apt new york,3,27,27,0.923,2924
98,steven roose steven,3,27,23,0.787,2924
99,roose steven roose,3,27,23,0.787,2924
100,street suite new,3,27,27,0.923,2924
101,chicago institute psychoanalysis,3,26,25,0.855,2924
102,columbia university college,3,26,19,0.65,2924
103,university college physicians,3,26,19,0.65,2924
104,stanley coen stanley,3,26,18,0.616,2924
105,coen stanley coen,3,26,18,0.616,2924
106,supervising analyst psychoanalytic,3,26,25,0.855,2924
107,plenary address american,3,26,26,0.889,2924
108,bonnie litowitz bonnie,3,26,20,0.684,2924
109,litowitz bonnie litowitz,3,26,20,0.684,2924
110,psychoanalytic theory technique,3,25,20,0.684,2924
111,borderline personality organization,3,25,9,0.308,2924
112,bloomingdale road white,3,25,25,0.855,2924
113,cornell medical college,3,25,23,0.787,2924
114,tyson phyllis tyson,3,25,15,0.513,2924
115,weill cornell medical,3,25,23,0.787,2924
116,human development intersections,3,25,9,0.308,2924
117,development intersections psychoanalytic,3,25,9,0.308,2924
118,mark kanzer mark,3,24,12,0.41,2924
119,kanzer mark kanzer,3,24,12,0.41,2924
120,between patient analyst,3,24,19,0.65,2924
121,theodore shapiro theodore,3,24,14,0.479,2924
122,shapiro theodore shapiro,3,24,14,0.479,2924
123,therapeutic action psychoanalysis,3,24,11,0.376,2924
124,phyllis tyson phyllis,3,24,14,0.479,2924
125,poster summaries human,3,24,8,0.274,2924
126,summaries human development,3,24,8,0.274,2924
127,winnicott's collected works,3,24,8,0.274,2924
128,gmail com https,3,24,24,0.821,2924
129,psychoanalytic theory practice,3,23,19,0.65,2924
130,assistant clinical professor,3,23,22,0.752,2924
131,john gedo john,3,23,12,0.41,2924
132,gedo john gedo,3,23,12,0.41,2924
133,gabbard glen gabbard,3,23,17,0.581,2924
134,postdoctoral program psychotherapy,3,23,22,0.752,2924
135,mount sinai hospital,3,22,17,0.581,2924
136,san francisco psychoanalytic,3,22,20,0.684,2924
137,psychoanalysis psychoanalytic psychotherapy,3,22,12,0.41,2924
138,self object representations,3,22,10,0.342,2924
