rank,term,ngram_n,count,doc_count,doc_pct,n_docs_base
1,new york,2,1515,707,44.804,1578
2,psychoanalytic dialogues,2,439,341,21.61,1578
3,private practice,2,434,426,26.996,1578
4,gmail com,2,385,382,24.208,1578
5,postdoctoral program,2,384,330,20.913,1578
6,correspondence addressed,2,374,374,23.701,1578
7,psychotherapy psychoanalysis,2,322,277,17.554,1578
8,supervising analyst,2,318,272,17.237,1578
9,san francisco,2,295,167,10.583,1578
10,program psychotherapy,2,288,257,16.286,1578
11,york university,2,268,232,14.702,1578
12,relational psychoanalysis,2,267,181,11.47,1578
13,york city,2,240,205,12.991,1578
14,york usa,2,232,220,13.942,1578
15,psychoanalytic institute,2,223,193,12.231,1578
16,training supervising,2,209,193,12.231,1578
17,university postdoctoral,2,194,176,11.153,1578
18,faculty member,2,183,153,9.696,1578
19,stephen mitchell,2,179,127,8.048,1578
20,psychoanalysis psychotherapy,2,178,157,9.949,1578
21,contemporary psychoanalysis,2,174,146,9.252,1578
22,institute psychoanalysis,2,170,153,9.696,1578
23,northern california,2,167,144,9.125,1578
24,clinical professor,2,161,147,9.316,1578
25,lauren levine,2,153,43,2.725,1578
26,stephen seligman,2,152,34,2.155,1578
27,self psychology,2,151,76,4.816,1578
28,institute northern,2,151,137,8.682,1578
29,practice new,2,149,147,9.316,1578
30,street new,2,148,138,8.745,1578
31,lewis aron,2,148,48,3.042,1578
32,suite new,2,146,145,9.189,1578
33,west street,2,144,134,8.492,1578
34,editor psychoanalytic,2,143,140,8.872,1578
35,aol com,2,139,138,8.745,1578
36,nyu postdoctoral,2,133,115,7.288,1578
37,analytic press,2,131,122,7.731,1578
38,associate editor,2,131,122,7.731,1578
39,usa e-mail,2,130,130,8.238,1578
40,professor psychology,2,124,116,7.351,1578
41,psychoanalytic theory,2,121,91,5.767,1578
42,stephen hartman,2,121,43,2.725,1578
43,institute contemporary,2,119,103,6.527,1578
44,adrienne harris,2,117,44,2.788,1578
45,medical school,2,113,101,6.401,1578
46,gender sexuality,2,112,104,6.591,1578
47,york new,2,110,101,6.401,1578
48,alanson white,2,109,97,6.147,1578
49,white institute,2,108,95,6.02,1578
50,william alanson,2,107,95,6.02,1578
51,program psychoanalysis,2,105,91,5.767,1578
52,mental health,2,105,75,4.753,1578
53,international association,2,104,92,5.83,1578
54,massachusetts institute,2,103,91,5.767,1578
55,joyce slochower,2,103,23,1.458,1578
56,street suite,2,102,102,6.464,1578
57,mitchell center,2,102,93,5.894,1578
58,clinical work,2,100,82,5.196,1578
59,steven cooper,2,99,24,1.521,1578
60,faculty supervisor,2,98,83,5.26,1578
61,los angeles,2,96,61,3.866,1578
62,psychoanalytic association,2,95,74,4.689,1578
63,center psychoanalysis,2,93,87,5.513,1578
64,associate professor,2,93,91,5.767,1578
65,donnel stern,2,93,24,1.521,1578
66,psychoanalytic society,2,91,78,4.943,1578
67,national institute,2,89,85,5.387,1578
68,clinical psychologist,2,89,87,5.513,1578
69,center relational,2,89,82,5.196,1578
70,institute psychotherapies,2,88,84,5.323,1578
71,anthony bass,2,88,21,1.331,1578
72,patient analyst,2,87,73,4.626,1578
73,therapeutic action,2,87,55,3.485,1578
74,clinical psychology,2,85,76,4.816,1578
75,york e-mail,2,85,85,5.387,1578
76,steven knoblauch,2,83,19,1.204,1578
77,analytic process,2,82,56,3.549,1578
78,jody davies,2,82,25,1.584,1578
79,institute psychoanalytic,2,81,71,4.499,1578
80,professor psychiatry,2,81,75,4.753,1578
81,muriel dimen,2,80,27,1.711,1578
82,association relational,2,80,77,4.88,1578
83,jack foehl,2,79,34,2.155,1578
84,psychoanalytic treatment,2,78,54,3.422,1578
85,clinical practice,2,76,61,3.866,1578
86,sue grand,2,75,22,1.394,1578
87,amy schwartz,2,75,26,1.648,1578
88,schwartz cooney,2,75,26,1.648,1578
89,harvard medical,2,73,69,4.373,1578
90,psychoanalytic psychotherapy,2,73,64,4.056,1578
91,south africa,2,73,34,2.155,1578
92,philip bromberg,2,71,21,1.331,1578
93,psychoanalysis runninghead,2,70,70,4.436,1578
94,psychological association,2,69,61,3.866,1578
95,psychoanalysis faculty,2,69,61,3.866,1578
96,ken corbett,2,68,18,1.141,1578
97,stuart pizer,2,67,17,1.077,1578
98,american psychological,2,67,60,3.802,1578
99,american psychoanalytic,2,67,56,3.549,1578
100,analyst faculty,2,67,62,3.929,1578
101,analytic relationship,2,66,50,3.169,1578
102,editorial board,2,66,64,4.056,1578
103,psychoanalytic training,2,66,58,3.676,1578
104,virginia goldner,2,65,19,1.204,1578
105,columbia university,2,64,56,3.549,1578
106,field theory,2,64,22,1.394,1578
107,training analyst,2,62,55,3.485,1578
108,relational theory,2,62,38,2.408,1578
109,object relations,2,61,43,2.725,1578
110,training program,2,61,55,3.485,1578
111,board member,2,61,52,3.295,1578
112,eyal rozmarin,2,61,13,0.824,1578
113,peter goldberg,2,60,18,1.141,1578
114,amy cooney,2,60,18,1.141,1578
115,avenue suite,2,59,59,3.739,1578
116,relationship between,2,59,51,3.232,1578
117,international journal,2,59,57,3.612,1578
118,thinking about,2,58,45,2.852,1578
