rank,term,ngram_n,count,doc_count,doc_pct,n_docs_base
1,psychoanalysis,1,2767,1050,66.54,1578
2,psychoanalytic,1,2678,1076,68.188,1578
3,new,1,2017,894,56.654,1578
4,clinical,1,1583,866,54.88,1578
5,runninghead,1,1578,1578,100.0,1578
6,york,1,1532,712,45.12,1578
7,relational,1,1242,546,34.601,1578
8,institute,1,1081,710,44.994,1578
9,phd,1,1062,883,55.957,1578
10,analyst,1,995,568,35.995,1578
11,psychotherapy,1,959,609,38.593,1578
12,analytic,1,916,492,31.179,1578
13,faculty,1,871,624,39.544,1578
14,work,1,853,524,33.207,1578
15,university,1,837,576,36.502,1578
16,experience,1,833,472,29.911,1578
17,about,1,826,477,30.228,1578
18,between,1,825,513,32.51,1578
19,theory,1,812,416,26.362,1578
20,practice,1,784,605,38.34,1578
21,patient,1,715,392,24.842,1578
22,psychology,1,711,445,28.2,1578
23,com,1,702,684,43.346,1578
24,program,1,678,513,32.51,1578
25,trauma,1,649,290,18.378,1578
26,self,1,631,319,20.215,1578
27,training,1,614,446,28.264,1578
28,process,1,611,369,23.384,1578
29,also,1,596,472,29.911,1578
30,one,1,589,419,26.553,1578
31,both,1,583,443,28.074,1578
32,other,1,568,407,25.792,1578
33,member,1,554,401,25.412,1578
34,social,1,542,283,17.934,1578
35,treatment,1,532,313,19.835,1578
36,stephen,1,525,224,14.195,1578
37,patients,1,516,311,19.708,1578
38,dialogues,1,505,357,22.624,1578
39,usa,1,503,455,28.834,1578
40,center,1,500,382,24.208,1578
41,private,1,487,451,28.58,1578
42,professor,1,482,431,27.313,1578
43,time,1,466,263,16.667,1578
44,gender,1,452,203,12.864,1578
45,own,1,442,330,20.913,1578
46,all,1,441,296,18.758,1578
47,street,1,439,415,26.299,1578
48,therapeutic,1,438,268,16.984,1578
49,contemporary,1,431,319,20.215,1578
50,e-mail,1,427,423,26.806,1578
51,relationship,1,406,270,17.11,1578
52,addressed,1,404,396,25.095,1578
53,analyst's,1,402,198,12.548,1578
54,correspondence,1,396,383,24.271,1578
55,supervising,1,395,329,20.849,1578
56,life,1,393,263,16.667,1578
57,postdoctoral,1,392,338,21.42,1578
58,gmail,1,385,382,24.208,1578
59,california,1,371,221,14.005,1578
60,white,1,369,196,12.421,1578
61,american,1,363,227,14.385,1578
62,personal,1,356,260,16.477,1578
63,commentary,1,352,153,9.696,1578
64,analysis,1,352,205,12.991,1578
65,world,1,352,223,14.132,1578
66,two,1,348,262,16.603,1578
67,unconscious,1,347,209,13.245,1578
68,research,1,347,223,14.132,1578
69,many,1,342,255,16.16,1578
70,association,1,341,249,15.779,1578
71,editor,1,339,261,16.54,1578
72,patient's,1,329,211,13.371,1578
73,well,1,328,274,17.364,1578
74,francisco,1,328,170,10.773,1578
75,international,1,321,247,15.653,1578
76,city,1,318,248,15.716,1578
77,object,1,311,167,10.583,1578
78,san,1,311,178,11.28,1578
79,development,1,309,208,13.181,1578
80,school,1,307,256,16.223,1578
81,human,1,294,182,11.534,1578
82,field,1,293,165,10.456,1578
83,states,1,292,170,10.773,1578
84,society,1,290,233,14.766,1578
85,supervisor,1,289,230,14.575,1578
86,subjectivity,1,285,177,11.217,1578
87,thinking,1,283,173,10.963,1578
88,psychic,1,282,168,10.646,1578
89,understanding,1,281,217,13.752,1578
