period,n_records_group,rank,term,ngram_n,count,doc_count,doc_pct,n_docs_base
1990-2009,535,1,psychoanalysis,1,867,346,64.673,535
1990-2009,535,2,psychoanalytic,1,812,351,65.607,535
1990-2009,535,3,new,1,613,302,56.449,535
1990-2009,535,4,runninghead,1,535,535,100.0,535
1990-2009,535,5,york,1,456,251,46.916,535
1990-2009,535,6,analytic,1,452,239,44.673,535
1990-2009,535,7,clinical,1,444,271,50.654,535
1990-2009,535,8,analyst,1,392,221,41.308,535
1990-2009,535,9,phd,1,381,351,65.607,535
1990-2009,535,10,relational,1,339,167,31.215,535
1990-2009,535,11,experience,1,331,180,33.645,535
1990-2009,535,12,institute,1,330,228,42.617,535
1990-2009,535,13,theory,1,311,156,29.159,535
1990-2009,535,14,commentary,1,295,110,20.561,535
1990-2009,535,15,self,1,292,117,21.869,535
1990-2009,535,16,psychology,1,290,168,31.402,535
1990-2009,535,17,university,1,285,217,40.561,535
1990-2009,535,18,about,1,285,158,29.533,535
1990-2009,535,19,patient,1,280,142,26.542,535
1990-2009,535,20,between,1,273,176,32.897,535
1990-2009,535,21,process,1,269,150,28.037,535
1990-2009,535,22,work,1,262,163,30.467,535
1990-2009,535,23,one,1,252,170,31.776,535
1990-2009,535,24,psychotherapy,1,241,175,32.71,535
1990-2009,535,25,faculty,1,238,187,34.953,535
1990-2009,535,26,street,1,230,214,40.0,535
1990-2009,535,27,other,1,220,152,28.411,535
1990-2009,535,28,treatment,1,205,114,21.308,535
1990-2009,535,29,analyst's,1,196,99,18.505,535
1990-2009,535,30,both,1,193,156,29.159,535
1990-2009,535,31,training,1,188,130,24.299,535
1990-2009,535,32,analysis,1,187,95,17.757,535
1990-2009,535,33,gender,1,183,50,9.346,535
1990-2009,535,34,also,1,181,146,27.29,535
1990-2009,535,35,program,1,179,150,28.037,535
1990-2009,535,36,relationship,1,162,100,18.692,535
1990-2009,535,37,patients,1,160,93,17.383,535
1990-2009,535,38,own,1,157,112,20.935,535
1990-2009,535,39,professor,1,154,138,25.794,535
1990-2009,535,40,patient's,1,152,95,17.757,535
1990-2009,535,41,therapeutic,1,149,97,18.131,535
1990-2009,535,42,social,1,149,73,13.645,535
1990-2009,535,43,american,1,148,84,15.701,535
1990-2009,535,44,west,1,147,131,24.486,535
1990-2009,535,45,contemporary,1,147,105,19.626,535
1990-2009,535,46,all,1,145,108,20.187,535
1990-2009,535,47,practice,1,145,120,22.43,535
1990-2009,535,48,unconscious,1,144,84,15.701,535
1990-2009,535,49,two,1,137,106,19.813,535
1990-2009,535,50,com,1,135,130,24.299,535
1990-2009,535,51,many,1,133,100,18.692,535
1990-2009,535,52,life,1,132,89,16.636,535
1990-2009,535,53,stephen,1,132,54,10.093,535
1990-2009,535,54,member,1,132,109,20.374,535
1990-2009,535,55,supervising,1,132,113,21.121,535
1990-2009,535,56,development,1,128,85,15.888,535
1990-2009,535,57,psychological,1,125,90,16.822,535
1990-2009,535,58,subjectivity,1,121,68,12.71,535
1990-2009,535,59,love,1,120,45,8.411,535
1990-2009,535,60,different,1,120,92,17.196,535
1990-2009,535,61,press,1,119,108,20.187,535
1990-2009,535,62,postdoctoral,1,118,110,20.561,535
1990-2009,535,63,intersubjective,1,116,65,12.15,535
1990-2009,535,64,sexual,1,114,51,9.533,535
1990-2009,535,65,association,1,113,92,17.196,535
1990-2009,535,66,countertransference,1,110,62,11.589,535
1990-2009,535,67,dialogues,1,109,88,16.449,535
1990-2009,535,68,aspects,1,107,76,14.206,535
1990-2009,535,69,well,1,106,90,16.822,535
1990-2009,535,70,time,1,106,75,14.019,535
1990-2009,535,71,center,1,105,91,17.009,535
1990-2009,535,72,mitchell,1,104,47,8.785,535
1990-2009,535,73,only,1,104,89,16.636,535
1990-2009,535,74,personal,1,104,72,13.458,535
1990-2009,535,75,understanding,1,103,81,15.14,535
1990-2009,535,76,analysts,1,102,76,14.206,535
1990-2009,535,77,school,1,101,88,16.449,535
1990-2009,535,78,research,1,99,63,11.776,535
1990-2009,535,79,theoretical,1,98,75,14.019,535
1990-2009,535,80,object,1,97,61,11.402,535
1990-2009,535,81,san,1,97,62,11.589,535
1990-2009,535,82,meaning,1,96,54,10.093,535
1990-2009,535,83,supervisor,1,96,75,14.019,535
1990-2009,535,84,net,1,96,87,16.262,535
1990-2009,535,85,transference,1,94,61,11.402,535
1990-2009,535,86,human,1,94,62,11.589,535
1990-2009,535,87,out,1,92,66,12.336,535
1990-2009,535,88,steven,1,92,26,4.86,535
1990-2009,535,89,aron,1,91,31,5.794,535
1990-2009,535,90,francisco,1,91,57,10.654,535
1990-2009,535,91,need,1,91,57,10.654,535
1990-2009,535,92,psychic,1,90,53,9.907,535
1990-2009,535,93,states,1,89,51,9.533,535
1990-2009,535,94,avenue,1,89,88,16.449,535
1990-2009,535,95,place,1,88,69,12.897,535
1990-2009,535,96,california,1,88,62,11.589,535
1990-2009,535,97,change,1,87,47,8.785,535
1990-2009,535,98,michael,1,86,29,5.421,535
1990-2009,535,99,world,1,86,59,11.028,535
1990-2009,535,100,dreams,1,86,30,5.607,535
2010-2025,1043,1,psychoanalysis,1,1900,704,67.498,1043
2010-2025,1043,2,psychoanalytic,1,1866,725,69.511,1043
2010-2025,1043,3,new,1,1404,592,56.759,1043
2010-2025,1043,4,clinical,1,1139,595,57.047,1043
2010-2025,1043,5,york,1,1076,461,44.199,1043
2010-2025,1043,6,runninghead,1,1043,1043,100.0,1043
2010-2025,1043,7,relational,1,903,379,36.337,1043
2010-2025,1043,8,institute,1,751,482,46.213,1043
2010-2025,1043,9,psychotherapy,1,718,434,41.611,1043
2010-2025,1043,10,phd,1,681,532,51.007,1043
2010-2025,1043,11,practice,1,639,485,46.5,1043
2010-2025,1043,12,faculty,1,633,437,41.898,1043
