rank,term,ngram_n,count,doc_count,doc_pct,n_docs_base
1,program psychotherapy psychoanalysis,3,280,249,15.779,1578
2,new york university,3,266,231,14.639,1578
3,postdoctoral program psychotherapy,3,263,232,14.702,1578
4,new york city,3,240,205,12.991,1578
5,new york usa,3,229,217,13.752,1578
6,york university postdoctoral,3,191,173,10.963,1578
7,university postdoctoral program,3,191,173,10.963,1578
8,training supervising analyst,3,190,178,11.28,1578
9,psychoanalytic institute northern,3,151,137,8.682,1578
10,institute northern california,3,150,136,8.619,1578
11,street new york,3,148,138,8.745,1578
12,practice new york,3,148,146,9.252,1578
13,suite new york,3,144,143,9.062,1578
14,private practice new,3,140,138,8.745,1578
15,editor psychoanalytic dialogues,3,137,136,8.619,1578
16,nyu postdoctoral program,3,133,115,7.288,1578
17,new york new,3,110,101,6.401,1578
18,william alanson white,3,107,95,6.02,1578
19,york new york,3,107,98,6.21,1578
20,alanson white institute,3,104,93,5.894,1578
21,massachusetts institute psychoanalysis,3,103,91,5.767,1578
22,associate editor psychoanalytic,3,96,95,6.02,1578
23,national institute psychotherapies,3,88,84,5.323,1578
24,west street new,3,85,76,4.816,1578
25,new york e-mail,3,84,84,5.323,1578
26,postdoctoral program psychoanalysis,3,81,71,4.499,1578
27,street suite new,3,80,80,5.07,1578
28,mitchell center relational,3,80,74,4.689,1578
29,international association relational,3,80,77,4.88,1578
30,relational psychoanalysis psychotherapy,3,77,74,4.689,1578
31,association relational psychoanalysis,3,75,72,4.563,1578
32,amy schwartz cooney,3,74,25,1.584,1578
33,harvard medical school,3,73,69,4.373,1578
34,institute contemporary psychoanalysis,3,73,61,3.866,1578
35,stephen mitchell center,3,72,67,4.246,1578
36,program psychoanalysis psychotherapy,3,68,58,3.676,1578
37,york usa e-mail,3,64,64,4.056,1578
38,clinical professor psychology,3,62,58,3.676,1578
39,supervising analyst faculty,3,62,58,3.676,1578
40,american psychological association,3,61,54,3.422,1578
41,american psychoanalytic association,3,58,51,3.232,1578
42,street san francisco,3,57,55,3.485,1578
43,institute psychoanalytic subjectivity,3,50,43,2.725,1578
44,west street suite,3,49,49,3.105,1578
45,clinical professor psychiatry,3,49,47,2.978,1578
46,phd lauren levine,3,49,33,2.091,1578
47,http orcid org,3,49,47,2.978,1578
48,faculty new york,3,48,45,2.852,1578
49,psychoanalytic society institute,3,48,43,2.725,1578
50,faculty supervising analyst,3,45,42,2.662,1578
51,institute contemporary psychotherapy,3,44,41,2.598,1578
52,california san francisco,3,43,36,2.281,1578
53,maintains private practice,3,43,43,2.725,1578
54,boston psychoanalytic society,3,43,37,2.345,1578
55,jody messler davies,3,43,17,1.077,1578
56,central park west,3,42,42,2.662,1578
57,clinical associate professor,3,41,40,2.535,1578
58,stephen hartman phd,3,41,40,2.535,1578
59,personal supervising analyst,3,40,40,2.535,1578
60,adjunct clinical professor,3,40,33,2.091,1578
61,san francisco center,3,40,38,2.408,1578
62,francisco center psychoanalysis,3,40,38,2.408,1578
63,psychoanalytic self psychology,3,39,30,1.901,1578
64,faculty psychoanalytic institute,3,38,38,2.408,1578
65,psychoanalytic training research,3,38,37,2.345,1578
66,lauren levine phd,3,38,38,2.408,1578
67,analyst william alanson,3,37,36,2.281,1578
68,psychoanalyst private practice,3,36,36,2.281,1578
69,faculty nyu postdoctoral,3,36,30,1.901,1578
70,san francisco california,3,36,33,2.091,1578
71,university new york,3,35,32,2.028,1578
72,east street new,3,35,35,2.218,1578
73,manhattan institute psychoanalysis,3,35,32,2.028,1578
74,supervisor new york,3,35,34,2.155,1578
75,editor gender sexuality,3,35,35,2.218,1578
76,avenue new york,3,34,34,2.155,1578
77,between patient analyst,3,34,31,1.965,1578
78,psychotherapy psychoanalysis faculty,3,34,33,2.091,1578
79,supervising analyst william,3,33,32,2.028,1578
80,psychoanalysis los angeles,3,33,30,1.901,1578
81,analyst psychoanalytic institute,3,33,31,1.965,1578
82,stephen seligman stephen,3,33,20,1.267,1578
83,seligman stephen seligman,3,33,20,1.267,1578
84,york city correspondence,3,33,33,2.091,1578
85,city correspondence addressed,3,33,33,2.091,1578
86,francisco california usa,3,32,30,1.901,1578
87,city university new,3,31,28,1.774,1578
88,analyst faculty member,3,31,28,1.774,1578
89,lauren levine lauren,3,31,24,1.521,1578
90,levine lauren levine,3,31,24,1.521,1578
91,phd stephen hartman,3,31,27,1.711,1578
92,associate professor psychology,3,30,30,1.901,1578
93,stephen mitchell relational,3,30,30,1.901,1578
94,jack foehl phd,3,30,30,1.901,1578
95,psychoanalysis new york,3,29,27,1.711,1578
96,west end avenue,3,29,29,1.838,1578
97,mitchell relational center,3,29,29,1.838,1578
98,san francisco usa,3,29,29,1.838,1578
99,francisco gonz lez,3,29,7,0.444,1578
100,contemporary psychoanalysis los,3,28,26,1.648,1578
101,director new york,3,28,24,1.521,1578
102,white institute adjunct,3,28,22,1.394,1578
103,university california san,3,27,24,1.521,1578
104,supervising analyst institute,3,27,23,1.458,1578
105,professor psychology new,3,27,23,1.458,1578
106,supervising training analyst,3,27,23,1.458,1578
107,assistant clinical professor,3,27,26,1.648,1578
108,international psychoanalytic association,3,27,25,1.584,1578
109,faculty stephen mitchell,3,27,25,1.584,1578
110,park west new,3,26,26,1.648,1578
111,west new york,3,26,26,1.648,1578
112,psychology new york,3,26,22,1.394,1578
113,psychoanalytic theory practice,3,26,16,1.014,1578
114,psychoanalysis associate editor,3,26,25,1.584,1578
115,national training program,3,26,24,1.521,1578
116,dorothy evans holmes,3,26,6,0.38,1578
117,phd jack foehl,3,26,24,1.521,1578
118,stephen hartman lauren,3,26,21,1.331,1578
119,hartman lauren levine,3,26,21,1.331,1578
120,psychoanalysis american psychological,3,25,23,1.458,1578
121,supervising analyst psychoanalytic,3,25,24,1.521,1578
122,psychiatry harvard medical,3,25,25,1.584,1578
123,international journal psychoanalysis,3,25,25,1.584,1578
124,division psychoanalysis american,3,24,23,1.458,1578
125,psychotherapy psychoanalysis new,3,24,24,1.521,1578
126,toronto institute contemporary,3,24,20,1.267,1578
127,member institute contemporary,3,24,22,1.394,1578
128,analyst boston psychoanalytic,3,24,24,1.521,1578
129,analyst massachusetts institute,3,24,24,1.521,1578
130,center psychoanalytic training,3,24,23,1.458,1578
131,faculty member institute,3,23,21,1.331,1578
132,supervising analyst boston,3,23,23,1.458,1578
133,supervising analyst massachusetts,3,23,23,1.458,1578
134,president international association,3,23,22,1.394,1578
135,institute adjunct clinical,3,23,17,1.077,1578
136,psychoanalytic dialogues runninghead,3,23,23,1.458,1578
137,dialogues runninghead psychoanalytic,3,23,23,1.458,1578
138,runninghead psychoanalytic dialogues,3,23,23,1.458,1578
139,com http orcid,3,23,23,1.458,1578
140,faculty member supervisor,3,22,19,1.204,1578
141,psychoanalytic dialogues psychoanalytic,3,22,22,1.394,1578
142,editorial board psychoanalytic,3,22,22,1.394,1578
143,apt new york,3,22,22,1.394,1578
144,avenue suite new,3,22,22,1.394,1578
145,institute relational psychoanalysis,3,22,21,1.331,1578
146,joyce slochower abpp,3,22,8,0.507,1578
147,romantic bonds binds,3,22,11,0.697,1578
148,bonds binds ruptures,3,22,11,0.697,1578
149,jack foehl stephen,3,22,17,1.077,1578
150,foehl stephen hartman,3,22,17,1.077,1578
151,psychology harvard medical,3,21,20,1.267,1578
152,defense analysis self,3,21,6,0.38,1578
153,analysis self psychology,3,21,6,0.38,1578
154,aron lewis aron,3,21,10,0.634,1578
155,psychoanalysis psychotherapy iarpp,3,21,21,1.331,1578
156,christopher bonovitz psy,3,21,9,0.57,1578
157,founding board member,3,21,19,1.204,1578
158,member stephen mitchell,3,21,20,1.267,1578
159,bionian field theory,3,21,9,0.57,1578
160,ruptures couples brink,3,21,10,0.634,1578
161,levine phd lauren,3,21,21,1.331,1578
162,cooney jack foehl,3,21,17,1.077,1578
163,end avenue new,3,20,20,1.267,1578
164,faculty national institute,3,20,20,1.267,1578
165,institute new york,3,20,19,1.204,1578
166,psychoanalysis culture society,3,20,20,1.267,1578
167,university center psychoanalytic,3,20,19,1.204,1578
168,relational psychoanalysis philadelphia,3,20,19,1.204,1578
169,lewis aron lewis,3,20,9,0.57,1578
170,clinical psychologist psychoanalyst,3,20,19,1.204,1578
171,psychologist private practice,3,20,20,1.267,1578
172,psychoanalysis correspondence addressed,3,20,20,1.267,1578
173,binds ruptures couples,3,20,9,0.57,1578
174,schwartz cooney phd,3,20,20,1.267,1578
175,phd amy cooney,3,20,14,0.887,1578
