rank,term,ngram_n,count,doc_count,doc_pct,n_docs_base,semantic_review_status,candidate_reason,suggested_family
1,phd,1,1792,1076,78.598,1369,pending,psychoanalytic_psychology_high_frequency_recon,
2,psychoanalytic,1,1560,629,45.946,1369,pending,psychoanalytic_psychology_high_frequency_recon,
3,runninghead,1,1369,1369,100.0,1369,pending,psychoanalytic_psychology_high_frequency_recon,
4,psychoanalysis,1,1169,429,31.337,1369,pending,psychoanalytic_psychology_high_frequency_recon,
5,new,1,913,468,34.186,1369,pending,psychoanalytic_psychology_high_frequency_recon,
6,treatment,1,859,366,26.735,1369,pending,psychoanalytic_psychology_high_frequency_recon,technique_process
7,clinical,1,829,490,35.793,1369,pending,psychoanalytic_psychology_high_frequency_recon,
8,between,1,819,455,33.236,1369,pending,psychoanalytic_psychology_high_frequency_recon,
9,university,1,796,208,15.194,1369,pending,psychoanalytic_psychology_high_frequency_recon,
10,e-mail,1,791,629,45.946,1369,pending,psychoanalytic_psychology_high_frequency_recon,
11,theory,1,782,352,25.712,1369,pending,psychoanalytic_psychology_high_frequency_recon,
12,attachment,1,771,130,9.496,1369,pending,psychoanalytic_psychology_high_frequency_recon,development_attachment
13,patients,1,679,294,21.476,1369,pending,psychoanalytic_psychology_high_frequency_recon,
14,psychotherapy,1,674,270,19.722,1369,pending,psychoanalytic_psychology_high_frequency_recon,
15,psychology,1,617,274,20.015,1369,pending,psychoanalytic_psychology_high_frequency_recon,
16,process,1,614,321,23.448,1369,pending,psychoanalytic_psychology_high_frequency_recon,technique_process
17,research,1,570,315,23.009,1369,pending,psychoanalytic_psychology_high_frequency_recon,
18,personality,1,559,177,12.929,1369,pending,psychoanalytic_psychology_high_frequency_recon,
19,york,1,541,300,21.914,1369,pending,psychoanalytic_psychology_high_frequency_recon,
20,self,1,503,204,14.901,1369,pending,psychoanalytic_psychology_high_frequency_recon,self_narcissism
21,therapeutic,1,489,238,17.385,1369,pending,psychoanalytic_psychology_high_frequency_recon,technique_process
22,experience,1,487,268,19.576,1369,pending,psychoanalytic_psychology_high_frequency_recon,
23,relationship,1,487,245,17.896,1369,pending,psychoanalytic_psychology_high_frequency_recon,
24,development,1,481,262,19.138,1369,pending,psychoanalytic_psychology_high_frequency_recon,development_attachment
25,patient,1,467,245,17.896,1369,pending,psychoanalytic_psychology_high_frequency_recon,
26,object,1,449,172,12.564,1369,pending,psychoanalytic_psychology_high_frequency_recon,object_relations
27,about,1,439,290,21.183,1369,pending,psychoanalytic_psychology_high_frequency_recon,
28,work,1,406,259,18.919,1369,pending,psychoanalytic_psychology_high_frequency_recon,
29,analysis,1,392,202,14.755,1369,pending,psychoanalytic_psychology_high_frequency_recon,
30,analytic,1,375,196,14.317,1369,pending,psychoanalytic_psychology_high_frequency_recon,technique_process
31,psychodynamic,1,363,141,10.299,1369,pending,psychoanalytic_psychology_high_frequency_recon,
32,both,1,362,290,21.183,1369,pending,psychoanalytic_psychology_high_frequency_recon,
33,practice,1,348,250,18.262,1369,pending,psychoanalytic_psychology_high_frequency_recon,
34,psychological,1,340,202,14.755,1369,pending,psychoanalytic_psychology_high_frequency_recon,
35,other,1,338,253,18.481,1369,pending,psychoanalytic_psychology_high_frequency_recon,
36,child,1,327,124,9.058,1369,pending,psychoanalytic_psychology_high_frequency_recon,development_attachment
37,transference,1,325,131,9.569,1369,pending,psychoanalytic_psychology_high_frequency_recon,transference_countertransference
38,com,1,323,314,22.936,1369,pending,psychoanalytic_psychology_high_frequency_recon,
39,also,1,318,270,19.722,1369,pending,psychoanalytic_psychology_high_frequency_recon,
40,relational,1,313,133,9.715,1369,pending,psychoanalytic_psychology_high_frequency_recon,relational_intersubjective
41,freud,1,308,133,9.715,1369,pending,psychoanalytic_psychology_high_frequency_recon,
42,freud's,1,301,131,9.569,1369,pending,psychoanalytic_psychology_high_frequency_recon,
43,relations,1,294,133,9.715,1369,pending,psychoanalytic_psychology_high_frequency_recon,
44,one,1,293,217,15.851,1369,pending,psychoanalytic_psychology_high_frequency_recon,
45,understanding,1,292,215,15.705,1369,pending,psychoanalytic_psychology_high_frequency_recon,
46,therapy,1,290,159,11.614,1369,pending,psychoanalytic_psychology_high_frequency_recon,technique_process
47,unconscious,1,288,148,10.811,1369,pending,psychoanalytic_psychology_high_frequency_recon,
48,mental,1,285,172,12.564,1369,pending,psychoanalytic_psychology_high_frequency_recon,
49,trauma,1,285,107,7.816,1369,pending,psychoanalytic_psychology_high_frequency_recon,affect_trauma_regulation
50,analyst,1,284,168,12.272,1369,pending,psychoanalytic_psychology_high_frequency_recon,
51,functioning,1,283,131,9.569,1369,pending,psychoanalytic_psychology_high_frequency_recon,
52,developmental,1,280,175,12.783,1369,pending,psychoanalytic_psychology_high_frequency_recon,development_attachment
53,two,1,278,192,14.025,1369,pending,psychoanalytic_psychology_high_frequency_recon,
54,children,1,275,109,7.962,1369,pending,psychoanalytic_psychology_high_frequency_recon,development_attachment
55,early,1,274,167,12.199,1369,pending,psychoanalytic_psychology_high_frequency_recon,
56,theoretical,1,272,187,13.66,1369,pending,psychoanalytic_psychology_high_frequency_recon,
57,online,1,267,80,5.844,1369,pending,psychoanalytic_psychology_high_frequency_recon,
58,institute,1,263,139,10.153,1369,pending,psychoanalytic_psychology_high_frequency_recon,
59,life,1,262,170,12.418,1369,pending,psychoanalytic_psychology_high_frequency_recon,
60,social,1,260,142,10.373,1369,pending,psychoanalytic_psychology_high_frequency_recon,culture_social_ethics
61,model,1,258,151,11.03,1369,pending,psychoanalytic_psychology_high_frequency_recon,
62,adult,1,255,116,8.473,1369,pending,psychoanalytic_psychology_high_frequency_recon,
63,interpersonal,1,253,128,9.35,1369,pending,psychoanalytic_psychology_high_frequency_recon,
64,sexual,1,252,81,5.917,1369,pending,psychoanalytic_psychology_high_frequency_recon,body_sexuality
65,states,1,252,157,11.468,1369,pending,psychoanalytic_psychology_high_frequency_recon,
66,well,1,250,215,15.705,1369,pending,psychoanalytic_psychology_high_frequency_recon,
67,affect,1,245,100,7.305,1369,pending,psychoanalytic_psychology_high_frequency_recon,affect_trauma_regulation
68,implications,1,239,188,13.733,1369,pending,psychoanalytic_psychology_high_frequency_recon,
69,disorders,1,238,103,7.524,1369,pending,psychoanalytic_psychology_high_frequency_recon,
70,disorder,1,236,109,7.962,1369,pending,psychoanalytic_psychology_high_frequency_recon,
71,change,1,236,129,9.423,1369,pending,psychoanalytic_psychology_high_frequency_recon,
72,therapist,1,234,109,7.962,1369,pending,psychoanalytic_psychology_high_frequency_recon,
73,experiences,1,231,138,10.08,1369,pending,psychoanalytic_psychology_high_frequency_recon,
74,patient's,1,231,144,10.519,1369,pending,psychoanalytic_psychology_high_frequency_recon,
75,school,1,231,90,6.574,1369,pending,psychoanalytic_psychology_high_frequency_recon,
76,relationships,1,228,132,9.642,1369,pending,psychoanalytic_psychology_high_frequency_recon,
77,emotional,1,224,118,8.619,1369,pending,psychoanalytic_psychology_high_frequency_recon,affect_trauma_regulation
78,robert,1,213,66,4.821,1369,pending,psychoanalytic_psychology_high_frequency_recon,
79,training,1,212,127,9.277,1369,pending,psychoanalytic_psychology_high_frequency_recon,
80,borderline,1,209,62,4.529,1369,pending,psychoanalytic_psychology_high_frequency_recon,
81,all,1,209,178,13.002,1369,pending,psychoanalytic_psychology_high_frequency_recon,
82,countertransference,1,207,83,6.063,1369,pending,psychoanalytic_psychology_high_frequency_recon,transference_countertransference
83,processes,1,204,138,10.08,1369,pending,psychoanalytic_psychology_high_frequency_recon,
84,edu,1,201,200,14.609,1369,pending,psychoanalytic_psychology_high_frequency_recon,
85,depression,1,200,51,3.725,1369,pending,psychoanalytic_psychology_high_frequency_recon,
86,empirical,1,199,129,9.423,1369,pending,psychoanalytic_psychology_high_frequency_recon,
87,results,1,196,150,10.957,1369,pending,psychoanalytic_psychology_high_frequency_recon,
88,org,1,196,143,10.446,1369,pending,psychoanalytic_psychology_high_frequency_recon,
89,contemporary,1,195,135,9.861,1369,pending,psychoanalytic_psychology_high_frequency_recon,
90,aspects,1,193,144,10.519,1369,pending,psychoanalytic_psychology_high_frequency_recon,
91,first,1,192,150,10.957,1369,pending,psychoanalytic_psychology_high_frequency_recon,
92,group,1,190,100,7.305,1369,pending,psychoanalytic_psychology_high_frequency_recon,
93,therapists,1,190,92,6.72,1369,pending,psychoanalytic_psychology_high_frequency_recon,
94,among,1,188,107,7.816,1369,pending,psychoanalytic_psychology_high_frequency_recon,
95,three,1,188,125,9.131,1369,pending,psychoanalytic_psychology_high_frequency_recon,
96,theories,1,187,115,8.4,1369,pending,psychoanalytic_psychology_high_frequency_recon,
97,time,1,187,121,8.839,1369,pending,psychoanalytic_psychology_high_frequency_recon,
98,women,1,186,74,5.405,1369,pending,psychoanalytic_psychology_high_frequency_recon,
99,human,1,184,125,9.131,1369,pending,psychoanalytic_psychology_high_frequency_recon,
100,behavior,1,182,109,7.962,1369,pending,psychoanalytic_psychology_high_frequency_recon,
101,john,1,182,66,4.821,1369,pending,psychoanalytic_psychology_high_frequency_recon,
102,available,1,182,82,5.99,1369,pending,psychoanalytic_psychology_high_frequency_recon,
103,anxiety,1,182,82,5.99,1369,pending,psychoanalytic_psychology_high_frequency_recon,
104,narcissism,1,181,48,3.506,1369,pending,psychoanalytic_psychology_high_frequency_recon,self_narcissism
105,literature,1,181,146,10.665,1369,pending,psychoanalytic_psychology_high_frequency_recon,
106,street,1,176,173,12.637,1369,pending,psychoanalytic_psychology_high_frequency_recon,
107,different,1,175,141,10.299,1369,pending,psychoanalytic_psychology_high_frequency_recon,
108,findings,1,175,144,10.519,1369,pending,psychoanalytic_psychology_high_frequency_recon,
109,identity,1,175,73,5.332,1369,pending,psychoanalytic_psychology_high_frequency_recon,
110,gmail,1,175,171,12.491,1369,pending,psychoanalytic_psychology_high_frequency_recon,
111,representations,1,173,72,5.259,1369,pending,psychoanalytic_psychology_high_frequency_recon,
112,context,1,173,135,9.861,1369,pending,psychoanalytic_psychology_high_frequency_recon,
113,childhood,1,173,81,5.917,1369,pending,psychoanalytic_psychology_high_frequency_recon,
114,toward,1,168,104,7.597,1369,pending,psychoanalytic_psychology_high_frequency_recon,
115,world,1,167,104,7.597,1369,pending,psychoanalytic_psychology_high_frequency_recon,
116,conflict,1,167,90,6.574,1369,pending,psychoanalytic_psychology_high_frequency_recon,
117,working,1,167,102,7.451,1369,pending,psychoanalytic_psychology_high_frequency_recon,
118,own,1,166,134,9.788,1369,pending,psychoanalytic_psychology_high_frequency_recon,
119,impact,1,165,102,7.451,1369,pending,psychoanalytic_psychology_high_frequency_recon,
120,psychic,1,163,87,6.355,1369,pending,psychoanalytic_psychology_high_frequency_recon,
121,assessment,1,163,84,6.136,1369,pending,psychoanalytic_psychology_high_frequency_recon,
122,individual,1,162,123,8.985,1369,pending,psychoanalytic_psychology_high_frequency_recon,
123,latest,1,161,57,4.164,1369,pending,psychoanalytic_psychology_high_frequency_recon,
124,symptoms,1,160,84,6.136,1369,pending,psychoanalytic_psychology_high_frequency_recon,
125,associated,1,160,117,8.546,1369,pending,psychoanalytic_psychology_high_frequency_recon,
126,professional,1,159,56,4.091,1369,pending,psychoanalytic_psychology_high_frequency_recon,
127,language,1,158,62,4.529,1369,pending,psychoanalytic_psychology_high_frequency_recon,language_narrative_meaning
128,mind,1,157,86,6.282,1369,pending,psychoanalytic_psychology_high_frequency_recon,
129,apa,1,157,72,5.259,1369,pending,psychoanalytic_psychology_high_frequency_recon,
130,reality,1,156,94,6.866,1369,pending,psychoanalytic_psychology_high_frequency_recon,
131,defense,1,155,69,5.04,1369,pending,psychoanalytic_psychology_high_frequency_recon,
132,alliance,1,155,50,3.652,1369,pending,psychoanalytic_psychology_high_frequency_recon,
133,center,1,155,118,8.619,1369,pending,psychoanalytic_psychology_high_frequency_recon,
134,related,1,153,111,8.108,1369,pending,psychoanalytic_psychology_high_frequency_recon,
135,city,1,153,90,6.574,1369,pending,psychoanalytic_psychology_high_frequency_recon,
136,https,1,151,101,7.378,1369,pending,psychoanalytic_psychology_high_frequency_recon,
137,narcissistic,1,150,72,5.259,1369,pending,psychoanalytic_psychology_high_frequency_recon,self_narcissism
138,notification,1,150,50,3.652,1369,pending,psychoanalytic_psychology_high_frequency_recon,
139,many,1,149,122,8.912,1369,pending,psychoanalytic_psychology_high_frequency_recon,
140,ego,1,149,68,4.967,1369,pending,psychoanalytic_psychology_high_frequency_recon,
141,email,1,148,144,10.519,1369,pending,psychoanalytic_psychology_high_frequency_recon,
142,needs,1,147,82,5.99,1369,pending,psychoanalytic_psychology_high_frequency_recon,
143,significant,1,147,127,9.277,1369,pending,psychoanalytic_psychology_high_frequency_recon,
144,gender,1,146,61,4.456,1369,pending,psychoanalytic_psychology_high_frequency_recon,culture_social_ethics
145,history,1,145,99,7.232,1369,pending,psychoanalytic_psychology_high_frequency_recon,
146,important,1,144,128,9.35,1369,pending,psychoanalytic_psychology_high_frequency_recon,
147,cultural,1,144,65,4.748,1369,pending,psychoanalytic_psychology_high_frequency_recon,culture_social_ethics
148,specific,1,143,114,8.327,1369,pending,psychoanalytic_psychology_high_frequency_recon,
149,psychopathology,1,141,94,6.866,1369,pending,psychoanalytic_psychology_high_frequency_recon,
150,years,1,141,118,8.619,1369,pending,psychoanalytic_psychology_high_frequency_recon,
151,personal,1,141,98,7.159,1369,pending,psychoanalytic_psychology_high_frequency_recon,
152,avenue,1,141,138,10.08,1369,pending,psychoanalytic_psychology_high_frequency_recon,
153,capacity,1,141,96,7.012,1369,pending,psychoanalytic_psychology_high_frequency_recon,
154,united,1,141,98,7.159,1369,pending,psychoanalytic_psychology_high_frequency_recon,
155,particular,1,139,117,8.546,1369,pending,psychoanalytic_psychology_high_frequency_recon,
156,sense,1,139,102,7.451,1369,pending,psychoanalytic_psychology_high_frequency_recon,
157,factors,1,139,91,6.647,1369,pending,psychoanalytic_psychology_high_frequency_recon,
158,only,1,138,123,8.985,1369,pending,psychoanalytic_psychology_high_frequency_recon,
159,data,1,138,104,7.597,1369,pending,psychoanalytic_psychology_high_frequency_recon,
160,participants,1,138,75,5.478,1369,pending,psychoanalytic_psychology_high_frequency_recon,
161,dynamic,1,137,71,5.186,1369,pending,psychoanalytic_psychology_high_frequency_recon,
162,recent,1,137,120,8.766,1369,pending,psychoanalytic_psychology_high_frequency_recon,
163,rorschach,1,136,42,3.068,1369,pending,psychoanalytic_psychology_high_frequency_recon,
164,however,1,136,128,9.35,1369,pending,psychoanalytic_psychology_high_frequency_recon,
165,analyst's,1,136,71,5.186,1369,pending,psychoanalytic_psychology_high_frequency_recon,
166,frank,1,136,48,3.506,1369,pending,psychoanalytic_psychology_high_frequency_recon,
167,like,1,136,118,8.619,1369,pending,psychoanalytic_psychology_high_frequency_recon,
168,nature,1,135,112,8.181,1369,pending,psychoanalytic_psychology_high_frequency_recon,
169,journal,1,135,89,6.501,1369,pending,psychoanalytic_psychology_high_frequency_recon,
170,health,1,134,90,6.574,1369,pending,psychoanalytic_psychology_high_frequency_recon,
171,style,1,134,52,3.798,1369,pending,psychoanalytic_psychology_high_frequency_recon,
172,over,1,133,114,8.327,1369,pending,psychoanalytic_psychology_high_frequency_recon,
173,current,1,133,119,8.692,1369,pending,psychoanalytic_psychology_high_frequency_recon,
174,need,1,132,104,7.597,1369,pending,psychoanalytic_psychology_high_frequency_recon,
175,although,1,132,126,9.204,1369,pending,psychoanalytic_psychology_high_frequency_recon,
176,become,1,132,123,8.985,1369,pending,psychoanalytic_psychology_high_frequency_recon,
177,scale,1,131,61,4.456,1369,pending,psychoanalytic_psychology_high_frequency_recon,
178,international,1,131,46,3.36,1369,pending,psychoanalytic_psychology_high_frequency_recon,
179,potential,1,130,94,6.866,1369,pending,psychoanalytic_psychology_high_frequency_recon,
180,space,1,130,62,4.529,1369,pending,psychoanalytic_psychology_high_frequency_recon,
181,diagnostic,1,129,63,4.602,1369,pending,psychoanalytic_psychology_high_frequency_recon,
182,orcid,1,129,79,5.771,1369,pending,psychoanalytic_psychology_high_frequency_recon,
183,thinking,1,128,91,6.647,1369,pending,psychoanalytic_psychology_high_frequency_recon,
184,mothers,1,128,35,2.557,1369,pending,psychoanalytic_psychology_high_frequency_recon,
185,fantasy,1,127,58,4.237,1369,pending,psychoanalytic_psychology_high_frequency_recon,
186,relation,1,127,88,6.428,1369,pending,psychoanalytic_psychology_high_frequency_recon,
187,san,1,127,51,3.725,1369,pending,psychoanalytic_psychology_high_frequency_recon,
188,now,1,126,109,7.962,1369,pending,psychoanalytic_psychology_high_frequency_recon,
189,further,1,126,105,7.67,1369,pending,psychoanalytic_psychology_high_frequency_recon,
190,love,1,126,51,3.725,1369,pending,psychoanalytic_psychology_high_frequency_recon,
191,problems,1,125,87,6.355,1369,pending,psychoanalytic_psychology_high_frequency_recon,
192,individuals,1,124,88,6.428,1369,pending,psychoanalytic_psychology_high_frequency_recon,
193,influence,1,124,81,5.917,1369,pending,psychoanalytic_psychology_high_frequency_recon,
194,paul,1,124,41,2.995,1369,pending,psychoanalytic_psychology_high_frequency_recon,
195,organization,1,123,63,4.602,1369,pending,psychoanalytic_psychology_high_frequency_recon,
196,suite,1,123,123,8.985,1369,pending,psychoanalytic_psychology_high_frequency_recon,
197,dreams,1,123,34,2.484,1369,pending,psychoanalytic_psychology_high_frequency_recon,
198,level,1,122,89,6.501,1369,pending,psychoanalytic_psychology_high_frequency_recon,
199,michael,1,122,42,3.068,1369,pending,psychoanalytic_psychology_high_frequency_recon,
200,play,1,120,62,4.529,1369,pending,psychoanalytic_psychology_high_frequency_recon,
201,central,1,120,108,7.889,1369,pending,psychoanalytic_psychology_high_frequency_recon,
202,maternal,1,120,43,3.141,1369,pending,psychoanalytic_psychology_high_frequency_recon,development_attachment
203,effects,1,120,66,4.821,1369,pending,psychoanalytic_psychology_high_frequency_recon,
204,state,1,119,72,5.259,1369,pending,psychoanalytic_psychology_high_frequency_recon,
205,american,1,119,80,5.844,1369,pending,psychoanalytic_psychology_high_frequency_recon,
206,association,1,119,87,6.355,1369,pending,psychoanalytic_psychology_high_frequency_recon,
207,integration,1,119,83,6.063,1369,pending,psychoanalytic_psychology_high_frequency_recon,
208,infant,1,119,55,4.018,1369,pending,psychoanalytic_psychology_high_frequency_recon,development_attachment
209,technique,1,119,70,5.113,1369,pending,psychoanalytic_psychology_high_frequency_recon,technique_process
210,adelphi,1,119,24,1.753,1369,pending,psychoanalytic_psychology_high_frequency_recon,
211,psyd,1,118,103,7.524,1369,pending,psychoanalytic_psychology_high_frequency_recon,
212,identification,1,117,55,4.018,1369,pending,psychoanalytic_psychology_high_frequency_recon,object_relations
213,including,1,117,105,7.67,1369,pending,psychoanalytic_psychology_high_frequency_recon,
214,chicago,1,117,54,3.944,1369,pending,psychoanalytic_psychology_high_frequency_recon,
215,graduate,1,117,43,3.141,1369,pending,psychoanalytic_psychology_high_frequency_recon,
216,primary,1,116,77,5.625,1369,pending,psychoanalytic_psychology_high_frequency_recon,
217,sample,1,116,78,5.698,1369,pending,psychoanalytic_psychology_high_frequency_recon,
218,young,1,116,55,4.018,1369,pending,psychoanalytic_psychology_high_frequency_recon,
219,future,1,116,78,5.698,1369,pending,psychoanalytic_psychology_high_frequency_recon,
220,often,1,115,102,7.451,1369,pending,psychoanalytic_psychology_high_frequency_recon,
221,loss,1,115,60,4.383,1369,pending,psychoanalytic_psychology_high_frequency_recon,
222,analysts,1,115,77,5.625,1369,pending,psychoanalytic_psychology_high_frequency_recon,
223,structure,1,114,73,5.332,1369,pending,psychoanalytic_psychology_high_frequency_recon,
224,parental,1,114,48,3.506,1369,pending,psychoanalytic_psychology_high_frequency_recon,
225,function,1,114,82,5.99,1369,pending,psychoanalytic_psychology_high_frequency_recon,
226,changes,1,114,79,5.771,1369,pending,psychoanalytic_psychology_high_frequency_recon,
227,method,1,113,72,5.259,1369,pending,psychoanalytic_psychology_high_frequency_recon,
228,parents,1,113,52,3.798,1369,pending,psychoanalytic_psychology_high_frequency_recon,
229,peter,1,113,37,2.703,1369,pending,psychoanalytic_psychology_high_frequency_recon,
230,shame,1,112,37,2.703,1369,pending,psychoanalytic_psychology_high_frequency_recon,affect_trauma_regulation
231,past,1,112,87,6.355,1369,pending,psychoanalytic_psychology_high_frequency_recon,
232,private,1,112,95,6.939,1369,pending,psychoanalytic_psychology_high_frequency_recon,
233,department,1,112,89,6.501,1369,pending,psychoanalytic_psychology_high_frequency_recon,
234,found,1,111,96,7.012,1369,pending,psychoanalytic_psychology_high_frequency_recon,
235,pathological,1,111,46,3.36,1369,pending,psychoanalytic_psychology_high_frequency_recon,
236,out,1,111,84,6.136,1369,pending,psychoanalytic_psychology_high_frequency_recon,
237,supervision,1,110,33,2.411,1369,pending,psychoanalytic_psychology_high_frequency_recon,
238,levels,1,109,65,4.748,1369,pending,psychoanalytic_psychology_high_frequency_recon,
239,interventions,1,109,67,4.894,1369,pending,psychoanalytic_psychology_high_frequency_recon,
240,drive,1,109,82,5.99,1369,pending,psychoanalytic_psychology_high_frequency_recon,
241,others,1,108,94,6.866,1369,pending,psychoanalytic_psychology_high_frequency_recon,
242,illustrate,1,108,107,7.816,1369,pending,psychoanalytic_psychology_high_frequency_recon,
243,after,1,108,89,6.501,1369,pending,psychoanalytic_psychology_high_frequency_recon,
244,california,1,108,56,4.091,1369,pending,psychoanalytic_psychology_high_frequency_recon,
245,support,1,107,91,6.647,1369,pending,psychoanalytic_psychology_high_frequency_recon,
246,interaction,1,107,71,5.186,1369,pending,psychoanalytic_psychology_high_frequency_recon,
247,importance,1,107,96,7.012,1369,pending,psychoanalytic_psychology_high_frequency_recon,
248,reflective,1,107,33,2.411,1369,pending,psychoanalytic_psychology_high_frequency_recon,
249,college,1,107,71,5.186,1369,pending,psychoanalytic_psychology_high_frequency_recon,
250,differences,1,106,78,5.698,1369,pending,psychoanalytic_psychology_high_frequency_recon,
1,new york,2,534,300,21.914,1369,pending,psychoanalytic_psychology_high_frequency_recon,
2,object relations,2,224,96,7.012,1369,pending,psychoanalytic_psychology_high_frequency_recon,object_relations
3,gmail com,2,175,171,12.491,1369,pending,psychoanalytic_psychology_high_frequency_recon,
4,psychoanalytic theory,2,165,111,8.108,1369,pending,psychoanalytic_psychology_high_frequency_recon,
5,relationship between,2,152,77,5.625,1369,pending,psychoanalytic_psychology_high_frequency_recon,
6,e-mail notification,2,150,50,3.652,1369,pending,psychoanalytic_psychology_high_frequency_recon,
