rank,term,ngram_n,count,doc_count,doc_pct,n_docs_base
1,new york,2,534,300,21.914,1369
2,object relations,2,224,96,7.012,1369
3,gmail com,2,175,171,12.491,1369
4,psychoanalytic theory,2,165,111,8.108,1369
5,relationship between,2,152,77,5.625,1369
6,e-mail notification,2,150,50,3.652,1369
7,notification latest,2,150,50,3.652,1369
8,latest online,2,150,50,3.652,1369
9,york e-mail,2,132,131,9.569,1369
10,united states,2,131,90,6.574,1369
11,orcid org,2,129,79,5.771,1369
12,https orcid,2,124,74,5.405,1369
13,personality disorder,2,117,47,3.433,1369
14,adelphi university,2,107,13,0.95,1369
15,psychoanalytic psychotherapy,2,102,52,3.798,1369
16,professional psychology,2,100,18,1.315,1369
17,school professional,2,89,12,0.877,1369
18,san francisco,2,87,39,2.849,1369
19,university new,2,84,26,1.899,1369
20,mental health,2,80,58,4.237,1369
21,adult attachment,2,78,31,2.264,1369
22,alliant international,2,78,5,0.365,1369
23,borderline personality,2,77,34,2.484,1369
24,reflective functioning,2,77,24,1.753,1369
25,psychoanalytic treatment,2,74,52,3.798,1369
26,self psychology,2,70,31,2.264,1369
27,private practice,2,69,65,4.748,1369
28,personality organization,2,68,26,1.899,1369
29,analytic process,2,68,38,2.776,1369
30,attachment style,2,68,20,1.461,1369
31,states email,2,68,66,4.821,1369
32,personality disorders,2,67,33,2.411,1369
33,york new,2,64,54,3.944,1369
34,psychoanalysis runninghead,2,62,62,4.529,1369
35,city university,2,61,20,1.461,1369
36,robert bornstein,2,59,19,1.388,1369
37,clinical practice,2,59,43,3.141,1369
38,sidney blatt,2,59,17,1.242,1369
39,psychodynamic psychotherapy,2,59,27,1.972,1369
40,apa org,2,59,57,4.164,1369
41,psychoanalytic process,2,58,30,2.191,1369
42,independent practice,2,57,55,4.018,1369
43,apa journal,2,57,57,4.164,1369
44,frank summers,2,55,17,1.242,1369
45,therapeutic process,2,55,38,2.776,1369
46,aol com,2,55,55,4.018,1369
47,available online,2,54,54,3.944,1369
48,now available,2,54,54,3.944,1369
49,therapeutic relationship,2,53,40,2.922,1369
50,projective identification,2,53,23,1.68,1369
51,attachment theory,2,53,26,1.899,1369
52,state university,2,52,23,1.68,1369
53,york city,2,52,41,2.995,1369
54,therapeutic action,2,52,29,2.118,1369
55,become available,2,52,52,3.798,1369
56,online e-mail,2,50,50,3.652,1369
57,online runninghead,2,50,50,3.652,1369
58,runninghead e-mail,2,50,50,3.652,1369
59,online like,2,50,50,3.652,1369
60,like know,2,50,50,3.652,1369
61,know next,2,50,50,3.652,1369
62,next favorite,2,50,50,3.652,1369
63,favorite apa,2,50,50,3.652,1369
64,journal available,2,50,50,3.652,1369
65,online service,2,50,50,3.652,1369
66,service now,2,50,50,3.652,1369
67,available sign,2,50,50,3.652,1369
68,interest become,2,50,50,3.652,1369
69,defense mechanisms,2,49,24,1.753,1369
70,notified e-mail,2,49,49,3.579,1369
71,e-mail interest,2,49,49,3.579,1369
72,phd abpp,2,47,45,3.287,1369
73,covid pandemic,2,47,21,1.534,1369
